,Name,Review Rate,Review Time,Review Text
0,Ace, 5 stars ,5 months ago,"I came here during restaurant week, and got the 3 course tasting menu.

Started off with a beautiful steak tartare, pork for the main, and a delicious …"
1,Ace, 3 stars ,5 months ago,"The reservation was made through the restaurant week and I had high expectations. Gazpacho as entrée with cherries, pistachio and ricotta cheese, which was very very very bad, the only thing you could taste was the acidity of the gazpacho. …"
2,Ace, 5 stars ,6 months ago,"Wow! Amazing food, the salmon was the best vish I ever tasted! Service was good and atmosphere just perfect. Love this place a true gem in the city of Amsterdam"
3,Ace, 3 stars ,a year ago,"My expectations were much higher. I didn't like the food combinations. It was crude and there were some basic mistakes one shouldn't do. Like overcook a guinea fowl. If you're so uninspired as to serve guinea fowl, please learn how to cook …"
4,Ace, 5 stars ,2 years ago,We tried the six course menu with wine arrangement. It is a wonderful journey of the taste palates with every dish and wine! The price is extremely reasonable. Certainly a place to spoil yourself without spending much.
5,Ace, 5 stars ,2 years ago,"Excellent choice for a special dinner. The service was amazing,  especially given that it's in Amsterdam. The food was interesting, creative and very tasty. The atmosphere is cosy, the interior is quirky. We loved Restaurant ACE."
6,Ace, 5 stars ,3 months ago,"Awesome food and great service, it's one of the hidden gem in plain sight."
7,Ace, 4 stars ,2 years ago,Nice and cozy restaurant. Food was delicious!  To bad the portions were a bit small ;)
8,Ace, 5 stars ,5 months ago,Absolutely amazing restaurant - we were impressed by the food and level of service
9,Ace, 5 stars ,a month ago,"Really nice place, cozy, good food and the staff are amazing 👏 👌"
10,Ace, 5 stars ,9 months ago,"It was one of our stops, during the WijnSpijsl wandeling. Excellent sevice, very friendly! The food was very good. I just want to go again and sit inside to enjoy the ambiance!"
11,Ace, 5 stars ,3 years ago,"We hosted a party at ACE and are super happy. The super friendly staff welcomed us with the right cava to go with delicious small bites. They served four amazing courses, and you could feel that the team was enthusiastic about helping us. …"
12,Ace, 5 stars ,6 months ago,Had a lovely evening with great food and excellent service! Would recommend!!
13,Ace, 5 stars ,2 years ago,"Super delicious dishes, tasty wine, kind and caring personnel, nice atmoshphere. We ordered 6 courses + 1 bottle of red wine Wirra Wirra, Shiraz - Australia. We were extremely happy with the dishes and wine since the tastes were beyond our …"
14,Ace, 4 stars ,2 years ago,"Update:  Invited back again by the restaurant since they apologized and explained what happened a week ago is sort of 'accident', and definitely not the normal level of their service, I found out this time the serving flow was quite smooth, …"
15,Ace, 5 stars ,3 years ago,Hands down one of the best restaurants in Amsterdam! Amazing food. I highly recommend to anyone that likes fine dining and extraordinary food. I wish there was one back home. Good prices too. You won't be disappointed eating out here!
16,Ace, 5 stars ,3 years ago,Absolutely amazing food!! We found this place on our last night in Amsterdam and was by far our best eating experience of the trip. We would highly recommend it to anyone in search of fine dining with amazing food to try this place. …
17,Ace, 5 stars ,2 years ago,we had a fantistic night there. the stuff was very friendly and kind. The food is a piece of art and exceeds our expectation. We also love the whole setup of restuarant which is very gezellig. definitely in the list for the next time!
18,Ace, 2 stars ,2 years ago,"Great service and wine list, but that’s where the accolades end — ambitious but disappointing dishes and prices that are well above what the quality and quantity of food deserves. This place is style over substance. Proceed with caution."
19,Ace, 4 stars ,3 years ago,Very nice restaurant with a unique atmosphere. Food is very good and service is  nice and friendly. Recommended if you are looking for a nice Dutch experience (in terms of taste and favours)
20,Ace, 5 stars ,3 years ago,"Great atmosphere, wine, and food. 10/10 would go back. We did the 4 course meal and wine. Super delicious."
21,Ace, 5 stars ,2 years ago,Excellent food experience and great service
22,Ace, 5 stars ,6 months ago,Very good food + service!
23,Ace, 5 stars ,3 years ago,"Great atmosphere, fantastic food.
Best place in town!!"
24,Ace, 5 stars ,4 years ago,"Very cozy, nice music, great food, great service. Definitely recommend"
25,Ace, 5 stars ,a year ago,Service and food exceptional. Going back for dinner next time
26,Ace, 5 stars ,2 years ago,"Amazing restaurant, delicious desserts and great service ."
27,Ace, 5 stars ,2 years ago,This is a top bill restaurant with a Michelin star kitchen and service!! Loved it.
28,Ace, 5 stars ,2 years ago,OMG You and your team deserve a star.
