,Name,Review Rate,Review Time,Review Text
0,Amara May, 5 stars ,6 months ago,What great customer service. Owner was helpful in getting my order delivered to the correct address and the driver was also friendly. Food was delicious and well priced.
1,Amara May, 1 star ,7 months ago,"ordered the tom kha tofu (clearly marked as vegetarian) and found bits of chicken in it. pad phed (red curry) also very dry, sour, and disappointing. staff lovely but won't be ordering from here again."
2,Amara May, 5 stars ,a year ago,Just had my first order. It was DELICIOUS! Papaya salad... was sooo good! Fried rice was a great surprise! Usually those are pretty bland. But this one was full of vegetables and truly fried. Best Thai food I had in Amsterdam! Thank you! and keep it up!
3,Amara May, 5 stars ,a year ago,"Delicious Thai food, super friendly people and very affordable. I think its mostly a take away place, however, we sat in the restaurant and had a lovely time! Would recommend and will definitely come back. :)"
4,Amara May, 2 stars ,a year ago,"My order number: 18106KVF. Non-fresh ingredients. We ordered 2 portions of fish cakes and received 9 pieces?!? (Not 8 or 10, but 9, for 2 portions). The fish cake was rather full of flour instead of fish and was very sweet. Our red curry …"
5,Amara May, 5 stars ,2 years ago,"A new restaurant serving incredibly good Thai food.  I’ve sampled 6 or 7 dishes so far and each one was perfect.  In my opinion it’s serving some of the best Thai food in Amsterdam and I’ve tried countless restaurants... Fresh, simple, tasty food that can’t be faulted."
6,Amara May, 5 stars ,a year ago,"We have only ever ordered so looking forward to paying a visit soon, however the food is always amazing. Great flavour, spice levels and portions."
7,Amara May, 5 stars ,2 years ago,Delicious and authentic Thai food in a family run restaurant. Highly recommended! Kang Massaman with tofu is my favorite dish
8,Amara May, 4 stars ,2 years ago,"Never been but ordered take away multiple times, great food and nice staff. For sure recomended to give a try, wont be disappointing."
9,Amara May, 5 stars ,a year ago,We love Amara May. Most authentic Thai food in Amsterdam Oost. Love it!
10,Amara May, 5 stars ,2 years ago,If you want to eat well and for a good price this is the place to go. Quality Thai food made by an excellent Thai cook.
11,Amara May, 1 star ,6 months ago,Myself and the other person eating felt unwell after eating the food.
12,Amara May, 5 stars ,4 months ago,Very nice
13,Amara May, 4 stars ,a year ago,"Small place, mainly take out. Good food, fair prices."
14,Amara May, 5 stars ,2 years ago,Great food and services. Best Thai in town!
15,Amara May, 5 stars ,2 years ago,Very good restaurant! very warm welcome and also children friendly :)
16,Amara May, 5 stars ,2 years ago,"Very delicious food, friendly staff and fair price."
17,Amara May, 5 stars ,2 years ago,Excellent thai good in fair price:)
18,Amara May, 1 star ,3 weeks ago,(Translated by Google) Jesus what a worthless tent. You order something. Gets a message it's on its way. Call after half an hour as it is a 4 minute bike ride. Then an unintelligible person who says it's on its way. Then wait another 20 …
19,Amara May, 5 stars ,5 months ago,(Translated by Google) My boyfriend and I order from here every month as we live close by. I love the pad thai and my friend always order number 19. The tom yum soup is also perfect for the cold weather. The owner is very nice! ! The food …
20,Amara May, 5 stars ,a year ago,"(Translated by Google) I've ordered a few times now and the food was great. Today I had ordered from their site but the food did not arrive. So I cycled past, nobody to be seen, closed, but even the door says they are open: p. The phone was …"
21,Amara May, 1 star ,9 months ago,"(Translated by Google) Ordered food from here twice through ubereats. First time we had to wait 2 hours for our food, they indicated it was very busy, when it finally got to us a starter was missing but it was worth the wait, very tasty …"
22,Amara May, 5 stars ,7 months ago,"(Translated by Google) It was delicious again! This time the Pad Phed with chicken, a tasty dish with red curry paste with long beans and bamboo. And also great that white rice can be ordered for a reasonable price. Thank you and see you …"
23,Amara May, 3 stars ,11 months ago,"(Translated by Google) Ordered food in 2019. Intense flavors, beautiful curries. A little too salty, perhaps, and too sweet. But in the end a solid new Thai restaurant in the area. …"
24,Amara May, 5 stars ,2 years ago,(Translated by Google) We stayed here for the weekend and it was just delicious. I had a massaman curry (spicy-sweet) and spring rolls. A dream! Definitely worth a visit :) …
25,Amara May, 5 stars ,a year ago,"(Translated by Google) Super tasty thai food. Picked up during this time, but you can normally also eat there …"
26,Amara May, 5 stars ,7 months ago,"(Translated by Google) Delicious food on the street. Nice mixed neighborhood.

(Original) …"
27,Amara May, 5 stars ,2 years ago,"(Translated by Google) Very tasty food, in a nice cozy atmosphere! And affordable. Our favorite for casual food in the Transvaal neighborhood (East). …"
28,Amara May, 5 stars ,8 months ago,"(Translated by Google) I have nothing bad to say!
really tasty and fresh! …"
29,Amara May, 5 stars ,2 years ago,(Translated by Google) Best chicken cashew dish in Amsterdam! Full and authentic in taste …
