,Name,Review Rate,Review Time,Review Text
0,American Bar-bq, 4 stars ,3 months ago,"Placed on the top of the mountain, nice breeze and the view is beautiful.. best day to go is Sunday jazz brunch starting 11am to 4pm"
1,American Bar-bq, 5 stars ,5 months ago,"We have been coming to hang out here and listen to amazing music and eat fabulous food on Sundays.  Sidney, the owner, is an impeccable host. The waitstaff is very friendly and have wonderful customer service. We can’t say enough good …"
2,American Bar-bq, 5 stars ,3 months ago,"Superb!
The Sunday Brunch is delicious.
The Jazz band is awesome.
And the ambiance and view is second to none."
3,American Bar-bq, 5 stars ,5 months ago,And barbecue American barbecue and grill you know I love barbecue every Sunday I was planning on going there and just have the accommodations that they have to offer I think it's very nice place just opening here a little bit too far away …
4,American Bar-bq, 4 stars ,2 years ago,"Yum-O!!!! This place has some delicious food. We all ordered the brunch. The bacon and Jimmy Dean sausage! Grits are awesome. The grits are AMAZING!!!! The waffle/pancakes we got were dry, but the owner was able to fix that for us. Super …"
5,American Bar-bq, 5 stars ,2 years ago,The food was Amazing they had American Thanksgiving Dinner today the Chef an the staff are great an make you feel at home
6,American Bar-bq, 5 stars ,6 months ago,Fantastic Brunch..Excellent food..BBQ meats..Seafood . Live Music ...Live Dancers..Delicious red velvet cake..Great View of the City
7,American Bar-bq, 5 stars ,2 years ago,Great food great service. Owners had a lot of great information about the area.
8,American Bar-bq, 5 stars ,3 years ago,Best smoked barbeque this side of New Orleans. Ribs chicken beef smoked for minimum 5 hours succulent mòist with ģreat flavor. …
9,American Bar-bq, 5 stars ,7 months ago,It's nice place to go and relax have yourself a nice time eating and the views are beautiful you have to go and experience it to see what I'm talkin about and the drinks are good
10,American Bar-bq, 5 stars ,3 years ago,"Had a wonderful dinner here tonight. Ordered jerk chicken, coleslaw, southern corn and greens. All the food was delicious,  flavorful and serving size was a good. I was impressed with the service, excellent with communication and great …"
11,American Bar-bq, 5 stars ,3 years ago,Great meals. From the meatloaf to the ribs. Authentic BBQ.  Service is excellent as the owners are on hand and get involved to make sure things get done right. Location is right in center of town so easy to get to.  The Iced Tea is also a nice treat.
12,American Bar-bq, 5 stars ,3 months ago,This place has the best food hands down!
13,American Bar-bq, 5 stars ,2 years ago,loved it!! have been here for a humanitarian trip and he helped us immensely! gave us tips being here in the DR. best authentic american food!! the fries were actually better than the ones i’ve ever had in america! highly recommend.
14,American Bar-bq, 5 stars ,2 years ago,"I've lived in the country for a year, FIRST TIME i find a REAL BREAKFAST place! 100% recommend. the owner is super cool, the waitress is a sweetheart, & the food is YES! come come come!"
15,American Bar-bq, 5 stars ,2 years ago,"I ordered the cat fish and it was the best I have ever eaten. The owners came and ask was everything good. The staff was friendly, it was more of a home town feeling. I will be back again."
16,American Bar-bq, 5 stars ,3 months ago,"Best Ribs in the world, No BS"
17,American Bar-bq, 5 stars ,2 years ago,Best BBQ I have ever had I am so happy I decided to come here and the service was wonderful. I will definitely tell my friends and you should too i absolutely recommend this restaurant
18,American Bar-bq, 5 stars ,a year ago,Had a great meal here! Would definitely come back again to enjoy the food & the view!
19,American Bar-bq, 5 stars ,6 months ago,Great change of pace with great food and breath taking views
20,American Bar-bq, 5 stars ,2 years ago,"5 Star Food, conversation, and service. Feel good food! Something completely different in DR! Mom and Pop place, with Mom and Pop food! Tell them Tiana sent you! You won't be disappointed!"
21,American Bar-bq, 5 stars ,3 years ago,Nices location for a BBQ with friends. Had a nice late lunch and sat in th park afterwards. The portions are filling so be ready. Very reasonable prices on the menu and the service was really nice and quick.
22,American Bar-bq, 5 stars ,8 months ago,excellent entertainment the food was outstanding the jazz is fabulous a tremendous value
23,American Bar-bq, 3 stars ,7 months ago,The food was so good
24,American Bar-bq, 5 stars ,2 years ago,Great atmosphere  no matter your culture excellent  hostess service with a smile good home cooked meals I enjoy my experience  at this restaurant  thank you
25,American Bar-bq, 4 stars ,3 months ago,Great food very clean
26,American Bar-bq, 5 stars ,2 years ago,Great Service and Great Food.. Waitresses are BEAUTIFUL and Very Polite..I can eat here everyday all day
27,American Bar-bq, 4 stars ,8 months ago,Great food  wonderful view of the area
28,American Bar-bq, 5 stars ,2 years ago,"Excellent Southern Experience, great price and great food! Good music by DJ Mike."
29,American Bar-bq, 5 stars ,2 years ago,Great Food! Great People!!! Excellent Service! A taste of home in the DR!!!
30,American Bar-bq, 5 stars ,a year ago,The best breakfast spot in Puerto Plata. I'm hooked on their breakfast!
31,American Bar-bq, 5 stars ,10 months ago,Not to be missed. Amazing for the price. Is a little slow.
32,American Bar-bq, 5 stars ,2 years ago,Great food. Fast service. Great price. Great location
33,American Bar-bq, 5 stars ,2 years ago,Good atmosphere. My Eggs had a nice cajun kick!!
34,American Bar-bq, 3 stars ,a year ago,THATS BECAUSE YOU REALLY DONT KNOW EVERY ONE BY NAME IM EDDIE
35,American Bar-bq, 5 stars ,a year ago,"Trust me, the food is AWESOME!!!"
36,American Bar-bq, 5 stars ,a year ago,Awesome even better when the owner cooks
37,American Bar-bq, 5 stars ,2 years ago,Just excellent food n service
38,American Bar-bq, 5 stars ,9 months ago,Great food great vibe 🙌🏽🙌🏽🙌🏽
39,American Bar-bq, 5 stars ,3 years ago,Great food and atmosphere
40,American Bar-bq, 5 stars ,10 months ago,Excellent customer service.
41,American Bar-bq, 5 stars ,3 years ago,The Best BBQ in the World. 5/5
42,American Bar-bq, 5 stars ,2 years ago,Great Sunday brunch.
43,American Bar-bq, 5 stars ,3 years ago,Best barbecue in Dominican Republic
44,American Bar-bq, 5 stars ,8 months ago,Top Service
45,American Bar-bq, 5 stars ,11 months ago,(Translated by Google) It is a very nice place the food is super good a totally tidy and very clean place …
46,American Bar-bq, 4 stars ,4 months ago,(Translated by Google) Excellent barbecue meat of very good quality with a panoramic view of the sea. …
47,American Bar-bq, 5 stars ,a year ago,(Translated by Google) Excellent first quality American Restaurant with imported product from the USA I recommend it …
48,American Bar-bq, 5 stars ,2 years ago,(Translated by Google) Very good place I have gone If you want the best American type meats I recommend it and very cheap …
49,American Bar-bq, 4 stars ,a year ago,"(Translated by Google) Great fresh meats at affordable prices.

(Original) …"
50,American Bar-bq, 5 stars ,6 months ago,"(Translated by Google) Very good

(Original)
Muy buenos"
51,American Bar-bq, 5 stars ,3 years ago,"(Translated by Google) Excellent service and delicious food

(Original) …"
52,American Bar-bq, 5 stars ,11 months ago,"(Translated by Google) good prices

(Original)
Buenos precios"
53,American Bar-bq, 5 stars ,2 years ago,"(Translated by Google) I loved

(Original)
Me encanto"
54,American Bar-bq, 5 stars ,2 years ago,"(Translated by Google) Excelentss

(Original)
Excelentss"
55,American Bar-bq, 1 star ,8 months ago,
56,American Bar-bq, 5 stars ,a year ago,
57,American Bar-bq, 5 stars ,a year ago,
58,American Bar-bq, 5 stars ,3 years ago,
59,American Bar-bq, 5 stars ,a year ago,
60,American Bar-bq, 3 stars ,2 years ago,
61,American Bar-bq, 5 stars ,3 years ago,
62,American Bar-bq, 4 stars ,5 months ago,
63,American Bar-bq, 5 stars ,3 months ago,
64,American Bar-bq, 5 stars ,6 months ago,
65,American Bar-bq, 5 stars ,2 years ago,
66,American Bar-bq, 5 stars ,2 years ago,
67,American Bar-bq, 5 stars ,4 months ago,
68,American Bar-bq, 5 stars ,5 months ago,
69,American Bar-bq, 5 stars ,a year ago,
70,American Bar-bq, 5 stars ,2 years ago,
71,American Bar-bq, 5 stars ,2 years ago,
72,American Bar-bq, 5 stars ,2 years ago,
73,American Bar-bq, 5 stars ,9 months ago,
74,American Bar-bq, 1 star ,2 years ago,
75,American Bar-bq, 5 stars ,2 months ago,
76,American Bar-bq, 5 stars ,2 years ago,
77,American Bar-bq, 5 stars ,7 months ago,
78,American Bar-bq, 5 stars ,2 years ago,
79,American Bar-bq, 4 stars ,2 years ago,
