,Name,Review Rate,Review Time,Review Text
0,Amnesia, 5 stars ,3 years ago,"We recently spent a week in Amsterdam and enjoyed strolling along Herengracht (canal) several times during our stay. This is one of the three principle canals that make up the UNESCO World Heritage Site - Grachtengordel, a semi-circular …"
1,Amnesia, 5 stars ,3 years ago,"Stroll along the Herengracht and enjoy the water, the buildings and the people walking and sitting outside having a chat and a drink. The buildings are beautiful and you have to turn your head upwards to get the complete view and all the magnificent details of the houses."
2,Amnesia, 5 stars ,2 years ago,"Herengracht canal is one of the main canals, a UNESCO World Heritage Site.All dug in the 17th century during the Dutch Golden Age and surrounded by some of the most beautiful traditional Dutch houses that Amsterdam is famous for."
3,Amnesia, 5 stars ,2 years ago,The Canal
4,Amnesia, 5 stars ,3 years ago,Standard beautiful Dutch canal!
5,Amnesia, 5 stars ,4 years ago,Nice
6,Amnesia, 5 stars ,3 years ago,Anal with a c
7,Amnesia, 4 stars ,3 years ago,Interesting
8,Amnesia, 4 stars ,4 years ago,"(Translated by Google) Beautiful properties. Some are Scottish and skewed. It seems they can fall into the moat any time. Parking is shockingly expensive and there is almost no space. There are many bicycles on the bridges, so you have to …"
9,Amnesia, 4 stars ,2 years ago,"(Translated by Google) The Canals of Amsterdam: Herengracht, Keizersgracht ...

(Original) …"
10,Amnesia, 5 stars ,3 years ago,"(Translated by Google) Herengracht is one of the beautiful canals in the heart of Amsterdam with its great authentic buildings.
Hotels and restaurants abound and something for everyone. …"
11,Amnesia, 5 stars ,3 years ago,"(Translated by Google) Not to be missed at sunset

(Original)
Da non perdere al tramonto"
12,Amnesia, 5 stars ,3 years ago,"(Translated by Google) It is the second concentric canal that is part of the Grachtengordel, or Amsterdam canal belt, declared a World Heritage Site by UNESCO. It has a length of 3 and a half kilometers, and is one of the most luxurious …"
13,Amnesia, 5 stars ,10 months ago,"(Translated by Google) So yes, Ian Kuyper lives there

(Original)
Ian Kuyper woont er dus ja"
14,Amnesia, 3 stars ,3 years ago,"(Translated by Google) One of the countless bridges in Amsterdam.
A place where you can take beautiful pictures of one of the many canals and the houses that flank it. …"
15,Amnesia, 3 stars ,4 years ago,"(Translated by Google) Good to find. Few parking spaces, but what do you expect in Adam center …"
16,Amnesia, 4 stars ,2 years ago,"(Translated by Google) A street like any other in Amsterdam, just beautiful ...

(Original) …"
17,Amnesia, 5 stars ,3 months ago,"(Translated by Google) Nice street

(Original)
Mooie straat"
18,Amnesia, 5 stars ,4 years ago,"(Translated by Google) Historical heritage on the canal!

(Original) …"
19,Amnesia, 4 stars ,a year ago,"(Translated by Google) Quiet. Little traffic.

(Original)
Rustig. Weinig verkeer."
