,Name,Review Rate,Review Time,Review Text
0,Amore Cafe, 1 star ,2 years ago,Ridiculously expensive beer (8 euros for a pint of Heineken) and the place smells like an ashtray. …
1,Amore Cafe, 1 star ,2 years ago,8 EUR for a large beer. Stay away
2,Amore Cafe, 1 star ,2 years ago,Touristtrap. Way tooo expencive! Do not go there!!!
3,Amore Cafe, 5 stars ,2 years ago,Very nice place  kind people
4,Amore Cafe, 5 stars ,2 years ago,Top
5,Amore Cafe, 5 stars ,3 years ago,Super
6,Amore Cafe, 5 stars ,a year ago,The place to be
7,Amore Cafe, 5 stars ,9 months ago,(Translated by Google) What a very nice tent! Conviviality guaranteed. We felt welcome from minute one. …
8,Amore Cafe, 5 stars ,9 months ago,"(Translated by Google) I was with a friend who lives around the corner and what a great place it was! Jozef, indomama and Senna what a great team …"
9,Amore Cafe, 5 stars ,3 years ago,(Translated by Google) Living room feeling like a 2nd home :) always cozy .!!! Everyone is welcome .... people who are negative about this pub or do not feel welcome ... do not know what fun means .. …
10,Amore Cafe, 5 stars ,3 years ago,(Translated by Google) Lovely low-key pub. More of a community center almost everyone knows each other and respects each other. Only love especially for the owner Senait what a murderer!!! …
11,Amore Cafe, 4 stars ,2 years ago,"(Translated by Google) Nice staff and cordial owner. Feel at home for the many regulars. Many dart events here. Unfortunately a bit small and relatively few jobs (3), so you have to wait a long time. …"
12,Amore Cafe, 5 stars ,2 years ago,(Translated by Google) Super cozy cafe where you really see a reflection of society! Everyone will find a warm welcome here! : D …
13,Amore Cafe, 5 stars ,4 years ago,"(Translated by Google) Cozy cafe, with dart boards
Normal prices, and great people behind the bar …"
14,Amore Cafe, 5 stars ,3 years ago,"(Translated by Google) A local pub, right from the first time I came there. Recommended! …"
15,Amore Cafe, 5 stars ,8 months ago,"(Translated by Google) The best cafe in Amsterdam

(Original)
Najbolja kafana u Amsterdamu"
16,Amore Cafe, 5 stars ,2 years ago,"(Translated by Google) One of the nicest bars in Amsterdam

(Original) …"
17,Amore Cafe, 5 stars ,5 years ago,"(Translated by Google) Nice staff cozy atmosphere

(Original) …"
18,Amore Cafe, 4 stars ,3 years ago,"(Translated by Google) Very welcoming and friendly

(Original)
Zeer gastvrij en vriendelijk"
19,Amore Cafe, 5 stars ,4 years ago,"(Translated by Google) Living room filled with love

(Original)
Huiskamer gevuld met liefde"
20,Amore Cafe, 5 stars ,4 years ago,"(Translated by Google) very good

(Original)
erg goed"
21,Amore Cafe, 5 stars ,3 years ago,"(Translated by Google) Nice dart cafe

(Original)
Leuk dart café"
22,Amore Cafe, 5 stars ,3 years ago,"(Translated by Google) Always cosy

(Original)
Altijd gezellig"
23,Amore Cafe, 4 stars ,2 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
24,Amore Cafe, 3 stars ,3 years ago,"(Translated by Google) Expensive

(Original)
Duur"
25,Amore Cafe, 4 stars ,4 years ago,
26,Amore Cafe, 4 stars ,2 years ago,
27,Amore Cafe, 1 star ,6 years ago,
28,Amore Cafe, 5 stars ,3 years ago,
29,Amore Cafe, 4 stars ,3 years ago,
30,Amore Cafe, 4 stars ,6 years ago,
31,Amore Cafe, 1 star ,4 years ago,
32,Amore Cafe, 5 stars ,4 years ago,
33,Amore Cafe, 5 stars ,2 years ago,
34,Amore Cafe, 5 stars ,3 years ago,
35,Amore Cafe, 4 stars ,5 years ago,
36,Amore Cafe, 3 stars ,4 years ago,
37,Amore Cafe, 5 stars ,7 months ago,
38,Amore Cafe, 4 stars ,2 years ago,
39,Amore Cafe, 5 stars ,a year ago,
