,Name,Review Rate,Review Time,Review Text
0,Amsterdam Arepa's, 1 star ,4 months ago,"There's no actual menu
They don't actually reply if you contact in English
They tell that they are too busy anf they cannot handle new clients if you try …"
1,Amsterdam Arepa's, 2 stars ,4 years ago,"Cute place, nice concept, tasty food but I had stomach problems after.."
2,Amsterdam Arepa's, 5 stars ,7 months ago,"Cute place, friendly employees, delicious arepas 😍"
3,Amsterdam Arepa's, 1 star ,4 years ago,"This place doesn't open regularly, they have some Latin brunch days. Please update since we took a detour just to eat Venezuelan food and where highly disappointed"
4,Amsterdam Arepa's, 2 stars ,4 years ago,"Poor service, no attention to basic details. Expected much more authentic Venezuelan food for a restaurant only open once a month. Disappointed, Not worth the hype."
5,Amsterdam Arepa's, 1 star ,4 years ago,"Worst service ever, dirty place, only chicken in the menu, they made us wait too long and they didn't inform that most of the food was finished. Bad experience!"
6,Amsterdam Arepa's, 5 stars ,3 years ago,"The best arepas is there!!! very clean, fresh food, good prices!! love it"
7,Amsterdam Arepa's, 5 stars ,a year ago,Delicious arepas and super friendly staff!
8,Amsterdam Arepa's, 5 stars ,2 years ago,Amazing place! Excellent food and good music
9,Amsterdam Arepa's, 1 star ,3 years ago,"(Translated by Google) It is not a shop

(Original)
No es una tienda"
