,Name,Review Rate,Review Time,Review Text
0,Argentinos, 1 star ,2 months ago,"Tourist trap, went there by myself, ordered spare ribs, absolutely disgusting, had to throw up 2 hours later 🤢🤮. …"
1,Argentinos, 4 stars ,4 months ago,After a lovely long day of walking and strolling in Amsterdam we chose this place out of thousands and did not regret it. Nice staff and owner
2,Argentinos, 4 stars ,a week ago,"Nice restaurant, good options specially steak was amazing."
3,Argentinos, 1 star ,6 months ago,"Unfriendly staff,rude behaviour,always in hurry to send the guest away..even though the restaurant is not that busy.
They really should teach the waiter some manners.. …"
4,Argentinos, 1 star ,5 months ago,"The meat is tough, the desserts are not worth it and the staff leaves something to be desired. The price doesn't help either. They use the ""Argentinian"" concept as a tourist attraction, but then it leaves a lot to be desired :("
5,Argentinos, 1 star ,6 months ago,"good evening
I would like to inform the restaurant authorities about a bad situation I encountered while visiting your restaurant. One of your waitresses treated me and my …"
6,Argentinos, 4 stars ,3 years ago,The food is good and satisfactory for the price. The staff is very friendly and proactive. They have some nice steak options and the staff will help you to chose the best one for you. The ambience is very nice even though it's comparatively smaller in size.
7,Argentinos, 1 star ,3 months ago,Food is good . But the workers attitude is disaster. All of them are so rude and disrespect.
8,Argentinos, 5 stars ,5 months ago,"We have been there already two times, and both visits were good. Friendly staff and good food."
9,Argentinos, 5 stars ,a year ago,Came to Amsterdam for 2 nights. Ate here on the first night and it was so good we came back the next night too. Very unlike me to do that but the food was SO GOOD and the service was exceptional. VERY highly recommended.
10,Argentinos, 4 stars ,8 months ago,"Really good for the price. 13 euros mixed grill meat (chicken, pork and red meat).
The salad was really well seasoned. …"
11,Argentinos, 4 stars ,4 months ago,"Good special offer € 10.99 for a steak and chips
Didn't expect anything great but it was !!!"
12,Argentinos, 5 stars ,2 years ago,"tried the three piece grill out here and it was stunning. the rump was cooked to perfection, quite busy but the service is quick and you're not waiting too long for your meal. relatively cheap, but still good food."
13,Argentinos, 4 stars ,a month ago,"Great steak in the centre of the city, would highly recommend"
