,Name,Review Rate,Review Time,Review Text
0,Asian King, 5 stars ,a year ago,"My favourite sushi place! My family and I order from here every Friday. The same team as always and delicious sushi for affordable prices. If you live in Amsterdam West, go order from them! Personal favourite: salmon handroll and Taiwanese dumplings"
1,Asian King, 2 stars ,2 months ago,"Poor quality. The fish wasn't spoiled, but it was far from fresh."
2,Asian King, 5 stars ,11 months ago,"I ordered the sushi combi 2, it was perfect. Everything fresh and delicious. The service was fast, I’m a fan 💓"
3,Asian King, 5 stars ,a year ago,"Not only is the sushi delicious enough to be comparable to that in Tokyo, but the service is above and beyond what you normally find here Amsterdam. This is our go to spot to get our sushi fix and we highly recommend it."
4,Asian King, 5 stars ,3 years ago,"Big portions, reasonable prices, and tasty. Fast and friendly service."
5,Asian King, 1 star ,3 months ago,Not good. Waited for an hour for my delivery just to be cancelled without any explanation.
6,Asian King, 5 stars ,2 years ago,Really fresh and tasty sushi. Friendly staff.
7,Asian King, 5 stars ,3 years ago,"Love everything especially the salmon menu. The seaweed salad is also delicious but the portion is small. Sushi are fresh every time , delivery is fast. Great jobs guys!"
8,Asian King, 5 stars ,3 years ago,"Went here for take away not expecting too much. Friendly staff, amazing quality, big portions."
9,Asian King, 5 stars ,a year ago,"Delicious sushi, also enough options for vegetarians.
The chef has 18 years of experience and was a sushi chef in japan as well."
10,Asian King, 5 stars ,2 years ago,"I definitely recommend this place! I order here all the time, the price is reasonable, super friendly workers and the food is ready in time! This is so far the best take-away in Amsterdam! :)"
11,Asian King, 5 stars ,10 months ago,"The best sushi in Amsterdam for a good price! 😍
If you order from their website you will get a discount and free drink! 😉"
12,Asian King, 1 star ,2 years ago,Cannot read order instructions. Ordered 3 times. Received half my order 3 times. Sushi is okay for price but standards are low at this price point so not an achievement.
13,Asian King, 5 stars ,4 months ago,Very tasty and fresh!
14,Asian King, 5 stars ,2 years ago,Very fresh and tasty sushi for a good price. Would definitely recommend this place.
15,Asian King, 4 stars ,2 years ago,"Good sushi, open till late and would be awesome if they would do deliveries further 🤘"
16,Asian King, 5 stars ,2 years ago,"Very delicious, fresh. price is reasonable  . Nice and friendly people, highly recommended  ,"
17,Asian King, 5 stars ,2 years ago,"One of the top take-away  / order online places in Ams: fresh, tasty, huge variety!"
18,Asian King, 2 stars ,2 years ago,"Average quality and tasting sushi, nothing special"
19,Asian King, 4 stars ,6 months ago,Really good sushi
20,Asian King, 4 stars ,2 years ago,Nice spot with delicious Thai food. (No alcohol is being served here)
21,Asian King, 5 stars ,4 years ago,Great prices and outstanding sushi!
22,Asian King, 3 stars ,3 years ago,Cheap sushi average quality!
23,Asian King, 4 stars ,3 years ago,Quick service and lekker sushi
24,Asian King, 5 stars ,4 years ago,Best sushi ever
25,Asian King, 4 stars ,2 years ago,The beat sushi in town...❤❤
26,Asian King, 4 stars ,2 years ago,Good price
27,Asian King, 4 stars ,4 years ago,Good take away
28,Asian King, 1 star ,a week ago,"We order sushi yesterday and not was fresh, it didn't smell so good but we never imagine was in bad condition, my boyfriend was throwing and I had big stomach problems. We will never order again"
29,Asian King, 5 stars ,3 days ago,"Great sushi and price, and service too!"
