,Name,Review Rate,Review Time,Review Text
0,BackStage, 5 stars ,6 months ago,"first of all i totaly disagree with some of the Bad Reveiws about this place,ive been going in there for the past couple of years,got to know the Manager and Bar staff good friends of mine,its a lovely gaff,and the locals make ya wellcome,my advice to anyone who wants a beer and a chat about Ajax,get in the Backstake cafe"
1,BackStage, 5 stars ,3 months ago,"Hidden gem, good prices, great staff. Thanks for the hospitality Roger!"
2,BackStage, 1 star ,a year ago,I was on my bike waiting for my friend who had her bike locked near the canal. While I was looking into the distance for my friend  minding my own business suddenly one of the guests walked upon me very closely me saying that I should not …
3,BackStage, 5 stars ,4 months ago,Amazing cafe. Amazing vibe. 10/10
4,BackStage, 5 stars ,5 years ago,Twice a year we manage to pop in and have a pint with Miche. Great little bar esp when Ajax are playing ;)
5,BackStage, 4 stars ,2 years ago,"I called in for a swift half. I had a good chat with the owner, an avid Ajax fan. I will call again."
6,BackStage, 4 stars ,3 years ago,One of the best beer prizes we can see in our trip to Amsterdam (old town zone).
7,BackStage, 4 stars ,3 years ago,Nice place to stay and not as loud as most of the other pubs.
8,BackStage, 5 stars ,2 years ago,"Great atmosphere, super music."
9,BackStage, 5 stars ,2 years ago,"Nice mood, good music, good beer"
10,BackStage, 1 star ,4 years ago,Pass. Rude bartender and disgusting restrooms
11,BackStage, 3 stars ,3 years ago,Weird little bar.
12,BackStage, 5 stars ,3 years ago,I can't remember.
13,BackStage, 5 stars ,4 years ago,Perfect pub
14,BackStage, 5 stars ,a year ago,(Translated by Google) Very good service cozy with the customers a very nice picture and definitely recommended for the people who do not come from here …
15,BackStage, 5 stars ,2 years ago,"(Translated by Google) Quiet place to drink a beer at a great price

(Original) …"
16,BackStage, 4 stars ,4 months ago,"(Translated by Google) what happened there

(Original)
wat gedroken daar"
17,BackStage, 5 stars ,7 months ago,"(Translated by Google) Always cosy!

(Original)
Altijd gezellig!"
18,BackStage, 5 stars ,3 years ago,"(Translated by Google) Very good place, very cozy

(Original)
Muy buen lugar,muy acojedor"
19,BackStage, 4 stars ,5 years ago,"(Translated by Google) nice cafe

(Original)
leuk cafe"
20,BackStage, 5 stars ,4 years ago,"(Translated by Google) Cozy!

(Original)
Gezellig!"
21,BackStage, 5 stars ,3 years ago,"(Translated by Google) Very warm

(Original)
Très chaleureux"
22,BackStage, 5 stars ,3 years ago,"(Translated by Google) Nice attention!

(Original)
Atención agradable!"
23,BackStage, 5 stars ,2 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
24,BackStage, 1 star ,3 years ago,
25,BackStage, 5 stars ,2 years ago,
26,BackStage, 5 stars ,3 months ago,
27,BackStage, 5 stars ,a month ago,
28,BackStage, 5 stars ,5 years ago,
29,BackStage, 5 stars ,4 years ago,
