,Name,Review Rate,Review Time,Review Text
0,Bagel & Beans, 4 stars ,2 weeks ago,"Tasty! But, as most cases in Amsterdam - the portions of the bagel is quite small and the price is high... At least add some vegetables on the side or add a small drink, guys! If it were €2-€3 cheaper, I'd eat there regularly."
1,Bagel & Beans, 4 stars ,3 months ago,Nice place for small meetings or reading with coffee or tea. I tried a Bagels a couple of times; the taste was nice and fresh.
2,Bagel & Beans, 4 stars ,2 years ago,Nice place for breakfast and lunch. Bagels are very fresh and all the ingredients are good quality. The service is quite fast compared to other Dutch bars. Ideal for a quite lunch bite. Prices are avarage Amsterdam prices.
3,Bagel & Beans, 5 stars ,a year ago,"Lovely atmosphere, has outdoor seating.  Food and drink quality is great, prices are very reasonable.  Service was friendly and fast. Convenient location for local offices."
4,Bagel & Beans, 5 stars ,2 years ago,Friendly staff and nice shpere. Kaneel bagel is definately recomended. Milky oolong tea is also nice and unique
5,Bagel & Beans, 5 stars ,3 years ago,Wonderful crunchy on the outside and soft on the inside bagels. Also available as a sandwich. Can choose salads as well. Massive cappuccino hahaha. Lots of options to grab and go or sit and enjoy. A very nice and consistent chain.
6,Bagel & Beans, 4 stars ,2 years ago,Really nice bagels and wide selection and food and drinks. They have some seating outside too.
7,Bagel & Beans, 1 star ,9 months ago,"This place is disgusting in several ways. The managers seem incredibly rude in the way they talks about the employees (in public for all the guests to hear!). He actually made an employee cry in front of the customers! Apart from this, the …"
8,Bagel & Beans, 5 stars ,2 years ago,Friendly staff and delicious bagels as usual! Came here 2 days in a row during my stay in Amsterdam .
9,Bagel & Beans, 3 stars ,8 months ago,"The food got worse. They now put less stuff and cream cheese. So you eat almost bread only. Before the corona, it was a great place with delicious food. And they have no more date cake.
Sanitary  conditions I think not good also."
10,Bagel & Beans, 5 stars ,4 years ago,This is one of my favorite B&B stores because it's spacious and light. There's also a parking lot nearby. And the food is great as always!
