,Name,Review Rate,Review Time,Review Text
0,Bagels & Beans IJdock, 5 stars ,5 months ago,"Amazing place! Friendly staff delicious coffee and a stunning view🤩

This place is located near central station, making it very accessible and …"
1,Bagels & Beans IJdock, 3 stars ,8 months ago,"The view is amazing, however the place was not clean (including WC). And can be loud for some reason, even when visiting in a weekend around midday. …"
2,Bagels & Beans IJdock, 5 stars ,4 months ago,"Excellent bagels and fresh juices in a pretty shop including beautiful view on the water.
👍🏼👍🏼👍🏼"
3,Bagels & Beans IJdock, 5 stars ,3 years ago,"Perfect place for a quick breakfast lunch meetings featuiring amazing views of the harbor. While the place specializes in bagels, we found that their açai smoothies were a feast to come back for. Highly recommended."
4,Bagels & Beans IJdock, 5 stars ,6 months ago,"Probably the best Bagels & Beans in town. Nice friendly staff, tons of tables both inside and out, but the tour de force is the view outside onto the IJ river which runs past the train station. It feels like a little oasis away from the bustle of the city."
5,Bagels & Beans IJdock, 2 stars ,5 months ago,"Sorry guys, 1 hour waiting time for a plain creamcheese bagel that doesnt come as ordered and isnt really special at all is a waste of time and a bad start into the day. There was also one ordered item missing so one of our kids got nothing …"
6,Bagels & Beans IJdock, 5 stars ,5 months ago,Lovely location with good food & drinks by the sea!
7,Bagels & Beans IJdock, 4 stars ,5 months ago,"Lovely views of the IJ river! The breakfast are delicious, and the apple crumble with a matcha is a MUST for me every time"
8,Bagels & Beans IJdock, 2 stars ,4 months ago,"Not as good as other beans and bagels. Amount of ham, cream cheese on my bagel was nearly invisible. . Also 4 Euro for this amount of orange juice is a ripoff :"
9,Bagels & Beans IJdock, 5 stars ,3 years ago,"This cafe is more than just a quirky name. Yes they do offer begals, but they offer more. This restaurant is located just by the river across from the RoomMates hotel. Their food is very fresh and delicious. Staff is very friendly. My …"
10,Bagels & Beans IJdock, 5 stars ,2 years ago,"Great place for breakfast ... if you like bagels and coffee.  Great selection of bagels and toppings, very nice coffee, lovely ambiance and nice views from the windows, friendly staff ... what more can you ask for!"
11,Bagels & Beans IJdock, 4 stars ,8 months ago,"ok. good coffee, my bagel with egg salad was a bit weird for egg salad, i wouldn't choose it again. nice view. we did wait quite a bit for our food, even though the place was rather empty, but it did taste fresh so it maybe explains the waiting time"
12,Bagels & Beans IJdock, 5 stars ,4 months ago,The power breakfast with lovely views 🙌🏽🙌🏽🙌🏽
13,Bagels & Beans IJdock, 5 stars ,2 years ago,"Very kind employees, many different bagels and drinks and a great, authentic atmosphere. Highly recommended!"
14,Bagels & Beans IJdock, 5 stars ,6 months ago,"This place was soo cozy, we didn't really want to leave. I had the tuscany bagel with vegan cream cheese (they had several vegan cream cheeses to choose from) and it was absolutely perfect! I really recommend everyone to go try that one"
15,Bagels & Beans IJdock, 5 stars ,4 months ago,Fine place to be. Beautiful view. Great food also for vegans.
16,Bagels & Beans IJdock, 5 stars ,8 months ago,"Everytime I visit Bagels & Beans it feels like coming home, and this branch even takes it to the next level: breathtaking view on Amsterdam North, amazing unique location, excellent friendly customer service and of course delicious healthy food and drinks; I recommend this place to anyone!"
17,Bagels & Beans IJdock, 5 stars ,3 years ago,"Really nice atmosphere, all of the waitresses were kind and helpful. Bagels vere really tasty."
18,Bagels & Beans IJdock, 5 stars ,3 years ago,"Very nice and clean, great service and staff. Best bagel I've ever had."
19,Bagels & Beans IJdock, 5 stars ,2 years ago,"Excellent bagels and coffee, and a lovely view of the water."
20,Bagels & Beans IJdock, 5 stars ,3 years ago,Love love love this location of this branch. Amazing scenery and you can always find a table. Beautiful interior. Strong WiFi for work. Note that the bagels are not “American” sized bagels. They’re quite a bit thinner. Superb service from …
