,Name,Review Rate,Review Time,Review Text
0,Bagels & Beans, 4 stars ,2 months ago,"Really good food and coffee, but could be quicker for takeaways.

I had the avocado bagel and an espresso. The coffee here is above average and the Bagel is good for the price. Can recommend for a quick lunch."
1,Bagels & Beans, 5 stars ,4 months ago,"Super tasty food and amazing staff, we felt very safe because they checked the covid certificate and the quality of the bagels was top notch. Thank you again 💙"
2,Bagels & Beans, 5 stars ,5 months ago,Really good. Went here every morning for a bagel and coffee. Nice staff.
3,Bagels & Beans, 5 stars ,4 months ago,"Went here about 7 times, amazing owner and people, good food, fantastic prices and great vibes"
4,Bagels & Beans, 5 stars ,6 months ago,"This Bagels and Beans store serves as a remarkable place to eat breakfast, lunch, or a late snack. The staff is incredibly friendly and passionate about creating their fresh dishes and the dining environment that they create through their …"
5,Bagels & Beans, 3 stars ,a year ago,"The girl who serves here is so infectiously nice!
The food was delicious, the coffee was great and the girl serving us was one of the nicest servers ever. …"
6,Bagels & Beans, 4 stars ,3 years ago,"Great staff! The owner entertained my son a bit & made him a free baby in. Bagels were great, I had the wild mushroom croquette bagel with pickles. Well priced. My son had a peanut butter bagel, with homemade peanut butter."
7,Bagels & Beans, 5 stars ,3 years ago,We came here every morning during our trip ! A healthy and tasty breakfast to start the day. …
8,Bagels & Beans, 4 stars ,4 years ago,"Bagels are fantastic but the cappuccino could be better. Prices are good and the atmosphere is young.
It would have been even nicer if they had hidden the dishing better for us sitting closest to the kitchen. But other than that, it was a really nice place!"
9,Bagels & Beans, 5 stars ,2 years ago,LOVE this place! As a New Yorker the bagels were delish the service lovely and the cappuccino yummy!  Such kind staff that remembered our faces from the first day we came. It was right near our hotel so I came here every morning for my …
10,Bagels & Beans, 5 stars ,2 years ago,"Bagel and Beans is very popular. Fresh food, good quality and reasonable prices. What else do you want. This morning I had and excellent power breakfast to start my day. Very friendly staff too *****"
11,Bagels & Beans, 5 stars ,2 years ago,"I frequently visit this branch of bagel & beans since its very close to my University. They have the best soy matcha latte - I literally cant get enough. The cheese cake is also pretty decent. For breakfast, I usually order their good …"
12,Bagels & Beans, 5 stars ,6 months ago,"Lovely lunchspot close to the University of Amsterdam! Enjoyed the food here a lot and would definitely recommend. Great English-speaking staff, so ideal for tourists."
13,Bagels & Beans, 1 star ,3 months ago,the bagels arent fresh so theyre always cold and chewy and hard to bite. so not worth the price
14,Bagels & Beans, 4 stars ,4 years ago,"The place have a wide selection of bagels for all tastes. The staff was very friendly and the food was very good. The location is a nice place for a friendly meet up, but closes at 5 o'clock."
15,Bagels & Beans, 5 stars ,6 months ago,Really amazing bagels conveniently located across from uni. Get the egg salad bagel! You won't regret it ❤️
16,Bagels & Beans, 3 stars ,a year ago,"Got takeaway to have by the water. Our bagels were over-toasted that it was dry but staff were friendly and respected social distancing quite well. Could do with cutlery for take away. Not bad but nowadays getting take out and the amount it costs, we kinda expect some care with the quality of food"
17,Bagels & Beans, 5 stars ,a year ago,"Best matcha in Amsterdam!!! I ordered matcha at many places but this is by far the best place! I  come here almost everyday and it’s always good quality food and drinks. The service is super as well, with really polite and hardworking team …"
18,Bagels & Beans, 5 stars ,a year ago,"I lived in Amsterdam for the past year but (sadly) only discovered bagels and beans within my last month there. Each B&B I have been to the staff have been lovely and the food has been excellent. Quick, fresh, affordable food. I have now …"
19,Bagels & Beans, 5 stars ,2 years ago,Had an amazing chai latte and bagel! Can never find good bagels in europe but this one was superb.
20,Bagels & Beans, 5 stars ,2 years ago,"Love this place! They have a great menu with good prices. I always felt at home whenever I ate here. Friendly staff and quick service. The manager is also here often and he is very friendly, talkative, and will remember you if you are a regular. I highly recommend ordering their hot chocolate and bagels with chocolate sprinkles."
21,Bagels & Beans, 5 stars ,3 years ago,"The absolute BEST place to wind down, enjoy some good company, and indulge in the best bagel eats AROUND!!!"
22,Bagels & Beans, 5 stars ,a year ago,"In these times it is nice to know that your favorite Bagels & Beans is providing you still the amazing food and, for the brief moment of picking it up, great service! On top of it all, ordering online works seamlessly."
23,Bagels & Beans, 5 stars ,a year ago,"Had a pleasant breakfast here. We ordered some salmon bagel with the creamcheese, an omelet bagel with avocado and some fresh juice with coffee. Their bagels are super delicious, quick service, affordable."
24,Bagels & Beans, 5 stars ,2 years ago,I was looking for an affordable and hearty breakfast near the Hyatt Regency Amsterdam and stumbled upon this place.  We ordered the Power Breakfast and I was pleasantly surprised with the quantity of food provided.  There was also a good …
25,Bagels & Beans, 5 stars ,2 years ago,"Try the warm bagels, really worth it, nice staff, and didnt wait for too long"
26,Bagels & Beans, 4 stars ,2 years ago,"Oh we love Bagels and Beans! Second visit, new location! Slightly smaller, cosier and more stairs! Both enjoyed bagels, coffees, very fresh OJ and my husband had a tasty acai smoothie! …"
27,Bagels & Beans, 5 stars ,3 years ago,"Nice lattes, possibility to have soya/almond/non diary milk. Great beagles options and cakes."
28,Bagels & Beans, 5 stars ,2 years ago,"I have gone to many Bagels and Beans over the years, however, this one is my favorite. The staff are some of the best I’ve encountered! …"
29,Bagels & Beans, 5 stars ,a year ago,Dog friendly place and the staff immediately offered some water for my dog. Very cozy atmosphere with good coffee and cakes. My personal favourite is their chai latte with a piece of bananabrood.
30,Bagels & Beans, 5 stars ,2 years ago,Cozy and rather big Bagels&Beans next to a University Building. They have Free WiFi and sockets to charge your electronic devices. The Staff was also very friendly and helpful. The food was tasty and the prices are on the lower end compared to similar places.
31,Bagels & Beans, 5 stars ,2 years ago,Great service. love the bagel with egg and avocado and the flat white coffee was good. Open early so we could go straight to the Anna Frank house we will come back
32,Bagels & Beans, 5 stars ,3 years ago,"Lovely coffee, juices, and food! Good place to work from."
33,Bagels & Beans, 5 stars ,a year ago,Healthier choices of food than eating french fries and a burger in the morning. I am also a fan of how they brew and serve mushroom coffee (with dried mushrooms aside the cup!).
34,Bagels & Beans, 2 stars ,3 years ago,"We went there for the bug beagel, but unfortunately it wasn't available again. So we ended up having a Paddoburger, which was excellent and a Meatless Magic, which was just simply disappointing. Probably the worst and cheapest vegan burger …"
35,Bagels & Beans, 5 stars ,a year ago,Nice place a bit outside of the buzzing city centre which is super good when you just need to sip a good coffee in peace. The Tosti bagel is one of their best bagels.
36,Bagels & Beans, 1 star ,2 years ago,"Do not order the Meatless Magic bagel. The vegan meat made us nauseous and the only thing that made the bagel eatable was the mayonnaise and ketchup. The staff and atmosphere are, however, pleasant."
37,Bagels & Beans, 5 stars ,5 years ago,"It's like your regular Bagels and Beans. I kind of want to give it 4,5 stars, cause whenever I go, the staff goes on to ignore me for very long... And I don't go during peak hours. But then when I either go upstairs to order, or when they …"
38,Bagels & Beans, 5 stars ,a year ago,"Great service, amazing food and juices, and they have gluten free bagels and really good vegan cheese!"
39,Bagels & Beans, 1 star ,2 years ago,"Maxsimum unpleasant service and root staff, awful overroasted coffee and not enough tasty food but expensive in comparison to nearby places. Uncomfortable and mood ruining place. The entire day was broken because of enormously rood communication from the owner, or whoever was in charge. Not recommended for great time spending."
40,Bagels & Beans, 4 stars ,2 years ago,"Goats cheese, walnut and honey bagel is amazing. The loose tea quantity was a bit less so the taste wasnt really there."
41,Bagels & Beans, 2 stars ,2 years ago,"Weirdly terrible service. Went one time, and waited a good 15 minutes for table service before deciding to up and order at the counter (the place was empty aside from two other tables and they had the same experience). …"
42,Bagels & Beans, 5 stars ,a year ago,"Really nice coffees, best juices in town and all this in a very cozy atmosphere! Probably the best way to start the day, I highly recommend it, cheers"
43,Bagels & Beans, 5 stars ,2 years ago,"Last time we got too little topping on our bagel, so this time we asked if we could have some more. We got more and a complementary juice! So sweet"
44,Bagels & Beans, 1 star ,4 years ago,"UPDATE:
Some person with an attitude issue and bad grammar texted me in a very inappropriate way through Facebook. He said he was the""owner"" and that I should change my …"
45,Bagels & Beans, 4 stars ,4 years ago,Good staff and decent food. Only giving a 4/5 because I asked specifically to not have any tuna or fish in the bagel tapas. It was given to me accidentally. I am a vegetarian and that killed my hunger a bit.
46,Bagels & Beans, 5 stars ,2 years ago,Great smoked chicken ! We took also the omelette egg bagel was great and the juices were fresh come back for sure they open early at 08 hours
47,Bagels & Beans, 5 stars ,5 years ago,"Looking forward once again to excellent bagels (and more) and coffee at this sweet cafe in Amsterdam.  Bagels (almost) like NYC, and a menu for breakfast or lunch - or a sweet treat with their fresh-brewed coffee or tea  - combined with a …"
48,Bagels & Beans, 5 stars ,4 years ago,Rashid (manager or owner) was a superstar. My 13 year old son and I visited this restaurant twice. Had we been staying longer we would have gone everyday. The food was tasty. The drink selections were unlike any we have in America. But the …
49,Bagels & Beans, 1 star ,5 years ago,"The service today was truly terrible.

The couple next to us ordered food moments before we were allowed to order a …"
50,Bagels & Beans, 5 stars ,5 years ago,"Regularly visit this coffee place and have never been disappointed! Staff is super friendly and the food is fabulous! Also good for takeaways when you're at uni, highly recommend"
51,Bagels & Beans, 2 stars ,3 years ago,"Rushed & chaotic atmosphere, noise, staff doesn't care, and seems to be used to it. Not too clean. Male servant pushed himself through on the tiny stairs. I guess it's too tiny for any quality atmosphere."
52,Bagels & Beans, 4 stars ,5 years ago,"Pretty comfy, but sometimes the servers don't notice you, and food takes a while to get prepped. Regardless,  their bagels are really tasty and always fresh."
53,Bagels & Beans, 5 stars ,a year ago,"Always nice, especially the BLT bagel. Staff is always super helpfull and friendly!"
54,Bagels & Beans, 5 stars ,a year ago,The Bagel tasted really well. Also the waitress was courteous and friendly
55,Bagels & Beans, 4 stars ,4 years ago,Packed with students but they serve a great insect bagle
56,Bagels & Beans, 5 stars ,2 years ago,"Such delicious food and coffee, good prices, and kind staff! Not too crowded but clealry well regarded!"
57,Bagels & Beans, 5 stars ,a year ago,"Pricing is good, nice staff, manager super helpful and friendly. Their bagels are in competition with the NY ones."
58,Bagels & Beans, 4 stars ,8 years ago,Really nice place to visit to pick up some take away as well as for a good cup of coffee and bagel - not forgetting the lovely muffels. …
