,Name,Review Rate,Review Time,Review Text
0,Bangkok, 5 stars ,a month ago,I had the earth air fire 2 extra spicy level 3 with chicken. Staff was courteous attentive and helpful in understanding the menu. I noticed a lot of takeout is done here. Room was intimate and comfortable with enough space between tables.
1,Bangkok, 5 stars ,a month ago,"Best Thai in town, my family has been going here since they opened 40+ years ago. Delicious food!"
2,Bangkok, 5 stars ,2 months ago,"There’s nothing bad to say about this place. I love that they have Thai food and Japanese food. Everything always tastes excellent. I love their selection of sushi, and all of the different Thai curries too. When my other favorite Thai restaurant is closed, I definitely come here because they’re that good!"
3,Bangkok, 5 stars ,3 months ago,"Just had amazing Pad Thai! I like spicy food, went with 4 out of 5 spice level. Great choice. Cleared my sinuses, without being painful to eat, amazing! If you like Pad Thai, come here!"
4,Bangkok, 4 stars ,a year ago,"I have known about this restaurant since 2016 when we moved from California & have been very please with their food, it’s very authentic, the service has been great & the price it’s fair. I have visited more their Coral Gables location & …"
5,Bangkok, 5 stars ,a year ago,My hubby and I can't get enough of this place! Our favorite spot for sushi and thai. Excellent rolls and dishes. Highly recommend.
6,Bangkok, 4 stars ,3 weeks ago,"i had the garlic chicken. it was really good but i wish they was more chicken. other than that, the pickup was fast and easy and the food was really good:)."
7,Bangkok, 5 stars ,7 months ago,I visited this place while visiting Miami. I was craving spicy Thai food and found this location on Yelp. I was hesitant about trying out new Thai restaurants because I am used to a particular Thai spice flavor. Many restaurants that I …
8,Bangkok, 5 stars ,2 years ago,I've always enjoyed having my lunch breaks here. Such a nice sushi bar. The restaurant has been completely renovated. The soups are flavorful and the raw salmon was very fresh. Super fast servers and everyone is friendly.
9,Bangkok, 5 stars ,6 months ago,Cool setting and awesome food!
10,Bangkok, 4 stars ,2 years ago,This is a nice cozy little place with about 10 tables & another 4 or so outside. Fairly new looking with contemporary feel. Wood paneling provides warm feel. Service is ok & bathroom is clean. Parking is a little crowded with all the other …
11,Bangkok, 5 stars ,6 months ago,This place was amazing!!! I don’t care where I’m at in Florida I’ll always make a stop by this shop 😭💯 I ate here everyday for almost a week while on vacation l. The shrimp tempura is to die for!!!
12,Bangkok, 5 stars ,a year ago,Been around forever. The lunch specials are good and a great value. I used to come here 1-2 times a week just for lunch. The staff always let us sit and discuss business. I would also hit it after the movies. The food is consistently good. …
13,Bangkok, 1 star ,8 months ago,"I have been here 1000 times and I have taken many dates. I was so excited to bring my new girlfriend and eat the little big man, which is and has been my favorite dish from there. After the pandemic, quality has gone down and they have gouge the prices exponentially. Never going back again very sad to say"
14,Bangkok, 3 stars ,a year ago,"Variety of Thai food including sushi, beef satay, and fried rice. It was good quality food. The service was slow. My family and I were a group of 4 and we were the only table, yet the service was slow... check your bill because we were …"
15,Bangkok, 5 stars ,2 years ago,I love the food!! Super good!! I will never eat sushi anywhere ever again!!!
