,Name,Review Rate,Review Time,Review Text
0,Bar Mowgli, 4 stars ,5 years ago,"Good: Nice interior, tasty food, english menus, Brand beer; Bad: food is somewhat pricy for that amount, service is a little bit slow, only one kind of Brand beer ;)"
1,Bar Mowgli, 5 stars ,5 years ago,"Different to the standard Dutch bistro menu which is nice for a change. Friendly people working there, who showed me a new drink I hadn't had before. They have several types of cider, quite sweet. Really liked how it was decorated. Very relaxed and not too loud.lots of space between tables."
2,Bar Mowgli, 4 stars ,5 years ago,"Food is excellent, good taste and presented well. Must try the ribs, they are special! Service is great. Atmosphere cosy. Overall, a great place and one of the best in the area!"
3,Bar Mowgli, 1 star ,4 years ago,Average to disgusting food and bad service. The staff was busy with themselves and each other so took ages before the food arrived. When we finally got our food everything was cold and overcocked. The staff even had the audacity to ask for …
4,Bar Mowgli, 2 stars ,4 years ago,"A comida é ok. Nem incrível nem ruim.
Ah, a batata frita é massa! 🍟 …"
5,Bar Mowgli, 5 stars ,5 years ago,Delicious food here we had the wagyu burger and English breakfast. Highly recommended!
6,Bar Mowgli, 2 stars ,5 years ago,Didn't like the food at all. Meat was a bit like rubber. Noodles tasted strange as well.
7,Bar Mowgli, 3 stars ,5 years ago,"Nice atmosphere, limited menu. The soup was good!"
8,Bar Mowgli, 5 stars ,4 years ago,"Great atmosphere, excellent food and awesome cocktails!"
9,Bar Mowgli, 2 stars ,4 years ago,Didn't like the food at all.
10,Bar Mowgli, 5 stars ,5 years ago,Nice place for lunch
11,Bar Mowgli, 5 stars ,5 years ago,Top !!!!
12,Bar Mowgli, 4 stars ,5 years ago,(Translated by Google) I went here with 3 other friends to eat with a groupon choice menu. There was still enough choice. I had the sticky ribs beforehand and as main menu rice with duck and sweet soy sauce. The food was great. Wait staff …
13,Bar Mowgli, 4 stars ,4 years ago,(Translated by Google) Nice bar and nice lunch. Cozy inside and a nice atmosphere. The tomato soup with bell pepper was spicy and I think this was a mistake. Fortunately we can withstand spicy food. …
14,Bar Mowgli, 5 stars ,4 years ago,"(Translated by Google) Really recommended. Great food, friendly staff and a good atmosphere. We will definitely come back here! …"
15,Bar Mowgli, 4 stars ,5 years ago,(Translated by Google) Good food for a good price. Dishes look particularly attractive and are very tasty. Friendly and helpful staff. Recommended !!!! …
16,Bar Mowgli, 4 stars ,4 years ago,"(Translated by Google) Plenty of room operation good

(Original)
Veel ruimte bediening goed"
17,Bar Mowgli, 3 stars ,4 years ago,"(Translated by Google) Opening times have been changed

(Original)
Openingstijden zijn gewijzigd"
18,Bar Mowgli, 4 stars ,4 years ago,"(Translated by Google) Nice atmosphere

(Original)
Leuke sfeer"
19,Bar Mowgli, 5 stars ,4 years ago,"(Translated by Google) Great place

(Original)
Prima plek"
20,Bar Mowgli, 4 stars ,5 years ago,
21,Bar Mowgli, 3 stars ,4 years ago,
22,Bar Mowgli, 4 stars ,5 years ago,
23,Bar Mowgli, 3 stars ,5 years ago,
24,Bar Mowgli, 4 stars ,5 years ago,
25,Bar Mowgli, 3 stars ,5 years ago,
26,Bar Mowgli, 2 stars ,5 years ago,
27,Bar Mowgli, 4 stars ,4 years ago,
28,Bar Mowgli, 4 stars ,5 years ago,
29,Bar Mowgli, 4 stars ,4 years ago,
30,Bar Mowgli, 1 star ,4 years ago,
31,Bar Mowgli, 4 stars ,4 years ago,
32,Bar Mowgli, 3 stars ,4 years ago,
33,Bar Mowgli, 4 stars ,4 years ago,
34,Bar Mowgli, 5 stars ,4 years ago,
35,Bar Mowgli, 4 stars ,4 years ago,
36,Bar Mowgli, 3 stars ,5 years ago,
37,Bar Mowgli, 4 stars ,4 years ago,
38,Bar Mowgli, 3 stars ,4 years ago,
39,Bar Mowgli, 3 stars ,3 years ago,
