,Name,Review Rate,Review Time,Review Text
0,Barney's Uptown Amsterdam, 5 stars ,7 months ago,"Such a beautiful place with very tasty food and the milkshake was right from heaven and so was the waitress!
Very kind and attentive! …"
1,Barney's Uptown Amsterdam, 5 stars ,3 weeks ago,One of the greatest places in Amsterdam. No tourist trap - a place with a lot of locals and real Amsterdam-Spirit. Great staff!!!
2,Barney's Uptown Amsterdam, 5 stars ,a month ago,"One of the very few places in Amsterdam where you can order a draft beer or other alcoholic drink and smoke weed in a nice looking bar.
#420"
3,Barney's Uptown Amsterdam, 5 stars ,4 months ago,This place was fantastic! I had a wagu burger that was out of this world!!!! My wife had chicken nachos that were also fantastic we hang out and had some of the best drinks in Amsterdam! The best part is you can smoke also just not tobacco.
4,Barney's Uptown Amsterdam, 5 stars ,5 months ago,"Really nice restaurant. Had breakfast here, really nice food and very friendly service!"
5,Barney's Uptown Amsterdam, 4 stars ,4 months ago,"Always great if you can get a table. Great place to eat, drink, smoke and hang. No visit to Amsterdam is complete without coming here. Can be a touch on the pricey side but other than that top notch. 👌"
6,Barney's Uptown Amsterdam, 5 stars ,4 months ago,"Super friendly and trustworthy.
I spent several hours alone in the bar.
Left cell phone, laptop and luggage in the bar to go to the ATM, asking that the …"
7,Barney's Uptown Amsterdam, 4 stars ,3 weeks ago,One of the only bars in Amsterdam that you can smoke only canabis and you can also have an alcoholic cocktail. It would be nice if they had drink specials like happy hour or half off cocktails for the customers from the coffeshop across the street.
8,Barney's Uptown Amsterdam, 5 stars ,a year ago,As a novice and very occasional smoker I liked the extensive drinks offering which I was able to enjoy without feeling overwhelmed by the smells or smoke I have experienced at other coffee bars. …
9,Barney's Uptown Amsterdam, 5 stars ,4 months ago,"Right next door to the coffee shop of the same name is Barney's Uptown.

Here you can eat delicious food, or simply enjoy a drink and smoke comfortably. …"
10,Barney's Uptown Amsterdam, 5 stars ,a month ago,"At Barneys Uptown you can have it all! Great service, varied menu, smoking weed is allowed, and you can even order a beer or a cocktail. Highly recommend Barneys Uptown."
11,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"Always come here, as in sit here all day haha! My favourite place in Amsterdam. Staff are Amazing, the blue cheese & pineapple chunk from the coffee shop is also amazing! Hot chocolate is a must, as are chicken wings & fries. Irish breakfast was particularly good!"
12,Barney's Uptown Amsterdam, 5 stars ,a year ago,Love this place amazing staff good vibes decent food aswell so can't go wrong see you next time guys 😀
13,Barney's Uptown Amsterdam, 5 stars ,4 months ago,"Super coffee shop! Steven and the rest of the staff are very kind and welcoming. Prices are fine for an interesting menu. I realy liked it, and i hope you will too. I realy recommand it👍"
14,Barney's Uptown Amsterdam, 5 stars ,6 months ago,"Hey, we eated here our best burger ever! Never tryed one that was half so delicious like yours ""Wagu Burger""!!! We will come back for this!!! Awesome place also!"
15,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"Amazing vibe, DJ is top notch and service is great. Does not sell herb but there is a coffee shop from the same brand right in front. You can buy and smoke here, which is very nice"
16,Barney's Uptown Amsterdam, 5 stars ,6 months ago,They have some really good beer not gonna lie. And the people were super nice. Loved it 10/10 would drink and smoke again
17,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"Best breakfast I've found in the city centre. Extensive menu, very filling and the Staff were very exceptionally accommodating, even straining the bits from my orange juice!! Great burger menu and as part of the barneys chain, you can indulge in coffee after food or head acroos the road to the actual coffee shops"
18,Barney's Uptown Amsterdam, 5 stars ,2 months ago,"Even the toilets in this place are good! Atmosphere in uptown is amazing, get some laughing buddha from the coffee shop and bring it to the uptown. …"
19,Barney's Uptown Amsterdam, 5 stars ,3 years ago,"Good customer service. Friendly. A bit pricey.
Food was good though. I didn't eat the sausage didn't like the texture. Exchanged it for bacon! Lol loved the croissants! Smoked like 2 joints there (:"
20,Barney's Uptown Amsterdam, 5 stars ,3 years ago,"No doubt you'll have heard about barnies before this review

This place has 3 locations all next to eachother! The first night we wentnto …"
21,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"Best place to take your joint, have some burger, drink something nice, and watch something on TV. Really, a must go as a weed friendly hangout when in Centraal Station Area. Just arrived in AMS? Do this."
22,Barney's Uptown Amsterdam, 5 stars ,a month ago,"Great food, atmosphere and service was fantastic"
23,Barney's Uptown Amsterdam, 4 stars ,3 years ago,"Interesting coffeshop for us because u can have your great breakfast at the same time. But they have interesting staff, they were really rude when compared to other coffeeshops."
24,Barney's Uptown Amsterdam, 5 stars ,6 months ago,"Such a lovely place - great staff, amazing cappuccino and great music. Lovely friendly vibe - highly recommended!"
25,Barney's Uptown Amsterdam, 5 stars ,8 months ago,Amazing as always. The place the staff everything.. The burgers are delicious I love the fire burger 🍔 many years now but today I tried the wagyu one and it was out of this earth good.
26,Barney's Uptown Amsterdam, 5 stars ,2 years ago,We had a Nice breakfast. The service was a good and the place is cozy
27,Barney's Uptown Amsterdam, 5 stars ,8 months ago,"The cocktails are great and the athmosphere and staff were great.

The Mix of being served alcohol in a coffeeshop type place is unique to Barney's!"
28,Barney's Uptown Amsterdam, 5 stars ,6 months ago,One of the best Coffeeshops in Amsterdam!... The Burger was great and we enjoyed our time ✌️
29,Barney's Uptown Amsterdam, 5 stars ,4 months ago,Nice Irish breakfast atmosphere is brilliant will be back
30,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"Nice atmosphere and friendly staff.

Visited here a couple of times during our stay in Amsterdam and always greeted …"
31,Barney's Uptown Amsterdam, 5 stars ,5 months ago,Had a lovely breakfast in it.The staff are really nice
32,Barney's Uptown Amsterdam, 3 stars ,2 years ago,Mediocre drinks but a great and relaxed place to drink and smoke whatever you buy from Barney's Coffeeshop across the street.
33,Barney's Uptown Amsterdam, 5 stars ,a month ago,"Welcoming, attentive staff. Told us to sit back and take our time, so good to get off busy streets and cafes. A great place for breakfast, brunch, etc..."
34,Barney's Uptown Amsterdam, 5 stars ,3 years ago,"Nice cafe with food and alcoholic drinks, excellent service, always my first stop to smoke in Amsterdam!"
35,Barney's Uptown Amsterdam, 5 stars ,a year ago,"Thanks for everything ! We were so happy to meet that place. The two little ladies were so nice with us, it was a pleasure to discover Amsterdam by their sides and cocktails were so delicious too ! We are so thankful, we'll come back wery …"
36,Barney's Uptown Amsterdam, 5 stars ,6 months ago,Food and drink good and the staff couldn't be any better👊🏻👍
37,Barney's Uptown Amsterdam, 3 stars ,3 years ago,If you want to have a good breakfast while smoking a joint this is a good solution. This place is very esay to reach because is very close to Centraal Staion.
38,Barney's Uptown Amsterdam, 5 stars ,2 years ago,"You can have lunch, smoke cannabis, friendly, good atmosphere. Will come back eventualy."
