,Name,Review Rate,Review Time,Review Text
0,Basilico, 5 stars ,5 months ago,"I always order here. Love it, taste incredible & the workers are great. I do not give 5 stars that easily, nor am i doing it to get something back but this is well deserved"
1,Basilico, 5 stars ,a year ago,"Awesome tasty pizza, taste was spicy and pretty close to Indian taste. Loved it. The dough was very freshly prepared, in fact I saw the guy preparing it. Ingredients were also very fresh and in abundance. The staff was good and polite. I will definitely visit again."
2,Basilico, 5 stars ,8 months ago,"Lovely pizza. Nothing too fancy, but everything's simply great."
3,Basilico, 4 stars ,4 years ago,Nice food. Great service and fair prices
4,Basilico, 4 stars ,3 years ago,"Cheap prices, quite good pizza and pasta. Actually cooks the pasta al dente when asked. Service is a bit slow most of the times though."
5,Basilico, 4 stars ,2 years ago,"I like pizza and pasta here, but service sometimes is a bit slow."
6,Basilico, 3 stars ,4 years ago,"Decent place, friendly staff. We had pizza, it's really big and filled us."
7,Basilico, 5 stars ,2 years ago,"(Orijinal)
Great pizza. Would order again."
8,Basilico, 5 stars ,2 years ago,Really good calzones. Wine was good too.
9,Basilico, 4 stars ,4 years ago,Surpringly yummy pizzas! My takeaway spot in the hood :)
10,Basilico, 1 star ,3 years ago,It took them a hour to prepare pasta. Disgusting.
11,Basilico, 5 stars ,a year ago,Love the pizza and more
12,Basilico, 5 stars ,2 years ago,Such a great pasta!!!
13,Basilico, 5 stars ,9 months ago,Nice pizza
14,Basilico, 1 star ,3 months ago,"(Translated by Google) Pasta? Root? Onion? bolognese? True?
Cheese? This is not a bolognese, bag of knor is even better …"
15,Basilico, 1 star ,a month ago,"(Translated by Google) According to home delivery within 30 minutes, no food after 1 hour. Three times calling, three times voiceemail ... the food came but then I myself had made something ... …"
16,Basilico, 5 stars ,5 months ago,(Translated by Google) Due to my mistake the delivery was delivered to the wrong door. Very neatly handled by one of the employees and still received delicious pizza. Recommended! …
17,Basilico, 1 star ,a year ago,"(Translated by Google) If you call this pasta carbonara, then you have no knowledge of it. Nasty, congealed egg, little cream and pasta cooked through. And for the one who has 'prepared' it with short, wavy black hair, put on a hairnet so I …"
18,Basilico, 5 stars ,4 months ago,(Translated by Google) Best pizza in southeast. Thin yet deliciously crunchy. Recommended! …
19,Basilico, 1 star ,5 months ago,"(Translated by Google) Received nothing, but paid. When you call, it goes straight to voicemail. Never order here again! …"
20,Basilico, 1 star ,a year ago,(Translated by Google) Ordered pizza chicken shawarma. I did not taste the dried out chicken and the shoarma herbs. Almost no tomato sauce. Never eaten such a bad pizza chicken shawarma before. Pizza was also cold. 16.50 euros for paid real …
21,Basilico, 2 stars ,2 years ago,(Translated by Google) Have eaten here prior to the movie in the Pathé. It was a busy evening because there was also football in the ArenA. Service was somewhat chaotic and the orders took quite a long time. …
22,Basilico, 5 stars ,4 years ago,"(Translated by Google) Fantastic, my compliments for the customer-friendliness and service!
Called twenty minutes before closing time on Whit Monday asking if it would be …"
23,Basilico, 1 star ,a year ago,"(Translated by Google) I prefer to give - 10 stars. Ordered food yesterday. I get a call: 'yes, I can't find it. Come on out '. I indicate that you can enter through the main entrance. He just throws the phone on it. When he finally got …"
24,Basilico, 3 stars ,3 years ago,"(Translated by Google) The pizzas and bruchettas are to die for. The ministry, on the other hand, is worthless. You can't order a drink again because nobody cares about you when you have placed your first order, so we have eaten dessert …"
25,Basilico, 1 star ,8 months ago,(Translated by Google) 14:00 ordered pizza didn't get me pizza until 3.5 hours later !!! What a bad service! …
26,Basilico, 1 star ,3 years ago,(Translated by Google) Sorry but that pasta Bolognese is really impossible. It is sour and there is hardly any taste. The cheese is simply hard. Even with salt and pepper it is impossible to solve. I really want to get my money back but I …
27,Basilico, 3 stars ,2 years ago,"(Translated by Google) Pizza and burger was fine, but the tuna pasta was very spicy. Waitresses not very experienced, there is still some work to do. …"
28,Basilico, 5 stars ,2 years ago,(Translated by Google) I think there is a new owner and I am super satisfied with the customer friendliness and the delicious pizzas !!!!!! To be repeated. Thanks top guys !! …
29,Basilico, 4 stars ,11 months ago,"(Translated by Google) Very tasty pasta and a large portion, average prices for pasta in Amsterdam. …"
30,Basilico, 5 stars ,a year ago,"(Translated by Google) Great pasta and pizza. Delivered within 20 minutes, highly recommended !!! …"
31,Basilico, 5 stars ,2 years ago,"(Translated by Google) Delicious food, super cheap, nice staff. Many types of pizzas and pastas. …"
32,Basilico, 5 stars ,2 years ago,"(Translated by Google) Delicious eaten. For example, a pizza should be super thin.
Eyes closed and you are in Italy. …"
33,Basilico, 5 stars ,3 years ago,(Translated by Google) Always tasty pastas. Freshly prepared and waiting time is always very bad. Definitely worth a stop. …
34,Basilico, 4 stars ,3 years ago,(Translated by Google) Super tasty thin pizzas for a relatively low price. We come back. …
35,Basilico, 4 stars ,9 months ago,"(Translated by Google) Friendly staff terrace outside and inside nice coffee

(Original) …"
36,Basilico, 5 stars ,2 years ago,"(Translated by Google) Tasty pizzas, also for a good low price !!!!! € 6.95

(Original) …"
37,Basilico, 5 stars ,a year ago,"(Translated by Google) Very tasty pizzas 😋

(Original)
Çok lezzetli  pizzalar 😋"
38,Basilico, 5 stars ,a year ago,"(Translated by Google) Very tasty food and nice and quickly warm at home

(Original) …"
39,Basilico, 5 stars ,2 years ago,"(Translated by Google) Zaligg those pizzas definitely recommended !!

(Original) …"
