,Name,Review Rate,Review Time,Review Text
0,Betty Blue, 5 stars ,3 months ago,"Great place to have breakfast/brunch/lunch. The food is prepared at the moment, so if you are going at peak hours, you can expect quite a long waiting time (30 mins), but it's totally worth the wait! …"
1,Betty Blue, 5 stars ,3 months ago,"Yummy breakfast food, real American pancakes and great crispy bacon."
2,Betty Blue, 5 stars ,5 months ago,"Very nice place for nice breakfasts all day.
Waitresses are super nice and the food is amazing.
Normal prices."
3,Betty Blue, 5 stars ,5 months ago,"Great place fir a casual lunch with terrific food
Nice people serving
And excellent dim sum"
4,Betty Blue, 3 stars ,5 months ago,"Nice and spacious (rare in Amsterdam) interior and outdoor seating. Coffee and food wasn't great for the price, I'd come back for a drink. Not open during evenings though, like many of these places. There's a lot of cakes, didn't try as I prefer savory. Friendly but somewhat chaotic service."
5,Betty Blue, 5 stars ,a month ago,"Great food, friendly staff and nice ambience! I can’t eat bread (gluten intolerant) and they let me substitute potato wedges for the bread (€1,50) with the scrambled egg breakfast. Loved the breakfast and the fact that it came with greens! Wish I took a pic of the plate, but was pretty hungry and started eating right away :)"
6,Betty Blue, 1 star ,3 weeks ago,"What a joke 🤨
20 min to get a cold coffee
Another 15 min to get a slice of cake we ordered the same time as the coffee... …"
7,Betty Blue, 4 stars ,3 months ago,"We had a great lunch. Only 4 stars because service was very slow, and kind of ectic : people who arrived way lomater after us were served what we ordered 20 minutes before us.
Nonetheless waiters were nice"
8,Betty Blue, 4 stars ,3 years ago,"A nice spot for a decent brunch. The menu is not extensive, but is is varied with some delicious sounding dishes. I opted for the chicken and waffles, and while it’s a bit different from what I get at home, it was not disappointing. The service was fast and the staff was super friendly. Check out this place if you’re in the area."
9,Betty Blue, 5 stars ,4 months ago,Great breakfast. Fantastic pancakes. Freshly squeezed juices. 👍🏻
10,Betty Blue, 2 stars ,2 years ago,Staffs were really slow to come take our orders and they forgot that we wanted to pay and leave so we had to wait even after we finished everything on the table. We had layered pancakes which was really just normal pancakes and the Mexican …
11,Betty Blue, 5 stars ,5 months ago,"My favorite restaurant in Amsterdam.
Great food, great atmosphere and very nice staff."
12,Betty Blue, 5 stars ,4 years ago,We had a lovely brunch here. The staff are lovely and professional. The food was delicious and the coffee was excellent. The only criticism is that they use unnecessary plastic stirrers in some drinks.
13,Betty Blue, 5 stars ,6 months ago,This is my first time at this place and i must to say its really cool and pretty café! The waitress are smiling and the atmosphere is comfy and the menu is ideal. Cakes are deliscious and the bettys bacon toast is great too! Love this place
14,Betty Blue, 5 stars ,2 months ago,The best Burger place in Amsterdam
15,Betty Blue, 4 stars ,2 years ago,"Glad we found this place. Good atmosphere, clearly very popular. We really enjoyed our food and would recommend it as a place to visit for brunch / lunch. I had a crispy tortilla with Mexican accomplishments and it was really tasty. Chai latte also very good."
16,Betty Blue, 5 stars ,5 months ago,This was a breath of fresh air! Food was fresh and super delicious. But the service was really the star. The staff was so friendly and attentive. PS: order the huevos mexicanos!
17,Betty Blue, 3 stars ,5 months ago,"Friendly staff, unfortunately the bacon sandwich was very mediocre."
