,Name,Review Rate,Review Time,Review Text
0,Beulings, 5 stars ,7 months ago,One of the best meals I've ever had.  Beautiful intimate atmosphere.  A dinner that seemed to have Neverending courses.  Everything was perfect.
1,Beulings, 5 stars ,a week ago,"Beulings is an outstanding and unique small restaurant of only seven tables. The chef is producing highly creative dishes, often ‘fusion’, truly superb in flavors,  perfect cuisson of deer, deep sauces, delightful desserts. I’d give them …"
2,Beulings, 2 stars ,a month ago,"I really wanted to like Beulings. It’s intimate setting, reviews and prices set high expectations. Unfortunately, the reality was less than what I expected, having experienced other fine dinning restaurants in the same price bracket. …"
3,Beulings, 5 stars ,7 months ago,"We’ve had one of the most amazing and special dining experiences here. The food is delicious and beautifully presented, wine pairing is spot on, and people working here make sure you have the best evening. We’ve been to a number of …"
4,Beulings, 5 stars ,2 years ago,Unbelievable experience. We went in with a plan of the 5 course and transitioned into the 7 course dinner. They also brought numerous transition plates in between the courses. The portions were just right. I also encourage the wine pairing …
5,Beulings, 5 stars ,7 months ago,"Absolutely fantastic food and wine, and super nice homey atmosphere. They serve many small dishes so I advice that you come hungry! Also all the small details, such as the very beautiful serving plates and delicate wine glasses added to the …"
6,Beulings, 5 stars ,3 years ago,"This place is fabulous, great service, lovely staff - amazing experience- 6 stars!! But only 5 available ;) I have decided to add tom this review because it wasnt the best review. The location was tucked away on a bacj street - as are most …"
7,Beulings, 5 stars ,2 years ago,"Visiting this gem now for many years! And by far this is my favourite place to go for a celebration and food experience. Lemon pie with olive ice cream, octopus, great wine and service! Perfect!"
8,Beulings, 4 stars ,4 months ago,Nice ambience and service. Anyhow the food menu needs more work to make it special. The kitchen should have a better ventilation system.
9,Beulings, 5 stars ,3 weeks ago,Amazing place offering awesome food even though the covid times. Menu changes every week. Food is nicely packaged and tastes like something out of this world. We love it
10,Beulings, 3 stars ,2 years ago,"Nice place, intimate art-decoish furniture, amazing service (best I ever had). 2 stars off for the food and time. The food was probably too weird tasting...shrimp with the shrimps liver made into a paste, one of the amuse bouche was …"
11,Beulings, 5 stars ,5 months ago,"Fantastic hidden gem with great food, service and atmosphere. Wine pairing was extraordinary"
12,Beulings, 5 stars ,2 years ago,great food prepped by chefs! great teamwork to. Food is very fusion and fresh. :)
13,Beulings, 5 stars ,3 years ago,"Hidden gem, i am definitely coming back! Loved every single dish. :)"
14,Beulings, 5 stars ,3 weeks ago,Beulings has definitely become an amazing addition to the list of favorite restaurants for fine dining in Amsterdam. We truly enjoyed both delicious and inventive food and great and friendly staff with an outstanding attitude towards …
15,Beulings, 5 stars ,2 years ago,The service and the food where extraordinary! Specially loved the wine pairing. Totally recommend
16,Beulings, 5 stars ,2 years ago,"Incredible meal. Intimate, warm, inviting. Staff was so kind and friendly, just attentive enough. Tasting menu was divine, unique, fresh, inspired. Local elements and complexity, everything had a purpose. Flavors danced! Best meal in Amsterdam and definitely overall in awhile."
17,Beulings, 3 stars ,2 years ago,"We’ve chosen the restaurant to celebrate an event. The wines were great! The service was great! The food, though, was too ‘modern’ from my point of view. For example, for the lamb dish I’ve expected lamb meat taste and/or flavor, but …"
18,Beulings, 5 stars ,a year ago,"Very impressed by this marvellous and cosy place!
This young and warm-hearted team gives every Gast the feeling being at home.
Amazing quality of food, we enjoyed every bite, delicious. …"
19,Beulings, 5 stars ,2 years ago,Absolutely outstanding.  This is good for people who want a nice long evening tasting amazing flavours and wines.  Dont come if you are in a rush.  This is a about enjoying life.   Staff is delightful.  Wine pairing is impressive.
20,Beulings, 3 stars ,a year ago,"Food is good but not surprising as you should expect in a place like this. Unfortunately this wasn't the case, especially shocking was a kind of tribute to Dutch land with potatoes with clay. One of them quite dissapointing due to the lack …"
21,Beulings, 5 stars ,2 years ago,"Been here two times already, and I know I will be back at some point. The first time, it was a happy random recommendation from a friend, and the second was for an anniversary with my partner, not long after. …"
22,Beulings, 5 stars ,3 years ago,What a gem. Such tasty food! The wine pairing is recommended. Absolutely worth a visit. The place is smack down town in one of the many quiet little side streets. Well balanced and inventive thought out menu that keeps surprising you. Enjoy!
23,Beulings, 5 stars ,2 years ago,Absolutely amazing restaurant and a true hidden gem in Amsterdam! 2 star quality. Reservation is a must though. Will absolutely come back. Tip: do take the wine pairing menu!
24,Beulings, 5 stars ,5 years ago,"Outstanding! Where do I begin, the food was exceptional, beautiful flavours wonderfully blended together, the chef has a clear passion and love for what he does. Each course was accompanied with a wonderful selection of wines and staff extremely knowledgable. Can't rate this place enough, this little gem is a must visit."
25,Beulings, 5 stars ,3 years ago,"Have lived in Amsterdam for a year and three months now and Beulings is our best dining experience to date! Service was excellent. Each course was presented and described with intent, not just hastily memorized and read out loud. We opted …"
26,Beulings, 5 stars ,2 years ago,"Amazing place. Great food, lovely people. The staff was more than happy explaining what they were keeping in all the mason jars on the walls (homemade sauces, zuurkool, and even wine and beer)"
27,Beulings, 5 stars ,2 years ago,Absolutely one of the best places 1 have ever been. Every meal was delicious and combined really well with the wines (go for the wine pairing!). Many delicious bites before and in between. Will be back for sure!
28,Beulings, 5 stars ,3 years ago,Probably one of the best meals I have had recently including several michelin starred restaurants. The course menu was truly amazing and super tasty. I really loved everything from their home made bread to all the way to dessert. The wine …
29,Beulings, 5 stars ,2 years ago,"After you took place, the waitress tells you what's on the daily changing menu. It's possible to order single courses but it's recommended to go for the 3 up to 7 course menu. With all the amuses the 4 course is enough, unless you're very …"
30,Beulings, 5 stars ,3 years ago,"Excellent. Cozy place, nice tasting menu, really quite inexpensive"
31,Beulings, 5 stars ,2 years ago,"2nd time back, the rating remains 5 stars! Great, creative food. The wine pairing was fun and a bit surprising at times (in a good way). I highly recommend."
32,Beulings, 5 stars ,a year ago,"One of the best meals I’ve ever had. The owners are warm and friendly, the service is exceptional and the ambience is cozy and inviting."
33,Beulings, 5 stars ,4 years ago,"We had a wonderful evening at Beulings, much much better in fact that at several Michelin-starred restaurants we've been to recently in New York or Paris. Beulings is the perfect definition of a hidden gem waiting to be discovered! It was …"
34,Beulings, 3 stars ,4 months ago,"Wine is perfect, food hummmm so so"
35,Beulings, 4 stars ,2 years ago,"The food is good, nothing special. If you don’t have any idea to spend 3-4 hours of your evening. Come here and spend it to waiting for your dish... Finaly: cost is that price? - defiantly. Cost it time to wait so long? - nope"
36,Beulings, 5 stars ,7 years ago,"My second time to this hidden delight of a restaurant located just outside of the tourist spot, yet again you didn't disappoint me = great flavour combinations and the best service. Perfect wine accompanied with the dishes hence my top score, see you on my next visit - Alex"
37,Beulings, 5 stars ,7 years ago,the food is outstanding and really surprising! they should have a Michelin star but the staff is definitely not wearing a strapon or is being formal but it is definately decadent . service is the best and authentic  like no where else to be …
38,Beulings, 5 stars ,2 years ago,"Nice little gem of a place. Food is excellent, service was attentive and genuine and the half glass wine pairing divine. Really recommended."
39,Beulings, 5 stars ,4 months ago,If i could give 10 stars i would. Hidden gem in Amsterdam
40,Beulings, 5 stars ,4 years ago,"Beulings restaurant is a true culinary experience. D’hote menu was build up in five savoury courses and was expanded with a cheese plate and dessert. The beautifully created dishes, the great variety of special wines and elegantly poured …"
