,Name,Review Rate,Review Time,Review Text
0,Biblos Bar, 5 stars ,4 months ago,"They really go an extra mile during the Halloween on deco and ambiance. Drinks fairly priced and friendly staff. Clean.
No a place to ""sit""."
1,Biblos Bar, 4 stars ,2 years ago,"Small bar with a lot of character. Played a lot of hit songs from America, I'm sure the karaoke night they host on Monday nights would be a great time with some friends! Just came here for drinks, bartenders had a lot of humorous personalities"
2,Biblos Bar, 5 stars ,3 years ago,"Really cool place to visit. The bartenders are very friendly and nice. Good choice of music, it was not too crowd for that moment, but still nice .Highly  Recomending!"
3,Biblos Bar, 4 stars ,2 years ago,It's a super fun place to hang.  The night I was there they had a very fun karaoke night going on
4,Biblos Bar, 5 stars ,8 months ago,"We thoroughly enjoyed our time at Biblis. Great people, cold beer and plenty of screens.  Bedankt!"
5,Biblos Bar, 5 stars ,3 years ago,For me it was the best bar experience in Amsterdam. The bar closes 3am (2hour after all bars in red district are closed) and you are served by the most friendly bar staff I could meet in Amsterdam. I love it and I recommend it 100%!!!
6,Biblos Bar, 5 stars ,3 years ago,"Fun traditional brown bar. Later during the night there will be people dancing. Good shots, very nice staff and good prices."
7,Biblos Bar, 4 stars ,4 years ago,"Lovely pub ,near to our hostel!!An excellent variety of beers and good music"
8,Biblos Bar, 4 stars ,5 months ago,Great mood
9,Biblos Bar, 4 stars ,6 months ago,Not so cheap eventually.
10,Biblos Bar, 4 stars ,2 years ago,Great bar staff good prices
11,Biblos Bar, 5 stars ,2 years ago,Nice bar with friendly staff
12,Biblos Bar, 5 stars ,5 months ago,Wow
13,Biblos Bar, 4 stars ,3 years ago,Cozy little place with beer 🍺
14,Biblos Bar, 5 stars ,3 years ago,"Great music, great place"
15,Biblos Bar, 1 star ,4 years ago,"No matter what, you don't push a girl."
16,Biblos Bar, 2 stars ,3 years ago,"Only out on making money, bad experience"
17,Biblos Bar, 1 star ,3 years ago,This is the shitiest place in Amsterdam
18,Biblos Bar, 1 star ,3 years ago,Super sticky flloor
19,Biblos Bar, 5 stars ,3 years ago,Great fun...
20,Biblos Bar, 4 stars ,6 months ago,"(Translated by Google) Actually really nice, except that you have to sit right now because of corona …"
