,Name,Review Rate,Review Time,Review Text
0,Biladi, 5 stars ,2 years ago,"Marrocon food on his best, friendly staff, valeu for money"
1,Biladi, 5 stars ,6 months ago,"Love this place! The food is great — the lamb tagine was so tender — the atmosphere is wonderful and the staff, especially the waiter, is so kind. I felt so at home there and would really love to come again the next time I'm in Amsterdam."
2,Biladi, 5 stars ,2 years ago,A hidden gem in the neighborhood of old west Amsterdam. Stumbled by mistake when we were looking for a place to eat quite late at night as most of the other places that is not kebab related was already closed. …
3,Biladi, 4 stars ,3 years ago,"If it were possible to give 3.5 stars, that would be my rating. Portions were good, prices not too steep and the customer service super friendly - one of this place's stronger points. Unfortunately as far as flavour goes the tagine dish is …"
4,Biladi, 5 stars ,4 months ago,"Tajin and couscous was like home made very delicious and healthy Moroccan food in Amsterdam
Cozy atmosphere, nice Moroccan decoration!"
5,Biladi, 4 stars ,5 months ago,Really tasty authentic Morroccan food. Their lentil soup and raisin couscous are to die for!
6,Biladi, 5 stars ,6 months ago,Their Harira soup reminds me about my trips in Morocco. Try it - it’s delicious and the rest of the menu also.
7,Biladi, 5 stars ,8 months ago,Really tasty food and nice staff. So far one of the two best moroccan places in Amsterdam. Definitely recommend!
8,Biladi, 4 stars ,4 years ago,"Nice, small, Moroccan restaurant in non-assuming sphere. The food was great and portions more than reasonable. If you know Morocco, you will expect more heavily spiced dishes, which might make them the more accessible. I would have liked them with a little more ""bang"", but I was the only one who felt that way."
9,Biladi, 5 stars ,3 years ago,"A true gem in the middle of Amsterdam West. It is very hard to find in this city an inexpensive restaurant that offers great food , and this is without a doubt one of them. The food is marvellous (meat, fish, salads, anything!) and the …"
10,Biladi, 5 stars ,2 years ago,I walked 2.6 miles (little less than 5k) for this restraunt because it was the closest place selling coucous; it was completely worth the hour long walk. This is by far the best meal I've had in Europe and the service is good. My …
11,Biladi, 1 star ,3 years ago,"Indeed, too bland. Quite not authentic. I ordered 2 chicken tajines. The chicken was kind of added later so no flavor in it, only boiled. The potatoes were not inside the tajine, but they were fried (!!!) and aside the dish (Dutch way?). …"
12,Biladi, 5 stars ,3 years ago,Super friendly folks working in this place. The food was really nice. Only downside was that the outside table is in the shade and the weather was windy. But that doesn't make the food less good :)
