,Name,Review Rate,Review Time,Review Text
0,Bloemenbar, 1 star ,6 months ago,"Non-inclusive bar. One side crowd and if you don't fit in from gender or age you will be escorted outside with the knowledge that it is a 'private party', yeah right. Bar visitors even come to you and say that you don't belong there."
1,Bloemenbar, 4 stars ,2 years ago,"A small dark place with a charisma of its own, the place is slightly Gothic style and give a vibe of being really dark (Metaphorically). The beer is good and the seating is unique. It is next to couple of very nice places but this gives them run for their money. I will recommend this place if you are around."
2,Bloemenbar, 5 stars ,3 years ago,Cracking night club that is packed for a good night out. Close to Dam square it had two bars that serve a variety of drinks. The staff are nice and cordial and the crowd is quite good. The music depends on the day you go and they have a …
3,Bloemenbar, 5 stars ,3 years ago,Great decor and nice location with live crowd!
4,Bloemenbar, 4 stars ,3 years ago,"The unofficial bar of my work team 😆

I quite like this place, super cool decoration, great vibes, and there's always …"
5,Bloemenbar, 5 stars ,2 years ago,"Really lovely place, great atmosphere and aesthetic,"
6,Bloemenbar, 5 stars ,3 years ago,A nice bar in downtown Amsterdam that had a pretty cool vibe to it. The music was pretty interesting but it wasn't my favourite. The drinks were priced reasonably. It was very very packed though and it is quite a small place. Give it a visit.
7,Bloemenbar, 4 stars ,4 years ago,Great late night bar open till 4am. Great vibe with reasonable priced drinks for Amsterdam. Tiny smoking room but the street outside is busy human traffic atmosphere. 9/10 Late night drink
8,Bloemenbar, 4 stars ,3 years ago,Bloemenbar at some point must have been one of the most popular late night establishments in Amsterdam. It's a has steady following patrons visiting well after 1 o'clock. Consisting for the better part of art students and other creative …
9,Bloemenbar, 1 star ,3 years ago,"I was in Bloemenbar a couple of weeks ago with two friends. There was a very dodgy atmosphere. We didn't feel our drinks were safe enough to drink, so we left."
10,Bloemenbar, 5 stars ,2 years ago,"Really nice people working there, groovy music, dancing space, normal prices... Such a good time!"
11,Bloemenbar, 2 stars ,2 years ago,"Great looking place, nice chilled crowd, shame about the rude bartender who didn't seem to even want my friends and I there. Don't recommend."
12,Bloemenbar, 5 stars ,3 years ago,"I like the funky atmosphere in here!
Giant disco ball hanging in the air, great music blasting through the speakers and interesting people moving around this place."
13,Bloemenbar, 1 star ,4 years ago,"We enter the bar, or at least one person from our small group does, when a bouncer comes out of nowhere (he was chatting with someone, steps away from the door) and starts spatting about “barging in” without saying hello to him in an …"
14,Bloemenbar, 5 stars ,2 years ago,"Always nice people, open every day until 3am. Weekend 4am. Great place for late drunk night."
15,Bloemenbar, 4 stars ,2 years ago,"A nice bar with a dancefloor. The music was good, and the vibe was very chilled. The bar service was friendly and efficient."
16,Bloemenbar, 4 stars ,3 years ago,"Great location, nice decor. Music varies quite a bit depending on the evening. Tends to get over crowded during the weekends."
17,Bloemenbar, 4 stars ,2 years ago,"Plays Great club and dance music, nice bar, great staff and good crowd control measures in place."
18,Bloemenbar, 5 stars ,2 years ago,Great place to meet your future boyfriend! Dj played my playlist all night long
19,Bloemenbar, 5 stars ,5 years ago,Excellent vibe. Good tunes. Nice looking people. Super relaxed atmosphere. You must check it out!
20,Bloemenbar, 5 stars ,3 years ago,Lovely bar with an bohemian interior decoration. Only good vibes in tune selection too.
21,Bloemenbar, 3 stars ,5 years ago,Nice bar in the center of Amsterdam in weekends gets too busy after 12:00 a.m. so it's a good idea to get there early
22,Bloemenbar, 4 stars ,3 years ago,Nice bar! If you go don’t forget to checkout the ceiling 🙃
23,Bloemenbar, 5 stars ,3 years ago,The perfect bar for Ajax games. Was brought there as an expat by a local colleague and loved the vibe.
24,Bloemenbar, 5 stars ,3 years ago,Great bar to meet friends for a night out. Great music and a good atmosphere
25,Bloemenbar, 3 stars ,2 years ago,"You can have a good time here, but it might also be too busy or too empty"
26,Bloemenbar, 5 stars ,8 months ago,Amazing place. Great staff.
27,Bloemenbar, 5 stars ,2 years ago,A bit of a dark place but nice service. Cheap bier
28,Bloemenbar, 3 stars ,2 years ago,"Weird set list, but great time dancing with friends!"
29,Bloemenbar, 4 stars ,5 years ago,"great music, a dancefloor to dance on, and a good vibe. only one beer on tap though"
30,Bloemenbar, 4 stars ,5 years ago,"Very cool place! If you come to Amsterdam as a tourist, definitely check this out!"
31,Bloemenbar, 5 stars ,3 years ago,Fun dive bar that's open extremely late and fun of cool locals.
32,Bloemenbar, 5 stars ,2 years ago,"Great music, nice place to trip"
33,Bloemenbar, 4 stars ,2 years ago,Cool place to have a drink and dance!
34,Bloemenbar, 3 stars ,3 years ago,Nice disco music
35,Bloemenbar, 4 stars ,5 years ago,"The one place which guarantees a good night out, whatever day you stop by."
36,Bloemenbar, 4 stars ,3 years ago,Never a bad choice to get some drinks
37,Bloemenbar, 2 stars ,2 years ago,I was there on a sunday night and it was empty and expensive.
38,Bloemenbar, 5 stars ,6 months ago,🍻👍
39,Bloemenbar, 1 star ,3 years ago,"Boring, not many people and bad music"
40,Bloemenbar, 3 stars ,4 years ago,"Ok, but due to reconstruction less fun than it used to be."
41,Bloemenbar, 4 stars ,5 years ago,Good for late night drinks
42,Bloemenbar, 5 stars ,a year ago,Place to be see you soon again and again lol
43,Bloemenbar, 5 stars ,3 years ago,Good crew and atmosphere!
44,Bloemenbar, 5 stars ,2 years ago,Nice best place in Amsterdam
45,Bloemenbar, 4 stars ,3 years ago,Nice location and decor
46,Bloemenbar, 5 stars ,4 years ago,Most epic experience ever
47,Bloemenbar, 4 stars ,3 years ago,"A place for drinking, dancing and chilling."
48,Bloemenbar, 5 stars ,3 years ago,Good pub
49,Bloemenbar, 5 stars ,2 years ago,The best
50,Bloemenbar, 5 stars ,4 years ago,Nic bar
51,Bloemenbar, 3 stars ,2 years ago,Regular after party
52,Bloemenbar, 3 stars ,4 years ago,Not enough flowers.
53,Bloemenbar, 5 stars ,a year ago,Cool people
54,Bloemenbar, 4 stars ,2 years ago,Garito
55,Bloemenbar, 3 stars ,4 years ago,Not enough flowers.
56,Bloemenbar, 3 stars ,3 years ago,Very loud.
57,Bloemenbar, 5 stars ,2 years ago,Top
58,Bloemenbar, 5 stars ,2 years ago,Good
59,Bloemenbar, 5 stars ,4 years ago,Good!
