,Name,Review Rate,Review Time,Review Text
0,Bluebird Coffeeshop, 5 stars ,6 months ago,"Very friendly staff. I felt like home.
Location was amazing with a room with sofas where smoke your joint in chill."
1,Bluebird Coffeeshop, 5 stars ,6 months ago,"Best poverty to relaxe and enjoy the evening! Maybe to always the best strains, but always the. Eat place to hang out! Very friendly staff with love for their job! Nice music and enough space to chill! Make sure to check out the specials! Nice prices and perfect stuff!"
2,Bluebird Coffeeshop, 5 stars ,6 months ago,"So far I'd say this is my favorite coffeeshop I've visited here in Amsterdam. The staff were lovely, the atmosphere was perfect, the prices and quality of the flower was great, and I even liked the music (which has been a rare experience …"
3,Bluebird Coffeeshop, 4 stars ,5 months ago,"At this place I tried the ""Volcano Vaporizer"" for the first time. An interesting experience. …"
4,Bluebird Coffeeshop, 5 stars ,5 months ago,"Absolutely love this place, I visit every year, the staff are wonderful and don't care for employing people that aren't friendly and caring. It's always a pleasure, I'd love for them to have more space for more people by purchasing a second …"
5,Bluebird Coffeeshop, 5 stars ,5 months ago,"Lovely coffeeshop with lots of inside space to enjoy a stay. The staff was always friendly and helped with everything that was needed (papes, filters, tobacco substitution). Important to note that smoking with tobacco inside is prohibited …"
6,Bluebird Coffeeshop, 5 stars ,3 weeks ago,"insanely good hash and helpful staff, this is the best place if you're looking for very high quality hash at a fair price"
7,Bluebird Coffeeshop, 5 stars ,2 years ago,"One of my favourites. Super friendly staff, great music, fair prices and an extensive selection. They also have an area dedicated to tobacco which is super handy. They dont have a silly ""have to buy a drink too"" policy that alot of coffeeshops have. Couldn't ask for more. Theres also a very nice view on the top floor"
8,Bluebird Coffeeshop, 4 stars ,2 years ago,"Wonderful place for coffee and great view.
Staff are also cheerful and greet you with smiles. …"
9,Bluebird Coffeeshop, 5 stars ,6 months ago,"One of my favourite coffeeshops in the city. Welcoming and polite staff, good selection with teas and coffees. A nice place to be."
10,Bluebird Coffeeshop, 5 stars ,a year ago,"Beautiful coffeeshop with indoor & outdoor seating, wide range of products, decent prices, delicious coffee and great staff.Bring some id otherwise, security won't let you in."
11,Bluebird Coffeeshop, 2 stars ,3 years ago,"The bluebird was recommended by many friends. Unfortunately it was rather a bitter disappointment. I ate 1.5 space muffins and it didn't have any effect. My friend experienced the same the other day. Nevertheless, you can buy other stuff there and it's a location with culture and character."
12,Bluebird Coffeeshop, 5 stars ,3 years ago,"Was off the beaten track,  more of a chilled vibe..  Lovely cappuccinos, lovely weed, especially the ''blue cookie''...
Friendly staff, not moody like alot of other cafes in the more frequently used areas (understandably).."
13,Bluebird Coffeeshop, 5 stars ,6 months ago,"Their muffins are for rather 4 than 2 people, take care
But their pre roll is amazing for €4!"
14,Bluebird Coffeeshop, 5 stars ,5 months ago,This Coffeeshop is amazing.  We feel at home with our friends.  Comfortable on rainy days!
15,Bluebird Coffeeshop, 3 stars ,4 years ago,The coffee beans that they use are off great quality.  The drinks were prepared properly and were a perfect temperature to enjoy. The staff was a little bit annoying and were very hard to read and understand.  This coffee shop is conveniently located close to the Rembrandt house.
16,Bluebird Coffeeshop, 5 stars ,a month ago,"Friendly staff, really went the extra mile to help us out!"
17,Bluebird Coffeeshop, 3 stars ,2 years ago,"A great Coffeeshop with interesting decor, good herb & great lattes! It’s a good spot to chill with the volcano! :)"
18,Bluebird Coffeeshop, 4 stars ,4 months ago,It was nice to be there but staff was bit rude due to covid situation.
19,Bluebird Coffeeshop, 4 stars ,2 months ago,"Some good indicia there.
Nice staff."
20,Bluebird Coffeeshop, 5 stars ,a year ago,"Great place with very professional and kind staff. They have a lot of different strains as well as many edibles. You can smoke on site or use one of stationary Volcanos with small, refundable deposit. Great place to have a coffee as well :)"
21,Bluebird Coffeeshop, 5 stars ,3 years ago,"Best coffeeshop that I've been to, at list on this trip to Ams.
The stuff is friendly and have a lot of knowledge. The prices are low and the food is tasty. I will come back 4 sure!"
22,Bluebird Coffeeshop, 5 stars ,6 months ago,"Amazing place! Good and strong stuff, nice music."
23,Bluebird Coffeeshop, 5 stars ,3 years ago,Recently refurbished and looking fresh. Always have to visit Bluebirds everytime in Amsterdam. Best choice for a chilled atmosphere and great music
24,Bluebird Coffeeshop, 5 stars ,2 years ago,Highly recommend for first-timer! The staff here are very helpful. They will give you clear instructions of how much you should take the product. I had half of a space cake and 2 hours later it hit me so strong! Good experience and good feelings.
25,Bluebird Coffeeshop, 5 stars ,2 years ago,We came with a tour group a couple of weeks back. One of the party experienced his first whitey in 30 years. The staff were awesome. Genuinely caring and sound help to get him back on his feet with good advice and some blood sugar enhancement! Thanks guys!
26,Bluebird Coffeeshop, 4 stars ,3 years ago,Nice joint with all that you need... staff were very helpful in explaining what to try if you are a beginner 😋
27,Bluebird Coffeeshop, 5 stars ,7 months ago,"Wow, best Shop to chill, good price/quality, buy a lot when you are here!"
28,Bluebird Coffeeshop, 5 stars ,2 years ago,"Great place, convenient location too. The guy that works behind the counter selling the weed is super helpful, the girl working the coffee section seemed pretty annoyed with everyone though. Great pre-rolled joints at a fair price, and the smoking room is really chill. Open windows help to air the place out. I would reccomend!"
29,Bluebird Coffeeshop, 5 stars ,3 years ago,Good weed and vibes here. Came here when I first landed and got me some good dank a coffee and met a couple friends ! …
30,Bluebird Coffeeshop, 4 stars ,3 years ago,"Nice weed there. Pretty good deals too, you can get 4.2g of Super Skunk for 35€. Relatively big chill Area where you can roll up your joints. Tobacco use is no problem just don't let your cigs/tobacco laying around."
31,Bluebird Coffeeshop, 5 stars ,2 years ago,I am not a smoker and this is one of the only coffee shop I can stay in without suffocating from the smoke. The real extra for me was that I got to enjoy Latin rhythms of Company Segundo. Finally some good music in a coffee.
32,Bluebird Coffeeshop, 4 stars ,4 years ago,"The place is great and the atmosphere is dope. The music is about as decent as it gets and the staff is friendly. Didn't get a chance to look at their weed menu,only got drinks there, which were fine.  Would give dice stars if the place …"
33,Bluebird Coffeeshop, 5 stars ,2 years ago,"Great place, to hang out at all times of the day. Really good price's. Silver Hybrid pure rolled were pretty cool, I had 5 😘 Been back 4 times. Def visit again. Thank you Bluebird staff 🐦 💙"
34,Bluebird Coffeeshop, 5 stars ,3 years ago,A nice and cozy place! The staff if very kind and helpful. You can get prerolled joints with or without tobacco and buy a wide variety of products. I highly recommend for first timers or regulars!
35,Bluebird Coffeeshop, 5 stars ,4 years ago,"Good weed at a good price. Smoking room was cosy in size but enough room to sit and drink comfortably. Free WiFi always a bonus. Drinks are a similar price to other herbal venues. We chose this place over most because of the friendly staff, seating availability, and unique atmosphere."
36,Bluebird Coffeeshop, 5 stars ,5 years ago,The best darn 'Coffee' in Amsterdam served with drinks and snacks in a relaxing environment with good tunes.
37,Bluebird Coffeeshop, 5 stars ,3 years ago,Lovely place. Really enjoyed the atmosphere of the cafe. The location had volcanos for anyone to use if they wanted to leave a 10 pound deposit. Really reasonable prices with a variety of strains offering good qualitys for price.
38,Bluebird Coffeeshop, 5 stars ,2 years ago,Great spot! Great coffee. Great weed at decent prices. Pleasant staff. Good music. Chill vibes. Hard to go wrong here! One of my favorite coffee shops.
39,Bluebird Coffeeshop, 5 stars ,2 years ago,"Since 1982, one of the top oldest coffeeshops on Amsterdam..If you haven't been there ( and you like to smoke ur green), then you sort of missed-out on something....no worries,next year try again...great list, used to be a big binder with …"
40,Bluebird Coffeeshop, 5 stars ,4 months ago,"Nice weed, chill place."
41,Bluebird Coffeeshop, 5 stars ,a month ago,Amazing staff and place to be
42,Bluebird Coffeeshop, 5 stars ,a year ago,Great place to get high quality bud. Nice staff and chill smoking lounge. Also has tables outside
43,Bluebird Coffeeshop, 5 stars ,6 years ago,"Easy to find even if you just arrived. Incredibly good selection (even if you've been smoking since '75!), helpful in multiple languages, Really good Smoothies and fresh orange juice too. Nice view, helpful budtenders, great place to have a …"
44,Bluebird Coffeeshop, 5 stars ,3 years ago,"Every one can find his place there. 1° floor pure only and 2° floor tobacco allowed =)
Nice and various music all the time. …"
45,Bluebird Coffeeshop, 5 stars ,2 years ago,"Great place, knowledgeable staff. Great tea and hot chocolate. Its wasn't as busy as the other cafes around which suited us. Still has quality stuff. Hope to return in the future"
46,Bluebird Coffeeshop, 1 star ,3 years ago,The man was extremely rude and unprofessional to my friends. It killed the vibes. He should honestly be fired. What a terrible way to run a business. Everything about the way he spoke to me and my friends should've been the complete opposite. Much better places to go. Waste of money. Weed wasn't that good. Will never return here.
47,Bluebird Coffeeshop, 1 star ,7 months ago,"Rude staff, went a couple doors down where they were very nice."
48,Bluebird Coffeeshop, 3 stars ,9 years ago,"Roadworks are hiding this coffeeshop at the moment and a bit off the beaten track so could be hard to come across.
It has a nice, light and airy atmosphere and some comfy lounge like chairs on …"
49,Bluebird Coffeeshop, 4 stars ,6 years ago,"The staff could be nicer (the bouncers can be a little weird, and maybe the waitress was having a bad day) but the general vibe is good. The main part is for smoking pure joints (which I would recommend if you want to taste a lot of …"
50,Bluebird Coffeeshop, 4 stars ,a year ago,They always have a really good selection of hash here. never lets me down.
51,Bluebird Coffeeshop, 5 stars ,3 years ago,"I’ve been on the hunt for Gelato in Amsterdam since I have this strain grown at home (San Diego, CA). Went to almost 10 different cafes before I came across Bluebird and I should have started here all along.. they had Gelato! The priciest …"
52,Bluebird Coffeeshop, 5 stars ,3 years ago,Nice selection of products and reasonable prices. One of my favourites.
53,Bluebird Coffeeshop, 1 star ,2 years ago,Asked a barista for descriptions of the types of tea and got straight attitude. She told me to google it and then not to play with the person making my drinks. Never had such rude service.
54,Bluebird Coffeeshop, 4 stars ,3 years ago,"Great place, good service and a great price.  Bluebird is one of the oldest coffeeshops in Amsterdam. It serves high quality products and has wonderful service. It has a separate seating area for smokers with Tabacco, where you can sit and enjoy a drink or snack with friends. The rest of the place has seating for pure smokers."
55,Bluebird Coffeeshop, 5 stars ,3 years ago,"I got there and there was a chill vibe, very nice and helpful service and a room apart for smoking with tabacco, barely any smoke.
Sometimes it was busy but the line was gone within minutes, fast service …"
56,Bluebird Coffeeshop, 5 stars ,4 years ago,"Good stuff and staff, nice music, available a few Volcanos."
57,Bluebird Coffeeshop, 1 star ,3 years ago,"I was very disappointed with this coffee shop, my first marijuana experience in Amsterdam and the tree was awful. Reggie Miller definitely lives there! Too many seeds and sticks not good at all, very wack  buds.  I wish I could give them a half star."
58,Bluebird Coffeeshop, 5 stars ,5 years ago,"Really nice coffee shop, great selection of weed, good food (toasties mainly), nice smoking area, good service, and free WiFi too! Would recommend this place! They've also got a few bongs and a vaporizer for you to use."
59,Bluebird Coffeeshop, 5 stars ,4 years ago,A bit cramped. Good vibe. Nice music. Awesome mint tea. Had a really good time there! Great highs! Good quality. Cannabis college recomended.
60,Bluebird Coffeeshop, 5 stars ,5 years ago,Ok weed but great hasj
61,Bluebird Coffeeshop, 5 stars ,2 years ago,"Great weed, selection, staff and atmosphere! It can be busy but a table frees up relatively fast if you're willing to wait a bit."
62,Bluebird Coffeeshop, 3 stars ,4 years ago,"Bluebird had a great run as one of the better shops in town, but we've not seen much of them lately. See some of our older reviews with a simple google search. The place looks largely the same as for the last 2 decades, a bit ""squatty"", …"
