,Name,Review Rate,Review Time,Review Text
0,Bodrum, 5 stars ,2 months ago,Very friendly and super tasty. If you are closed ypu need to try
1,Bodrum, 5 stars ,4 years ago,"Had a super delicious vegan meal. Very healthy, prepared with lots of care and very reasonable in price.
I can recommend this to anyone who is fond of good service, crazy delicious food and a beautiful cosy restaurant."
2,Bodrum, 5 stars ,3 years ago,Nice home made food :) really enjoyed my stay. Owners are really welcoming
3,Bodrum, 4 stars ,4 years ago,Great welcome. Fresh mediterranean food and caring Host. Reasonable prices.
4,Bodrum, 5 stars ,4 years ago,Fresh produce of the day! Great service and just simply fantastic and cozy!! Loved it!!
5,Bodrum, 5 stars ,3 years ago,"beautiful, food is amazing and freshly prepared, meat is very tender... Sac is delicious... portion size is generous, atmosphere is really relaxing... owners are very welcoming... I recommend this to everyone!!!!!"
6,Bodrum, 5 stars ,3 years ago,"This little restaurant has the most amazing food. All the dishes are homemade and so tasty. It’s a very cozy place and the owners are such friendly people. Definitely one of the best hidden gems in Amsterdam. I would recommend this place to everyone, you won’t be disappointed and will have a great time as well!"
7,Bodrum, 5 stars ,4 years ago,"Me and 4 of my friends have been to this amazing family place second time and I was impressed both times. The service is very friendly, excellent, dishes are based on traditional recipes and refined by the chef to give them a unique touch. …"
8,Bodrum, 5 stars ,5 years ago,"Excellent small Greek restaurant. Had meze, food and host was great. Recommended the lamb!"
9,Bodrum, 5 stars ,3 years ago,"Hands down one of the best experiences and meals I've had in Amsterdam. Such friendly owners and amazing food, I'd recommend it to everyone."
10,Bodrum, 5 stars ,3 years ago,"Just perfect! Very cosy, very reasonably priced, amazing recipes that straight up compete with what you'll eat on the mediteranean coast. The owners are super friendly and accomodating. I hate lamb but theirs was absolutely delicious!"
11,Bodrum, 5 stars ,4 years ago,"Very friendly and lovely tasting food. The salad was fresh with a lovely oil on it and the meat was perfect, not greasy at all."
12,Bodrum, 5 stars ,3 years ago,Excellent vegan and vegetarian options (but meat is served too). Mix of greek and arabic cuisine. Very friendly and personable. Affordable prices. …
13,Bodrum, 5 stars ,3 years ago,"It's not easy to find places like Eetcafe Bodrum. From the moment you walk in until the moment you leave the place, you will be served with the finest customer service. They dont have a menu, they only cook fresh and with what they have for …"
14,Bodrum, 5 stars ,4 years ago,"Amsterdam's little gem!!!! 💯🙋‍♀️
I was there yesterday with my friends. We live in London, travel a lot, but I can honestly say, that I haven't eaten such an amazing, tasty, delicious dinner …"
15,Bodrum, 5 stars ,3 years ago,Great food! Awesome hospitality!
16,Bodrum, 5 stars ,4 years ago,"Absolutely lovely kebabs, just around the corner from our flat. Friendly service as well. Loved it!"
17,Bodrum, 5 stars ,2 years ago,Kind people abd perfect service. The food is cheap and tasty. Highly recommended!
18,Bodrum, 5 stars ,a year ago,It’s a lot better with the new owners!
19,Bodrum, 2 stars ,2 years ago,Oof. Just a very loveless place. Food not great.
20,Bodrum, 2 stars ,2 years ago,The wrap is nothing to call home about
21,Bodrum, 5 stars ,3 years ago,very good one!
22,Bodrum, 4 stars ,2 years ago,Nice place
