,Name,Review Rate,Review Time,Review Text
0,Boerejongens, 5 stars ,6 months ago,"Great shop! One of the best in Amsterdam. The staff is kind, courteous, and knowledgeable. They all speak Dutch and English of course. They have a good selection of both edibles and strains. …"
1,Boerejongens, 5 stars ,3 months ago,"Their products are TOP ! Nice menu and GREAT hash collection. If you're a hash lover, this is your place! Don't go to the central one because it is always crowded. Take a walk and enjoy the city and visit their less crowded one. You won't regret it."
2,Boerejongens, 1 star ,a month ago,"Had a very strange encounter today with one of the sales guys at boerenjongens Amsterdam West. I went up to the counter, tried to look at the menu when out of nowhere the sales guy deactivated the menu screen. When asking him if I could see …"
3,Boerejongens, 2 stars ,3 weeks ago,"I went to the coffeshop and I was waiting for my weed but the Italian guy marco was too busy wooing the girls outside the shop and not doing his job, never again!"
4,Boerejongens, 5 stars ,2 years ago,"Me and my partner walked 25 minutes to go here specially, and it was 100% worth it! Unlike usual coffeeshops in Amsterdam this one is more like a dispensary/shop. The whole shop was clean, friendly and welcoming. The staff were very …"
5,Boerejongens, 1 star ,2 years ago,What a really disappointing experience. I was hoping that this place really stood up to everything I had seen online from reviews and from Instagram. I walked through the door like an excited child in a sweet shop. To only be felt rushed by …
6,Boerejongens, 1 star ,5 months ago,"Bad vibes,

as long as you ain't dutch and also no quality Control 1 out of 3 Gramm was like …"
7,Boerejongens, 5 stars ,5 years ago,"First and for most, AMAZING employees that catered to you with PERSONALIZED service. I had the opportunity to deal with a wonderful gentleman with a man bun by the name of Brian. He took his time with me choosing which products I wanted …"
8,Boerejongens, 5 stars ,a year ago,Prerolled products as well as space cakes were really worth the money and kicked in just right! The shop itself looks very professional. Come here for an experience different from the usual shady coffeeshop around the corner. 😌
9,Boerejongens, 4 stars ,3 years ago,"This is The number 1 coffeeshop company in the whole of Holland ,super great strain. Top of the class quality but they can seriously do better with how they sell! I think they can give us (the clients) much better packing when selling.!!! …"
10,Boerejongens, 1 star ,a month ago,"I went to the coffeshop and the Italian guy Marco was very rude with me, I don’t understand how you can let some people work !!!!"
11,Boerejongens, 5 stars ,4 years ago,"Superb,,, if your in Amsterdam for the smoking,, get yourself a tram ticket,, and get down here,, really friendly staff,, and the product is the best,,, thank you guys so much ♥ ♥ ♥"
12,Boerejongens, 4 stars ,7 months ago,"Good cheap hash, i bought blue magic flowers for 24eur, quality was good but little overpriced. Staff is great here."
13,Boerejongens, 5 stars ,2 months ago,another 'go to'. dry ice orange hill iso. - if you're in the mood for spicing things up a bit.
14,Boerejongens, 4 stars ,11 months ago,"Bif it a queue the last couple of times I was there but it's very fast. The guys inside are very professional, there is now a plastic glass between you and them and it's all covid proof. The guys are knowledgeable and the product is amazing. I always go there"
15,Boerejongens, 2 stars ,4 months ago,"Not always have good product ,A lot of image, little substance."
16,Boerejongens, 4 stars ,8 months ago,"My go to place every Friday , but i agree , the potenecy for edibles have been a little low post covid .
Also love the new packaging"
17,Boerejongens, 5 stars ,a year ago,"Of all the shops i visited during my time in Amsterdam, this was my favorite by far.  This shop is a bit of a walk from the center of the city, and so worth it the shop has a dispensary feel. Very clean and professional space, the staff is …"
18,Boerejongens, 5 stars ,4 years ago,Goed geholpen aan medicinale wiet dankjwel without this is i have Only music without cbd i don't feel happy so i need It. It keeps me feel very good mood and not so hyperactief and a lot of things to think about  thanks boeren jongens 💞💞
19,Boerejongens, 5 stars ,8 months ago,One of my best 5 in da whole town. Very good quality... Many strains... Friendly and  good informed...
20,Boerejongens, 5 stars ,4 years ago,Everything about this place is awesome. Such a cool setup and the staff are great - hilarious and helpful. Quality product at a great price.
21,Boerejongens, 5 stars ,a year ago,"Wow! Just WOW! Best bud anywhere except another boerejongens 😁.

Best blueberry haze ever...also the fat kids hash 🔥🔥🔥 …"
22,Boerejongens, 5 stars ,5 years ago,"Amazing shop, great menu and friendly especially Daniel, definitely come back again"
23,Boerejongens, 5 stars ,9 months ago,One of the best coffeshop in Amsterdam. Great service and real high quality. The hash blocks are just amazing
24,Boerejongens, 5 stars ,4 years ago,"Always very Friendly and great Stuff... one of my Favorite spots. Try the Cookies, they are awesome and the cake too!"
25,Boerejongens, 5 stars ,2 years ago,Best coffee shop in dam great staff good selection too
26,Boerejongens, 5 stars ,3 years ago,The Best in its most classic form 😎 take away only!
27,Boerejongens, 5 stars ,2 years ago,"Best Coffeeshop in Amsterdam, probably in the whole of Netherlands. Amazing buds on a decent price. Staff is friendly and enjoys serving you. Prices are for everyone - 8 euros if you're a cheapass like me up to 15, 16 for designer buds."
28,Boerejongens, 5 stars ,2 years ago,how on Earth do you pronounce the name of this place?!? Either way great quality stuff. Space cakes are out of this world. Staff is super cool and helpful. One of the few coffee shops that don't have a wierd creepy vibe
29,Boerejongens, 5 stars ,4 years ago,This place was unbelievable. The upstairs lounge was a really great place to pass some time. the Leather armchairs were comfortable and the whole place had a very classy vibe to it. Probably the best and certainly the most unique I've been …
30,Boerejongens, 5 stars ,3 years ago,This is a professional run shop with tremendous knowledgable and friendly people. The “stuff” is of outstanding quality at acceptable prices. And the best? You don’t have the usual stigma. Shop style is more like a pharmacy with modern interieur. Customer base seem to consist of local people and more mature foreigners. Recommended!
31,Boerejongens, 1 star ,2 years ago,"Me and my wife on Sunday 16th February specifically went out of the usual tourist traps to visit Boerejongens. We walked in encountering a rude member of staff, with no manners my wife was asked to remove her wooly hat (bear in mind we had …"
32,Boerejongens, 5 stars ,4 years ago,"Amazing! A cannabis pharmacy! Clean, spacious, helpful and friendly staff, good prices, a range of different edibles - red velvet cake highly recommended! Not as busy as the shop in the city centre, but still gets crowds. Definitely worth a visit!"
