,Name,Review Rate,Review Time,Review Text
0,Bosco, 1 star ,5 months ago,"We were more than 45 minutes waiting for our food. The chef sandwich is the poorest I have eaten in my life, a lot of bread and little content. The potatoes were cold and scorched, besides being hard and inedible .I will not return again"
1,Bosco, 5 stars ,9 months ago,Very nice cafe with a lovely view in a good location! Staff were great! The food could be better but I liked the vibe so will definitely go again!
2,Bosco, 2 stars ,a month ago,"General atmosphere was good but portions was very small. In addition, they offered mint tea with orange instead of mint :) somehow we accepted. It was disappointment. We shared everything with staff…"
3,Bosco, 5 stars ,4 months ago,Lovely place. Nice deco. Friendly service. Nice food.
4,Bosco, 3 stars ,a month ago,"Good environment but there were some missing things, maybe it was our luck. Butter cakes were too small like a child porsion, we ordered mint tea with ginger and orange. It came without mint since there is no mint left. We accepted it at first then we informed the waiter that we are not happy with it, nothing changed, full price paid."
5,Bosco, 5 stars ,4 months ago,"My neighbourhood corner coffee shop ❤️ absolutely adore the coffee here.
Great ambiance and vibe all round 💫"
6,Bosco, 3 stars ,a month ago,The price for a take away gluewine is ridiculous! €6.5 for a wine that's bought from Lidl.
7,Bosco, 5 stars ,3 months ago,"Good food, chill place. Amazinf chocolate cake"
8,Bosco, 5 stars ,2 years ago,Bosco was a oasis of warmth on a cold New Years morning when all other cafes and restaurants were closed. There were many local patrons but the server was quick to hand me an English menu without me asking and was very friendly. The …
9,Bosco, 1 star ,4 months ago,"Don't recommend it.
💸💸💸 Very expensive breakfast!
12 € to get a full meal composed of: orange juice (1 normal sized glass), …"
10,Bosco, 1 star ,3 months ago,"The service was really good. Unfortunately, this is one of the worst places I have eaten at in Amsterdam. Cannot say that the food was good. This is probably a nice place to come for a drink but not to eat."
11,Bosco, 5 stars ,5 years ago,"The staff was super friendly and warm. The food was good too. The Orange juice was really good and super fresh, it has bits of pulp in it. The cappuccino was good but a small cup. There's also a cafe cat that just hangs around.. as an …"
12,Bosco, 4 stars ,2 years ago,Ate breakfast there two times and was really good. Staff was friendly too. The prices are reasonable compared with the other places in the neighbourhood.
13,Bosco, 4 stars ,4 years ago,Good place to do some work or to catch up with your friends. Staff is very friendly. I forgot my wallet and they allow me to pay directly to their bank account (i/o having me going home to pick up my wallet). The sandwich was nice and coffee as to be expected. So all fine!
14,Bosco, 4 stars ,4 years ago,"We ended up here by chance while having a stroll in the area on a Sunday, we we're lucky to find a spot. Good service and kind employees. They also have a terrace outside on the sidewalk. Great club sandwich!"
15,Bosco, 4 stars ,5 months ago,Good terrace with people passing by on a small square.
16,Bosco, 2 stars ,4 months ago,"Great atmosphere for a drink but food is terrible terrible terrible (dry bread, no taste etc etc). Please replace cook."
17,Bosco, 5 stars ,4 years ago,Really enjoyed it. Good food. Nice vibes. Friendly staff and great wifi. Who could ask for anything more?!!!
18,Bosco, 4 stars ,8 months ago,"Nice location , nice for meeting or to study or even work. I eat a Club Sandwich 🥪 was okay. Thought the bread was way to hard but the attention and the welcoming from the staff was great ... 👍🏼"
19,Bosco, 5 stars ,4 years ago,"Very tasty and fresh food. If you like a light cusine with the right kick, come in and feel good. Also nice services and good prices."
20,Bosco, 4 stars ,8 months ago,"The waitress was very friendly and attentive. The breakfast we had was yummy, but not opulent. Just the right amount of food to be happy"
21,Bosco, 5 stars ,a year ago,"Being a coffee drinker since the age of 4 years, at first I used to go there because the coffee is the best in the neighbourhood, then I discovered that the staff were great and very friendly. I recommend this place also for food variety at …"
22,Bosco, 3 stars ,a month ago,Nice neighboorhood bar with plenty special beers on draft and friendly bar staff. Perfect terrace for a morning coffee in the sun! I would recommend to skip diner here and pick one of the finer options near by ..
23,Bosco, 4 stars ,7 months ago,"One of the best burgers I've had in Amsterdam. Cooked medium rare without being asked, so if you want it cooked more you should ask"
24,Bosco, 3 stars ,10 months ago,"We have tried their breakfasts and it was okay. Not good, not bad.
In sandwich there too much bread and sandwich was very dry.
Salmon with eggs were ok, bread could be better (more healthier options would be …"
25,Bosco, 5 stars ,3 years ago,Good food! Friendly staff and delicious beer! Can't go wrong!
26,Bosco, 3 stars ,6 months ago,"Staff - nice and helpful,
Food - do not recommend at all.
Several types of beer."
27,Bosco, 4 stars ,2 years ago,Nice place. Food wise : nothing to write home about. Friendly service and great drinks.
28,Bosco, 5 stars ,2 years ago,Nice food lovely service the flowery lemonade was perfect in this hot weather
