,Name,Review Rate,Review Time,Review Text
0,Broers, 5 stars ,8 months ago,"I live very close and I love this place. For a coffee and cake or lunch with tea, whatever you want for a nice breakfast, lunch or afternoon break. The girls that are working here are so nice, positive, surprisingly friendly. I highly recommend it."
1,Broers, 5 stars ,a week ago,"Great espresso, wonderful vibe for Sunday morning read and espresso and highly recommend. …"
2,Broers, 1 star ,3 months ago,"Shame how the new owner stripped the once cozy cafe with comfortable seating, couches and sofas which was so well decorated into a cold and uncomfortable black and white interior. Coffee and food for takeaway or outside terrace is fine and …"
3,Broers, 5 stars ,a year ago,"Nice interior design, even has standing tables.  Good coffee and cakes, vegan friendly."
4,Broers, 5 stars ,4 years ago,"Super nice home setting, extremely moist carrot cake (quite possibly the best in Amsterdam) great coffee. Definitely a good recommendation and will be coming back for sure!"
5,Broers, 5 stars ,2 years ago,"During our journey in Amsterdam accidentally we saw cafe Broers. This place looks very cozy, arouses interest and enough local. We had breakfast at once and then decided that every morning till end of trip will begin in this place. …"
6,Broers, 5 stars ,5 years ago,"Oh man. So chilll hier. Nice vibe, cool people actual good service (and yes we are still in amsterdam. So that's very special)  always good music and not too loud. Happy people, just happy people"
7,Broers, 4 stars ,3 years ago,"Really nice spot for a long breakfast while reading a book :). The breakfast menu had a bit too much bread though, would love some yoghurt and fruit."
8,Broers, 5 stars ,4 months ago,very nice place and Fatou is an amazing person. I recommend this place & the banana cake !
9,Broers, 1 star ,9 months ago,How is this place so highly rated? I keep trying as I live right next door but every time the coffee is expensive and terribly made. The staff clearly have had no training whatsoever and don’t have a clue what they are doing.
10,Broers, 5 stars ,2 years ago,Best place for breakfast or a nice brunch. I love their avocado toast.
11,Broers, 4 stars ,4 years ago,"A great family place to have your weekends brunch. The service is perfect, truly nice people working there."
12,Broers, 5 stars ,5 months ago,Nice place. Delicious chai latte. Friendly staff.
13,Broers, 4 stars ,3 years ago,Lovely decor.....good vibe..menu a little limited
14,Broers, 4 stars ,3 years ago,"Really cute spot! The decoration makes you feel at home and the service is friendly if not somewhat slow. The food was good and the coffee too, however to the pricy side. I would totally come to study or work with my laptop it definitely has the vibe for that."
15,Broers, 5 stars ,3 years ago,"Best coffee in years - how can I get it again in the UK? Lovely friendly staff, and fresh tasty food... they even cooked a fresh croissant for me on the spot ! In the late July 2018 heat wave, they provided a paddling pool for customers to put their feet into - clever stuff."
16,Broers, 5 stars ,5 years ago,"Lovely place during the day, enjoyable atmosphere a one of the best apple taart we ever had! Love it 👍👍 sandwiches at lunch are also very nice. Have not tried at night but the gin&tonic selection seems to be a top one!"
17,Broers, 5 stars ,9 months ago,Lovely staff! We spent a nice Saturday afternoon here and they were very patient in teaching my friends Dutch 👍🏼👍🏼
18,Broers, 5 stars ,2 years ago,"Cosy place with variety of seating options (e.g. lounge if you want an extension of your living room, terrace for sun). Friendly service, love coming here for a drink. Carrot cake is also a winner!"
19,Broers, 5 stars ,2 years ago,Cozy place. Good coffee and friendly staff ✌️ ☕
20,Broers, 5 stars ,4 years ago,Great ambience and tasty coffee
21,Broers, 5 stars ,2 years ago,"Perfect spot for Sunday chilling. Enjoyable interior design, feels like your living room.
Apple Pie is must-try!"
22,Broers, 5 stars ,4 years ago,"Such a great place to sit down and have a great cup of coffee. Great vibe, nice music and of course great coffee. A good place to sit and work or relax on the couch."
23,Broers, 5 stars ,4 years ago,Excellent croissants. Music a little bit too loud.
24,Broers, 5 stars ,2 years ago,"Stopped in here on a recent trip to Amsterdam. Great place to enjoy a lovely coffee and a banana cake in a quiet, relaxing environment"
25,Broers, 5 stars ,4 years ago,"Nice cozy interior, good coffee, tasty sandwiches, good wi-fi. The staff is very friendly. 👍 Will come back for sure!"
26,Broers, 5 stars ,2 years ago,"lovely place! it's cute and cosy on the inside, has a nice terrace, good staff, food and drinks"
27,Broers, 5 stars ,3 years ago,"Lovely place, cozy atmosphere, great coffee and cake. Very quiet too today."
28,Broers, 5 stars ,3 years ago,A nice kitschy and cozy place with comfy seating sections. Good food and laid back atmosphere. I'd go back.
29,Broers, 5 stars ,3 years ago,Nice and relaxed place! Shame they don’t have Filter coffee but the espresso is really good too!
30,Broers, 4 stars ,5 years ago,"Nice atmosphere, nice staff, nice drinks, good food. Perfect for working during office hours, nice for catching up with friends at night times."
