,Name,Review Rate,Review Time,Review Text
0,Broodbar, 5 stars ,2 weeks ago,"10/10 would recommend for a quick lunch or coffee. Delicious food, personal service. The pastrami sandwich was otherworldly!"
1,Broodbar, 5 stars ,6 months ago,"Very nice chilly place, kind staff 😁
Made with love 😁"
2,Broodbar, 4 stars ,5 years ago,"Good food for a quick lunch break, and friendly staff. Not too expensive either. They also have a cute dog ! Try the carrot cake !"
3,Broodbar, 4 stars ,3 years ago,"Delicious sandwiches.. Really good coffee. Pretty nice staffs /or owner. You can choice what do you prefer to eat with sandwich, with what kind of bread which is made by many different type of flour varieties. Places don't have enough space to seat but really charm..."
4,Broodbar, 5 stars ,5 months ago,"Really nice affordable prices, nice sandwiches, good coffee, friendly staff. Would recommend this place."
5,Broodbar, 5 stars ,a year ago,The best cheesecake I’ve had in the city and it’s home made by the lovely owner 🤍 absolutely recommend.
6,Broodbar, 5 stars ,5 months ago,Simply the best breakfast in Amsterdam. We Reality loved the service!
7,Broodbar, 5 stars ,a year ago,"Lovely shop run by a hard-working lady.  Great coffee, cake, croissants, quiche...  But mostly I like to pop into this place for the cosy feel and location, and being surrounded by delicious things that I'm not all going to eat. …"
8,Broodbar, 5 stars ,2 years ago,One 9f the best Carrot Cakes I've ever had
9,Broodbar, 5 stars ,3 months ago,Friendly staff and very tasty food
10,Broodbar, 5 stars ,4 years ago,"A super cozy and cute lunchroom! I ordered an orange juice and banana bread. It was delicious. The location is great too, the window bar and terrace look out to the canal. Also heads off for the owner of this place. It was quite busy when I …"
11,Broodbar, 1 star ,2 years ago,"We ordered an iced coffee with oatmilk. I expected a coffee with ice as that is what an iced coffee is. However, before they started to blend it, I politely asked if they could not. The woman said to me ""well, that is how we make it here …"
12,Broodbar, 4 stars ,5 years ago,I had the best cheesecake ever here. I think it's very local place where you can have breakfast or coffee with a piece of cake. It is small but cosy. Great location by the canal and seats outside make you want to stop there and enjoy the moment.
13,Broodbar, 5 stars ,3 years ago,"Was ways higher than my expectations! Very tasty soup and sandwich, good view, good price. Definitely best food experience I had in Amsterdam!"
14,Broodbar, 5 stars ,6 months ago,"Family business, really tasty homemade sandwiches."
15,Broodbar, 5 stars ,4 years ago,Great place! Super tasty hot sandwitches and coffee. One of the few places that open early in the morning. Great view on the channel from the window seats. Pleasant staff.
16,Broodbar, 5 stars ,2 years ago,Sweet little sandwich shop with good service. Can get a little slow when crowded as there is only one lady working the kitchen and serving.
17,Broodbar, 1 star ,5 years ago,"Just ordered a combined menu with quiche and tosti for 14 euro's. What a disappointment. Quiche was extremely small and full of onions. Tosti was very soft, not tasty at all and when I found a hair in it i throwed it away immediately."
18,Broodbar, 5 stars ,2 years ago,"This place was fab. Freshly made pancakes, bacon and eggs. Quiet little cafe. Perfect."
19,Broodbar, 5 stars ,5 years ago,Lovely place; pretty good coffee Italian style; warm atmosphere a good place to work in creative mode; typical Amsterdam style with nice view and quite relaxed environment ; suggest to go
20,Broodbar, 1 star ,2 years ago,"Rude attitude when figuring all advertised 'payment methods accepted' were false advertising. Wanted only cash.
Bad service.
Food was fresh"
21,Broodbar, 3 stars ,7 years ago,"Time to prepare food: 5/10
Hygiene : 3/10 no gloves :(
Price: 5/10 20 euros for 2 sandwiches …"
22,Broodbar, 4 stars ,3 years ago,"Good carrot cake, not amused by the service..."
23,Broodbar, 4 stars ,2 years ago,"Tasty crepes, reasonable prices and friendly personnel. Mostly take away but there are some tables."
24,Broodbar, 5 stars ,6 years ago,"Delicious coffee and such a friendly, homely atmosphere. Liesan is a sweetheart. After Berlin, this place is a godsend."
25,Broodbar, 5 stars ,3 years ago,"Great handmade food and tasty treats. If you're looking for something lite and healthy, it's a great choice."
26,Broodbar, 5 stars ,3 years ago,The nicest latte I've ever had! Really cute place with nice service.
27,Broodbar, 4 stars ,4 years ago,"Homemade bread, cakes and more!! Feels cosy and homey. Although not so suitable for large crowd."
28,Broodbar, 5 stars ,3 years ago,Best Sandwiches in Amsterdam! Been here several times and i really enjoyed eating here.
29,Broodbar, 4 stars ,5 years ago,nice cosy place for breakfast like meals and coffee. has good pastries too
30,Broodbar, 4 stars ,4 years ago,I really like the cosiness of the place. Window seats to the canal with good sandwiches!
31,Broodbar, 5 stars ,4 years ago,Great experience! Wonderful sandwiches and terrific service!
32,Broodbar, 4 stars ,3 years ago,"Bit slow on hot drinks but friendly,  clean."
33,Broodbar, 4 stars ,3 years ago,Great for an omelette and other nice lunch dishes!
34,Broodbar, 1 star ,2 years ago,"€3,85 for a bad espresso come on are you kidding me"
35,Broodbar, 5 stars ,6 years ago,Lovely place with friendly staff and amazing sandwiches.
36,Broodbar, 5 stars ,4 years ago,Smooth and warming service from the little girl working hard behind the counter. She deserves a raise!!!
37,Broodbar, 4 stars ,4 years ago,"Super cheesecake and apple pie, mega sandwiches, lovely smoothies"
38,Broodbar, 5 stars ,a year ago,Thank you we really enjoyed It :)
39,Broodbar, 5 stars ,2 years ago,Best breakfast! Try the grilled sandwiches!
40,Broodbar, 4 stars ,2 years ago,Very cute cafe with a nice view.
41,Broodbar, 5 stars ,5 years ago,"Good atmosphere, tasty sandwiches and coffee"
42,Broodbar, 5 stars ,6 months ago,Top
43,Broodbar, 5 stars ,3 years ago,Great little eaterie.
44,Broodbar, 5 stars ,3 years ago,"Fabulous breakfast,  lovely staff"
45,Broodbar, 1 star ,2 years ago,Rude employees and overpriced coffee
46,Broodbar, 4 stars ,6 years ago,Good coffee and grilled sandwiches.
47,Broodbar, 5 stars ,4 years ago,Best pastrami sandwich ever!!
48,Broodbar, 5 stars ,3 years ago,Very tasty and enjoyable
49,Broodbar, 3 stars ,2 years ago,Average coffee and food.
50,Broodbar, 2 stars ,2 years ago,Expensive ice cream
51,Broodbar, 5 stars ,3 years ago,Great apple pie.
52,Broodbar, 5 stars ,3 years ago,awesome ! 💚
53,Broodbar, 5 stars ,5 years ago,Amazing sandwiches!
54,Broodbar, 1 star ,3 years ago,unfriendly to outsiders
55,Broodbar, 5 stars ,2 years ago,Delicious 🤗
56,Broodbar, 4 stars ,2 years ago,Tasty stuffff
57,Broodbar, 5 stars ,4 months ago,"(Translated by Google) Absolutely top. Highly recommended. Great omelette.

(Original) …"
58,Broodbar, 4 stars ,5 months ago,"(Translated by Google) Not bad this site. Very special and very rich breakfasts, not very elaborate but very tasty. In the heart of the city. Average price in the area, neither very expensive nor very cheap …"
59,Broodbar, 5 stars ,7 months ago,(Translated by Google) Friendly service and rich sandwiches :) The crepes are also very good …
60,Broodbar, 5 stars ,a year ago,"(Translated by Google) Very nice for a super warm welcome breakfast, nice little terrace and good coffee …"
61,Broodbar, 5 stars ,3 months ago,"(Translated by Google) Nice breakfast, friendly people

(Original) …"
62,Broodbar, 5 stars ,2 years ago,"(Translated by Google) Cute place, top location, food, drink service great

(Original) …"
63,Broodbar, 5 stars ,10 months ago,"(Translated by Google) Authentic local sandwich shop. Nice to pick up in Corona times. Personal service. A friendly conversation with the customer while your sandwich is being made. So, to say more family friendly, and not for people who …"
64,Broodbar, 5 stars ,7 months ago,"(Translated by Google) Delicious eaten. Perfect crepes and well topping.

(Original) …"
65,Broodbar, 3 stars ,2 years ago,"(Translated by Google) Nice little place for cheap lunch very good and cozy

(Original) …"
66,Broodbar, 5 stars ,3 years ago,(Translated by Google) Ingenious hot sandwitch. Freshly made with delicious fresh bread. Service every time friendly and patient. …
67,Broodbar, 5 stars ,10 months ago,"(Translated by Google) Super sweet staff and delicious sandwiches and coffee!

(Original) …"
68,Broodbar, 5 stars ,3 years ago,"(Translated by Google) Apple cake superdimalı

(Original)
Elmalı kek superdi😍"
69,Broodbar, 5 stars ,a year ago,"(Translated by Google) Delicious coffee, sandwiches and cakes.
Really recommended. …"
70,Broodbar, 5 stars ,3 months ago,"(Translated by Google) Nice breakfast, friendly people

(Original) …"
71,Broodbar, 4 stars ,2 years ago,"(Translated by Google) Mini Bar, with super cakes and good coffee. Away from the hustle and bustle …"
72,Broodbar, 4 stars ,a year ago,(Translated by Google) good service fine sandwiches and prices ok too! so highly recommended by the friendly hostess in particular. …
73,Broodbar, 5 stars ,2 years ago,(Translated by Google) Very cozy and tasty sandwiches and other dishes. We particularly liked the cakes and pies. Recommended! A nice relaxed and relaxed atmosphere. …
74,Broodbar, 5 stars ,a year ago,"(Translated by Google) Delicious coffee, sandwiches and cakes.
Really recommended. …"
75,Broodbar, 5 stars ,10 months ago,"(Translated by Google) Super sweet staff and delicious sandwiches and coffee!

(Original) …"
76,Broodbar, 5 stars ,2 years ago,(Translated by Google) Very nice little place. I would recommend it to everyone. Service very nice and courteous. Everything tasty. 😍 …
77,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Owner Barbara has been running the Broodbar with passion for 6 years: an oasis of consistency and personal attention in this tourist-ravaged neighborhood. Great for breakfast, lunch or coffee! …"
78,Broodbar, 5 stars ,5 years ago,(Translated by Google) Delicious lunch today! Pretty how she did this alone while it became very busy and she stayed very calm. The sandwiches were delicious !! …
79,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Delicious fresh breads with fresh fillings, homemade cakes, juices and fantastic coffee. …"
80,Broodbar, 2 stars ,2 years ago,(Translated by Google) Get 1.5 sandwiches straight out of a bag from Albert Heijn. Not what you expect for this money …
81,Broodbar, 5 stars ,2 years ago,(Translated by Google) Very good sandwiches. Highly recommended for a small snack in between. …
82,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Nice coffee, not expensive. Very nice redhead woman behind the sandwich bar. …"
83,Broodbar, 5 stars ,3 years ago,"(Translated by Google) Apple cake superdimalı

(Original)
Elmalı kek superdi😍"
84,Broodbar, 5 stars ,2 years ago,"(Translated by Google) very cozy café and great for breakfast

(Original) …"
85,Broodbar, 4 stars ,3 years ago,"(Translated by Google) Very cozy, casual place for lunch

(Original) …"
86,Broodbar, 4 stars ,3 years ago,"(Translated by Google) Delicious luchen, small bistro, homemade snacks

(Original) …"
87,Broodbar, 5 stars ,3 years ago,"(Translated by Google) Nice place to pop in

(Original) …"
88,Broodbar, 5 stars ,2 years ago,"(Translated by Google) Top the dog was the best

(Original)
Top der hund war am besten"
89,Broodbar, 4 stars ,2 years ago,"(Translated by Google) Good but expensive

(Original)
Gut aber teuer"
90,Broodbar, 4 stars ,4 years ago,"(Translated by Google) Sweet staff and tasty sandwiches

(Original) …"
91,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Nice place. Good food

(Original)
Leuk tentje. Goed voedsel"
92,Broodbar, 5 stars ,a year ago,"(Translated by Google) Delicious sandwiches

(Original)
Heerlijke broodjes"
93,Broodbar, 5 stars ,3 years ago,
94,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Good food nice owner

(Original)
Goed eten leuke eigenaresse"
95,Broodbar, 5 stars ,4 years ago,"(Translated by Google) School !!

(Original)
Kool!!"
96,Broodbar, 4 stars ,4 years ago,"(Translated by Google) Nice food, nice venue

(Original)
Lekker eten, leuke venue"
97,Broodbar, 4 stars ,2 years ago,"(Translated by Google) Nice social deal

(Original)
Leuke Social deal"
98,Broodbar, 5 stars ,4 years ago,"(Translated by Google) Jammie!

(Original)
Jammie!"
99,Broodbar, 5 stars ,2 years ago,"(Translated by Google) Good service

(Original)
Bom atendimento"
100,Broodbar, 5 stars ,5 years ago,"(Translated by Google) nice bar.

(Original)
fajny bar."
101,Broodbar, 5 stars ,a year ago,
102,Broodbar, 5 stars ,2 years ago,
103,Broodbar, 2 stars ,2 years ago,
104,Broodbar, 4 stars ,4 years ago,
105,Broodbar, 4 stars ,2 years ago,
106,Broodbar, 5 stars ,5 years ago,
107,Broodbar, 4 stars ,8 years ago,
108,Broodbar, 4 stars ,4 years ago,
109,Broodbar, 3 stars ,4 years ago,
