,Name,Review Rate,Review Time,Review Text
0,Broodjeszaak Polat, 5 stars ,5 months ago,Amazing place to eat in cheap price in Amsterdam .The people are loving. Donor with a cup of Turkish tea will give you energy for all day .Once I eat with them and again and again I go to them..
1,Broodjeszaak Polat, 5 stars ,3 weeks ago,"Coming over from the UK, I came across this establishment. Wow. Good food, amazing durum doner, friendly Turkish owners. So tasty. Highly recommend."
2,Broodjeszaak Polat, 5 stars ,3 weeks ago,I like their doner. Taste is good and owners are sweet people.
3,Broodjeszaak Polat, 5 stars ,a month ago,"Really nice owner, food was really great"
4,Broodjeszaak Polat, 5 stars ,a year ago,Really tasty! Stands out in it's league.
5,Broodjeszaak Polat, 5 stars ,6 years ago,Turkish kitchen for affordable price.
6,Broodjeszaak Polat, 5 stars ,2 years ago,Delicious and good hospitality
7,Broodjeszaak Polat, 5 stars ,5 years ago,Best Kapsalon in Amsterdam!
8,Broodjeszaak Polat, 5 stars ,2 years ago,The best byrek
9,Broodjeszaak Polat, 5 stars ,2 months ago,(Translated by Google) Best Turkish pizza place I know. Nice and sweet man behind the cash register. Totally great for the hangovers …
10,Broodjeszaak Polat, 5 stars ,4 months ago,(Translated by Google) The tastiest döner in Amsterdam. Turkish Pizza is simply mouthwatering. …
11,Broodjeszaak Polat, 5 stars ,a year ago,"(Translated by Google) Warmly received restaurant style, doner sandwich is not inferior. …"
12,Broodjeszaak Polat, 5 stars ,2 years ago,"(Translated by Google) Great food at Polat. I've been coming there for years. Doner is tasty, owner always very friendly and the range is extensive. Highly recommended! …"
13,Broodjeszaak Polat, 5 stars ,a year ago,"(Translated by Google) Deliciously spiced döner, dürum and kapsalon. Friendly people …"
14,Broodjeszaak Polat, 4 stars ,2 years ago,"(Translated by Google) Have been coming here for years. Remains good doner👌🏻

(Original) …"
15,Broodjeszaak Polat, 5 stars ,2 years ago,"(Translated by Google) Delicious tent. Come there more often. Always friendly

(Original) …"
16,Broodjeszaak Polat, 5 stars ,5 years ago,(Translated by Google) The best sandwich doner and Turkish pizza for little you get a lot …
17,Broodjeszaak Polat, 5 stars ,4 years ago,"(Translated by Google) Delicious and affordable food. Nice staff.

(Original) …"
18,Broodjeszaak Polat, 5 stars ,a year ago,"(Translated by Google) Good food, friendly service.

(Original) …"
19,Broodjeszaak Polat, 5 stars ,5 months ago,
20,Broodjeszaak Polat, 5 stars ,2 years ago,"(Translated by Google) Delicious doner

(Original)
Heerlijke doner"
21,Broodjeszaak Polat, 3 stars ,9 months ago,"(Translated by Google) Great sandwiches.

(Original)
Prima broodjes."
22,Broodjeszaak Polat, 5 stars ,5 years ago,"(Translated by Google) Delicious food!

(Original)
Heerlijk eten!"
23,Broodjeszaak Polat, 4 stars ,5 years ago,"(Translated by Google) Good and affordable

(Original)
Goed en betaalbaar"
24,Broodjeszaak Polat, 4 stars ,3 years ago,"(Translated by Google) Yummy

(Original)
Lekker"
25,Broodjeszaak Polat, 4 stars ,a year ago,
26,Broodjeszaak Polat, 5 stars ,2 years ago,
27,Broodjeszaak Polat, 5 stars ,10 months ago,
28,Broodjeszaak Polat, 5 stars ,7 months ago,
29,Broodjeszaak Polat, 2 stars ,5 years ago,
