,Name,Review Rate,Review Time,Review Text
0,"Brouwerij ""De Prael""", 5 stars ,a month ago,"One of my favourite places in Amsterdam for sure. Staff is amazingly friendly and very particular, there is a super long list of beers to taste and it’s easy to feel like home after few minutes."
1,"Brouwerij ""De Prael""", 5 stars ,3 months ago,"Super tasty beer, with ginger and basil infused. Loved it ! Also they were super helpful, helping me choosing by trying samples. Felt very welcomed and it warmed my heart, thank you !!!"
2,"Brouwerij ""De Prael""", 5 stars ,a month ago,"If you wanna enjoy good beers in Amsterdam, just visit here. Cool place to meet up with friends."
3,"Brouwerij ""De Prael""", 5 stars ,7 months ago,"We found this place by mistake given the fact that is on an alley hidden from the Main Street, but do not let that fool you. The staff is really friendly, they hire people from different backgrounds and all have a story to tell, the beer is …"
4,"Brouwerij ""De Prael""", 5 stars ,3 weeks ago,Very nice store with friendly staff. Can’t wait for u to open full time. Thank you.
5,"Brouwerij ""De Prael""", 5 stars ,4 months ago,"Really good food and amazing beer. Love the environment and atmosphere of the place. If you’re looking for good food and good beer, this is the place."
6,"Brouwerij ""De Prael""", 4 stars ,7 months ago,Cute little brewery in the city center of Amsterdam. Beer was very good. Bill was 12€ tipped up 13€ but the Bartender gave in 15€ that's why it's 4/5 stars
7,"Brouwerij ""De Prael""", 3 stars ,a month ago,"Cozy brewery but our experience wasn't that great. We were received by a very friendly waiter who sat us down at the bar. However, the waiter that served us behind the bar was a bit rude like he didn't want to attend us because we weren't …"
8,"Brouwerij ""De Prael""", 5 stars ,3 months ago,"Large selection including Dutch varieties like Lentebok.  Marzen is solid, Rauchbier was well balanced but the Kinky Koos Spiced Saison stood out with just a hint of basil.  Weissbiergunder was surprisingly good, never even heard of a wheat beer fermented with grape juice.  The snackplatter added to our enjoyment."
9,"Brouwerij ""De Prael""", 4 stars ,2 years ago,"The place is big and have nice vibes, ideal for groups. The staff is friendly and proactive. They have a nice variety of drinks and food. There is a slight waiting time around 20 minutes. The portion sizes are different. For example, the …"
10,"Brouwerij ""De Prael""", 5 stars ,2 months ago,"Great beer selection, exceptionally nice staff and a tasty BLT. What more can I say? If you're in the area try it out, you won't be disappointed."
11,"Brouwerij ""De Prael""", 4 stars ,3 years ago,"Brewery with a great ambience right by ams central. It's easy to miss this since it's on a narrow side street. They have a good selection of beers and a decent food menu. Their flight of 5 beers is a good choice to have!  I felt service was slow, they have a lot of tables and not enough servers. Buy I will definitely visit again"
12,"Brouwerij ""De Prael""", 4 stars ,2 years ago,"A really great place to grab a beer. Brouwerij has managed to make a stunning variety of beers. I’m not the biggest fan of bitter beers, but there are still a good few that come with less bitterness. The Bitter and Bitterblond are excellent …"
13,"Brouwerij ""De Prael""", 4 stars ,5 months ago,"Its a nice little brewery in the middle of an Alley, quite hidden.

Outside seating is not really a blast as its just Wooden tables next to …"
14,"Brouwerij ""De Prael""", 5 stars ,4 years ago,"Great craft beer bar with the plus of being also a brewery with a wide variety o beers, over 12 different beer and 10 on tap. They even had flight/sampler to enjoy them more candidly! Pretty amazing facilities, comfortable lounge and bar. Great service, very knowledgeable and helpful, they even helped me charge my phone!"
15,"Brouwerij ""De Prael""", 4 stars ,3 weeks ago,"Some nice drinks and they have board games! Def recommend The Kinky Koos, not the greatest music however."
16,"Brouwerij ""De Prael""", 5 stars ,2 years ago,Marsh was an incredible server. Had two flights of incredible locally-brewed beer. What a find in an otherwise touristy area. The pretzel was the best I have ever had. One of my favorite places in my entire Europe trip. Very chill atmosphere. Would come back here in a heartbeat.  Be sure to check out the gift shop too!
17,"Brouwerij ""De Prael""", 3 stars ,3 years ago,"No take out or to go! While the food looked and tasted amazing I would have ordered a lot less had I known I could not take my leftovers with me for another meal.as you can see I ordered a cheese plate meatballs, and a burger. The lack of …"
18,"Brouwerij ""De Prael""", 5 stars ,4 months ago,"Excellent! Beer selection on draught is expansive, atmosphere of the dining area was great, and staff are attentive. 10/10 recommend if you are looking for a great brewery for drinks and/or food. DIPA was great."
19,"Brouwerij ""De Prael""", 1 star ,2 years ago,"Encountered unbelievable hostility in this tavern, no clue at all. Waiters abruptly showed at the table and asked why we asked for three empty plates as we were obviously sharing all the dishes. Was told they were “a brewery not a …"
20,"Brouwerij ""De Prael""", 5 stars ,4 years ago,"Great place to hangout in of the comfy chairs and have their own local brewed beer (Weizen is still my favorite). The beer tasting of 5 beers is also nice! And yes they have the best bitterballen I've ever had!! They even have a vegan version of them ✌️Go here, you won't regret!"
21,"Brouwerij ""De Prael""", 4 stars ,4 years ago,"To have such a brewery right in the heart of Amsterdam is great! It does feel a little bit tourist like, wonder if many locals still visit the brewery pub. …"
22,"Brouwerij ""De Prael""", 4 stars ,5 months ago,Good beers in a great location with fun atmosphere.
23,"Brouwerij ""De Prael""", 5 stars ,4 months ago,Very nice brewery with nice stuff and a long selection of craft brews. You can see a bit of the brewery at the back and it has. Avery nice vibe in the city center!
24,"Brouwerij ""De Prael""", 4 stars ,3 years ago,"Went here for some drinks only. We had the Triple, Stout,  and Bitter Blonde. They were all very good and had great smooth texture. However, the lady bartender there was extremely unfriendly and somewhat rude. Would have rated it 5* if she just smile and say hi once :)"
25,"Brouwerij ""De Prael""", 5 stars ,5 years ago,"Awesome atmosphere, amazing beer epic meals and excellent snacks.  Love the hiring process for this bar and brewery.  They hire people who have a herd time getting a job so some can be shy but always very polite and friendly. …"
26,"Brouwerij ""De Prael""", 3 stars ,4 months ago,"I used to love this place but the quality has decreased considerably. Last time we went the food wasn't great, the place was smelly (really bad) and the beer glasses were not super clean. Time for some improvements."
27,"Brouwerij ""De Prael""", 5 stars ,4 months ago,"Very relax place,nice food and there are a lot of different beer.
Lovely people. Good service.
Special thanks to Ruud!  A great guy."
28,"Brouwerij ""De Prael""", 3 stars ,2 years ago,"Tasted 8 beers, enjoyed the Australian Lager, Bitter Blonde, and Wheat.  Found the Alt Bier to be sour, not a good representative of the style.  The Scotch Ale had a hint of smoke, the Dubbel and Tripel are high alcohol and had a hard time concealing that fact.  IPA was ok."
29,"Brouwerij ""De Prael""", 4 stars ,2 years ago,"Been here twice: first time I've had an hamburger, it was good but nothing special. Happy I got back and tried the spicy chicken, which I loved!
The beer was great, as always."
30,"Brouwerij ""De Prael""", 4 stars ,2 years ago,Good Beer Collection. Must do the Beer Tasting. Really loved the flavourful Wheat Ale
31,"Brouwerij ""De Prael""", 5 stars ,4 years ago,My second favorite brewery in Amsterdam. Variety of good beers (made on the site) at competitive prices and nice ambience. They have also decent meals and snacks. The burger was pretty good.
32,"Brouwerij ""De Prael""", 4 stars ,4 months ago,"Good place to have some beer, and a meal if you're hungry. Avoid evening peak hours though, it can be crowded and loud inside."
33,"Brouwerij ""De Prael""", 5 stars ,2 years ago,"Good bar tucked away from the hustle and bustle. Beer menu is all from the brewery itself and there's a good range including wheat, pales, IPA and Belgian Quads. Seemed to have a decent food menu as well but didn't eat here."
34,"Brouwerij ""De Prael""", 5 stars ,a year ago,"We just happened to be passing this place, saw someone sampling a flight of beers and thought we’d give it a try. We are so glad we did! The beer is great, brewed on site, and the servers are attentive and friendly. We’ll definitely be going back soon!"
35,"Brouwerij ""De Prael""", 4 stars ,4 months ago,"Nice place for beers and food, but slow serving. Sometimes you may need to repeat couple of times what you ordered"
36,"Brouwerij ""De Prael""", 5 stars ,4 months ago,Great place. Nice goals. Food and beer pair very well. Also a great place to host an event.
37,"Brouwerij ""De Prael""", 5 stars ,5 months ago,I just can make a review about the beer and this was very delicious. Highly recommendable location with a good service.
38,"Brouwerij ""De Prael""", 4 stars ,a month ago,Cozy vibe and friendly staff! The tap beer is nice to try.
39,"Brouwerij ""De Prael""", 4 stars ,7 months ago,"Very quiet for lunch, perfect place to relax with a good meal. The burger was perfect and the fries were gigantic. The beer selection is large, covering many styles and flavors."
40,"Brouwerij ""De Prael""", 5 stars ,4 months ago,"Friendly staff, great food, amazing beers! 100% recommended."
41,"Brouwerij ""De Prael""", 5 stars ,2 years ago,"I searched high and low for this brewery and am so glad we found it! The Blonde was fantastic and the bitterballens were delicious. Really lovely seating areas, lots of space, nice and bright, and located around the red light district so lots of fun in the neighborhood. Definitely worth tracking down!"
42,"Brouwerij ""De Prael""", 5 stars ,2 years ago,Great brewery tucked down a small street in the Red Light District. I've never had a beer here I didn't like. Plenty of cozy seating and a small outdoor space.
43,"Brouwerij ""De Prael""", 4 stars ,3 years ago,"The place is nice and usually crowded. They serve their own brewed beer at regular Amsterdam prices. However, the place is understaffed, and those that do work there are unfriendly. Haven't tried the food, but it looked really delicious."
44,"Brouwerij ""De Prael""", 5 stars ,2 years ago,"Best beers in Amsterdam, also an awesome Nachos . Take the tasting beer you won’t regret"
45,"Brouwerij ""De Prael""", 5 stars ,4 years ago,Was recommended to come here by one of the locals. They have different variations of craft beer. Some place to unwind at the center of the busy city.
46,"Brouwerij ""De Prael""", 5 stars ,5 months ago,This place has terrific beer and food. Some waiting staff is actually sincerely pleasant.
47,"Brouwerij ""De Prael""", 5 stars ,3 years ago,"Great brewery in the heart of the red light district. Cosy atmosphere, tasty beer and light snacks perfect for any occasion... Cause who needs excuses to enjoy a craft beer or two! 🍺😎"
48,"Brouwerij ""De Prael""", 5 stars ,2 years ago,"Great place in Amsterdam to drink a beer. Environment so friendly and there are some table games to use, sadly most of them are not complete."
49,"Brouwerij ""De Prael""", 5 stars ,4 years ago,"This place was so good. A great atmosphere, nice beers and a nice change from the too-crowded, stag party, stoned crowd just around the corner. The thing that really made it special though were the staff. They really made our night. A great place."
50,"Brouwerij ""De Prael""", 5 stars ,2 years ago,"Good adventurous selection of brews and somewhat sarcastic staff selling it. ""You don't want that"" is what they say to anyone enquiring about liquid bacon. And rightly so. Still, they sell it. I only had an hour so I had to be quick; …"
51,"Brouwerij ""De Prael""", 5 stars ,3 years ago,Check this spot out after you get off the train at Centraal Station. It's super close by and has delicious beers and tasty food. There are a handful of rooms each with different types of seating so you'll for sure find a place to sit that's perfect for you. Check them out! They do awesome things for the community and are super friendly.
52,"Brouwerij ""De Prael""", 5 stars ,4 years ago,"Try the beer tasting menu, it includes 4 draughts, water and salted/ roasted peanuts. Beer is amazing. The place has a nice personal touch to it. Plenty of seating space. They accept credit card."
53,"Brouwerij ""De Prael""", 4 stars ,5 months ago,"Nice place for some locally brewed beers, though quite a noisy place for my taste."
54,"Brouwerij ""De Prael""", 5 stars ,3 months ago,Amazing brewery tucked away in main Amsterdam.  The food was so good and the beers even better!
55,"Brouwerij ""De Prael""", 5 stars ,3 years ago,"Lovely atmosphere, great food, good selection of wine and soft drinks too. Small plates were great, very tasty. Would recommend!"
56,"Brouwerij ""De Prael""", 5 stars ,6 months ago,"Delicious food and good service.  Large list of beers. We enjoyed all the drinks, food and atmosphere."
57,"Brouwerij ""De Prael""", 5 stars ,3 years ago,"Really enjoyed visiting this place. If you like your craft beers, I couldn't recommend anywhere better! Was a little tricky to find but I got there in the end. Good and friendly staff, excellent beer."
