,Name,Review Rate,Review Time,Review Text
0,Bunga Mawar, 5 stars ,4 years ago,Small Indonesian joint run by a lovely old couple. Considering the location I found it surprisingly non-touristy yet welcoming. Sight of the old lady greeting locals coming in for a meal reminded me of a friendly aunt. I tried what I assume …
1,Bunga Mawar, 4 stars ,a year ago,"This place is not too far from the Centraal station. Homey interiors and not too big.
The food tasted good but not great for my Indonesian tongue :p …"
2,Bunga Mawar, 5 stars ,4 years ago,This is now one of my favourite restaurants I've been to in the world! The food was SO DELICIOUS! I would definitely come back here if I'm ever in Amsterdam again. It's a must try!
3,Bunga Mawar, 1 star ,2 years ago,"Sadly does not live up to the hype. Ice cold rice, cold vegetables. Asked for the rice to be heated and we were told they didn't have a microwave. No apology or explaination. Hideous service. Sorry but we didn't want to risk food poisoning.  Half the menu also unavailable. Incredibly disappointing."
4,Bunga Mawar, 5 stars ,3 years ago,Small homely Indonesian restaurant in the middle of the hustle and bustle of the city. Came here with the family and we all enjoy the food very much.  Ordered the Nasi Rames which comes on different bowls and Ayam Pedas. Portions are …
5,Bunga Mawar, 5 stars ,2 years ago,Small restaurant run by an elderly Indonesian couple. The food was very good and well portioned. Would go back!
6,Bunga Mawar, 5 stars ,2 years ago,"Great, authentic Indonesian food prepared by an old woman and her husband (?). Cheap prices and good service."
7,Bunga Mawar, 5 stars ,3 years ago,"Quiet little place in the middle of a terribly busy area. Homely, delicious food and friendly service. Get the nasi rames for a nice assortment of dishes."
8,Bunga Mawar, 5 stars ,2 years ago,Great authentic Indonesian food - Indonesian level of spicy ;) and very nice owner!
9,Bunga Mawar, 5 stars ,2 years ago,"A jewel tucked away among the narrow streets of Amsterdam. Small and quiet with a feel of visiting an close family member, waiting by the table and talking about old memories while they prepare a home cooked meal for you and your friends. …"
10,Bunga Mawar, 5 stars ,2 years ago,"Good food at a great price

We wanted to try Indonesian food and Bunga Mawar was nearby. Glad we went as …"
11,Bunga Mawar, 1 star ,2 years ago,Too expensive and dishes are too simple. Also 3€ for rice??! It should be free
12,Bunga Mawar, 1 star ,2 years ago,"Cold rice for €3, half of my urapan was too cold to eat, staff wouldn't reheat food. Half the items on the menu weren't available. Cash only, so come prepared - or even better, don't risk food poisoning and go somewhere else."
13,Bunga Mawar, 1 star ,2 years ago,Unfortunately did not live up to all the glowing reviews. The service was poor. Many items on the menu were unavailable. When our food arrived the rice and vegetables were cold and we were unable to eat it in the fear of getting food poisoning. Such a disappointment.
14,Bunga Mawar, 5 stars ,5 years ago,"I would recommend this as an insider tip! Quickly overlooked because of its simplicity, this restaurant will spoil you with heavenly delicious food and a very authentic and friendly athmosphere. Makes you dream about travelling and feel …"
15,Bunga Mawar, 5 stars ,2 years ago,"We had chicken satay and spicy chicken. Both were incredible! There was so much flavor. Service was great and prices were great, especially for the location. Highly recommend."
16,Bunga Mawar, 5 stars ,2 years ago,The food is good and comes in big portion. The restaurant feels homey as if we're eating at a traditional waroong in indonesia. The owner is very friendly.
17,Bunga Mawar, 5 stars ,3 years ago,We had the lamb with vegetables and rice.  Delicious flavours and large portions.  The couple are lovely and welcoming.  Worth the visit.
18,Bunga Mawar, 4 stars ,2 years ago,"Food - 5 Stars. Atmosphere - 1 Star. A friendly little restaurant with some fantastic food, but it's far too quiet. Very reasonablly priced."
19,Bunga Mawar, 5 stars ,2 years ago,A great find in an historic part of Amsterdam. Food is excellent. Tasty and distinct in it’s flavours. Prices are excellent. And remember it’s cash only. Wonderful meal.
20,Bunga Mawar, 5 stars ,3 years ago,Totally in love with the food. The old couple super nice and warm. Quiet and lovely atmosphere. Recommend to anyone who wanna try Asian food
21,Bunga Mawar, 3 stars ,2 years ago,"food was just nice, not too pricy but the madam owner little bit ""cool"". This is a right place when you far from hometown or miss Indonesia food badly."
22,Bunga Mawar, 5 stars ,3 years ago,"Very homely experience, and we thoroughly enjoyed the food. It's like if your grandparents were Indonesians and you were over for dinner!"
23,Bunga Mawar, 4 stars ,3 years ago,authentic taste of indonesian cuisines *crying in happiness* a bit pricey but still more affordable than other indonesian restaurants. love it 😍
24,Bunga Mawar, 5 stars ,4 years ago,"The food here is great, authentic and the portions are amazing. Don't get put off by the old style decor and miss out on the food!"
25,Bunga Mawar, 4 stars ,4 years ago,"Large portions and reasonable price But atmosphere not good, very old and dump. Surprisingly the curry did not get into the chicken meat"
26,Bunga Mawar, 5 stars ,2 years ago,Visited during the mid afternoon when it was so quiet! Food was wonderful and staff was very attentive and sweet.
27,Bunga Mawar, 5 stars ,3 years ago,Super tasty Indonesian food! The owners are very nice people! 👍
