,Name,Review Rate,Review Time,Review Text
0,Burger King, 5 stars ,8 months ago,"Great playlist people, we’ve been vibing to it for at least an hour now! Who needs clubs anymore right? 💃🏻🕊"
1,Burger King, 3 stars ,5 years ago,"For a Burger King on a crowded street as this, it ain't a bad one. They're pretty fast and there's some seating upstairs, however because of the location it's not huge so I don't recommend excepting to sit all together if you're with a big …"
2,Burger King, 5 stars ,a year ago,Exceptionally organised with fully respecting the COVID measures and then some! Every table was cleaned with alcohol literally moments after clients departure.  This restaurant is truly leading by example and setting a high standard and …
3,Burger King, 2 stars ,4 years ago,"Pros: Cheap nuggets, alright milkshake
Cons: The cheap nuggets tasted very cheap. Burger King food is in general pretty meh"
4,Burger King, 2 stars ,2 years ago,"Well, it's a Burger King in a tourist area, where people get high and drunk. Dirty bathrooms, decorated with the casual drug paraphernalia, and the food is not worse or better than in any other big fast food chain. I remembered afterwards why I haven't been to BK or McD for a very long time. 2 stars just for the friendly staff"
5,Burger King, 2 stars ,2 years ago,"The place is relatively clean, the apartments cost 0.50 euros, but if you put in 20 + 20 + 10, it is not written that it is impossible and then no refund. You add another 0.50 in one currency to enter the bathroom, even if you eat there ..."
6,Burger King, 2 stars ,3 years ago,Again as with a lot of Amsterdam’s fast food restaurants the problem with ordering food then unable to find a seat. Service is fast but burgers are cold 🤷‍♂️. The standing area at the front is often the only place to eat your burger. The toilets certainly need some attention.
7,Burger King, 1 star ,4 years ago,"The worst burger king I've ever visited. They charge you additionnally for the ketchup. They charge to use the toilet. And I had a really bad experience. When I was there the, I used the toilet, he charged me and while I was searching the …"
8,Burger King, 2 stars ,2 years ago,It's a Burger king. You need 50cents for the toilet but you can order extra burgers in a meal. With plenty of great places to eat nearby I would dodge it and go elsewhere
9,Burger King, 5 stars ,2 years ago,european menu is always better than the UK options...even the mayo tastes  different..sweeter..better...friendly staff...only thing is this having to pay to use the toilet even though u are already a paying  customer but this seems to be the custom throughout Europe and seems to be a good incentive for people to keep them clean
10,Burger King, 5 stars ,2 years ago,"Coming from America and having burger King in Europe, it's always fresh, clean establishment, and efficient with the food ordering and presentation. I always enjoy having McDonald's or a burger kind in Europe. Delicious."
11,Burger King, 1 star ,3 years ago,"horrible food. no qualitt control. Burger buns were old and dry. the patties were almost cold. extremly overpriced. sauces all costs extra, even if you get a menue. 2.25 for a simple cheeseburger"
12,Burger King, 5 stars ,4 years ago,A bit slow but ok for a quick bite to eat
13,Burger King, 1 star ,4 years ago,"While I was eating here on the upper floor a few days ago, a few men came in distributing flyers and soliciting for money.  This was extremely annoying, but the staff did not do anything about it, and just let them carry on bothering other …"
14,Burger King, 4 stars ,4 years ago,"Nice, small Burger King with friendly staff."
15,Burger King, 4 stars ,a year ago,"Love their curly fries & this place served food very fast, it's good for people if want to get food fast with minimal waiting time."
16,Burger King, 4 stars ,a year ago,Fast food restaurant has a special way to present the hamburger in a new way and a new taste and the same way to prepare and cook in all branches advised in his experience
17,Burger King, 3 stars ,7 months ago,A normal burger king but why do i have to pay to use the restroom??
18,Burger King, 5 stars ,5 years ago,Freshly made burgers the fries are amazing. On a busy day it's impossible to get seats. 0.50 cent for bathroom use .
19,Burger King, 4 stars ,2 years ago,"The food that is served was somewhat smaller and more simple. Also the prices were somewhat high, the opening hours are very good though."
20,Burger King, 4 stars ,2 years ago,"Pretty good but i miss the deal where you get 2 burgers, chicken nuggets, fries, and a drink for around 5 euros"
21,Burger King, 4 stars ,a year ago,It was nice to eat here only the toilets where a little bit under the normal standard of what a toilet should be
22,Burger King, 1 star ,3 years ago,"Good attention. But you have to pay 0.5 euro to go to the bathroom even if you eat there. Not only that, the bathroom was really dirty.  Such a disappointment."
