,Name,Review Rate,Review Time,Review Text
0,Burger Zaken, 5 stars ,a month ago,"It says on the window the best burgers and after trying them I have to whole heartedly agree,  the 250 with old amsterdam cheese and mayo was superb."
1,Burger Zaken, 5 stars ,3 months ago,"The burgers in this place are top notch, everything is well cooked. You really do get a full plate, excellent value for the money"
2,Burger Zaken, 4 stars ,5 months ago,"A very genuine burger, we were very impressed. The service was also great. The fried egg was also done properly. The fries to die for, not the usual type. If they had sweet potato fries it would have been heaven for me but definitely we will come back. Good value for money!"
3,Burger Zaken, 5 stars ,5 months ago,"18 sept 2021: Fantastic burger- tasty, moist, full of flavour, hot and fresh. I'll recommend Burger Zaken to my all my friends. Well done guys."
4,Burger Zaken, 5 stars ,2 years ago,"Burger was delicious. The guys making the burgers were really nice. They told me to follow them on Instagram. Check out my burger. The bueger already comes with lettuce, tomato, pickles, and their homemade burger sauce. I added pineapple, cheddar cheese, and ketchup sauce."
5,Burger Zaken, 5 stars ,2 years ago,"Very good vegetarian burger! The price is affordable, and the portions are huge! The place may be a little small, but the food was great."
6,Burger Zaken, 4 stars ,4 years ago,"Happened upon here randomly, truth be told the very reasonable prices drew us in. €20 for two burgers, a topping, shared fries and a drink each. …"
7,Burger Zaken, 1 star ,5 months ago,Really terrible service. Disrespectful and just plain rude. Typical Dutch.. But I wouldn't recommend for a second! Just gross in every way
8,Burger Zaken, 2 stars ,5 months ago,"Not bad, although there was an ant on my dish 😅"
9,Burger Zaken, 4 stars ,3 years ago,"I will say burguers are ok, they are big, I tried the Angus beef and it's good. Prices are normal, everything is a topping (sauces, bacon, cheese, mushrooms, etc) Basic is only Meat, lettuce and pickles. …"
10,Burger Zaken, 5 stars ,3 years ago,Probably the tastiest burger I have ever had! We ordered two Black Angus Beef Burgers with fries and it was just simply amazing. Definitely worth a visit when coming to Amsterdam!
11,Burger Zaken, 4 stars ,2 years ago,Great burgers but chips where a bit too salty for me to fully enjoy.
12,Burger Zaken, 5 stars ,4 years ago,Staff is great and super fast even when its super crowded !! Its a place for a burger lovers where you can make a burger choosing what ever you want!! This place is super super popular for a local ppl so dont expect low quality fast …
13,Burger Zaken, 2 stars ,2 years ago,Not so Good  The burger was dry and The bun didn't feel fresh
14,Burger Zaken, 1 star ,4 years ago,"Don't say that you have a veggie burger on your menu, when you are selling this soggy contraption of an excuse as a 'veggie' patty. Your server said that ""the menu says it would be medium rare"". Are you kidding me? what does that even mean …"
15,Burger Zaken, 4 stars ,2 years ago,"Build your own burger. Great quality succulent meat and chicken, ok price."
16,Burger Zaken, 3 stars ,3 years ago,Good and reasonably priced place for a burger fix
17,Burger Zaken, 5 stars ,5 years ago,"I love this place. The burgers are super tasty and made in front of your eyes. The place is a little small, but like every other place in Amsterdam. :)"
18,Burger Zaken, 4 stars ,5 months ago,Had a fresh and delicious chicken burger. Recommend.
19,Burger Zaken, 4 stars ,2 years ago,They serve one of the best burgers in town for real!
