,Name,Review Rate,Review Time,Review Text
0,Cafe Balkon, 2 stars ,5 months ago,"We ordered 2 Ramen and sushi.
It's one of Worst RAMEN in my life. It's totally not tasty of Ramen and isn't normal noodle for Ramen. It's like kind of1 Chinese soup. And It's so small …"
1,Cafe Balkon, 5 stars ,4 months ago,"Well,  one has many choices and everything was delicious 😋 worth trying. Waitress cute and polite . Beautiful scenery for a fair price."
2,Cafe Balkon, 5 stars ,3 years ago,"I was seeking for the restaurants that serve ramen and stumbled upon this one. The interior is cool and the views are fascinating, so  I didn’t have to think twice. We arrived in the middle of the day, lunch time. The place was almost full, …"
3,Cafe Balkon, 4 stars ,a month ago,Everything is fresh and delicious 👌🏻
4,Cafe Balkon, 5 stars ,2 years ago,"Great service and good atmosphere, so unique decoration. Asian food is good for Europeans but normal for Asians. Btw this is good place in Minsk that you should visit :)"
5,Cafe Balkon, 4 stars ,3 years ago,Great place for a break from Belarusian cuisine while in Minsk. Nice selection of sushi and hot Asian dishes. We had three different rolls and all were very fresh and delicious. Their cocktail selection was equally as good with their Tom …
6,Cafe Balkon, 1 star ,7 months ago,"Unfortunately, this cafe has become a victim of its success, and has cut the quality of food significantly. The last time I was here a year ago, I had some amazing Ramen and Pho. The ramen was full to the top of ingredients and tasted …"
7,Cafe Balkon, 2 stars ,2 years ago,We came there as a group of 3 at around 10 pm on Friday night. The hostess seemed to be extremely annoyed by having new guests and told us that they had no free tables. Nevertheless we asked to come in and check and discovered approximately …
8,Cafe Balkon, 4 stars ,2 years ago,I been there 2 month ago its a perfect view and nice service
9,Cafe Balkon, 5 stars ,3 years ago,"Great food for a fair price.
Dishes are mostly Japanese but there are also few examples of other Asian cuisines. Staff is nice and service is pretty fast (you'll get what you've ordered in …"
10,Cafe Balkon, 5 stars ,7 months ago,"Lovely sunset view,  tasty food nicely served by polite waiters)"
11,Cafe Balkon, 2 stars ,3 years ago,"Wok is ok here.
But asian soups are not cooked good at all.
And the worst thing - everything is too slow. You need to wait ages before you …"
12,Cafe Balkon, 4 stars ,4 years ago,"Tasty Belarusian and Eastern European food, and love their soup. Veg and Vegan option is also available. Been here for two times within my 5 days trip in Minsk. Minus one star due to their hot dishes are served warm, and their slow service."
13,Cafe Balkon, 5 stars ,10 months ago,Fusion Asian restaurant with a good tartare during summer. Nice food!! Reserve during weekends
14,Cafe Balkon, 5 stars ,2 years ago,"Great interior, delicious food, incredibly fast and efficient service."
15,Cafe Balkon, 5 stars ,2 years ago,Great place.. great sushi rolls 😍😍
16,Cafe Balkon, 4 stars ,6 years ago,Very nice place with a wunderfull view outside. The sushi is really worth trying. Music is a bit too loud for this kind of place.
17,Cafe Balkon, 4 stars ,2 years ago,Very Good. Great venue with a beautiful view of the station square. A place to visit that remains for decoration and place in memories
18,Cafe Balkon, 5 stars ,5 years ago,High quality food. Amazing views. Great service. Little bit upscaled.
19,Cafe Balkon, 3 stars ,3 years ago,Waitress is way to slow here. Desserts is not tasty but food is not bad
20,Cafe Balkon, 5 stars ,3 years ago,"Nice location, good kitchen, lunch menu as well. Service very attentional"
21,Cafe Balkon, 5 stars ,2 years ago,Rolls are expensive but everything else is nice and tasty.
22,Cafe Balkon, 4 stars ,2 years ago,"Very interested Asian restaurant, friendly prices for lunch menu"
23,Cafe Balkon, 4 stars ,5 years ago,Love this place mostly for the view. Asian food in Minsk is not that good.
24,Cafe Balkon, 4 stars ,10 months ago,Tasty dinner for reasonable price
25,Cafe Balkon, 4 stars ,6 years ago,"Very nice view to the city, tasty kitcgen, but the music is louder than comfortable level"
26,Cafe Balkon, 4 stars ,4 years ago,Medium food and service. But great view.
27,Cafe Balkon, 5 stars ,3 years ago,One of the best sushi restaurants in Minsk.
28,Cafe Balkon, 3 stars ,3 years ago,Good cocktails. Food - nothing special
29,Cafe Balkon, 5 stars ,a year ago,A best place near the railway station
30,Cafe Balkon, 4 stars ,3 years ago,"Amazing view, but could be bit more special"
31,Cafe Balkon, 5 stars ,8 months ago,Loved it
32,Cafe Balkon, 4 stars ,3 years ago,The order take too much time.
33,Cafe Balkon, 3 stars ,2 years ago,Pretty much crowded place.
34,Cafe Balkon, 5 stars ,5 years ago,Nice food and service.
35,Cafe Balkon, 5 stars ,2 years ago,Good
36,Cafe Balkon, 5 stars ,a month ago,"(Translated by Google) Very nice, cute place, with a gorgeous view and a delicious menu 🤤
Especially for vegetarians who eat fish and seafood. Helped with the choice of …"
37,Cafe Balkon, 4 stars ,2 months ago,"(Translated by Google) Delicious beef salad here. I highly recommend giving it a try. The rolls are all delicious here. Delicious hoppy and hot cherry punch = 9bel. rub., …"
38,Cafe Balkon, 3 stars ,6 months ago,"(Translated by Google) Everything is beautiful in the pictures and in the reviews of some visitors. In reality, it is expensive, small portions, not tasty, pretentious without meaning, …"
39,Cafe Balkon, 5 stars ,2 months ago,"(Translated by Google) Today I dined there, took a dish with rice, shrimps, bell peppers and mushrooms. I liked it very much, delicious. The portion is large. The croissant was also very fresh. …"
40,Cafe Balkon, 5 stars ,6 months ago,"(Translated by Google) Today was a great evening at this establishment. This is not the first time I visit this cafe. Everything is always at the highest level - service, food, comfort and atmosphere. No questions asked about food and …"
41,Cafe Balkon, 1 star ,7 months ago,"(Translated by Google) More than once we ordered the delivery of sushi cafe ""Balcon"", never let down, but today it's just a shock! One of the rolls caught a bone 1.5 cm long. The bone got stuck in the gum. Of course, I understand …"
42,Cafe Balkon, 2 stars ,3 months ago,"(Translated by Google) The tea was brought in an initially sticky glass with adhered hair. Menu without a photo and now I understand why - in the photo, instead of finely chopped salmon, there is salmon-containing mass for 10 rubles. A …"
43,Cafe Balkon, 3 stars ,a month ago,"(Translated by Google) Have been to this establishment many times. We arrived on the evening of February 14th. I didn’t manage to eat sushi ... The waiting time was about two hours ... No matter how you expect the best preparation, you …"
44,Cafe Balkon, 5 stars ,7 months ago,"(Translated by Google) Good day) I want to leave a wonderful review about this institution) The first thing we noticed was the friendly staff, everyone, without exception, whom we met on the way, greeted us. Sushi pleased with its pleasant …"
45,Cafe Balkon, 5 stars ,2 months ago,"(Translated by Google) The most comfortable place and delicious! I especially love sea buckthorn tea here, especially in winter 💫😊 …"
46,Cafe Balkon, 4 stars ,6 months ago,"(Translated by Google) The very center, next to the train station, is a little pretentious (instasam and instasamers come to have tea and take pictures)
Sushi is delicious, I took Philadelphia light - everything went fine to me. …"
47,Cafe Balkon, 1 star ,6 months ago,"(Translated by Google) The food has deteriorated a lot. In rolls, instead of salmon, trout (self-salted and suspiciously fresh) now contains LONG-GRAIN rice and tasteless curd cheese (obviously on substitutes and with vegetable oil). These …"
48,Cafe Balkon, 5 stars ,6 months ago,"(Translated by Google) Nice view, delicious Asian cuisine, polite staff. From the food I especially liked the Philadelphia sushi. …"
49,Cafe Balkon, 5 stars ,2 months ago,"(Translated by Google) As always wonderful) tasty, unobtrusive, polite and calm! …"
50,Cafe Balkon, 2 stars ,a month ago,"(Translated by Google) Rolls are delicious. I don't recommend ordering drinks from them. Unfortunately, I saw mold on the pineapple too late. …"
51,Cafe Balkon, 4 stars ,7 months ago,"(Translated by Google) Unfortunately the terrace was closed. The terrace would be nice. The atmosphere is pleasant, the service was quick. The food was delicious. In cocktails - half ice …"
52,Cafe Balkon, 5 stars ,2 months ago,"(Translated by Google) Perfect place. Tasty food. Special thanks to the bartenders for delicious cocktails and pleasant communication. May Thai is the best in Minsk. In addition, they will always offer something new. We love this place with …"
53,Cafe Balkon, 1 star ,3 months ago,"(Translated by Google) Several times a year, for 2-3 years, I definitely went to this restaurant to eat the best Ramen. But everything goes away. Today they brought me a regular noodle and lard soup instead of the awesome Ramen. When I …"
54,Cafe Balkon, 5 stars ,a year ago,"(Translated by Google) Very nice and calm place. Everything in the kitchen is delicious. We were pleased with the cocktails, dessert, and main course. They even ordered takeaway sushi) thanks a lot to the waiter Eugene. The staff are very …"
55,Cafe Balkon, 5 stars ,5 months ago,"(Translated by Google) Nice place, delicious sushi, nice city view

(Original) …"
56,Cafe Balkon, 1 star ,a month ago,"(Translated by Google) I ordered delivery from this establishment, the result is fish poisoning!
Now I really don’t give a fuck what kind of suppliers you have and your fairy …"
57,Cafe Balkon, 3 stars ,5 months ago,"(Translated by Google) Recently we came in, the waiter was very disappointed, the feeling that it was a trainee. …"
58,Cafe Balkon, 5 stars ,7 months ago,"(Translated by Google) The most luxurious rolls, the best I've tried ever. Great view if you sit on the summer veranda. …"
59,Cafe Balkon, 3 stars ,3 months ago,"(Translated by Google) Served for a very long time. As a result, we almost missed the train.
It took about 15 minutes to accept the order, then the order was waited for …"
60,Cafe Balkon, 4 stars ,2 months ago,"(Translated by Google) I would like to update the interior! The kitchen is delicious, but I love hot dishes …"
61,Cafe Balkon, 4 stars ,8 months ago,"(Translated by Google) The place itself is good, the location is great. When visiting, there was a confusion with the order - it was given to other people. As a result, we waited for our order for a very long time and the other couple had a …"
62,Cafe Balkon, 5 stars ,6 months ago,"(Translated by Google) Nice establishment. We were looking for a place to eat, and Google gave out this cafe. The cafe has a pleasant atmosphere, comfortable sofas, there is an opportunity to take a table on the balcony. In general, the …"
63,Cafe Balkon, 3 stars ,3 months ago,"(Translated by Google) HORRIBLE ramen: weak and sweet broth, sweet meat, weird noodles, a bunch of corn. But not a bad Americano. Maybe the rest of the menu items are not bad, but something needs to be done with the ramen: / …"
64,Cafe Balkon, 5 stars ,2 years ago,"(Translated by Google) We went to Gastrofest. Seth oooooochen delicious, I advise everyone! They also ordered a set of Funzyama, grated rolls are simply unbelievably tasty! The service is fast and of high quality, the dishes are prepared …"
65,Cafe Balkon, 2 stars ,6 months ago,"(Translated by Google) The pictures are beautiful. But the reality and the picture are very different. Big breakfasts are not big, but ordinary ones. Croissant is so-so. The coffee was lukewarm. In the order there were 2 large breakfasts, …"
66,Cafe Balkon, 3 stars ,2 years ago,"(Translated by Google) Beautiful view of the gates of Minsk. Nice interior. Good service. Prices are above average. Most dishes are sharp, fatty. Very few fresh vegetarian dishes. …"
67,Cafe Balkon, 3 stars ,7 months ago,"(Translated by Google) We took pancakes for breakfast, close to the opening of the restaurant. Honestly, I didn't like it. Dry, uneven pancakes, I'm not sure if freshly made (maybe I'm wrong), it tasted like fried protein with sugar for 7.5 …"
68,Cafe Balkon, 5 stars ,a year ago,"(Translated by Google) Beautiful place. Chinese style interior. Large selection of rolls. In this photo, the set of Fuji, I highly recommend it. A set costs 45 rubles. But it’s worth the money, definitely. Pleasant staff, polite and always …"
69,Cafe Balkon, 4 stars ,5 months ago,"(Translated by Google) Atmospheric interior. If it's summer outside, you're in luck. The view from the terrace is the most beautiful, but if it's another season outside, then you are not very lucky) You can eat food,) but it does not make …"
70,Cafe Balkon, 1 star ,5 months ago,"(Translated by Google) It would be better if I believed the negative reviews :) PEOPLE, SAVE YOUR MONEY, DO NOT GO TO THIS RESTAURANT! There are disgusting rolls with a taste of old butter and desserts that have practically no taste, there …"
71,Cafe Balkon, 3 stars ,5 months ago,"(Translated by Google) Well, that's it. On the tables, everything is shabby, albeit clean, the sofas are the same. I ordered ramen, but the soup didn't look like it and it tasted strange. Soups here generally taste fatty, I do not recommend …"
72,Cafe Balkon, 5 stars ,7 months ago,(Translated by Google) Good evening. We celebrated the birthday of our daughter. Many thanks for the pleasant birthday surprise from the cafe. I liked the interior and the menu very much. We would also like to express our gratitude to the …
73,Cafe Balkon, 4 stars ,a year ago,(Translated by Google) Excellent cuisine. Great service. Comfortable. The only thing missing is traditional music and dotted atmospheric lights on the tables. …
74,Cafe Balkon, 4 stars ,6 months ago,"(Translated by Google) I liked everything very much! Delicious food, drinks, polite staff. Very nice room and terrace)
True, I wanted to order ramen, but I was told that for some reason it is not …"
75,Cafe Balkon, 5 stars ,2 years ago,"(Translated by Google) Here you can choose a table both on the terrace with a gorgeous view of the gates of Minsk and inside, although you have to put up with other sounds, for example, playing air hockey, which interrupt the music, but …"
76,Cafe Balkon, 5 stars ,2 years ago,"(Translated by Google) The balcony served very well. The dishes are delicious. The waiters had time not only to quickly serve, go and talk, discuss horstest. Although there were a lot of people in the evening, they served quickly, everyone …"
77,Cafe Balkon, 5 stars ,3 years ago,"(Translated by Google) A large institution, cozy, but too dark, despite this, on a weekend evening, you often have to wait for a free seat. Due to the high turnover, you have to wait long enough, but it's worth it! The waiters are a …"
78,Cafe Balkon, 5 stars ,2 years ago,"(Translated by Google) Looking for where to kill time before the film show and went here. Pleasant impressions left the place and a wonderful view. The menu is well chosen, the interior is perfect. Oriental dishes are one of the best in the …"
