,Name,Review Rate,Review Time,Review Text
0,Cafe De Pool, 5 stars ,4 months ago,"If you happen to stay in one of the MGM hotels and want to avoid the  crowned. This is the to go place.
Direction: Go to the Bellagio lobby and follow the sign says "" recreation …"
1,Cafe De Pool, 4 stars ,5 months ago,"Good friendly staff, great food and refreshing drinks collection.
Would recommend Miami Vice
Make sure you double clarify the timings with Concierge as well as the website - employees seem to be confused always on timings."
2,Cafe De Pool, 5 stars ,6 months ago,Recommend the Miami Vice frozen when it's over 100° our. Servers are on top of the pool deck too. Great stuff.
3,Cafe De Pool, 5 stars ,2 years ago,"What a great way to start your morning! The staff is so kind and welcoming, and the food is tasty with good sized portions. I really enjoyed my breakfast sandwich, which came in a croissant and with fresh fruit and berries. My husband's …"
4,Cafe De Pool, 5 stars ,8 months ago,"So, we were having our pool day and were hungry and needed a break in the shade.  The Pool Cafe is kind of unassuming right off the large pool area and I figured it would have some standard grub to gobble down for lunch. …"
5,Cafe De Pool, 5 stars ,11 months ago,"Spent April 8 and 9, 2021 at Cypress pool and Cafe in The Bellagio. Wonderful atmosphere, heated pool, fantastic service. Excellent breakfast and lunch at the Cafe. Ronda, Lucas and Jason provided great service, recommendations and made my visit soooooo very special. Thanks to all the Staff at the Bellagio Pool and Cafe!"
6,Cafe De Pool, 5 stars ,2 years ago,"Amazing place. Staff are fantastic especially Lucas, Tina and Blanca they can't do enough for you. Food is superb. Highly recommended."
7,Cafe De Pool, 5 stars ,8 months ago,Justin was our server and probably one of the best servers we've ever had. Excellent service and customer service from start to finish. Great food as well!
8,Cafe De Pool, 5 stars ,3 months ago,"Fabulous place to start the day! The pastries, The Jersey sandwich, The espressos 🤤."
9,Cafe De Pool, 5 stars ,a year ago,"Go see Ronda at the pool cafe!  She will take care of you with the BEST service you’ll find  anywhere!  She will light up your day with her infectious awesome attitude!! If you need a pick me up, go have a GREAT meal and see my new friend Ronda!"
10,Cafe De Pool, 5 stars ,a year ago,Great taste and great price for the location experience  and ambiance. If you order at the pool it’s another menu. Had both and they were great!
11,Cafe De Pool, 5 stars ,8 months ago,"We loved Bellagio Pool Café! The staff so welcoming and knowledgeable about the hotel and city as well as sites....we were  so happy to have it open again.....
.."
12,Cafe De Pool, 5 stars ,4 years ago,"Truly the best burger I've ever tasted, enough said. The staff was extremely friendly and helpful."
13,Cafe De Pool, 3 stars ,2 years ago,"Had the chicken sandwich and wings, was pleasantly surprised. Good, not amazing but nice for a poolside lunch under misters to get out of the heat. One note, most alcohol beverages are $20+ a piece."
14,Cafe De Pool, 4 stars ,3 years ago,"Really great, if overpriced experience. I had a simple turkey bacon sandwich on sourdough and a cucumber cocktail - nothing fancy, but everything was great, and it's a nice ambiance with misters by the pool."
15,Cafe De Pool, 5 stars ,2 years ago,"Food is pretty darn from a foodies perspective, wait staff was personable and fresh, and location is comfortable. Would eat here again while staying at another hotel ."
16,Cafe De Pool, 5 stars ,2 years ago,"Excellent surroundings, food and staff.
A special mention to Katrina(Tina) , Lucas and Blanca for their contribution in making our stay a memorable one."
17,Cafe De Pool, 5 stars ,2 years ago,"I really enjoyed taking my breakfast at this place.
I took the egg croissant which was amazing.
Nice view over the pools, prices are correct."
18,Cafe De Pool, 5 stars ,9 months ago,Great food! Follow my Instagram @keacherr
19,Cafe De Pool, 3 stars ,3 years ago,Waited 30 minutes for a menu that never arrived whilst sitting by the pool. Other than that it's a great area to relax.
