,Name,Review Rate,Review Time,Review Text
0,Cafe Sport, 2 stars ,2 years ago,Little too small room space
1,Cafe Sport, 5 stars ,8 months ago,"(Translated by Google) Top tent everything for the customer

(Original)
Top tent alles voor de klant"
2,Cafe Sport, 4 stars ,2 years ago,"(Translated by Google) Lovely terrace and nice people from the neighborhood, great tent! 😁 …"
3,Cafe Sport, 4 stars ,2 years ago,"(Translated by Google) Nice cafe where you can play darts

(Original) …"
4,Cafe Sport, 4 stars ,2 years ago,"(Translated by Google) Parking was poor, beer tasty

(Original) …"
5,Cafe Sport, 5 stars ,3 years ago,"(Translated by Google) Old-fashioned Amsterdam pub in the right way.

(Original) …"
6,Cafe Sport, 5 stars ,2 years ago,"(Translated by Google) Very cozy pub.

(Original)
Erg gezellig kroegje."
7,Cafe Sport, 4 stars ,2 years ago,"(Translated by Google) Small and cozy. Very cosy

(Original)
Klein en knus. Erg gezellig"
8,Cafe Sport, 5 stars ,3 years ago,"(Translated by Google) Lovely Amsterdam pub.

(Original)
Heerlijke Amsterdamse kroeg."
9,Cafe Sport, 5 stars ,2 years ago,"(Translated by Google) no not

(Original)
Nee niet"
10,Cafe Sport, 3 stars ,5 years ago,"(Translated by Google) Just neighborhood cafe

(Original)
Gewoon buurt cafe"
11,Cafe Sport, 5 stars ,2 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
12,Cafe Sport, 5 stars ,3 years ago,"(Translated by Google) An original!

(Original)
Ein Original!"
13,Cafe Sport, 4 stars ,2 years ago,
14,Cafe Sport, 3 stars ,4 years ago,
15,Cafe Sport, 5 stars ,2 years ago,
16,Cafe Sport, 4 stars ,4 years ago,
17,Cafe Sport, 5 stars ,2 years ago,
18,Cafe Sport, 3 stars ,2 years ago,
19,Cafe Sport, 5 stars ,4 years ago,
