,Name,Review Rate,Review Time,Review Text
0,Cafe de Bazel, 5 stars ,3 years ago,Impressive building with a remarkable collection about the history of Amsterdam. Certainly worth a visit.
1,Cafe de Bazel, 5 stars ,2 years ago,I like it so much it’s was really good but I like the farm more to drink freshly 🥛 milk
2,Cafe de Bazel, 4 stars ,4 years ago,"Very beautiful structure, stands apart in the many buildings!"
3,Cafe de Bazel, 5 stars ,5 years ago,"Very nice exhibitions about historic documents of the city, with super nice personel. The building itself is also super cool, take a look to the old security vaults or the boiler room! …"
4,Cafe de Bazel, 5 stars ,3 years ago,Very unusual historical museum and it is for free
5,Cafe de Bazel, 5 stars ,3 years ago,"We had not been sure about coming here, but were happy we did. There is a fantastic exhibition about Amsterdam's history in the treasury, and at the moment an additional special foto exhibition."
6,Cafe de Bazel, 5 stars ,2 years ago,Very interesting cinema showing live footage of old Amsterdam helps understand Amsterdam and how it has grown over time ❤️
7,Cafe de Bazel, 4 stars ,5 years ago,"A special bulding, free entrance and a new exhibitions every few months. There is also a free movie theater and a gorgeous inner space where they once stored money"
8,Cafe de Bazel, 5 stars ,a month ago,"Beautiful building, great staff"
9,Cafe de Bazel, 5 stars ,4 years ago,A history Amsterdam should be known for. Free of charge and worth to visit if you're into history and architecture.
10,Cafe de Bazel, 4 stars ,3 years ago,"Interesting place, where you can find good information about Amsterdam."
11,Cafe de Bazel, 5 stars ,2 years ago,"Amazing, beautiful and fabulous"
12,Cafe de Bazel, 4 stars ,3 years ago,"Very cool place to swing by for great coffee and a interesting gallery. The archives exhibit such varied things as small photo exhibitions, old manuscripts and legal documents critical to Amsterdam history, manuscripts and other pieces that …"
13,Cafe de Bazel, 5 stars ,2 years ago,Intresting exhibition to learn about Amsterdam and its history!
14,Cafe de Bazel, 5 stars ,2 years ago,"Just a temporary exhibit, Fietsstad Amsterdam, but very nicely done! It wasn’t too large, thus managed to keep my interest all way through. Also, very affordable entrance 😉"
15,Cafe de Bazel, 4 stars ,a year ago,Beautiful exhibition about the children left for the city to care for. Impressive building. Well worth it if you have a Museumkaart.
16,Cafe de Bazel, 5 stars ,2 years ago,"The basement museum was quite a nice surprise, free, and definitely worth a visit even though info is in Dutch only. Beautiful building. Also nice to explore the UNESCO section by the entrance."
17,Cafe de Bazel, 4 stars ,2 years ago,Very friendly staff and nice place to get to know the history of the city
18,Cafe de Bazel, 4 stars ,2 years ago,"Very positive experience. To have dedicated spaces for meetings, conferences, workshops and any other related activities is a wonderful idea. It is located at the city center, reachable by public transportation services. Hystorical building but accessible."
19,Cafe de Bazel, 5 stars ,4 years ago,"Great café with nice atmosphere and well priced, super tasty food (loved the tuna melt and the red velvet cake they get from an actual proper Bakery, no chemical-tasting nonsense). The staff was very friendly as well, overall just a great 5 star experience"
20,Cafe de Bazel, 5 stars ,2 years ago,Awesome place to explore. Felt like a movie set
21,Cafe de Bazel, 5 stars ,3 years ago,"Curious about the history of the city Amsterdam? This is the place to learn everything about the origins, history and progress of this great city. An absolute must for the Amsterdam citizen himself and the visiting tourist. The city archives are best accessible by public transport."
22,Cafe de Bazel, 5 stars ,a year ago,A building that used to house a bank now houses the city archives and has a fascinating group of stained glass windows that resembles a very strange tarot deck.
23,Cafe de Bazel, 5 stars ,3 years ago,The old bank vault in the basement is amazing (and free!) to see. It's a beautiful art deco room and there are photos displayed inside. Definitely worth a look
24,Cafe de Bazel, 1 star ,2 years ago,"I came especially to look for my ancestors and was very disappointed from the disability to search by myself or to get some help. I read some nice things about the archives, I made all efforts to get in time and people who work there do not seem to like what they do. That's a pity."
25,Cafe de Bazel, 5 stars ,3 years ago,"Solid on the outside, light and airy inside. Worth a visit just to see the building. Cafe had good coffee and cake."
26,Cafe de Bazel, 4 stars ,2 years ago,Off the path place of interest. Nice gift shop and cafe inside with good bean soup and Toasties...
27,Cafe de Bazel, 5 stars ,3 years ago,"Free! Wonderful building, you have to we it. Old city achieve, very intresting insight to Amsterdam's history."
28,Cafe de Bazel, 4 stars ,3 years ago,Really interesting history of Amsterdam but challenging if you don't know Dutch. Interesting building.
29,Cafe de Bazel, 5 stars ,5 years ago,"Interesting historical building in the center of Amsterdam. It was designed by the architect K.P.C. de Bazel in 1919 for the Dutch Trading Company. The building opened in 1926 and it was ultramodern at that time (concrete frame, technical …"
30,Cafe de Bazel, 5 stars ,2 years ago,"Fantastic exhibitions, especially if you can read Dutch. The gift shop is quaint too!"
31,Cafe de Bazel, 5 stars ,2 years ago,"Nice free short n sweet museum. Opens till 5pm.
Near to flower market. Must go place for history lovers. Free washroom."
32,Cafe de Bazel, 4 stars ,4 years ago,Spent a really interesting afternoon here at no cost . Our aim was to visit the Carre Theatre exhibition which we did but then spent time looking at other exhibits from the national archive. The rooms themselves were fantastic in art deco …
33,Cafe de Bazel, 4 stars ,2 years ago,"Second time here, interesting exhibition  regarding the history of the building and Amsterdam. Beautiful Art Deco building."
34,Cafe de Bazel, 5 stars ,4 years ago,"GREAT PLACE TO VISIT FOR FREE TO FIND OUT MORE ABOUT "" PAST TIMES"" OF AMSTERDAM"
35,Cafe de Bazel, 5 stars ,3 years ago,Amiable atmosphere with very informative exhibition.
36,Cafe de Bazel, 5 stars ,5 years ago,amazing historic building. Have a look inside... the light and bright interior in contrast of the darker appearance outside. Don't forget to visit the fault.
37,Cafe de Bazel, 5 stars ,2 years ago,"Nice place to learn history of Amsterdam, they do have movie theatre about amsterdam. It was the bank of amsterdam, inside they have big metal door to kept valueables but right now they keep important documents"
38,Cafe de Bazel, 5 stars ,2 years ago,Wanna know more about the history of our city? This is the place to go. The rich history of Amsterdam is at your fingertips...
39,Cafe de Bazel, 5 stars ,2 years ago,"Amazing building, free to look around"
40,Cafe de Bazel, 4 stars ,2 years ago,Free entrance daily. Interesting exhibition and very cosy little cinema with short films for free public presentations.
41,Cafe de Bazel, 5 stars ,3 years ago,"We discovered the Stadsarchief Amsterdam as we walking back to our hotel. A fantastic museum, gallery, cafe, bookshop and all for free! Great place to escape the rush of cyclists and you do not need to line up. Excellent for families."
42,Cafe de Bazel, 4 stars ,3 years ago,As a tourist you'd have to see the exhibition cause the books themselves are pretty much all in Dutch :(
43,Cafe de Bazel, 5 stars ,4 years ago,"Great food, good location, smoothies, teas and coffee. The salmon lox sandwich with avocado was very good."
44,Cafe de Bazel, 5 stars ,2 years ago,Nice Cafe and interesting for tourists
45,Cafe de Bazel, 5 stars ,4 years ago,Great food (good coffee) and friendly service.  It’s also uniquely placed under the archives which is open to the public.
46,Cafe de Bazel, 5 stars ,4 years ago,"I was really surprised to find a vault with such an impressive decoration downstairs! It feels like a luxurious bunker in a way.
There are loads of super detailed information about Amsterdam history, I …"
47,Cafe de Bazel, 5 stars ,4 years ago,"Great exhibit of what Amsterdam used to be. It's pretty cool to get a sense of how the city evolved for the past 2 centuries. The layout of the canals, the buildings, the way of living are all different but yet similar to the past."
48,Cafe de Bazel, 4 stars ,2 years ago,Cool place to visit
49,Cafe de Bazel, 5 stars ,2 years ago,"Hidden gem of a place, amazing building"
50,Cafe de Bazel, 5 stars ,2 years ago,Great architecture had an interesting space.
51,Cafe de Bazel, 4 stars ,4 years ago,Good service and a recommendation for scholars and historians interested in Amsterdam's history.
52,Cafe de Bazel, 4 stars ,3 years ago,Free and nice
53,Cafe de Bazel, 5 stars ,5 years ago,"The city archive of Amsterdam, very nice to visit, telling the history of Amsterdam, of before and after the war."
54,Cafe de Bazel, 5 stars ,5 years ago,"Their photography exhibition on Amsterdam in wartime was commendable. However, I wish they had captions in English too."
55,Cafe de Bazel, 5 stars ,3 years ago,For all your needs in historic info about Amsterdam
56,Cafe de Bazel, 5 stars ,4 years ago,"Great exposition ""KIJK Amsterdam"" with drawings and prints from 1700-1800 of the city of Amsterdam with beautiful  animation of old drawings to current situation etc. A MUST SEE!  until January 14 2018"
57,Cafe de Bazel, 5 stars ,5 years ago,The archive of the city of Amsterdam. I love spending endless hours here
58,Cafe de Bazel, 5 stars ,3 years ago,Great coffee and lunch. Cosy and comfortable place after or just as you pass by
59,Cafe de Bazel, 4 stars ,2 years ago,Nice exhibit of Amsterdam map books
60,Cafe de Bazel, 4 stars ,3 years ago,"The stadsarchief (city archive) has some great temporary exhibitions, a nice café (De Bazel), but the real gem is the shop, which is full of fascinating non-touristy Amsterdam stuff like books about art and architecture."
61,Cafe de Bazel, 5 stars ,2 years ago,Very nice place
62,Cafe de Bazel, 1 star ,4 years ago,"Abominable behavior by the security guard. Sometimes it's nicer to answer the question than to scream ""eyes are made for looking"" at the customer, but that seems to go beyond the average Dutchman's cognitive abilities. Ironically it's the Stadsarchief – truly shows what this city stands for.  Bloody disgrace."
63,Cafe de Bazel, 4 stars ,5 years ago,Nice place to visit.
64,Cafe de Bazel, 5 stars ,5 years ago,"Architecturally monumental, historically essential."
65,Cafe de Bazel, 5 stars ,a year ago,"The City Archives are housed in the beautiful Art Deco ‘De Bazel’ building. This is the former HQ of NHM (Nederlandsche Handel Maatschappij), the successor of the Dutch East India Company, at the time an enormous multinational specialised …"
66,Cafe de Bazel, 5 stars ,2 years ago,Very exciting exhibition
67,Cafe de Bazel, 5 stars ,6 years ago,you get to see many documents about the city
68,Cafe de Bazel, 5 stars ,4 years ago,"Historical building with exhibitions, cinema and great service"
69,Cafe de Bazel, 5 stars ,2 years ago,Supper nice employees and good food!
70,Cafe de Bazel, 4 stars ,4 years ago,Nice hotel and conference center. Old style.
71,Cafe de Bazel, 5 stars ,4 years ago,Great space for free!
72,Cafe de Bazel, 5 stars ,2 years ago,Interesting place
73,Cafe de Bazel, 3 stars ,2 years ago,Architecture is interesting
74,Cafe de Bazel, 5 stars ,2 years ago,"Good coffee, sandwiches and soup"
75,Cafe de Bazel, 5 stars ,2 years ago,best Archive
76,Cafe de Bazel, 5 stars ,2 years ago,Very interesting!
77,Cafe de Bazel, 4 stars ,4 years ago,Very interesting
78,Cafe de Bazel, 4 stars ,4 years ago,Tasty veggie eggs bennedict
79,Cafe de Bazel, 5 stars ,2 years ago,Intersting!
80,Cafe de Bazel, 5 stars ,3 years ago,Archives galore
81,Cafe de Bazel, 4 stars ,2 years ago,Top ...
