,Name,Review Rate,Review Time,Review Text
0,Caffe Il Momento, 5 stars ,a month ago,"Lovely and quiet place. I enjoyed my time here as its not crowded, and we sat outside. The carrot cake was too sugary for me, I ate more than half of it because I like nuts. The coffee was good, the workers were polite and it was cheap compared to some other cafes. Would recommend it."
1,Caffe Il Momento, 5 stars ,3 months ago,"Solid coffee, hip interior. Surprisingly uncomfortable furniture.

Love this Italian inspired coffee shop. Not a place for a long sit down as their …"
2,Caffe Il Momento, 4 stars ,4 months ago,"Awesome brownie. The espresso for us is too acidic but the quality should be great. This is definitely not what you get in Italy what I saw in other comments this is typical coffee Dutch import.
For Italian coffee you go somewhere else..."
3,Caffe Il Momento, 4 stars ,5 months ago,Nice espresso and a lovely venue to go to. Nice interieur or sitting on the terrace. Not the high accidity (good roasted beans here ... 😉)
4,Caffe Il Momento, 5 stars ,4 months ago,Really good coffee in a beautiful surroundings at  Singel canal. Inside seating is limited but charmingly decorated. Staff is friendly
5,Caffe Il Momento, 5 stars ,4 months ago,"Amazing coffee 😍
Very nice cakes 😍 …"
6,Caffe Il Momento, 5 stars ,a month ago,"Until now, it’s one of my favorite coffee spots in Amsterdam, but I am still exploring. Definitely recommend this place 👍🏻"
7,Caffe Il Momento, 5 stars ,5 months ago,"Beautiful little place to enjoy a good coffee, and the kindness of the barman makes this place so especial!"
8,Caffe Il Momento, 5 stars ,6 months ago,This is the place for Italian espressos. Really good coffee for a good price. You should definitely check it out.
9,Caffe Il Momento, 5 stars ,4 years ago,"Chill coffee(not shop), not many seats inside but the coffee is very good!
If you are looking to take a break during your visit of the city, this is a perfect stop 😀 …"
10,Caffe Il Momento, 5 stars ,2 years ago,"We stumbled across this coffee shop one evening but unfortunately it was closed (it was around midnight to be fair). Thankfully, the next morning we were at Anne Franks house and this place is about a 5 minute walk away so went there for …"
11,Caffe Il Momento, 5 stars ,2 years ago,"I stopped in this morning not knowing what to expect. Small and cozy are right, seems like a place where regulars hang out. Ordered a double cappuccino to go as I was on my way to a meeting. The texture of the foam on the drink and in the …"
12,Caffe Il Momento, 5 stars ,3 months ago,One of the best coffes in Amsterdam! Really good banana bread and an amazing staff will be waiting for you in the heart of the city
13,Caffe Il Momento, 5 stars ,7 months ago,I mean beside having a good coffee the stuff is really amazing💕
14,Caffe Il Momento, 5 stars ,3 years ago,"Lovely place with tiny terrace outside. Lovely for watching people walking by. Coffee is very nice and on  A stronger side.
Super nice for Sunday mornings with soulmate!"
15,Caffe Il Momento, 5 stars ,5 months ago,"Tasty coffee and friendly service, you can also si on the terrass and enjoy the city"
16,Caffe Il Momento, 4 stars ,2 years ago,"Nice cappuccino and relaxing atmosphere, but not a lot of pastries choice and very cramped space. Overall good experience"
17,Caffe Il Momento, 5 stars ,2 years ago,"Very good choice for espresso drinks like piccolo, latte, etc. or just an Espresso.. No other specialty coffee drinks like v60.."
18,Caffe Il Momento, 5 stars ,3 months ago,Best espresso in Amsterdam with an amazing atmosphere and friendly staff!
19,Caffe Il Momento, 5 stars ,4 months ago,"The girl who attend us was really nice and friendly, the café is really good and it's a really cosy place."
20,Caffe Il Momento, 5 stars ,4 years ago,"The place is amazing and the coffee is more than great and the staff is so friendly I love them and loved the place , will visit them all the way from Dubai"
