,Name,Review Rate,Review Time,Review Text
0,Café Bar De Duivel, 5 stars ,5 months ago,"The music is really good, the bartender was really friendly. We enjoyed our time here"
1,Café Bar De Duivel, 5 stars ,6 months ago,"Best hip-hop bar in the world. Best staff, best beer, best music!"
2,Café Bar De Duivel, 5 stars ,a year ago,"Good music, great vibe, cool people, ALWAYS fun."
3,Café Bar De Duivel, 5 stars ,3 years ago,"Great, excellent night! Our Bartender AJ was absolutely accommodating. Will visit again!"
4,Café Bar De Duivel, 4 stars ,7 months ago,"Funny but bit expensive paid for one long drink (small plastic cup) 8€

But music was okay and the barkeeper was nice"
5,Café Bar De Duivel, 3 stars ,a year ago,Okay place for a quick drink.
6,Café Bar De Duivel, 5 stars ,2 years ago,"Dope bar for hip hop if you like new school stuff travis scott, 21 savage, j cole etc. About a 10 min walk from the main bar strip but well worth it for good vibe good music good beer"
7,Café Bar De Duivel, 4 stars ,4 years ago,"A wonderful cosy place for true 90/00 hiphop lovers. Good choise of beer and a very lovely and helpful staff (ask for A.J.) Right across the street there is a nice coffeeshop where you can buy ""stuff"" later than the ussual opening time of other shops. It's located just a short walk from Rembrandtplein and flowermarket."
8,Café Bar De Duivel, 5 stars ,4 years ago,Always fantastic music! Best hiphop bar in Amsterdam. Just be ready to pay with cash 0 - no cards acceped.
9,Café Bar De Duivel, 5 stars ,2 years ago,"Great bar. Music choice was top notch, bartender was super nice and accomodating and it opened late"
10,Café Bar De Duivel, 5 stars ,3 years ago,"The only Hiphop cafe in amsterdam.
Have a drink smoke some and bounce to de beats and lyrics the djs play."
11,Café Bar De Duivel, 5 stars ,6 years ago,Best place in Amsterdam for real hip hop. Real hip hop is not played on the radio but it is at the Duivel. Stop in a have some Jaeger!
12,Café Bar De Duivel, 5 stars ,a year ago,"SUCKERFREE ZONE !
DUIVEL’s Host A.J is a G.O.A.T ‘
Always surrounded by good people & the best of vibes ."
13,Café Bar De Duivel, 5 stars ,2 years ago,"Cool Barman, great music! Would recommend for good hip hop music and good drinks!"
14,Café Bar De Duivel, 5 stars ,3 years ago,"Nice Bar, good music if you like hip hop. Definitely a recommendation."
15,Café Bar De Duivel, 5 stars ,4 years ago,"Always a good place for a drink and Some hip-hop, very Nice bar staff."
16,Café Bar De Duivel, 5 stars ,7 months ago,Good ole school hip hop
17,Café Bar De Duivel, 5 stars ,3 years ago,It's just a dope spot that feels like 90s Brooklyn inside. Cool bartenders and just a chill vibe with no flash and bang prefab fakery.
18,Café Bar De Duivel, 5 stars ,3 years ago,"Good vibe, good music, good drinks prices, good location. Can't fault it. If you like urban music, this is the spot for you!"
19,Café Bar De Duivel, 4 stars ,5 years ago,"Great hip hop music, price of the jaegger bomb cheap. Not So crowded before like 1am o'd say."
20,Café Bar De Duivel, 5 stars ,2 years ago,Best Hiphop spot in Amsterdam. Look for DJ Jane for that extra dope night!
21,Café Bar De Duivel, 4 stars ,4 years ago,"A place that offers hip-hop music, relatively cheap drinks, and doesn't cater to the tourist crowds - what's not to like?"
22,Café Bar De Duivel, 5 stars ,3 years ago,Best spot for Hiphop music in Amsterdam..The perfect low-key spot for a high-key good time!!
23,Café Bar De Duivel, 5 stars ,4 years ago,"If you like hip hop, definitely come through For a good vibe and good priced drinks."
24,Café Bar De Duivel, 4 stars ,4 years ago,"Good music, lovely bar staff, small but lovely atmosphere."
25,Café Bar De Duivel, 5 stars ,2 years ago,Excellent bar really enjoyed it ... great music
26,Café Bar De Duivel, 1 star ,2 years ago,Rudest homophobic bouncer. Can’t believe that behaviour is allowed around the corner from Regulatiedwarsstraat.
27,Café Bar De Duivel, 5 stars ,3 years ago,A nice cozy bar with mostly good music and a friendly atmosphere
28,Café Bar De Duivel, 5 stars ,2 years ago,"Great music, great location and did I say amazing music?"
29,Café Bar De Duivel, 5 stars ,2 years ago,Top bar. One of a kind! #hiphop #AmsterdamCulture
30,Café Bar De Duivel, 5 stars ,a year ago,Only bar playing real hip hop.
31,Café Bar De Duivel, 5 stars ,4 years ago,You like hiphop... you in Amsterdam... Then you have to at least get a drink at De Duivel.
32,Café Bar De Duivel, 5 stars ,4 years ago,"Great music, cool bartenders, chill crowd"
33,Café Bar De Duivel, 5 stars ,3 years ago,"Amazing vibe in this place, with customers reacting to the djs mixes."
34,Café Bar De Duivel, 4 stars ,5 years ago,Amsterdam first hiphop bar. Still going strong after decades
35,Café Bar De Duivel, 4 stars ,2 years ago,Amazing music and nice beers
36,Café Bar De Duivel, 5 stars ,5 years ago,"nice music, nice staffs, nice mood and nice price for drink!"
37,Café Bar De Duivel, 3 stars ,4 years ago,Good prices friendly and cozy. Good for sports and a drink.
38,Café Bar De Duivel, 4 stars ,3 years ago,"Nice place, a bit small but very friendly"
39,Café Bar De Duivel, 5 stars ,3 years ago,Real hip hop.  Cool vibe.  No nonsense.
40,Café Bar De Duivel, 5 stars ,a year ago,Best bar in amsterdam
41,Café Bar De Duivel, 4 stars ,2 years ago,As usual good hip hop
42,Café Bar De Duivel, 5 stars ,4 years ago,Great place for hip-hop!!!
43,Café Bar De Duivel, 5 stars ,2 years ago,Nice music and beers!!
44,Café Bar De Duivel, 5 stars ,a year ago,Great every single time!
45,Café Bar De Duivel, 5 stars ,3 years ago,Great evening with friends and DJ Dynamite
46,Café Bar De Duivel, 4 stars ,3 years ago,Rap Club Cafe Bar with live djs.
47,Café Bar De Duivel, 5 stars ,3 years ago,Best hip hop in dam
48,Café Bar De Duivel, 4 stars ,5 years ago,Good music and good drinks
49,Café Bar De Duivel, 5 stars ,3 years ago,Best café ever !
50,Café Bar De Duivel, 5 stars ,2 years ago,I love it here!
51,Café Bar De Duivel, 5 stars ,a year ago,Awesome
52,Café Bar De Duivel, 5 stars ,3 years ago,Must have in The Netherlands
53,Café Bar De Duivel, 4 stars ,3 years ago,Top
54,Café Bar De Duivel, 5 stars ,5 years ago,Top
55,Café Bar De Duivel, 5 stars ,2 years ago,grimey
56,Café Bar De Duivel, 3 stars ,4 years ago,A bit expensive
57,Café Bar De Duivel, 5 stars ,5 years ago,Hiphop bar
58,Café Bar De Duivel, 5 stars ,8 years ago,Show Yours Skills !!!!!!!!!!!!!!
59,Café Bar De Duivel, 5 stars ,3 days ago,Best bar in Amsterdam. Period.
60,Café Bar De Duivel, 5 stars ,2 weeks ago,(Translated by Google) Always great good atmosphere the place to be for a drink and a dance …
61,Café Bar De Duivel, 5 stars ,a year ago,(Translated by Google) A must visit! Piece of culture. Welcome to all. Wonderful music. Tequilla gold with orange and cinnamon. …
62,Café Bar De Duivel, 5 stars ,4 months ago,"(Translated by Google) Good hip hop sound, cool and welcoming service. To do ✌🏻✌🏻 …"
63,Café Bar De Duivel, 5 stars ,3 weeks ago,"(Translated by Google) The nicest cafe in Amsterdam!
Update... I don't know how many years ago I posted this but it's still my number 1️⃣ spot! I ❤️ devil …"
64,Café Bar De Duivel, 5 stars ,5 months ago,(Translated by Google) Cut hard the thickest Hip-hop bar. Good vibes/atmosphere. …
65,Café Bar De Duivel, 5 stars ,3 years ago,(Translated by Google) Sounds great hiphop and rap. They play live DJs. Beer and drinks you can pay by credit card. …
66,Café Bar De Duivel, 5 stars ,7 months ago,(Translated by Google) Do you want good old school music must have been here 👊🏾😎 …
67,Café Bar De Duivel, 5 stars ,a year ago,"(Translated by Google) We had a great evening at this bar.
The music is top notch and the staff very pleasant.
To be tested in Amsterdam. 👍🏼 …"
68,Café Bar De Duivel, 5 stars ,a year ago,(Translated by Google) One of the last places where you can relax after hip hop listen. And very relaxed staff! All in all top spot 👌🏼 …
69,Café Bar De Duivel, 5 stars ,2 years ago,(Translated by Google) I am really happy that there is a bar with my type of music. The drinks were tasty and affordable. The bartender was nice. …
70,Café Bar De Duivel, 5 stars ,2 years ago,"(Translated by Google) top bar if you like hip hop weekend, the fun cannot be beat. …"
71,Café Bar De Duivel, 5 stars ,2 years ago,(Translated by Google) Delicious tent with wonderful people! Just chill as it should be. Everyone is equal here! And nice game of music! …
72,Café Bar De Duivel, 5 stars ,2 years ago,"(Translated by Google) Been so long ago, now 2 nights in a row. Was cozy and fun. Good staff and nice security guard …"
73,Café Bar De Duivel, 5 stars ,4 years ago,"(Translated by Google) Great atmosphere, good hip hop sound, cheap drinks only good not far from Rembrandtplein …"
74,Café Bar De Duivel, 5 stars ,2 years ago,"(Translated by Google) Nice place almost in the very center of the city. You can have a tight and tasty meal, you can just skip a cup or cup!)) …"
75,Café Bar De Duivel, 3 stars ,11 years ago,(Translated by Google) One of the few places where you constantly hear hip hop / rap …
76,Café Bar De Duivel, 5 stars ,4 years ago,"(Translated by Google) Best place in adam for oldschool rap and hip hop

(Original) …"
77,Café Bar De Duivel, 4 stars ,5 years ago,"(Translated by Google) If you like hip hop you have to be here.

(Original) …"
78,Café Bar De Duivel, 5 stars ,5 months ago,"(Translated by Google) Friendly staff

(Original)
Vriendelijk personeel"
79,Café Bar De Duivel, 5 stars ,3 years ago,"(Translated by Google) Dope vibe, good sound!

(Original)
Dope vibe, goed geluid!"
80,Café Bar De Duivel, 5 stars ,2 years ago,"(Translated by Google) This tent is very successful

(Original)
Deze tent gooit hoge ogen"
81,Café Bar De Duivel, 5 stars ,3 years ago,"(Translated by Google) Best cafe ever

(Original)
Beste café ever"
82,Café Bar De Duivel, 5 stars ,2 years ago,"(Translated by Google) Have been coming here for years.

(Original)
Kom hier al jaren."
83,Café Bar De Duivel, 5 stars ,5 years ago,"(Translated by Google) Best hip hop

(Original)
Beste hiphop"
84,Café Bar De Duivel, 5 stars ,2 years ago,
85,Café Bar De Duivel, 1 star ,2 years ago,"(Translated by Google) unfriendly staff ..

(Original)
unfreundliches personal.."
86,Café Bar De Duivel, 5 stars ,3 years ago,"(Translated by Google) Really perfect

(Original)
Realy perfekt"
87,Café Bar De Duivel, 3 stars ,3 years ago,"(Translated by Google) Not bad

(Original)
Fena degil"
88,Café Bar De Duivel, 5 stars ,3 years ago,"(Translated by Google) Good tent

(Original)
Goeie tent"
89,Café Bar De Duivel, 5 stars ,5 years ago,"(Translated by Google) The devil is the devil

(Original)
De duivel is de duivel"
90,Café Bar De Duivel, 5 stars ,4 years ago,"(Translated by Google) cosiness

(Original)
Gezelligheid"
91,Café Bar De Duivel, 5 stars ,3 years ago,
92,Café Bar De Duivel, 5 stars ,3 years ago,
93,Café Bar De Duivel, 5 stars ,2 years ago,
94,Café Bar De Duivel, 5 stars ,6 years ago,
95,Café Bar De Duivel, 5 stars ,4 years ago,
96,Café Bar De Duivel, 5 stars ,2 years ago,
