,Name,Review Rate,Review Time,Review Text
0,Café De Blauwe Pan, 5 stars ,5 months ago,"Aaaaaaaaaamazing find in Amsterdam. When you leave the central city and wander a bit, you find amazing places like this. Awesome bar, hospitality is next level, and apple tart that will blow your mind."
1,Café De Blauwe Pan, 5 stars ,9 months ago,"Very enjoyable afternoon spend here with friends. Great place, good food and drinks and personnel with loads of humour which definitely adds to the place! Will be back!"
2,Café De Blauwe Pan, 4 stars ,3 years ago,Nice little corner bar for a light bite to eat or plenty of drinks. I stopped in on a sunny Monday and the servers were very attentive and helpful. They make a good Irish coffee with so so much whipped cream. There is a main room and bar as …
3,Café De Blauwe Pan, 5 stars ,2 years ago,"Happy service, the place to on Monday after noon, for a beer or five, classical Dutch food and great mood."
4,Café De Blauwe Pan, 5 stars ,2 years ago,"Adorable little spot,  waitress was so friendly and cheerful!  We sat across the street at their picnic tables and it is a beautiful spot in Jordaan! 🍻"
5,Café De Blauwe Pan, 5 stars ,2 days ago,The best place in Amsterdam the apple pie and the vibes are amazing!!!
6,Café De Blauwe Pan, 5 stars ,3 years ago,"Fresh homemade food, nice staff, everything's perfect for a perfect lunch!"
7,Café De Blauwe Pan, 5 stars ,3 months ago,"Nice bar, wonderful host and hostess. 18 years history"
8,Café De Blauwe Pan, 5 stars ,3 years ago,"Great bar!

I am a person who likes to go to bars and I really like the place. …"
9,Café De Blauwe Pan, 5 stars ,a year ago,"Good  vibe and amazing people,  Soraya as a owner she's special ❤ making people feel home and very welcome,  Fatima as bartender 😀 creating a good 👍 atmosphere and a good dj ...very happy to spend my time in the Blauwe Pan"
10,Café De Blauwe Pan, 1 star ,3 years ago,"Worst service ever, glass was dirty and made the beer taste sour, had to pay for it anyway. …"
11,Café De Blauwe Pan, 5 stars ,4 years ago,"A fantastic find, delicious pea soup, a well cooked steak and a good selection of beer, wines etc. My partner had satay and she said it was very tasty. I would come here again for sure, the prices are good. Thanks"
12,Café De Blauwe Pan, 4 stars ,5 years ago,Delicious nachos but the creme de la creme would definitely be their pies and cakes. Delicious home baked and often mass ordered (because they are simply THAT good). Service is not always fast.
13,Café De Blauwe Pan, 1 star ,5 years ago,"Avoid this place if you can. In a wonderful 3 week trip throughout Europe, this was by far the worst restaurant we went to. The food is pretty bad. And, the staff was exceptionally rude to the customers. …"
14,Café De Blauwe Pan, 5 stars ,2 years ago,"Great people, great food, amazing place!"
15,Café De Blauwe Pan, 4 stars ,3 years ago,Good hamburger and happy people. In the heart of the Jordaan
16,Café De Blauwe Pan, 5 stars ,4 months ago,Great vibes and amazing service
