,Name,Review Rate,Review Time,Review Text
0,Café Del Mondo, 5 stars ,5 months ago,nice stop to get a coffee or wine after walking through the famous red light district. Prices are good. Stuff is succesful
1,Café Del Mondo, 5 stars ,3 years ago,Great place to sit and relax. The coffee was amazing!. Very  causal place.
2,Café Del Mondo, 1 star ,6 months ago,"Ask for a coffe with milk , and bring a tube glass with black water … because coffe, for shire not , see other tables with a normal cup with coffe with milk… disappointing…"
3,Café Del Mondo, 4 stars ,4 years ago,Nice cozy bar with friendly staff...not a great selection of ciders or lagers but was okay for one or two drinks
4,Café Del Mondo, 4 stars ,4 months ago,"Great food, good service"
5,Café Del Mondo, 5 stars ,7 months ago,"Very friendly personnel, great coffee and Bitterballen and .... a very (!) clean toilet."
6,Café Del Mondo, 5 stars ,9 months ago,"The food was really good and tasty.
Staff super nice, fast and with the smile !"
7,Café Del Mondo, 4 stars ,2 years ago,Cappuccino in other lever guys give a go chilling and warm atmosphere!!!
8,Café Del Mondo, 4 stars ,4 years ago,"I went here c. 9pm on 01.10.17. It has a nice view looking out onto the square though I chose to sit inside. The staff were really friendly, courteous and very good-looking! …"
9,Café Del Mondo, 4 stars ,7 months ago,"Good food, nicely located and reasonable prices!"
10,Café Del Mondo, 5 stars ,2 years ago,Very nice cafe with outside heater :) Very friendly stuff as well!!
11,Café Del Mondo, 1 star ,2 years ago,"Please this restaurant need to be closed. They are racist. If you have any moral do not visit this place. They told me and my family  we have to leave, because they can not tolerate 3 brown colored people to their other customers. Don't support them. They are living in the 18. Century still!!"
12,Café Del Mondo, 1 star ,9 months ago,I had to remind them about the order. Food was cold and the service wasn't pleasant.  I don't recommend.
13,Café Del Mondo, 5 stars ,a year ago,Amazing drinks and ambience... The one in the heart of Amsterdam and you can sit outdoors to have a glimpse of the city and enjoy your drinks... Greeted and served with pleasure and happiness
14,Café Del Mondo, 1 star ,2 years ago,"Very bad service and really unrealistic prices
Also the owner of the restaraunt is rasistic. We weren't allowed to order because we aren't inhabitants. …"
15,Café Del Mondo, 4 stars ,5 years ago,"Great little joint. The sandwich I had (ribeye) was great, and the place is nice with good outdoor seating. Portions were somewhat small for the price (~€8 for a sandwich)"
16,Café Del Mondo, 5 stars ,3 years ago,"Loved this venue! Came across Cafe del Mondo randomly, I was not disappointed! Live music and tasty drinks! I would definitely recommend. I will be going back when i'm next down in Amsterdam."
