,Name,Review Rate,Review Time,Review Text
0,Café Krull, 4 stars ,6 months ago,"We went just to drink a few beers. They have good ipa on tap and also offer other varieties in bottles.
📝 The waitresses were very friendly all the time and advised us on what to …"
1,Café Krull, 5 stars ,4 months ago,"I enjoyed this bar very much!!! It was none pretentious. We had a great waitress. She was kind, funny, and attentive."
2,Café Krull, 1 star ,7 months ago,"The blonde waiter is very rude, made everyone wait for 25 minutes before bringing our drinks and complaining to his boss after we pointed out we ordered before some customers that are to his liking. A real travesty of a place in general. Cannot recommend this to anyone."
3,Café Krull, 1 star ,7 months ago,"If you want to be treated like Dirt , please visit this hole , most unfriendly service in de pijp , they have no respect for customer 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻"
4,Café Krull, 3 stars ,10 months ago,nice terrace opposite a park near the street market at Cuypstraat. Very limited menu (not even fries hence the 3 stars instead of 4) but a good place for a cold beer. The young lady waiting on the tables was overworked as she was the only one around but always had a pleasant smile.
5,Café Krull, 5 stars ,2 years ago,Had a few drinks here and really enjoyed the vibe. Staff and drinks were awesome
6,Café Krull, 5 stars ,2 years ago,"Lovely cafe,very nice and relaxing, the staff are fantastic,dog friendly,great coffee, snacks,wine and beers. Great Magazines and newspapers available."
7,Café Krull, 1 star ,3 years ago,"2 x waited outside for more than 20 mins with no one being outside - no one has ever approached me. Elderly lady with grey hair working there had a seat and started smoking, like there was no one to serve. Girls behind the bar made eye …"
8,Café Krull, 1 star ,4 years ago,Two times already the drinks (one time coffee) were wrong and not what we ordered. The waitress didn't want to change it and we also got a complain that we should see that the cafe is too busy. None of the three times I've been there the stuff was polite.
9,Café Krull, 2 stars ,3 years ago,"The service was not up to standard. When my friend ordered the tosti it did not come with a napkin. Their mint tea is overpriced (3 euros), and when I asked just for a hot water refill, the waitress rudely replied with ""Are you being …"
10,Café Krull, 1 star ,2 years ago,"Sat down with a group of four outside. Waited for 30 minutes and no waiter took our order. Went inside to ask if someone could come around, they said they would come in a second. Waited for 10 more minutes and nobody showed up. Changed to Boca's Park just aside of it and got served within 2 minutes from a friendly waiter."
11,Café Krull, 5 stars ,8 months ago,"Great atmosphere and service, especially Nic the bartender. A++ would trade again"
12,Café Krull, 4 stars ,3 years ago,"I love this place, though I'm still not sure as to why. Typical selection of beers in a nice part of the city. Perhaps you may have a sort of empanada from the Tjin's, then stroll over to the Krull for a pint. If you're a Spanish speaker, …"
13,Café Krull, 5 stars ,a year ago,Super friendly owner and staff. Great location and nice drinks! Outdoor seating is nice for people watching!
14,Café Krull, 1 star ,5 years ago,"The place is okay but the staff was very unfriendly. When I asked what kind of draftbeers they served, the girl answered on a very irritated manner saying: get up and look for it yourself. …"
15,Café Krull, 1 star ,7 years ago,Usually the people working there were always really nice and child friendly. That is why I was incredibly disappointed that now there is a guy working there that is not at all child friendly and on top of it he is extremely unfriendly. Is …
16,Café Krull, 3 stars ,2 years ago,It's just ok. It's in a popular bar and restaurant area and thus its prices are a bit high. The beer selection is mediocre. It does have great outdoor seating.
17,Café Krull, 4 stars ,5 years ago,"I thought I would try this place out as I heard good things about it. It was pretty nice, staff were friendly and the beer menu was pretty decent. Prices average for the Amsterdam area. Would definitely go back if I was in the area."
18,Café Krull, 2 stars ,8 years ago,Unfriendly service from the bar staff. I ordered a tomato soup which I assumed would be vegetarian but which arrived with meatballs in it. (This was not mentioned on the menu!) When I explained the mistake they took it away but left it on …
19,Café Krull, 3 stars ,6 years ago,"when a friend told me the coffee was atrocious, i took it as an exaggeration but this is probably the worst coffee i have been served in A'dam in a decade, which is a shame as teh cafe is an excellent respite from teh market and infinitely …"
20,Café Krull, 4 stars ,6 years ago,"Nice place. Big windows, lots of light.

Pretty good coffee and good lunch possibilities. I like the carpaccio sandwich. …"
21,Café Krull, 5 stars ,3 years ago,"They have Guinness, their service is fast and plenty of bar food to chose from.
Only thing I would change: they don’t have fried chicken 😞"
22,Café Krull, 5 stars ,a year ago,"Good place for drinks but always crowded. Even though high prices, i give 5 :)"
23,Café Krull, 5 stars ,3 years ago,"Pleasant, light, well-situated café, serves food, coffee, good selection of beers, not brilliant selection of wine, no cocktails."
24,Café Krull, 1 star ,2 years ago,"Horrible service, I asked for some water in the bar when leaving the place and they asked to come back because the were ‘supeer busy’.
They made us feel uncomfortable when asking the order"
25,Café Krull, 5 stars ,2 years ago,"Cosy corner caffe, great staff, really good coffee, beers and normal prices, a fully enjoyable place day or night! Warmest reccomendations if youa are in de Pijp ♥️"
26,Café Krull, 5 stars ,2 years ago,"Really nice place, very friendly and helpful staff. Good choice of beers and bar good"
27,Café Krull, 2 stars ,6 months ago,"Slow, no martini, broke up with gf"
28,Café Krull, 5 stars ,2 years ago,My new favorite bar in the city! Great attention. Amazing music and not much noise. :)
29,Café Krull, 5 stars ,7 years ago,"Good place for relaxing after a visit at the 800 m long market....
Very delicios Latte Macchiato and pies :-)
Next time we are in Amsterdam... we will come back to that cafe. …"
30,Café Krull, 5 stars ,4 years ago,"I go here every single time I visit Amsterdam. The location makes it a perfect stop for breakfast, lunch, or dinner. I absolutely love it!"
31,Café Krull, 5 stars ,3 years ago,Those girls rock the krull bar in the Pijp!!! Nikita played good music and that's important in a bar!!! And Noelle was serving with a huge smile!
32,Café Krull, 5 stars ,3 years ago,"Barbara was super friendly and kind with me, thanks for my very special Italian coffee! ❤️"
33,Café Krull, 1 star ,4 years ago,"The staff is very unfriendly, rude and irritated when asked questions. Also they do not have good English skills, or maybe just really didn't want to talk to us."
34,Café Krull, 5 stars ,4 months ago,Nice bartender!
35,Café Krull, 4 stars ,7 years ago,Great place for some drinks and snacks they have a pretty decent selection of beers
36,Café Krull, 5 stars ,5 years ago,Great staff and location. Nice beer selection as well:)
37,Café Krull, 2 stars ,5 years ago,"Nice place.
Downside: worst waiter ever. Had a bad day probably."
38,Café Krull, 5 stars ,5 years ago,A very cosy place that has some healthy food and drink options. They had Bionade. Top marks frim me.
39,Café Krull, 4 stars ,3 years ago,"Typical, but excellent, bar in Amsterdam. Great beer selection."
40,Café Krull, 4 stars ,3 years ago,A good place to have some quality coffee time!
41,Café Krull, 5 stars ,7 months ago,Ni e place and great service!
42,Café Krull, 4 stars ,5 years ago,Nice cafe close to the park. Good to sit outside on a pleasant day
43,Café Krull, 1 star ,2 years ago,"the bartender and server here on Saturday, the 25th, was not very service oriented nor friendly."
44,Café Krull, 1 star ,2 years ago,The staff left the doors opened doesn't worrying about the cold. Really inhospitable
45,Café Krull, 4 stars ,7 years ago,"The ladies here were very friendly, we came here everyday for ""brunch"" (purely because we got up late everyday), and it was very yum yum"
46,Café Krull, 4 stars ,4 years ago,"Pretty standard bar, with a decent beer selection."
47,Café Krull, 5 stars ,a year ago,"Nice place to sit at the corner of Sarphatipark, good service"
48,Café Krull, 4 stars ,3 years ago,Nice spot to rest up with a beer after visiting the market.
49,Café Krull, 4 stars ,5 years ago,"Cute place, with friendly service and a chilled crowd. Plus the view to the park."
50,Café Krull, 1 star ,5 years ago,Really rude staff and the cakes were really bland. Coffee was bleh
51,Café Krull, 4 stars ,3 years ago,"Good service, a bit cold to sit at the window"
52,Café Krull, 3 stars ,3 years ago,Good place to drink very good coffee
53,Café Krull, 3 stars ,5 years ago,Local brown bar that's cosy and lively in the weekends.
54,Café Krull, 5 stars ,2 years ago,The bar with the nicest atmosphere in the pijp.
55,Café Krull, 3 stars ,3 years ago,"Curl up with a nice beer or a coffee, relaxxxx"
56,Café Krull, 4 stars ,2 years ago,Excellent real dutch food and attention
57,Café Krull, 5 stars ,2 years ago,I go there with friends all the time
58,Café Krull, 1 star ,2 years ago,Poor customer service. Toilets are stinky and broken.......
59,Café Krull, 3 stars ,2 years ago,Philly cheese steak!  Excellent
60,Café Krull, 5 stars ,4 years ago,Nice quiet place you can find in pijp
61,Café Krull, 3 stars ,8 years ago,Nice place to have a coffee right by Sarphatipark
62,Café Krull, 5 stars ,9 years ago,Excellent Guinness!great staff!
63,Café Krull, 4 stars ,4 years ago,Quite cosy place in a nice neighbourhood
64,Café Krull, 4 stars ,5 years ago,Low profile and no hipsters :)
65,Café Krull, 5 stars ,3 years ago,Good music good service
66,Café Krull, 5 stars ,5 years ago,Great selection of beer
67,Café Krull, 4 stars ,5 years ago,Perfect for a dutch breakfast !
68,Café Krull, 5 stars ,a year ago,Very friendly staff
69,Café Krull, 5 stars ,3 years ago,Coooool! :-)
70,Café Krull, 4 stars ,5 years ago,Nice for a beer or wine
71,Café Krull, 5 stars ,3 years ago,High quality snack food and brodjes (sandwiches) on a pretty and lively street corner. Friendly staff and a relaxed atmosphere.
72,Café Krull, 3 stars ,2 years ago,Kj
73,Café Krull, 4 stars ,3 years ago,Superhip
74,Café Krull, 4 stars ,5 years ago,Nice local spot
75,Café Krull, 4 stars ,3 years ago,Friendly staff
76,Café Krull, 5 stars ,4 days ago,Very cute cafe/pub for a rest of weary walking feet. You can get free postcards and speak to locals coming in and out. There were cakes and snacks along with beverages of all kinds.
77,Café Krull, 3 stars ,5 days ago,Music is so mellow. 😢
78,Café Krull, 4 stars ,6 months ago,"(Translated by Google) Great place, friendly staff, clean toilets. At the beginning of the afternoon we drank a nice glass of wine on the terrace. …"
79,Café Krull, 4 stars ,a month ago,"(Translated by Google) Cafe Krull has been around for a long time. Just out of nostalgia, when we are back in the old neighborhood where we used to live, we want to go there to get a cup of coffee, in a lovely atmosphere. Just good cafe. …"
80,Café Krull, 5 stars ,a month ago,"(Translated by Google) Cozy cafe, friendly staff and tasty beers. All you need.

(Original) …"
81,Café Krull, 5 stars ,3 months ago,"(Translated by Google) It was fun again at Krull! Lovely atmosphere, tasty banana cake with fresh mint tea. The location is also great at the Sarphatipark and the Cuyp around the corner. …"
82,Café Krull, 4 stars ,5 months ago,"(Translated by Google) Yes! OK! A cafe! All good😊

(Original)
Ja! Ok! Ein Café! Alles gut😊"
83,Café Krull, 4 stars ,a year ago,(Translated by Google) Great thing with the sun on the terrace in the morning. Had a good mozzarella tomato sandwich and read the newspaper with a cup of coffee. …
84,Café Krull, 5 stars ,6 months ago,(Translated by Google) Cute cafe-bistro with sweet staff and the nice thing is that there are always different kinds of people.... …
85,Café Krull, 5 stars ,2 years ago,(Translated by Google) Nice cafe with good selection of draft beers. Friendly staff and fast service. …
86,Café Krull, 2 stars ,2 years ago,"(Translated by Google) I understand that we are in Amsterdam where everything closes early, but not being able to make hot tea at 10:50 feels incredible. Then, he didn't seem very hospitable. We were seated near a side door that the maid …"
87,Café Krull, 3 stars ,a year ago,"(Translated by Google) Nice place for a drink in the middle of DePijp. Very noisy inside due to bad acoustics. Uncomfortable seats inside. Terrace overlooking one of the entrances to the Sarphatipark. Great menu, good cappuccino. Close to …"
88,Café Krull, 4 stars ,4 years ago,"(Translated by Google) A nice place to snack, although the kitchen hours are rare and we had to eat some cakes with the beers at noon instead of something salty. The apple pie was delicious, I'm looking for the recipe to make my own …"
89,Café Krull, 5 stars ,4 years ago,"(Translated by Google) Great atmosphere with delicious Belgian beer .... freshly tapped, skøl …"
90,Café Krull, 1 star ,2 years ago,"(Translated by Google) Bad staff, beer is not drinkable and probably mixed with water.
Rude staff with tattoos behind the bar. …"
91,Café Krull, 5 stars ,a year ago,(Translated by Google) Very pleasant (neighborhood) cafe with tasty sandwiches and waiters who already know what you want to drink if you come more often! 👍🏻 …
92,Café Krull, 3 stars ,2 years ago,"(Translated by Google) Nice place! It sometimes takes a long time before you are served. And I asked twice for a lemon with my coke, but I didn't get it. …"
93,Café Krull, 5 stars ,3 years ago,"(Translated by Google) Had a super fun evening with friends. Had service all evening from Nikita, a very nice girl, who offers top service. She gave that little bit extra that I always appreciate. …"
94,Café Krull, 2 stars ,3 years ago,"(Translated by Google) Great drinks, nice place, very bad service. Passively aggressive comments, they didn't look at us and were just not friendly and welcoming at all. …"
95,Café Krull, 5 stars ,3 years ago,"(Translated by Google) Had a lovely seat on the terrace on Friday, hospitable and nice waitress who had a lot of knowledge about all kinds of beer! …"
96,Café Krull, 5 stars ,a year ago,"(Translated by Google) Nice cafe, delicious mulled wine to take away

(Original) …"
97,Café Krull, 5 stars ,4 months ago,"(Translated by Google) Cozy! Bitterballen and beer

(Original) …"
98,Café Krull, 1 star ,3 years ago,(Translated by Google) A café in a cozy neighborhood with nice drinks but the service was nothing like! The waitress was only texting behind the bar so it was more a matter of self-service. …
99,Café Krull, 1 star ,a year ago,"(Translated by Google) Service shows little interest, food not so exciting, but location is great …"
100,Café Krull, 5 stars ,2 years ago,"(Translated by Google) Nice atmosphere, nice sandwiches, nice staff. I like to go there, highly recommended. …"
101,Café Krull, 3 stars ,3 years ago,(Translated by Google) Not everything from the menu and the wine tastes watery. Better to go to Boca's around the corner. :) Looked delicious in passing. …
102,Café Krull, 5 stars ,5 years ago,"(Translated by Google) Good cocktails, a wide selection of beers, wi-fi and well attended by a non-tourist public. Recommended. …"
103,Café Krull, 5 stars ,a year ago,"(Translated by Google) Top tent, if you want to experience the pipe as it was 5 years ago, sit here. …"
104,Café Krull, 5 stars ,6 months ago,"(Translated by Google) small, nice and cozy cafe.

(Original) …"
105,Café Krull, 5 stars ,2 years ago,(Translated by Google) Excellent chopp (Zatte draft beer) and Bitterballen (Dutch dutch croquettes). Nice staff. …
106,Café Krull, 5 stars ,2 years ago,"(Translated by Google) Cozy café with a wide selection of drinks, have Belgian beers! …"
107,Café Krull, 4 stars ,2 years ago,"(Translated by Google) Hi tables outside.

(Original)
Cześć stolików na zewnątrz."
108,Café Krull, 5 stars ,3 years ago,"(Translated by Google) Nice people, cool boss

(Original)
Nette Leute, cooler Chef"
109,Café Krull, 5 stars ,2 years ago,"(Translated by Google) Nice place, soup of the day very rich, and cherries at 4.20. Highly recommended to pause …"
110,Café Krull, 2 stars ,3 years ago,"(Translated by Google) Cafe near a small park, the truth is that there is not much to highlight quite a lot, they just have soy drink as something out of the ordinary. …"
111,Café Krull, 3 stars ,3 years ago,(Translated by Google) Around half past one it was too much trouble to warm up my chocolate milk while it was snowing outside. …
112,Café Krull, 5 stars ,4 years ago,"(Translated by Google) Nice café with a wide selection of special beers, not just the standard choice …"
113,Café Krull, 4 stars ,6 months ago,"(Translated by Google) Cozy brown neighborhood cafe

(Original)
Gezellig bruin buurtcafé"
114,Café Krull, 3 stars ,3 years ago,"(Translated by Google) Great place. Straightforward, unpretentious, inexpensive .... all this is a bit closer to the Alb Cuyp. …"
115,Café Krull, 5 stars ,3 years ago,(Translated by Google) Super cozy bar with many different types of people in the pipe …
116,Café Krull, 5 stars ,a year ago,"(Translated by Google) Nice staff with cool tattoos behind the bar!

(Original) …"
117,Café Krull, 4 stars ,4 years ago,(Translated by Google) Wide range of beer. Affordable. Heart Pipe. Terrace can be a bit more cozy. …
118,Café Krull, 3 stars ,3 years ago,"(Translated by Google) Nice beer, miss my water!
Voorderest great cozy! …"
119,Café Krull, 4 stars ,4 years ago,"(Translated by Google) Nice place to have a drink!

(Original) …"
120,Café Krull, 4 stars ,a year ago,"(Translated by Google) Kind service good coffee

(Original) …"
