,Name,Review Rate,Review Time,Review Text
0,Café Luxembourg, 5 stars ,2 months ago,We had reservations and they accommodated us well beyond what we expected. We had the most fun and the best time ever in this restaurant....WOW.... This restaurant....... The food was amazing and the portions were huge. I will definitely be back.. Thank you so much you guys
1,Café Luxembourg, 5 stars ,6 months ago,"Great place, more targeted towards locals (no English menu) but super nice and helpful people, especially Jim.
They have both indoors and outdoors. I had to sit indoors due to colder weather and I forgot to take pics of the meal…"
2,Café Luxembourg, 5 stars ,6 days ago,Absolutely amazing. Nice vibe. Love it.
3,Café Luxembourg, 5 stars ,5 months ago,Was really delicious and the price was fair. I recommend the croques. All in all a perfect spot to have your breakfast
4,Café Luxembourg, 5 stars ,4 months ago,"Nice vibe. Can sit outside on the pavement, in a semi covered area or inside the restaurant itself.  We went for lunch. A good selection on the lunch menu. Delicious croquettes. A classic European brasserie"
5,Café Luxembourg, 4 stars ,9 months ago,Good location but touristy and a bit crowded which makes it hard for the staff to be attentive or caring.
6,Café Luxembourg, 2 stars ,2 weeks ago,Awful service. Very average food. Tired and lacking vibe. There are plenty of other fab places in Amsterdam that beat here. Wouldn’t recommend.
7,Café Luxembourg, 5 stars ,3 years ago,This place serves amazing breakfast. Food was fresh and delicious. Portions are big as well to have a hearty breakfast to start the day.
8,Café Luxembourg, 4 stars ,2 years ago,"I ordered Dutch Burger which was great and tasty (well cooked). It was a little bit expensive, 18.5 euros. The area was nice. I didn’t like the way the waitress behaved, wasn’t nice and friendly at all (compared to paris). Anyway the burger was delicious 😋"
9,Café Luxembourg, 2 stars ,6 months ago,"Restaurant with good view in interesting place with very poor customer service. You have to wait a lot of time for staff, than it can appear that something is not available after another 15 minutes. When you change your order you would wait …"
10,Café Luxembourg, 5 stars ,3 years ago,"Well, trying to decide if we had lunch, dinner or second lunch at the Cafe Luxembourg.  That is just how it is when you fly all night and arrive without sleep.  Our server was very patient and finally found drinks pleasing to each of us. Of …"
11,Café Luxembourg, 5 stars ,5 months ago,It was a nice Lavazzo coffee and grandmothers apple cake.
12,Café Luxembourg, 5 stars ,3 years ago,"Love love the big breakfast or brunch in here. I have been there 3 times to get some breakfast.
The taste was delicious and I couldn't stop eating. The orange juice was fresh. …"
13,Café Luxembourg, 5 stars ,4 years ago,"I can, once again, highly recommend this place! I have been here 4 or 5 times over the past couple of weeks and I am impressed. The staff is very professional; willing to help, observant and pleasant. The food is good and it is very well …"
14,Café Luxembourg, 5 stars ,2 years ago,Amazing breakfast! Place is so comfy I didn't want to leave. Christmas decorations are very fancy. Highly recommended for everyone to  visit!!!!!!
15,Café Luxembourg, 3 stars ,7 months ago,"Very unfriendly staff, had to wait ages for service and we're not given napkins or cutlery with the food. BUT best bitterballen you'll find in the city! (Only veil is good, shrimp tastes very poor)"
16,Café Luxembourg, 4 stars ,8 months ago,Great cocktails! Try “Lolea premium sangria rood”!
17,Café Luxembourg, 5 stars ,4 months ago,Easy going café in central Amsterdam. The make a great burger which I would recommend and surely we have again.
18,Café Luxembourg, 5 stars ,2 years ago,"Lovely meal & drink with amazing staff who went above and beyond by explaining the history of Genever, the different varieties and suggestions on where to go next."
19,Café Luxembourg, 4 stars ,2 years ago,"Cozy, nice place to have a drink or something to eat. They have a nice glass covered area where you can lookout on the street and surroundings."
20,Café Luxembourg, 5 stars ,5 years ago,What a great first meal in Amsterdam. My companion and I strolled around and found this place to be hopping and made thr decision to eat a late lunch here. It was fantastic and the waitress was attentive and friendly.
21,Café Luxembourg, 4 stars ,3 years ago,Lovely place to sit and watch the world go by from their conservatory. Nice nibbles selection. Friendly staff and great beer.
22,Café Luxembourg, 5 stars ,a month ago,"Always a nice hangout for a coffee, a beer, a bite and a business catch-up."
23,Café Luxembourg, 5 stars ,3 years ago,"Best brasserie in town. Suggestions:onion soup,crocque monsieur and eggs with smoked salmon"
24,Café Luxembourg, 5 stars ,3 years ago,"Located in het spui, gorgeous building, reasonable prices, nice food and a very nice service! They offer a very good variety of beers and they also have a separate menu for cider."
25,Café Luxembourg, 4 stars ,3 years ago,I am visiting Amsterdam for more than 20 years and this cafe is like an old friend ... You visit everything is same and great..
26,Café Luxembourg, 4 stars ,4 years ago,Wonder food/drinks - service a bit slow but overall a good dining experience
27,Café Luxembourg, 3 stars ,3 years ago,Good latte. It passed the spoon test. Food was decent but overpriced. I had cheese filled kroket.
28,Café Luxembourg, 5 stars ,a month ago,Beautiful and elegant shop with its staff
29,Café Luxembourg, 2 stars ,a year ago,"The food is good but the service is horrible. We've been waiting a lot for the menu, the drinks and the food. One of the waitresses forgot to bring us a menu so we asked another waitress to bring us a menu which also took around 15 minutes. …"
30,Café Luxembourg, 4 stars ,4 years ago,"Very friendly and attentive staff, especially the gentlemen who greets customers at the door. Shrimp croquette balls was amazing!"
31,Café Luxembourg, 4 stars ,3 years ago,A nice choice for coffee or a beer. Decent place an prices.
32,Café Luxembourg, 4 stars ,3 years ago,"Service was good, food was hot and beer was cold. Can't ask for more than that!"
33,Café Luxembourg, 4 stars ,3 years ago,"Very good food, better to reserve a table"
34,Café Luxembourg, 5 stars ,2 years ago,"Came here for brunch and got two burgers and the croquettes to share.

Both very nice and juicy - I was surprised when they asked how I wanted my …"
35,Café Luxembourg, 5 stars ,2 months ago,Amazing food and friendly staffs :))
36,Café Luxembourg, 4 stars ,3 years ago,A quaint cafe - I didn't see anything special about this place - the service is okay and the offerings are okay as well.
37,Café Luxembourg, 3 stars ,3 years ago,"Nice location in Amsterdam. Food was OK, but nothing of come back for. On the pricey side but you are paying for the views"
38,Café Luxembourg, 4 stars ,2 years ago,"Beautiful place, great food and drinks too. Try the croquette and a piece of apple pie!"
39,Café Luxembourg, 4 stars ,3 years ago,"Nice place for lunch, good beef croquettes"
40,Café Luxembourg, 5 stars ,2 years ago,A nice traditional cafe with an outdoor patio and an excellent croque madame.
41,Café Luxembourg, 5 stars ,3 months ago,Sit on the balcony and watch the world pass by while munching on your salmon sandwich and  tripple beer
42,Café Luxembourg, 4 stars ,5 years ago,"Good portions, tasty food friendly staff, nice ambience 😉"
43,Café Luxembourg, 5 stars ,6 months ago,"Nice food at a reasonable price, good service"
