,Name,Review Rate,Review Time,Review Text
0,Café P96, 4 stars ,5 months ago,"Nice place to have a drink or even a breakfast/lunch with a perfect view of the channels. The tables are on a boat at the opposite side of the street, thus, when it is crowded, you should wait a little bit more for the service, but it is worth it."
1,Café P96, 5 stars ,4 months ago,"Cozy cafe with reasonably priced and good quality food. I was nervous it would be just another tourist trap along this road, but not so! The boat terrace is a new ce way to get close to the water as well."
2,Café P96, 5 stars ,5 years ago,"Lots of space inside, only open 11-3 sun to thus and 11-4 Fri and Sat. Wr got there at 12 and found it very cosy inside. Not crowded with lots of space, nice music and friendly staff. We paid €5.80 for a large Cappuccino and a English …"
3,Café P96, 5 stars ,a year ago,"Plain and simple 'gezelligheid' in a typical Dutch bar. Nice beers, nachos are good and the staff is attentive. Location is nice (as is the terrace boat in front)."
4,Café P96, 5 stars ,2 years ago,Great Dutch beer bar with tasty food. The bar is cool but the best bit is the awesome spot in front where you can sit on an old barge and enjoy the canal and the sun.
5,Café P96, 5 stars ,4 years ago,"This is a typically trendy Amsterdam bar serving good beer and good food, made all the better by having it's own barge, made into an outdoor seating area moored up on the canal. Excellent."
6,Café P96, 5 stars ,2 years ago,"One block away from the Anne Frank house.  Wonderful people watching with outside patio.  Directly across from the canal- with part of the restaurant sitting on a boat in the canal.  Had a great chicken sandwich with cheese, sauce and guacamole.  Would highly recommend for a quick bite and a drink."
7,Café P96, 5 stars ,4 years ago,Perfect place to drink a coffee beside the canal! Also very cozy atmosphere inside! Def recommend it!
8,Café P96, 5 stars ,a year ago,Great view and cozy place.  Fair price.  Best oatmeal coffee I've ever had 😉
9,Café P96, 3 stars ,4 months ago,"nice place but the staff aren’t very attentive, good prices though!"
10,Café P96, 5 stars ,3 months ago,"Great vibes, great food, very friendly staff!!"
11,Café P96, 3 stars ,6 months ago,"Good nacho’s and location. Service is super slow, it took 45min to get bitterballs(?!)."
12,Café P96, 5 stars ,3 years ago,Extremely friendly and cozy with great glühwein
13,Café P96, 4 stars ,7 months ago,"Service is dead slow, but the boat you can sit on is on the Prinsengracht and really nice view."
14,Café P96, 1 star ,2 years ago,"We weren't noticed by the staff, even standing 5 minutes by the bar. The waitress was too busy talking to her friend than actually minding any customers. We left to find a better place for a lunch. It's a pity, because the prices seemed to be ok and the place looks really nice."
15,Café P96, 5 stars ,2 years ago,A beautiful bruin cafe with extra seating nearby on a boat. It's self service on the boat but they give you a buzzer so you know when your food is ready. Delicious pub food and wide selection of drinks. This place is great.
16,Café P96, 4 stars ,5 years ago,Nice place for snack/lunch and to have few drinks on a sunny boat/canal terrace. 👍
17,Café P96, 4 stars ,6 months ago,"Super cool service and nice vibe, not crowded but still cool"
18,Café P96, 5 stars ,2 years ago,Really cool boat terrace. This is one of the best spots to be at if you want to have a wonderful view towards the Westerkerk. As you look out over one of the most beautiful views of Amsterdam with the Westerkerk to the south and canal house …
19,Café P96, 5 stars ,7 months ago,"Loved the friendly environment, met some wonderful people end enjoyed hours of great conversation on the Terasa."
20,Café P96, 5 stars ,3 years ago,"Really awesome place to be. Friendly stuff, good beer and delicious nachos."
21,Café P96, 5 stars ,9 months ago,Lovely people our favourite spot !!!!!quiet terrace nice service good vibes cold or so hot drinks and good tosti’s for me . Always came back to p96
22,Café P96, 5 stars ,9 months ago,Nice little spot. Sat on the boat for some drinks. Good scenery with boats and paddleboarders passing by
23,Café P96, 4 stars ,5 years ago,"Nice spot. Friendly staff. Old brown bar vibe on the inside, but along with a really nice boat deck so you can sit on the canal and enjoy your beer. OK-ish beer selection. Kinda pricey."
24,Café P96, 5 stars ,2 years ago,"The atmosphere was really cozy, nice usage of space and furniture
Didn't have to wait ages for my drink, and the staff were very friendly. Beer was great. 5 reeten"
25,Café P96, 5 stars ,3 years ago,"We walked here for breakfast. Friendly staff, great food (I had bacon and brie sandwich which was served 'open') and they do a local beer 'Brandt'. Excellent spot, overlooking the canal."
26,Café P96, 4 stars ,8 years ago,"Great little place with a large interior and a terrace on a boat out the front. Yes, seating on boat. You look out over one of the most beautiful views of Amsterdam with the Westerkerk to the south and canal house boats lining the canal. Belgian and dutch beer and wine. Simple pub food at good value."
27,Café P96, 5 stars ,2 years ago,Very nice little cafe/bar. Has outside seating on a barge which is perfect for summer. The beer was cold and the food was lovely.
28,Café P96, 5 stars ,4 years ago,"Great little cafe with outdoor seating ON a small barge/boat. Very quaint and beautiful views. How could you NOT like sitting on the water in Amsterdam?! Inside was very pretty as well, small but cozy and warm. Only quirk was that because …"
29,Café P96, 5 stars ,4 months ago,Good stop when walking around the canal.
30,Café P96, 5 stars ,2 years ago,Cosy cafe/bar in the Jordaan district beside the canal. Great menu of drinks. Friendly staff and great atmosphere. A lovely place to have a quite drink in the evening.
31,Café P96, 4 stars ,2 years ago,"If there's one thing that is the clear distinction between P96 and the number of other pubs and bars in the Jordaan area, that thing is Peter the owner - or Kevin as we call him, since he looks a bit like Kevin Costner. This fun guy is …"
32,Café P96, 5 stars ,3 years ago,"Very personal, the acoustics great, personal absolutely fabulous. One of the best nights ever. What a terrific atmosphere' simply amaze-ballz. I mean, why not?"
33,Café P96, 5 stars ,3 years ago,Beautiful view!! Great location!!
34,Café P96, 5 stars ,3 years ago,Lovely Cafe with a bar for night time. It's quiet with a good amount of beers and other drinks. If your in the Joordan area definitely worth a call in!!
35,Café P96, 5 stars ,4 months ago,awesome view on the church from a boat
36,Café P96, 5 stars ,3 years ago,Great cafe. Loved the bitterballen and amazing beer selection. The staff was super friendly. Will definitely go back next time I'm in Amsterdam.
37,Café P96, 5 stars ,2 years ago,"Nice place to grab some drinks and small bites, the boat across the street is cool to chill on. Friendly staff, good beer, and awesome snacks"
38,Café P96, 4 stars ,6 years ago,"Lovely bar/cafe set next to canal. Great selection of local beers and food. Friendly staff, reasonable prices. Enjoy!"
39,Café P96, 5 stars ,4 years ago,Really lovely cafe. Enjoyed sitting by the canal drinking cool beer and eating delicious food. Would definitely go back next time I am in Amsterdam.
40,Café P96, 5 stars ,2 years ago,Spent a few hours here on our last day. Great food and very helpful pleasent staff. I'd definately spend more time here on my next visit to Amsterdam 😎
41,Café P96, 5 stars ,2 months ago,👍
42,Café P96, 1 star ,3 years ago,"Okayish beer, terrible service! Charging 1 euro for toilet, even if you are sitting there 2 hours! And very rude staff. Not recommended at all"
43,Café P96, 4 stars ,8 years ago,"A good café in a very nice setting, with a terrace on a boat on the Prinsengracht. Definitely a good place to have a drink after a stroll in the Joordan quarter."
44,Café P96, 5 stars ,3 years ago,"They did not have ice coffee on the menu, but the kind staff made me one anyway! Great place!"
45,Café P96, 5 stars ,4 years ago,Bomb ass appetizers. Try the croquettes and spicy meatballs. Great beer selection as well. Friendly servers!
46,Café P96, 5 stars ,2 years ago,"Always go here for lunch when we're in Amsterdam - great food, beer and service in a lovely location by the canal."
47,Café P96, 5 stars ,3 years ago,"Very very nice it's a local bar where you can find cheap prices of alcohol, very nice atmosphere and very nice staff"
48,Café P96, 4 stars ,6 years ago,Fast service. Good selection of various styles of Belgian beer on tap. Very reasonably priced.
49,Café P96, 5 stars ,3 years ago,"Good selection of local beer, nice staff and a great place to sit and watch people go by."
