,Name,Review Rate,Review Time,Review Text
0,Café Wester, 5 stars ,2 years ago,I really liked this place. We met here before going on a canal cruise. The staff is super friendly and they play really good music. I would definitely go back to this spot for a beer.
1,Café Wester, 4 stars ,3 years ago,"Good place to hang out / kill time. Laid back, decent menu and drinks. Staff is friendly enough. Nothing to go out of your way for, but solid and trustworthy.
If there's a game (match) on, then it'll be on here."
2,Café Wester, 4 stars ,4 months ago,"Café Wester is a vibe nice energy great music service also great not much sitting place inside, tables outside too"
3,Café Wester, 5 stars ,3 weeks ago,Tall Finnish girl was so sweet. Great bar!
4,Café Wester, 5 stars ,a year ago,"Best café in the Center. Happy sweet staff, hot owner and one of the best views"
5,Café Wester, 5 stars ,7 months ago,A Nice place on canal with friendly staff. 👍🏼 Recommended.
6,Café Wester, 5 stars ,4 years ago,Awesome outdoor serving. Good service. Good food and beer. Nice view. Just awesome.
7,Café Wester, 3 stars ,2 years ago,"Lovely Pizza filled the spot for lunch. Waitress gave the impression customers were an inconvenience however sadly.
Also, hand hygiene leaves something to be desired. If you don't mind your carrot cake being handled"
8,Café Wester, 4 stars ,2 years ago,"Cool bar, they also have three screens if you're looking for a spot for the football matches. Service wasn't so fast but their staff was friendly. In the summer days, they also have a terrace next to the canal with a perfect view. So enjoy!!"
9,Café Wester, 5 stars ,3 years ago,The only reason I stopped at this cafe was because it was the meeting spot for the canal cruise I was going to take.  I didn't eat (as I had just has a snack somewhere else) but I did get a drink and stared longingly at the food around me …
10,Café Wester, 5 stars ,2 years ago,Great little cafe bar with outside seating and lovely views
11,Café Wester, 5 stars ,2 years ago,"Nice place for a drink along side a canal. This was a meeting point for the Dam Boat Guys tour. Thomas, our bartender was very attentive and friendly. We came back 2 hours later after the tour and Thomas greeted like regulars asking we wanted another round remembering all 4 of our drinks"
12,Café Wester, 3 stars ,3 years ago,"Smack bang in the middle. Not good, not bad. It has a great location on the canal, but the seats are uncomfortable and crammed together. Drinks are good, but a bit expensive. The service when you could find them was good, but they were seldom outside. A few small changes could make this place great."
13,Café Wester, 3 stars ,2 years ago,"Decent place located across from the Anne Frank House. Service is a bit slow, but the views are nice. The Holtkamp cheese croquet was not very good in my opinion, though I don't know if it tasted the way it should - I've never had one before. My wife truly loved her chicken sandwich, though. The plain pizza was not good, though."
14,Café Wester, 5 stars ,3 years ago,Was our first and last stop on our trip to Dam. Very friendly waiting staff and decent drink prices for the area. Amazing bitterballen and cheese sticks too! They were to die for. Will definitely be coming back next time :)
15,Café Wester, 5 stars ,5 months ago,"Really Friendly Workers
Easy to Pay
Price is Fair"
16,Café Wester, 5 stars ,2 years ago,"Great place to stop and have a drink! The coffees here are great, absolutely fantastic place with outside seating area, friendly staff,excellent service and great atmosphere! Chicken sandwich is top!"
17,Café Wester, 5 stars ,2 years ago,"Great atmosphere, meet friends and neighbors over some beer and bitterballen anytime of the year. Weekends get a little crowded, but that’s perfect for a party! Great location on the Prinsengracht, in the heart of Jordaan."
18,Café Wester, 4 stars ,2 years ago,Great pub/bar with good service and a nice atmosphere. A good local bar that I still would recommend to tourists. Worth a stop if your in the area!
19,Café Wester, 1 star ,2 years ago,Very very ugly. I asked them to offer me some water from the tap. They filled  a glass in where they washes the dishes. Offer me the glass while it was full of dish washing Liquid. While it was dripping. I was shocked.  They did not even try to apologize. I still can not believe it..
20,Café Wester, 5 stars ,2 years ago,"Great Bar! Awesome for a quick drink and a bite! Try the pizza!

It’s not Napolitan but is great! …"
21,Café Wester, 4 stars ,7 months ago,"Nice place, friendly staff"
22,Café Wester, 4 stars ,2 years ago,"Nice and busy small cafe near Westerkerk and Anne Frank Huis.
Good for a snack or beer with friendly service. You can smike outside, or enjoy the weather on a fine day."
23,Café Wester, 3 stars ,3 years ago,"I would have given it more stars-the location is good, the toilets were fine, decor traditional brown pub. But the barman was not on it. He didn't know what brandy is and when pointed out he poured me about 6 measures til I shouted stop. Of …"
24,Café Wester, 3 stars ,4 months ago,Looked good and spacious inside.
25,Café Wester, 2 stars ,5 years ago,"Stopped in for a coffee when we had time to kill before climbing Westertoren. Not much to say since we didn't try any food there, but service could have been better. Our waitress seemed a little rude, like she hated her job and hated life. There are tons of cafes in Amsterdam. You're better off picking a different one."
26,Café Wester, 5 stars ,2 years ago,"Great little canalside bar. Small but excellent range of beers, same for the menu. Lots of seating opposite the bar, right next to the canal."
27,Café Wester, 4 stars ,4 years ago,Needed a little walking break. Stopped for a beer and a snack. Friend ate apple pie (delicious) with coffee. I had beer and small pizza (pretty darn good). Service was good. Would go back.
28,Café Wester, 2 stars ,3 years ago,Ordered a smoothie which they did not have. Then ordered a Fanta which I got in a dirty glass (got lipstick on it). My friend ordered a bloody mary and had to make it himself apart from mixing the vodka and the tomato juice. The staff also …
29,Café Wester, 5 stars ,3 years ago,"I adored Café Wester during my week-long stay in Amsterdam at the end of December, 2017. It's a small yet cozy little place with a helpful and efficient waitstaff, with a nice selection of drinks and sandwiches. And of course, there is …"
30,Café Wester, 5 stars ,6 years ago,"Darling, small cafe with amazing Dutch pancakes all day. Staff is very friendly and if I could, I would be back for their snack menu after 4 for fried Gouda and bitterball. Right by Anne Frank Huis."
31,Café Wester, 4 stars ,5 years ago,Bar in a nice spot on the Prinsengracht. Rammed during the day and event days (quieter in the evening) but manages to not be entirely tourist focused. Plenty of outside seating.
32,Café Wester, 5 stars ,2 years ago,"We only had a desert and a natural juice here, but they were delicious! Definitely go for the cakes!"
33,Café Wester, 5 stars ,7 years ago,"Lovely little cafe in a back street of Amsterdam near to Ann Franks house. Great ambience, friendly service and cakes to die for. So good we went twice!"
34,Café Wester, 5 stars ,2 years ago,Quick service and a chill atmosphere make for a nice stop. Out door seating is available as well.
35,Café Wester, 1 star ,2 years ago,"Stop! In a time when everyone is taking precautions you are still using your hands to add ice to a drink, the hand dryer doesn’t work in one of the toilets and no hot water to wash ones hands!"
36,Café Wester, 5 stars ,3 years ago,Good place to sit and have a chat with friends. The staff are friendly. The food was ok and the beer good.
37,Café Wester, 3 stars ,2 years ago,"Great location, and nice cosy space inside. Food and drinks are very basic."
38,Café Wester, 1 star ,4 years ago,Unpleasant attitude by staff. People waited for an hour for food that didn't arrive. Nice place though for a sunny day!
39,Café Wester, 4 stars ,2 years ago,Pleasant place to have a drink and some food. The chicken sandwich was very good.
40,Café Wester, 5 stars ,2 years ago,"Really chill, the food is great and the staff are lovely and friendly..not to mention their playlist was pretty sweet 🤠🥳"
41,Café Wester, 5 stars ,3 years ago,Like this cafe..I have good morning coffee here and you must to taste carrot 🥕 and apple 🍎 cake 🍰..The best of all is the sun 🌞 that loves you here in the  morning and you can enjoy it completely 🌈🤩😘
42,Café Wester, 4 stars ,2 years ago,Nice bar
43,Café Wester, 5 stars ,3 years ago,"Fun place to have  drink and people watching, I would recomend, if possible, to grab a drink and sit by the canal or outside the cafe, to have a cool experience with the city, canals ..."
44,Café Wester, 5 stars ,4 years ago,Very good food. Friendly and welcoming staff! Great view of the canal.
45,Café Wester, 4 stars ,2 years ago,Lots of great beers. Outdoor seating in a beautiful canal spot.
46,Café Wester, 5 stars ,4 years ago,"very nice service and atmosphere. heineken extra cold and ipa, schmackofatz! very delicious drinks btw"
47,Café Wester, 5 stars ,2 years ago,Great food and a nice place to people watch at the window.
48,Café Wester, 2 stars ,4 years ago,Waited over an hour for our breakfast. Food was average. Nice place to relax in the sun though.
49,Café Wester, 4 stars ,4 years ago,Nice place with a good music and friendly atmosphere. Beer could be better.
50,Café Wester, 3 stars ,3 months ago,Good place to chill
51,Café Wester, 5 stars ,3 years ago,"Nice bar, we enjoyed our drink. Nothing more nothing less."
52,Café Wester, 5 stars ,3 years ago,"Great food, great atmosphere and great service! Very good welcoming."
53,Café Wester, 5 stars ,2 years ago,Great pizza ate there before a classic 90 min boat tour with those dam boat guys
54,Café Wester, 5 stars ,4 years ago,Great little cafe. Seating areas inside and outside. Very friendly staff
55,Café Wester, 2 stars ,3 years ago,"Nice location, average service, high prices and limited selection of drinks"
56,Café Wester, 5 stars ,3 years ago,"Great carrot cake and apple gebak (apple pie).
Nice friendly service."
57,Café Wester, 1 star ,3 years ago,"Very bad Service, we waited more than 30 minutes for smal snacks, and the waiter was unpolite."
58,Café Wester, 5 stars ,2 years ago,"Great location, friendly staff! Cold Beer!"
59,Café Wester, 5 stars ,3 years ago,Nice cosy little bar with good beer selection.
60,Café Wester, 5 stars ,2 years ago,"I got the apple pie and was so delicius, the guys are frendlys and nice!"
61,Café Wester, 5 stars ,2 years ago,The most beautiful waiters of the Europe... Great beers and food.
62,Café Wester, 4 stars ,3 years ago,"Nice cafe, not a coffeeshop, small but has a popular following"
63,Café Wester, 1 star ,3 years ago,Terrible service. The waiter was busy drinking shots with his friends and had little interest in serving his customers.
64,Café Wester, 5 stars ,2 years ago,Amazing place! Great food and drinks!
65,Café Wester, 5 stars ,2 years ago,"Apple pie was terrific. It really was.

Watch out for the wasps though."
66,Café Wester, 5 stars ,2 years ago,Great beer and excellent place to watch the world go by
67,Café Wester, 5 stars ,6 years ago,5 stars just for the atmosphere and the staff. Coffee is good too
68,Café Wester, 4 stars ,3 years ago,Nice music good vibe friendly bartender Thom!! Will be back :)
69,Café Wester, 5 stars ,2 years ago,"Really good bar close to Anne Frank House, try it!"
70,Café Wester, 4 stars ,3 years ago,"Nice place, spatious terrace, friendly staff and cheap prices!"
71,Café Wester, 4 stars ,4 years ago,People are realy nice and they've got great beers!
72,Café Wester, 4 stars ,2 years ago,"Cosy bar, tasty beer, lots of seating outside"
73,Café Wester, 5 stars ,2 years ago,"Cute little cafe. Nice coffee, clean toilet"
74,Café Wester, 5 stars ,4 years ago,Awesome little pub ... Nice atmosphere and friendly stuff
75,Café Wester, 4 stars ,4 years ago,"Good place to meet friends, as it's easy to spot from the street and the opposite side of the canal."
76,Café Wester, 5 stars ,3 years ago,Delicious and quick stop. The goat cheese croquettes are amazing!
77,Café Wester, 3 stars ,2 years ago,"Quaint cafe,located near the Ann Frank house. Waffles, coffee and teas."
78,Café Wester, 5 stars ,2 years ago,What a pleasant time!  Went back several times during visit.
79,Café Wester, 4 stars ,7 months ago,Very cosy place and friendly staff !
80,Café Wester, 2 stars ,4 years ago,There are not so many seats and they don't have chai latte.
81,Café Wester, 5 stars ,4 years ago,"Great apple pie, great beers and a good mixture of people"
82,Café Wester, 5 stars ,5 years ago,Good cafe which you must visit when you are in de Jordaan area. Or just after a visit of the Anne frank huis.
83,Café Wester, 4 stars ,3 years ago,Coz and warm with a nice little bench outside to enjoy the sun and sights
84,Café Wester, 4 stars ,4 years ago,"Good finger food, lots of beers. It misses some space though"
85,Café Wester, 5 stars ,6 years ago,The Hamburger with French Fries are very good. Nice Place.
86,Café Wester, 5 stars ,2 years ago,Great apple pie
87,Café Wester, 2 stars ,3 years ago,Weak tasteless coffee. The toilets are not clean. Seating at the front is too crowded.
88,Café Wester, 5 stars ,4 years ago,"Beautiful classical cafe, there was a pianist playing while i was there"
89,Café Wester, 5 stars ,3 years ago,"Friendly pub, open late, nice atmosphere"
90,Café Wester, 5 stars ,2 years ago,Thoughtful staff and delicious food stuff
91,Café Wester, 4 stars ,4 years ago,Great little place for a beer and a bitterbal.
92,Café Wester, 4 stars ,3 years ago,nice view if you can get a seat
93,Café Wester, 5 stars ,6 years ago,Great service given the bartender is all by himself!
94,Café Wester, 5 stars ,3 years ago,Some very creative beer for a great price.
95,Café Wester, 4 stars ,5 years ago,"Great beers, views, and excellent cheese sticks."
96,Café Wester, 5 stars ,3 years ago,Friendly staff and great beer!
97,Café Wester, 5 stars ,5 years ago,Very nice people good drinks
98,Café Wester, 4 stars ,6 years ago,Great bar. Atmosphere is excellent.
99,Café Wester, 5 stars ,5 years ago,Cool atmosphere and really friendly staff.
100,Café Wester, 5 stars ,9 months ago,Very kind and fast
101,Café Wester, 4 stars ,3 years ago,Excelent service. Very good atmosphere
102,Café Wester, 4 stars ,3 years ago,Pleasant atmosphere and good service.
103,Café Wester, 1 star ,4 years ago,Food is disgusting and staff is not friendly.👎🏼
104,Café Wester, 4 stars ,4 years ago,Nice snacks for afordable prices.
105,Café Wester, 4 stars ,a year ago,Good hummus sandwich!
106,Café Wester, 5 stars ,7 months ago,Nice
107,Café Wester, 4 stars ,3 years ago,Pretty nice little bar
108,Café Wester, 4 stars ,6 years ago,All good. Nice place to go!
109,Café Wester, 4 stars ,3 years ago,Good beer and desserts
110,Café Wester, 5 stars ,3 years ago,Nice Beer and Snacks.
111,Café Wester, 5 stars ,3 years ago,Very nice and lovely staff
112,Café Wester, 5 stars ,2 years ago,Nice street view.
