,Name,Review Rate,Review Time,Review Text
0,Café Westerdok, 4 stars ,4 months ago,Cozy local pub with a household cat. Didn't try the food but they had a good selection of drinks.
1,Café Westerdok, 5 stars ,6 months ago,Super small local pub. 10 beers on tap 100 bottles and finger food. Truly a local hangout with friendly staff and a friendly cat
2,Café Westerdok, 5 stars ,2 years ago,"We popped up in this bar randomly for a beer and it was quite a pleasant surprise. The atmosphere was very cozy and unlike other tipical dutch bars, it was not very noisy. There's also a good selection of beers. The owners are very friendly. Recommend checking out this place."
3,Café Westerdok, 1 star ,2 years ago,"Extremely racist couple that run the place, no music, smells like deep fried chicken skin. very good beer menu though. Avoid at all cost, there are plenty of bars around that serve you well."
4,Café Westerdok, 5 stars ,9 months ago,"Amazing place, really friendly owners and amazing choice of beers! Loved the experience, I’ll come back for sure"
5,Café Westerdok, 1 star ,3 years ago,High cracklady not being able to do a normal conversation behind the bar. Don’t know if she’s the owner but trashtalking customers isn’t very charming. They had some nice tap beers though. But she had no idea of what they were or anything so that doesn’t really do it either..
6,Café Westerdok, 5 stars ,9 months ago,A great selection of beers and phenomenal hosts!!! A must visit!
7,Café Westerdok, 5 stars ,a year ago,Best cafe in town. Steve & Adelina will be happy to serve you a beer or a chat. Everyone is welcome.
8,Café Westerdok, 5 stars ,6 years ago,"Very friendly and calm place, with a nice beer selection that change from time to time, and some finger food (including pretty decent bitterballen and kaastengels!) …"
9,Café Westerdok, 5 stars ,2 years ago,"Lovely beer cafe! Traditionally styled, with very large selection of beers! Super friendly!"
10,Café Westerdok, 5 stars ,3 years ago,"Possibly the best beer selection in town, great prices, super nice owners and an extremely friendly cat. Good local vibe, no tourists (thank god)."
11,Café Westerdok, 5 stars ,4 years ago,"Fantastic, authentic place! Beer like nowhere else! From locally brewed IPA to dark Belgium basterds! (And yes, about 80 different kinds in the middle)"
12,Café Westerdok, 4 stars ,5 years ago,Locally owned with POOL table :-). This is a good place to go to if you just want to have a beer and some beer-snacks with friends. Owners are super nice.
