,Name,Review Rate,Review Time,Review Text
0,Café 't Binnepretje, 5 stars ,2 years ago,I ordered the English breakfast and a Heineken.  perfect combo!  Great midday stop. Easy atmosphere.  friendly helpful proprietor.
1,Café 't Binnepretje, 4 stars ,2 years ago,"Not too popular as a bar so I had the possibility to sit.
Interior is nice, a usable toilet for men/women.
Bartender is a nice guy and I had a great time there. …"
2,Café 't Binnepretje, 5 stars ,2 years ago,"Was passing through on a rainy night,  popped in for a drink.  Very friendly barman and friendly  customers too.  Felt safe and welcomed and chatted to the locals.  I think they served food too but we didn't eat here."
3,Café 't Binnepretje, 5 stars ,3 years ago,Great real Amsterdams bar.Good simple menu.Two dart tracks.Owners and staff real friendly.
4,Café 't Binnepretje, 5 stars ,2 years ago,"Very nice place where pleasant people are working. Everything was tasty, big portions and great price. Recommend this place to have a tasty breakfast:)"
5,Café 't Binnepretje, 5 stars ,3 years ago,"Brilliant place, brilliant food and brilliant people. Super welcoming and couldn’t be nicer. If you’re around this way, whether it’s a pint or some food, be sure to stop by! 👍🏻"
6,Café 't Binnepretje, 5 stars ,2 years ago,Great food. Nice little pit stop. 5 mins away from where we stayed. Quiet and quick service
7,Café 't Binnepretje, 5 stars ,4 years ago,"amazing . wonderful . beautiful .

the owners are so delightful . helped us with everything we needed and made us feel so welcome. even called us a taxi to the hotel x thanks so much for the kind hospitality."
8,Café 't Binnepretje, 5 stars ,4 years ago,If you come here around nine on a Friday evening it is dart night and people are having a great time. The bar is well tended. An out of the way brown cafe.
9,Café 't Binnepretje, 5 stars ,3 years ago,"The most friendly staff I've seen in a long time.
The Angus burger is really good but a little overcooked for my taste/own preference."
10,Café 't Binnepretje, 5 stars ,5 years ago,"Really friendly stuff, fast service and the food was excellent. We had english breakfast and angus beefburger. Both of them was spot on. Totally recommending for everyone!"
11,Café 't Binnepretje, 5 stars ,3 years ago,"A very good place, with a really friendly and cheerful staff. Food very good.. thanks a lot -.The french man .:-)"
12,Café 't Binnepretje, 5 stars ,2 years ago,Very nice place with great service and friendly staff. Loved it! I'll be back again for sure!
13,Café 't Binnepretje, 5 stars ,2 years ago,It felt like home direct after i entert the cafe/bar. When iam back in amsterdam i will try to visit it again.
14,Café 't Binnepretje, 5 stars ,3 years ago,Very local cosy bar where the hospitality level is brought to another level.  Nice beers from draft and a welcome feeling
15,Café 't Binnepretje, 5 stars ,3 years ago,"Great staff, friendly service. Cozy and comfortable for both locals and tourists!"
16,Café 't Binnepretje, 5 stars ,2 years ago,This place us awesome corner in Amsterdam. Went on a Sunday and had the place to myself. Did everything...
17,Café 't Binnepretje, 5 stars ,3 years ago,"Staff were very helpful ,Great atmosphere and food was superb."
18,Café 't Binnepretje, 5 stars ,2 years ago,"Had an English breakfast at 17.00, tasted great. Great staff!"
19,Café 't Binnepretje, 5 stars ,2 years ago,Loved this place! I'm coming back just to hang out here again!
20,Café 't Binnepretje, 5 stars ,4 years ago,Always go in here while over netherland's Great burgers.
21,Café 't Binnepretje, 5 stars ,3 years ago,great .  big screen and plenty of beer for the football 😁
22,Café 't Binnepretje, 4 stars ,2 years ago,Love this place. Really nice atmosphere and good service
23,Café 't Binnepretje, 3 stars ,4 years ago,"Very local, neighbourhood style pub. Shows all ajax games on several screens."
24,Café 't Binnepretje, 5 stars ,2 years ago,"friendly staff, sunny terrace, happy vibes"
25,Café 't Binnepretje, 5 stars ,3 years ago,Very friendly and the food is delicious!
26,Café 't Binnepretje, 5 stars ,2 years ago,A cozy place. Great Service!!!
27,Café 't Binnepretje, 4 stars ,5 years ago,"cosy little bar, relatively cheap beer"
28,Café 't Binnepretje, 4 stars ,3 years ago,Friendly and decent beer!
29,Café 't Binnepretje, 4 stars ,5 years ago,Good food
30,Café 't Binnepretje, 4 stars ,3 years ago,Nice terrace.
31,Café 't Binnepretje, 5 stars ,2 years ago,Top
32,Café 't Binnepretje, 4 stars ,5 years ago,S. J.  Perfect place...
33,Café 't Binnepretje, 5 stars ,4 months ago,"(Translated by Google) Cozy place, very nice service and the burger was really great... We Will be back! …"
34,Café 't Binnepretje, 4 stars ,2 months ago,(Translated by Google) Delicious Amsterdam no nonsense cafe. A bit messy in the back... …
35,Café 't Binnepretje, 5 stars ,7 months ago,"(Translated by Google) i have been there once very nice good service and robbert,odille and nikky are very nice super so i can recommend it wholeheartedly …"
36,Café 't Binnepretje, 5 stars ,2 months ago,"(Translated by Google) What a nice people! And also delicious food

(Original) …"
37,Café 't Binnepretje, 4 stars ,4 months ago,"(Translated by Google) Cozy cafe with many darts opportunity.

(Original) …"
38,Café 't Binnepretje, 5 stars ,a month ago,"(Translated by Google) Nice tent, have fun

(Original) …"
39,Café 't Binnepretje, 5 stars ,5 months ago,"(Translated by Google) Just fun, the name speaks for itself!

(Original) …"
40,Café 't Binnepretje, 5 stars ,4 months ago,"(Translated by Google) Finally darted again was good old-fashioned fun.

(Original) …"
41,Café 't Binnepretje, 5 stars ,4 months ago,"(Translated by Google) Best pub in Amsterdam

(Original)
Meilleur pub d amsterdam"
42,Café 't Binnepretje, 5 stars ,2 years ago,(Translated by Google) very comfortable and very nice people My wife and I felt very comfortable. Greetings from Solingen. Congratulations on the victory of Ajax against Juventus * g - keep your fingers crossed for the final …
43,Café 't Binnepretje, 5 stars ,a month ago,"(Translated by Google) Blood cozy, a lovely brown cafe with very reasonable prices.
Really a top tent !!!!!!! …"
44,Café 't Binnepretje, 5 stars ,a year ago,"(Translated by Google) What a cozy cafe! Top service and nice guests !!

(Original) …"
45,Café 't Binnepretje, 5 stars ,3 years ago,"(Translated by Google) Great pub, super nice people. The food is also very good. I can only recommend it …"
46,Café 't Binnepretje, 4 stars ,a year ago,(Translated by Google) Cozy Amsterdam brown pub with a beautiful terrace and friendly staff in Bos en Lommer. …
47,Café 't Binnepretje, 5 stars ,2 years ago,(Translated by Google) Super nice cafe. Delicious and honest people who serve you well. …
48,Café 't Binnepretje, 5 stars ,2 years ago,"(Translated by Google) Nice cafe, good atmosphere. Just a pity about the early closing time😉 …"
49,Café 't Binnepretje, 4 stars ,2 years ago,(Translated by Google) Nice wrap .... tasted a new beer: a texel ... sunny yet busy terrace ... friendly service! …
50,Café 't Binnepretje, 5 stars ,a year ago,"(Translated by Google) Cozy cafe nice terrace, nice in the sun

(Original) …"
51,Café 't Binnepretje, 4 stars ,2 years ago,"(Translated by Google) It was a lot of fun. Nice cafe. Recommended

(Original) …"
52,Café 't Binnepretje, 4 stars ,2 years ago,"(Translated by Google) Cozy cozy cafe! Nice friendly service!

(Original) …"
53,Café 't Binnepretje, 5 stars ,5 years ago,"(Translated by Google) Best place in the area, staff very friendly, for darts and football enthusiasts a good pub with a lot of AJAX supporters !!!!! …"
54,Café 't Binnepretje, 5 stars ,2 years ago,"(Translated by Google) Cozy pub, nice terrace, good food and a delicious cocktail …"
55,Café 't Binnepretje, 4 stars ,2 years ago,"(Translated by Google) Good music and good food ... nice atmosphere

(Original) …"
56,Café 't Binnepretje, 5 stars ,4 years ago,(Translated by Google) We have some very good Dutch tapas and excellent service. 100% recommendable. …
