,Name,Review Rate,Review Time,Review Text
0,Café de Fluiter, 5 stars ,2 years ago,It is definitely the most welcoming place in town. I wish I could come back soon. The bartender is such a sweet piece. Just in love.
1,Café de Fluiter, 5 stars ,6 months ago,"Local Cafe bar, it has all you need. Cheap beer and a very polite owner, serving you with a smile"
2,Café de Fluiter, 5 stars ,2 years ago,Spent a pleasant 10 minutes here yesterday afternoon while waiting for a house viewing. Billiards table covered in leather. Warmly furnished in woods and reds. A friendly barman. Reminded me of certain Dublin pubs in feeling like a good place to hide out and put the world on pause for the duration of a drink or two.
3,Café de Fluiter, 5 stars ,4 years ago,Super friendly and cozy atmosphere! The bartender Brum was a joy to chat with and although a pub for locals I felt totally welcome. I wish it was on my corner at home :)
4,Café de Fluiter, 5 stars ,4 years ago,"Very friendly service, good draft beer, a pool table for who wants to play and a cat as mascot :-) cosy and frequented by locals, a nice place to enjoy a cold one!"
5,Café de Fluiter, 4 stars ,2 years ago,Friendly bartender. Type of bar that seems to have regular locals come too
6,Café de Fluiter, 5 stars ,2 years ago,"Around the corner from my apartment! Great little bar, great prices and friendly people"
7,Café de Fluiter, 5 stars ,3 years ago,Cozy and friendly. Great place to grab a drink.
8,Café de Fluiter, 5 stars ,4 years ago,"Locally owned, relaxed local corner bar. Great meatballs!"
9,Café de Fluiter, 4 stars ,4 years ago,Typical Amsterdam bar with only locals from the neighbourhood.
10,Café de Fluiter, 4 stars ,2 years ago,Cozy for a beer and a winter chat
11,Café de Fluiter, 4 stars ,3 years ago,It served beer which was nice
12,Café de Fluiter, 1 star ,2 years ago,Ignorant staff
13,Café de Fluiter, 1 star ,2 months ago,"(Translated by Google) Terrible attitude towards guests, they explained to me that this is a ""local"" bar in which guests are not welcome even from other districts / cities, let alone guests from other countries. Once the owner decided to …"
14,Café de Fluiter, 5 stars ,3 months ago,"(Translated by Google) Recently moved here around the corner and you couldn't wish for better neighbors than cafe de Fluiter! Sweet owner, good service and a nice place to get a drink and bitterbal! Always pleasant. …"
15,Café de Fluiter, 5 stars ,3 months ago,"(Translated by Google) Nicest neighborhood pub in Amsterdam! Nice beer, nice terrace, nice inside, nice service & nice croquette sandwich! Just not such a nice neighbor, haha. …"
16,Café de Fluiter, 1 star ,8 months ago,"(Translated by Google) I recently moved up here and the owner Bram, who could use a hospitality course! Simple neighborhood pub with an owner who is far from friendly to a new neighbor he doesn't know personally! …"
17,Café de Fluiter, 4 stars ,6 months ago,(Translated by Google) Small but nice terrace. Both under shading and in full sun. Friendly woman behind the bar! …
18,Café de Fluiter, 5 stars ,5 months ago,"(Translated by Google) Great pub! Got Guinness especially for me!! See you soon

(Original) …"
19,Café de Fluiter, 5 stars ,6 months ago,(Translated by Google) The nicest neighborhood pub is always warmly welcomed. No better host than Bram! …
20,Café de Fluiter, 5 stars ,5 months ago,"(Translated by Google) Always very pleasant and a super friendly owner!

(Original) …"
21,Café de Fluiter, 4 stars ,2 years ago,"(Translated by Google) Cozy little bar. For some cold drinks in any case recommended. Cool, authentic owner. Unfortunately, no credit card accepted, normal giro card should not be a problem. …"
22,Café de Fluiter, 5 stars ,5 years ago,(Translated by Google) Last Sunday a wonderful old-fashioned Amsterdam party in honor of Ton and Bram running the pub for 10 years. Keep it up Always nice with you …
23,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) A really dark brown café, with billiards, where young and old come together. Tasty beers and a friendly chateau. …"
24,Café de Fluiter, 5 stars ,4 years ago,(Translated by Google) Lovely brown pub. Where can you find them? And the sweetest service in Amsterdam! I forget to call the tastiest Jordanian ball. Delicious! …
25,Café de Fluiter, 4 stars ,a year ago,"(Translated by Google) Nice people good and nice service, really a brown cafe

(Original) …"
26,Café de Fluiter, 5 stars ,4 years ago,"(Translated by Google) Always nice to enter. Fortunately, an old school pub in Bolo. See you soon …"
27,Café de Fluiter, 5 stars ,6 years ago,"(Translated by Google) A delicious, old-fashioned Amsterdam pub. Roll ball is really delicious! …"
28,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) Cozy, well organized pub, with a nice and cozy mix of customers …"
29,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) Delicious a cappuccino this afternoon, very pleasant and relaxed! …"
30,Café de Fluiter, 5 stars ,2 years ago,(Translated by Google) It is a cozy café with an atmosphere that belongs in a city like Amsterdam …
31,Café de Fluiter, 5 stars ,6 years ago,(Translated by Google) Nice cafe great billiards and a perfect bartender Bram recommended so :-) …
32,Café de Fluiter, 5 stars ,3 years ago,"(Translated by Google) Best meatball in Amsterdam

(Original)
Beste gehaktbal van Amsterdam"
33,Café de Fluiter, 5 stars ,3 years ago,"(Translated by Google) Real authentic pub. Nice beers, good atmosphere.

(Original) …"
34,Café de Fluiter, 4 stars ,3 years ago,"(Translated by Google) Nice and cozy cafe..and super clean and nice bartenders

(Original) …"
35,Café de Fluiter, 4 stars ,3 years ago,(Translated by Google) Cozy neighborhood cafe with friendly hosts.Fjjne location. …
36,Café de Fluiter, 5 stars ,3 years ago,"(Translated by Google) Bram has minced the tastiest balls in Amsterdam !!

(Original) …"
37,Café de Fluiter, 4 stars ,4 years ago,"(Translated by Google) Cozy café with good service from my namesake Ton.

(Original) …"
38,Café de Fluiter, 4 stars ,3 years ago,"(Translated by Google) a cafe as usual .... very cozy ...

(Original) …"
39,Café de Fluiter, 5 stars ,5 years ago,"(Translated by Google) Delicious old-fashioned Dutch Amsterdam pub
Where you will always be welcomed …"
40,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) It was a long time ago, but I'm glad I went again !!!!

(Original) …"
41,Café de Fluiter, 4 stars ,3 years ago,"(Translated by Google) Can be very nice, with good friends.

(Original) …"
42,Café de Fluiter, 5 stars ,5 years ago,"(Translated by Google) Super pub, always a warm welcome and cozy!

(Original) …"
43,Café de Fluiter, 5 stars ,a year ago,"(Translated by Google) Friendly and relaxed as always

(Original) …"
44,Café de Fluiter, 5 stars ,4 years ago,"(Translated by Google) Delicious Amsterdam cosiness!

(Original) …"
45,Café de Fluiter, 4 stars ,4 years ago,"(Translated by Google) l nice pub with billiards

(Original)
l leuke  kroeg met biljard"
46,Café de Fluiter, 5 stars ,4 years ago,"(Translated by Google) Nice and cozy brown cafe

(Original)
Leuk en gezellig bruin cafe"
47,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) Nice nice cafe

(Original)
Gezellig leuk cafe"
48,Café de Fluiter, 5 stars ,a year ago,"(Translated by Google) Delicious spring buck!

(Original)
Heerlijke lentebok!"
49,Café de Fluiter, 5 stars ,3 years ago,"(Translated by Google) Cozy family cafe

(Original)
Gezellig familie cafeetje"
50,Café de Fluiter, 5 stars ,5 years ago,"(Translated by Google) Also suitable for children's parties

(Original) …"
51,Café de Fluiter, 5 stars ,4 years ago,"(Translated by Google) Nice bar lady, especially on Monday evening

(Original) …"
52,Café de Fluiter, 4 stars ,4 years ago,"(Translated by Google) Cozy neighborhood cafe.

(Original)
Gezellig buurtcafé."
53,Café de Fluiter, 5 stars ,7 years ago,"(Translated by Google) Nice cozy cafe

(Original)
Leuke gezellige café"
54,Café de Fluiter, 5 stars ,2 years ago,"(Translated by Google) Always cosy

(Original)
Altijd gezellig"
55,Café de Fluiter, 5 stars ,4 years ago,
56,Café de Fluiter, 5 stars ,a month ago,
57,Café de Fluiter, 3 stars ,3 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
58,Café de Fluiter, 3 stars ,2 years ago,"(Translated by Google) Was cozy!

(Original)
Was gezellig!"
59,Café de Fluiter, 5 stars ,5 years ago,"(Translated by Google) Good tent!

(Original)
Gouwe tent!"
60,Café de Fluiter, 5 stars ,a year ago,"(Translated by Google) cozy 😊

(Original)
Gezellig 😊"
61,Café de Fluiter, 4 stars ,7 years ago,"(Translated by Google) Nice cafe

(Original)
Mooie cafe"
62,Café de Fluiter, 5 stars ,a year ago,"(Translated by Google) Excellent

(Original)
Uitmuntend"
63,Café de Fluiter, 5 stars ,5 years ago,
64,Café de Fluiter, 4 stars ,2 years ago,
65,Café de Fluiter, 5 stars ,2 years ago,
66,Café de Fluiter, 5 stars ,2 years ago,
67,Café de Fluiter, 3 stars ,2 years ago,
68,Café de Fluiter, 5 stars ,2 years ago,
69,Café de Fluiter, 5 stars ,2 years ago,
70,Café de Fluiter, 5 stars ,2 years ago,
71,Café de Fluiter, 5 stars ,2 years ago,
72,Café de Fluiter, 5 stars ,2 years ago,
73,Café de Fluiter, 5 stars ,2 years ago,
74,Café de Fluiter, 3 stars ,3 years ago,
75,Café de Fluiter, 5 stars ,5 years ago,
76,Café de Fluiter, 5 stars ,2 years ago,
77,Café de Fluiter, 5 stars ,2 years ago,
78,Café de Fluiter, 5 stars ,4 years ago,
79,Café de Fluiter, 4 stars ,3 years ago,
80,Café de Fluiter, 5 stars ,3 years ago,
81,Café de Fluiter, 4 stars ,3 years ago,
82,Café de Fluiter, 5 stars ,2 years ago,
83,Café de Fluiter, 5 stars ,2 years ago,
84,Café de Fluiter, 5 stars ,4 years ago,
85,Café de Fluiter, 3 stars ,4 years ago,
86,Café de Fluiter, 5 stars ,3 years ago,
87,Café de Fluiter, 4 stars ,4 years ago,
88,Café de Fluiter, 4 stars ,2 years ago,
89,Café de Fluiter, 5 stars ,a year ago,
90,Café de Fluiter, 5 stars ,2 years ago,
91,Café de Fluiter, 3 stars ,7 years ago,
92,Café de Fluiter, 5 stars ,3 years ago,
93,Café de Fluiter, 5 stars ,2 years ago,
94,Café de Fluiter, 5 stars ,2 years ago,
95,Café de Fluiter, 5 stars ,7 months ago,
96,Café de Fluiter, 4 stars ,2 years ago,
97,Café de Fluiter, 5 stars ,2 weeks ago,
98,Café de Fluiter, 5 stars ,2 years ago,
99,Café de Fluiter, 5 stars ,4 years ago,
100,Café de Fluiter, 5 stars ,a year ago,
101,Café de Fluiter, 5 stars ,3 years ago,
102,Café de Fluiter, 5 stars ,6 years ago,
103,Café de Fluiter, 5 stars ,3 years ago,
104,Café de Fluiter, 2 stars ,3 years ago,
105,Café de Fluiter, 5 stars ,3 years ago,
106,Café de Fluiter, 3 stars ,5 years ago,
107,Café de Fluiter, 5 stars ,5 years ago,
108,Café de Fluiter, 5 stars ,2 years ago,
109,Café de Fluiter, 5 stars ,a year ago,
