,Name,Review Rate,Review Time,Review Text
0,Café de Pijp, 5 stars ,2 years ago,"The best breakfast coffee in Depijp area. the restaurant is cool , the staff is just amazing and friendly . The terrasse is so great to eat outside enjoying the sun . …"
1,Café de Pijp, 5 stars ,2 years ago,"Very fresh tender salmon, surprisingly served with noodle and vegetables. Very big portion of spareribs in delicious taste. They also have interesting beers to.choose."
2,Café de Pijp, 4 stars ,5 years ago,Loved the atmosphere. Definitely a local place. Surrounded by local people speaking Dutch. The Mediterranean platter was delish. I only give it a 4 because the sweet potato and mustard soup wasn't to my liking. A few local biers on tap which were tasty.
3,Café de Pijp, 5 stars ,3 years ago,"Super! We ordered chicken legs, grill chicken salads and panini. All are so amazing! Its tase is yummy. It was a little bit busy. Great location"
4,Café de Pijp, 4 stars ,5 years ago,"Fantastic service, great vibe and good food. Really enjoyed the atmosphere. We had bitterballen, steak and burger. Steak was fantastic but burger could've been better."
5,Café de Pijp, 4 stars ,2 years ago,"Food was great, however service was very slow and the place wasn't particularly busy. Took ages for food to come out and to get the bill, seems more staff members are needed, wouldn't suggest coming here if very hungry (as I was). Luckily the food tasted nice, but it may have even be the hunger that was deceiving me....."
6,Café de Pijp, 5 stars ,3 years ago,What a lovely corner cafe!  Their waffle with strawberries and whipped cream is so good.  Service is fast. Staff is super nice.
7,Café de Pijp, 4 stars ,2 years ago,"Just what you expect from a bar/restaurant. Beer and some food options. Not so many food options (at the moment). But well look on the bright side, this makes cuts down on the thinking and thus faster to order."
8,Café de Pijp, 4 stars ,2 years ago,Nice neighborhood pub feel - good service and  selection of beers and cocktails
9,Café de Pijp, 4 stars ,2 years ago,"It is a cozy little cafe close to the heineken experience . We wanted to grab coffee after the heineken tour and decided to stop by here for a small bite. Not to mention, it definitely exceeded our expectations and the hosts were also very nice to the guests"
10,Café de Pijp, 5 stars ,3 years ago,"Was torn between this Ginger or O'Donnell's around the corner. Took a chance of Cafe De Pijp and absolutely loved it. Fast, friendly service and the food was delicious! Had the beefburger and fries and even the side salad was delicious! My …"
11,Café de Pijp, 3 stars ,4 years ago,"The food was decent,  would not recomand as it is quite pricey for the quality. Also, we waited around 1 hour for our pretty basic order to come (burgers, fries, soup). Atmosphere is nice, has a dutch specific feeling."
12,Café de Pijp, 4 stars ,3 years ago,Cute place in a lovely neighborhood. Ordered a sharing meat platter which was delicious maybe the ribs were a little underdone …
13,Café de Pijp, 5 stars ,5 years ago,"Excellent service with a smile! Good food, casual and cozy. A little cold in October, but that's why you bring your loved one or a coat. You won't go wrong with the ribs or the steak."
14,Café de Pijp, 1 star ,3 years ago,"Don't look any further than this review. Our group of six were there on August 16, 2018. Service was inattentive. Four of six meals were sent back (a first for any of us)--fish smelled bad and undercooked ribeyes looked like skirt steak. …"
15,Café de Pijp, 1 star ,3 years ago,I wanted to like this place based on the menu but unfortunately my recommendation is to avoid this restaurant. The service is painfully slow. Our food took very very long to come out and our drink order was forgotten. …
16,Café de Pijp, 2 stars ,3 years ago,"A bad experience. This café has potential but with the wait time for food being too long, and bad customer service it just doesn't deliver. The food was good, but with everything else in mind, it just wasn't a good experience. …"
17,Café de Pijp, 5 stars ,4 years ago,"Great service, quick and efficient. Staff were friendly, helpful and attentive but not pushy. Food was delicious and the portion sizes were above average. Prices were average - definitely worth the money. My coffee was lovely and the …"
18,Café de Pijp, 4 stars ,3 years ago,"Visited here for a few drinks while out and about in Amsterdam.  Good vibe to the place, and for the football fans they had the Champions league game on (so we avoided it then).  Place got fairly busy on Saturday night as you'd expect but we still managed to find a place to sit outside."
19,Café de Pijp, 5 stars ,2 years ago,Nice place to have a drink and snacks. The guy behind the bar is one of my favorite servers in the city! Nice spread of beers & they play soccer on the main matches.
20,Café de Pijp, 2 stars ,3 years ago,Only got a chance to order drinks. Staff never came back to take our food order even though we told them we just needed some time to figure out what we wanted to eat as they didn't have a lot of veggie nor DUTCH things on the menu and my …
21,Café de Pijp, 1 star ,5 years ago,"Awful customer service. I asked for my steak sandwich to be cooked really well done as I'm pregnant. When it was served, it was red with blood dripping out the sandwich. The waitress said the chef wouldn't cook it well done as it's …"
22,Café de Pijp, 4 stars ,5 years ago,"We had very good food and service. It was cozy enough, but a bit cold in the winter because people would leave the door open going in and out, despite a curtain to stave off the wind a bit. I would recommend it. It's a very convenient location for dinner."
23,Café de Pijp, 5 stars ,2 years ago,Really nice place with good quality food. Not overpriced with chill atmosphere Perfect for a stop during sightseeing. Will definetly recommend!
24,Café de Pijp, 1 star ,4 years ago,"Would not come back to this place if my life depended on it. I got charged the full price for a drink half of the size of another customers. When I asked them what the reason was, they responded with ""It's because of the ice"". My drink was …"
25,Café de Pijp, 4 stars ,2 years ago,"The classic burger with sweet potato fries were delicious. Enjoyed the range of drinks, especially the cider which can be hard to find!"
26,Café de Pijp, 5 stars ,2 years ago,Good place to enjoy the view of lively Amsterdam while enjoying a coffee or a beer
27,Café de Pijp, 5 stars ,3 years ago,"Great food, best soy capppucino we had so far in Amsterdam, cosy atmosphere and great location. While some more popular places are overcrowded and require booking in peek season (like the ones in guides and TripAdvisor), this was a …"
28,Café de Pijp, 5 stars ,4 years ago,Great place! I've been here a few times for dinner or only coffee/beer. Staff is really friendly! For sure I will come back!
29,Café de Pijp, 5 stars ,3 years ago,I’m absolutely delighted with this restaurant. Food was delicious and the portion was more than big enough. Service was super friendly and quick. Definitely recommended!!!
30,Café de Pijp, 1 star ,3 years ago,"Bad service. Had to wait for 10 minutes just to get a menu (the place was empty), The stuff looks like they don't really want to work, I simply left. No reason to sit there, many great places around."
31,Café de Pijp, 4 stars ,2 years ago,"Nice little hangout for some apps (although they do have a full menu), glass of wine, cocktail, or a cold beer. There is also some outdoor seating available."
32,Café de Pijp, 2 stars ,4 years ago,"Disappointed by the food and by the service, while we were the only table in the whole place. Ribs were undercooked and not tender, service took long and was not very attentive. Sad to see, used to be a fine place."
33,Café de Pijp, 4 stars ,4 years ago,"Good value for money, limited choices, but what they serve is really good. Lovely Interior design and nice terrace. Near some places as the flowermarket and the Heineken Experience."
34,Café de Pijp, 3 stars ,2 years ago,Acceptable place for a drink and some snacks. Doesn't really stick out for anything in particular but staff are friendly and location is convenient.
35,Café de Pijp, 5 stars ,5 years ago,"Very nice place! We had a great evening there: delicious drinks, nice service and great atmosphere. Definitely coming here again!"
36,Café de Pijp, 1 star ,4 years ago,On 10 June 2017 I joined my friends at Cafe de pijp for a drink around 11 pm. We were the only ones -I believe- sitting inside. At some point I saw a mouse walking around the column in the middle of the bar and started  shouting and showing …
37,Café de Pijp, 4 stars ,4 years ago,"Great selection of drinks, especially the cider menu which is a rare find in the city. Took a long time for our simple drinks order though."
38,Café de Pijp, 5 stars ,4 years ago,"Excellent food and service with a friendly atmosphere. Not the least expensive option, but high quality fare with flavor. Recommended without hesitation."
39,Café de Pijp, 5 stars ,a year ago,Good place for beers and finger foods it's not touristy and has local atmosphere.
40,Café de Pijp, 5 stars ,2 years ago,Good place to drink a nice Bier.
41,Café de Pijp, 3 stars ,4 years ago,"Mediocre food, nothing to write home about. Drinks selection is not too impressive. Friendly staff, cozy atmosphere. Okay for a cup of coffee or a quick drink."
42,Café de Pijp, 3 stars ,3 years ago,"A good, modern bar with plenty of space and well trained staff. They have sport on but it doesn't overwhelm the bar."
43,Café de Pijp, 5 stars ,2 years ago,"Friendly service, excellent food. Our best dinner yet in Amsterdam!"
44,Café de Pijp, 1 star ,4 years ago,Very basic food. Not a real restaurant
45,Café de Pijp, 3 stars ,2 years ago,Good food but service was very slow. People who came in after us got food before us
46,Café de Pijp, 2 stars ,4 years ago,Overpriced food and poor service. There are so many other nice bars in de Pijp which I would go to over this one
47,Café de Pijp, 2 stars ,5 years ago,"Staff friendly, good atmosphere, good food, but I'VE WAITED FOR MY DINNER FOR 2 HOURS!"
48,Café de Pijp, 5 stars ,4 years ago,"Very chilled place to be, waiter was really nice, good selection of drinks, the nachos are incredibly good!"
49,Café de Pijp, 5 stars ,2 years ago,Really good coffee. The portions are huge for the cheap prices they list.
50,Café de Pijp, 5 stars ,4 years ago,"Great decor, healthy delicious dishes, the salmon is really nice. Very friendly staff!"
51,Café de Pijp, 5 stars ,a year ago,"Friendly staff, good food, reasonable prices"
52,Café de Pijp, 4 stars ,3 years ago,"It was nothing special really but the food and beer hit the spot. I wouldn't go out of my way to go back, but might eat there again if I was a local."
53,Café de Pijp, 5 stars ,3 years ago,Amazing food & great selection of drinks.. defiantly worth a visit.
54,Café de Pijp, 5 stars ,2 years ago,So we stepped in for apps and a beer and the Merguez (Grilled Lamb Sausage) was very good
55,Café de Pijp, 4 stars ,3 years ago,"Nice vibe, good service, but 4 euros for a pastel de nata is too much"
56,Café de Pijp, 4 stars ,3 years ago,"Really lovely café, great service and good food!"
57,Café de Pijp, 4 stars ,4 years ago,Relaxed atmosphere in the afternoon. Good coffee and pleasant service.
58,Café de Pijp, 1 star ,3 years ago,Awful service. We never received what we ordered and after 45 minutes we left. Don’t waste your time there
59,Café de Pijp, 5 stars ,5 years ago,"Steak & Fries was really tasty, the staff was friendly and the atmosphere was great!"
60,Café de Pijp, 4 stars ,4 years ago,Nice staff. Good place to relax after visiting the Albert Cuyp Market.
61,Café de Pijp, 1 star ,4 years ago,"It took them half an hour to come over to take hour orders, another half an hour to serve the food, the food quality was alright, the service in general was very slow, wasn't worth it."
62,Café de Pijp, 3 stars ,5 years ago,"Service felt a little awkward when visited with a group, and with good alternatives around this is okay, but won't make it to my top 10"
63,Café de Pijp, 5 stars ,3 years ago,Good food and chill vibe! Also nice employees
64,Café de Pijp, 5 stars ,2 years ago,"Good food, not too expensive, Try the kiwi cider"
65,Café de Pijp, 5 stars ,2 years ago,The food was excellent and the service was exemplary.
66,Café de Pijp, 5 stars ,4 years ago,"Delicious omelette. Could use a few more draft choices, but the food made up for it."
67,Café de Pijp, 4 stars ,2 years ago,Nice not to busy. Enough space and nice atmosphere.
68,Café de Pijp, 5 stars ,5 years ago,Great food and drinks.  Cafe de pijp aint no coffee shop
69,Café de Pijp, 5 stars ,5 years ago,"very good stuff and very nice place for beer with friends, good price"
70,Café de Pijp, 5 stars ,3 years ago,"Great food, nice selection of beers."
71,Café de Pijp, 1 star ,2 years ago,Burger was raw even though it was sent back to be recooked. Terrible service on top! Won’t go back
72,Café de Pijp, 4 stars ,3 years ago,"Good coffee, great dessert and good service!"
73,Café de Pijp, 5 stars ,5 years ago,"great food, nice staff, cozy place"
74,Café de Pijp, 5 stars ,2 years ago,Very good option forma breakfast!
75,Café de Pijp, 2 stars ,4 years ago,Really not sure why it took an hour to get 2 paninis and a soup...
76,Café de Pijp, 4 stars ,4 years ago,Nice place for groups. Good food
77,Café de Pijp, 1 star ,4 years ago,Horrible service. Took 40 minutes to get our food!
78,Café de Pijp, 4 stars ,2 years ago,Friendly staff and good beer. What else?
79,Café de Pijp, 4 stars ,3 years ago,Nice food and good service. Thank you
80,Café de Pijp, 5 stars ,3 years ago,"Good food, reasonably priced."
81,Café de Pijp, 5 stars ,4 years ago,Great atmosphere and very friendly service.
82,Café de Pijp, 4 stars ,3 years ago,"Perfect, good atmosphere and food 👍👍👍"
83,Café de Pijp, 5 stars ,5 years ago,Awesome Burgers and great Service. 👍
84,Café de Pijp, 4 stars ,5 years ago,"Decent food, great service"
85,Café de Pijp, 3 stars ,a year ago,Okay place.  Don't go for food
86,Café de Pijp, 4 stars ,3 years ago,Beers and music in a nice place :)
87,Café de Pijp, 5 stars ,5 years ago,"Perfect place for a cozy, rainy day!"
88,Café de Pijp, 2 stars ,3 years ago,Unfortunately extremely long waiting times and bad service
89,Café de Pijp, 1 star ,3 years ago,It toook them toooo loooooong......
90,Café de Pijp, 4 stars ,2 years ago,very cozy
91,Café de Pijp, 5 stars ,4 years ago,Delicious!
92,Café de Pijp, 5 stars ,3 years ago,Great quality breakfast
93,Café de Pijp, 5 stars ,2 years ago,Lovely fresh food
94,Café de Pijp, 5 stars ,3 years ago,Cool and hip local place.
95,Café de Pijp, 1 star ,3 years ago,this place sucks. the staff is brutally incompetent.
96,Café de Pijp, 4 stars ,3 years ago,Good food
97,Café de Pijp, 4 stars ,2 years ago,Try Dutch storm here!
98,Café de Pijp, 5 stars ,4 years ago,Good service.
99,Café de Pijp, 5 stars ,2 years ago,Great breakfast.
100,Café de Pijp, 4 stars ,5 years ago,"Good location, nice interior"
101,Café de Pijp, 5 stars ,2 years ago,Great menu
102,Café de Pijp, 5 stars ,2 years ago,Nice food and service
103,Café de Pijp, 5 stars ,a year ago,Best nachos!
104,Café de Pijp, 5 stars ,3 years ago,I don't know i was drunk
105,Café de Pijp, 5 stars ,3 years ago,Top
106,Café de Pijp, 4 stars ,3 years ago,Awesome
107,Café de Pijp, 5 stars ,2 years ago,Very nice place
108,Café de Pijp, 4 stars ,3 years ago,Decent bar
109,Café de Pijp, 5 stars ,4 years ago,Yum
110,Café de Pijp, 5 stars ,5 years ago,Good chill
111,Café de Pijp, 4 stars ,3 years ago,(Translated by Google) Nice place! Cozy heated terrace. Friendly staff. Spacious bar. Good coffee! Sandwiches were fresh and tasty. …
112,Café de Pijp, 4 stars ,4 years ago,(Translated by Google) Warm and young place! A lot of people in afterwork to drink a beer around tapas. Perfect to start an evening …
113,Café de Pijp, 4 stars ,4 years ago,"(Translated by Google) Fantastic location. I recommend a walk in the surroundings. Beware of kitchen hours, at 15:00 you can no longer eat. But you can have dinner at 17:00;)) …"
114,Café de Pijp, 5 stars ,5 years ago,"(Translated by Google) Was it sweet potato fries, french fries, and cheddar cheese sauce? It was so delicious and delicious together …"
115,Café de Pijp, 5 stars ,2 years ago,"(Translated by Google) Very good breakfast, I had the English. Very nice atmosphere with great music from the 80s. I loved it. …"
116,Café de Pijp, 4 stars ,4 years ago,(Translated by Google) The atmosphere is good and the food is delicious. The staff are very friendly. The price is rather expensive. …
117,Café de Pijp, 5 stars ,2 years ago,(Translated by Google) My partner and I fell in love with the site. We were. in the neighborhood and we had dinner there two nights. Very good males and very acceptable prices for the city. Highly recommended. …
118,Café de Pijp, 3 stars ,10 months ago,"(Translated by Google) I had a not very rich salmon sandwich. Well, I love these sandwiches in Holland, and have eaten richer ones in Den Hag and Delft. It took a long time. The beer was better …"
119,Café de Pijp, 5 stars ,2 years ago,(Translated by Google) Nice nice cafe where you can also eat extensively ... For this day just had a drink .. 15 years ago I already came here. Atmosphere is just as cozy now as it was then .. …
