,Name,Review Rate,Review Time,Review Text
0,Caf√© Bar De Duivel, 5 stars ,5 months ago,"The music is really good, the bartender was really friendly. We enjoyed our time here"
1,Caf√© Bar De Duivel, 5 stars ,6 months ago,"Best hip-hop bar in the world. Best staff, best beer, best music!"
2,Caf√© Bar De Duivel, 5 stars ,a year ago,"Good music, great vibe, cool people, ALWAYS fun."
3,Caf√© Bar De Duivel, 5 stars ,3 years ago,"Great, excellent night! Our Bartender AJ was absolutely accommodating. Will visit again!"
4,Caf√© Bar De Duivel, 4 stars ,7 months ago,"Funny but bit expensive paid for one long drink (small plastic cup) 8€

But music was okay and the barkeeper was nice"
5,Caf√© Bar De Duivel, 3 stars ,a year ago,Okay place for a quick drink.
6,Caf√© Bar De Duivel, 5 stars ,2 years ago,"Dope bar for hip hop if you like new school stuff travis scott, 21 savage, j cole etc. About a 10 min walk from the main bar strip but well worth it for good vibe good music good beer"
7,Caf√© Bar De Duivel, 4 stars ,4 years ago,"A wonderful cosy place for true 90/00 hiphop lovers. Good choise of beer and a very lovely and helpful staff (ask for A.J.) Right across the street there is a nice coffeeshop where you can buy ""stuff"" later than the ussual opening time of other shops. It's located just a short walk from Rembrandtplein and flowermarket."
8,Caf√© Bar De Duivel, 5 stars ,4 years ago,Always fantastic music! Best hiphop bar in Amsterdam. Just be ready to pay with cash 0 - no cards acceped.
9,Caf√© Bar De Duivel, 5 stars ,2 years ago,"Great bar. Music choice was top notch, bartender was super nice and accomodating and it opened late"
10,Caf√© Bar De Duivel, 5 stars ,3 years ago,"The only Hiphop cafe in amsterdam.
Have a drink smoke some and bounce to de beats and lyrics the djs play."
11,Caf√© Bar De Duivel, 5 stars ,6 years ago,Best place in Amsterdam for real hip hop. Real hip hop is not played on the radio but it is at the Duivel. Stop in a have some Jaeger!
12,Caf√© Bar De Duivel, 5 stars ,a year ago,"SUCKERFREE ZONE !
DUIVEL’s Host A.J is a G.O.A.T ‘
Always surrounded by good people & the best of vibes ."
13,Caf√© Bar De Duivel, 5 stars ,2 years ago,"Cool Barman, great music! Would recommend for good hip hop music and good drinks!"
14,Caf√© Bar De Duivel, 5 stars ,3 years ago,"Nice Bar, good music if you like hip hop. Definitely a recommendation."
15,Caf√© Bar De Duivel, 5 stars ,4 years ago,"Always a good place for a drink and Some hip-hop, very Nice bar staff."
16,Caf√© Bar De Duivel, 5 stars ,6 months ago,Good ole school hip hop
17,Caf√© Bar De Duivel, 5 stars ,3 years ago,It's just a dope spot that feels like 90s Brooklyn inside. Cool bartenders and just a chill vibe with no flash and bang prefab fakery.
18,Caf√© Bar De Duivel, 5 stars ,3 years ago,"Good vibe, good music, good drinks prices, good location. Can't fault it. If you like urban music, this is the spot for you!"
19,Caf√© Bar De Duivel, 4 stars ,5 years ago,"Great hip hop music, price of the jaegger bomb cheap. Not So crowded before like 1am o'd say."
20,Caf√© Bar De Duivel, 5 stars ,2 years ago,Best Hiphop spot in Amsterdam. Look for DJ Jane for that extra dope night!
21,Caf√© Bar De Duivel, 4 stars ,4 years ago,"A place that offers hip-hop music, relatively cheap drinks, and doesn't cater to the tourist crowds - what's not to like?"
22,Caf√© Bar De Duivel, 5 stars ,3 years ago,Best spot for Hiphop music in Amsterdam..The perfect low-key spot for a high-key good time!!
23,Caf√© Bar De Duivel, 5 stars ,4 years ago,"If you like hip hop, definitely come through For a good vibe and good priced drinks."
24,Caf√© Bar De Duivel, 4 stars ,4 years ago,"Good music, lovely bar staff, small but lovely atmosphere."
25,Caf√© Bar De Duivel, 5 stars ,2 years ago,Excellent bar really enjoyed it ... great music
26,Caf√© Bar De Duivel, 1 star ,2 years ago,Rudest homophobic bouncer. Can’t believe that behaviour is allowed around the corner from Regulatiedwarsstraat.
27,Caf√© Bar De Duivel, 5 stars ,3 years ago,A nice cozy bar with mostly good music and a friendly atmosphere
28,Caf√© Bar De Duivel, 5 stars ,2 years ago,"Great music, great location and did I say amazing music?"
29,Caf√© Bar De Duivel, 5 stars ,2 years ago,Top bar. One of a kind! #hiphop #AmsterdamCulture
30,Caf√© Bar De Duivel, 5 stars ,a year ago,Only bar playing real hip hop.
31,Caf√© Bar De Duivel, 5 stars ,4 years ago,You like hiphop... you in Amsterdam... Then you have to at least get a drink at De Duivel.
32,Caf√© Bar De Duivel, 5 stars ,4 years ago,"Great music, cool bartenders, chill crowd"
33,Caf√© Bar De Duivel, 5 stars ,3 years ago,"Amazing vibe in this place, with customers reacting to the djs mixes."
34,Caf√© Bar De Duivel, 4 stars ,5 years ago,Amsterdam first hiphop bar. Still going strong after decades
35,Caf√© Bar De Duivel, 4 stars ,2 years ago,Amazing music and nice beers
36,Caf√© Bar De Duivel, 5 stars ,5 years ago,"nice music, nice staffs, nice mood and nice price for drink!"
37,Caf√© Bar De Duivel, 3 stars ,4 years ago,Good prices friendly and cozy. Good for sports and a drink.
38,Caf√© Bar De Duivel, 4 stars ,3 years ago,"Nice place, a bit small but very friendly"
