,Name,Review Rate,Review Time,Review Text
0,Caf√© Belmondo, 4 stars ,3 years ago,"Beautiful and spacious seating area, indoor and outdoor in a very convenient location.
The food is okay but not great, perfect for friends gatherings. …"
1,Caf√© Belmondo, 3 stars ,5 years ago,"The carrot cake looked mouthwatering and was delicious (and huge). Everything we ate was very sweet and rich. The place was really pricy though, you could grab a lunch instead, moreover, the prices were poorly labeled. A big plus for the generous opening hours. Spacious with a fresh decor."
2,Caf√© Belmondo, 3 stars ,2 years ago,"The place doesn’t run with that name anymore. It’s a big Italian place with wide range of deserts and ice cream. I visited a couple of time, all the deserts we tried were good, however the quality of the coffee went down."
3,Caf√© Belmondo, 2 stars ,3 years ago,"Location is fine and the experience is very nice, but the ice cream is kinda bland. It has a very weak taste :(  can't say anything about the prices as I'm the first time in Stockholm, a scoop of ice cream is 20 Krona"
4,Caf√© Belmondo, 1 star ,3 years ago,"I visited Cafe Belmondo today and decided to have a slice of walnut cheesecake. Little I had known that this would possibly be the worse experience I had... The cake tasted old, sickeningly sweet and it was not chilled as it supposed to be. …"
5,Caf√© Belmondo, 1 star ,4 years ago,"Went into have the breakfast, and that was a huge mistake. For starters the staff isn't friendly at all, unless you are a regular. We ordered a simple scrambled eggs and bacon and it was a disappointment when it arrived. Portion was way too …"
6,Caf√© Belmondo, 1 star ,3 years ago,Really loud and untasteful music made it feel like I left innertown and was out in Kista all of a sudden. Price was unexpectedly high 55kr for an Americano and a majority of the customers were kinda fishy.. I'd say that Espresso House across the street or any other Café is a better choice.
7,Caf√© Belmondo, 2 stars ,4 years ago,Eating here was not a good experience. Four out of five dishes were inedible/ had hair in them/ was not what was ordered. Not a place I'd recommend for warm dishes.
8,Caf√© Belmondo, 3 stars ,3 years ago,Had scampi and salad and Swedish meatball - free flow salad and bread. Solid but nothing memorable - 350Kr for 2.
9,Caf√© Belmondo, 2 stars ,7 years ago,"Coffee ok, but food had an all over ""industrial touch"". Not very authentic. Had a bad biscotti and an icecream without taste. Pricy, even for Stockholm. Head elsewhere."
10,Caf√© Belmondo, 1 star ,3 years ago,Do not buy ice cream here. She deliberately fills it half way (keeps the bottom of the cup hollow). Tastes bland too.
11,Caf√© Belmondo, 4 stars ,7 years ago,Didn't accept cash. Quiet good coffee. But it served with an empty cup. I have to use valve to full my cup.
12,Caf√© Belmondo, 2 stars ,3 years ago,"Very expensive! Nice location and furniture, but other then that nothing special. Would not visit again since the prices are too high."
13,Caf√© Belmondo, 1 star ,5 years ago,129:- for a Greek (???) salad with 2(!!!) coktail tomatoes och 4 kalamata oliver! Cheap cheese they pretend is Feta cheese. Never here again!
14,Caf√© Belmondo, 4 stars ,a year ago,"My favorite lunch place right now, with fantastic pizza."
15,Caf√© Belmondo, 2 stars ,7 years ago,"The salad was drowning in vinegar, warm sandwich tasted truly poor and even tea was superbitter, go elsewhere and save your money."
16,Caf√© Belmondo, 4 stars ,4 years ago,"We had a very nice lunch here, especially the salad buffet was a pleasant surprise."
17,Caf√© Belmondo, 1 star ,4 years ago,Unreasonably expensive. Dry and old buns and cakes. Rude staff. A typical tourist trap.
18,Caf√© Belmondo, 1 star ,5 years ago,"Crappy restaurant in a good spot. Small servings, unfriendly staff and absolutely not worth the price."
19,Caf√© Belmondo, 1 star ,3 years ago,Expensive AF and food isn't fresh! Worst food experience in Stockholm I've had. Avoid this place
20,Caf√© Belmondo, 2 stars ,4 years ago,Nice place. High prices. Unfriendly staff. Ok coffee nothing special.
21,Caf√© Belmondo, 1 star ,2 years ago,"The worst pizza ever, tastless and slaby. Dont eat here!"
22,Caf√© Belmondo, 1 star ,4 years ago,"Tastless food, wrong food, hair in food. Bad service. Not willing to give full refund."
23,Caf√© Belmondo, 4 stars ,4 years ago,"Nice place, wish I got more food on my plate though."
24,Caf√© Belmondo, 5 stars ,3 years ago,"Delicious soup of the day! Fish soup, great location too!"
25,Caf√© Belmondo, 4 stars ,3 years ago,Quite ok for lunch. Good but not extraordinary
26,Caf√© Belmondo, 1 star ,4 years ago,Bad service. Half empty ice cream cup. Bad hot chocolate - really bad.
27,Caf√© Belmondo, 5 stars ,4 years ago,good place for family...love it..am a everyday guest
28,Caf√© Belmondo, 2 stars ,4 years ago,"No pricetags, overpriced, and nothing special really."
29,Caf√© Belmondo, 1 star ,2 years ago,Way too expensive. Espresso was good
30,Caf√© Belmondo, 2 stars ,4 years ago,You can get better service and food around.
31,Caf√© Belmondo, 1 star ,3 years ago,"Not cosy, music too loud couldn’t talk."
32,Caf√© Belmondo, 4 stars ,5 years ago,Very nice place to have a light lunch
33,Caf√© Belmondo, 4 stars ,3 years ago,Nice place for a coffee or hot chocolate
34,Caf√© Belmondo, 5 stars ,9 years ago,Their hot chocolate is wonderful!
35,Caf√© Belmondo, 4 stars ,5 years ago,The carrot cake is delicious!
36,Caf√© Belmondo, 5 stars ,4 years ago,Very nice and comfortable cafe
37,Caf√© Belmondo, 1 star ,3 years ago,Rude. The menu is not accurate
38,Caf√© Belmondo, 1 star ,4 years ago,the fried potatoes were completely burnt
39,Caf√© Belmondo, 5 stars ,2 years ago,Very Nice Icecream
40,Caf√© Belmondo, 2 stars ,3 years ago,"Unfriendly staff, poor coffee"
41,Caf√© Belmondo, 5 stars ,6 years ago,cake is very yummy!
42,Caf√© Belmondo, 1 star ,a year ago,It's not here
43,Caf√© Belmondo, 3 stars ,5 years ago,"Okey prices, okey staff."
44,Caf√© Belmondo, 2 stars ,3 years ago,Not clean
45,Caf√© Belmondo, 4 stars ,2 years ago,God is.
46,Caf√© Belmondo, 1 star ,3 years ago,Very simple
47,Caf√© Belmondo, 1 star ,3 years ago,Bad service
48,Caf√© Belmondo, 3 stars ,3 years ago,"(Translated by Google) Open quite late which is good. Nice service, very good sorbet ice cream. The waffle was served nicely and was good but could have been a little more crispy. The hot chocolate was okay. The music is too loud to talk. …"
49,Caf√© Belmondo, 4 stars ,3 years ago,(Translated by Google) We were hungry from shopping and found the store by chance. The staff was friendly and the food came quickly. I found the pastas very good. And the water is free. Except that a little cheeky sparrow has **** on the …
50,Caf√© Belmondo, 5 stars ,6 months ago,🥰😍👍
51,Caf√© Belmondo, 5 stars ,4 months ago,"(Translated by Google) Very good pizza. Nice environment and staff!

(Original) …"
52,Caf√© Belmondo, 3 stars ,3 years ago,"(Translated by Google) Very expensive & the staff wasn't particularly friendly, but the brownie was the best I've had in a very long time. …"
