,Name,Review Rate,Review Time,Review Text
0,Caf√© Karpershoek, 5 stars ,3 months ago,"My fiance and I have a habit of going in every city we visit in the oldest Café. This is it. This is the oldest in Amsterdam.
Coffee tastes good, serving is quick. Would return.
Bonus: it looks nice with Christmas decorations."
1,Caf√© Karpershoek, 5 stars ,4 months ago,"Decent place to meet people off the train... service was pretty good, waiter owner guy seems like he's got attitude but I found him charming and attentive, not rude at all... drinks prices are a bit steep but it's right by Amsterdam Station so what do you expect? I sat there for 3 hours so it can't be that bad"
2,Caf√© Karpershoek, 5 stars ,4 months ago,I love this bar it's very relaxing to sit there having a beer and watching the world go by .. people too and fro .. and the staff are great
3,Caf√© Karpershoek, 5 stars ,5 months ago,Excellent service and excellent staff. Highly recommend from this Canadian. The Chicken with Peanut Sauce was delicious.
4,Caf√© Karpershoek, 5 stars ,a year ago,Oldest bar in town and still great! If I remember correctly the Dutch version of 'Who do you think you are' found out that the winner of the ESC from 1969 is related to that place at one time in history and her name is Lenny Kuhr with 'De Troubadour' .
5,Caf√© Karpershoek, 5 stars ,3 years ago,Very cozy sweet spot to eat or drink.  The double vodka was very generous and the food well presented!
6,Caf√© Karpershoek, 5 stars ,5 months ago,"Really nice café,  great service!! If the sun is  shinning there is a nice terras."
7,Caf√© Karpershoek, 5 stars ,2 years ago,Ordered a late night beer close to closing time and staff were only too happy to pack up around us. Wonderful establishment in the heart of Amsterdam.
8,Caf√© Karpershoek, 5 stars ,2 years ago,It is a lovely place with great beer. The bartenders are very polite and always willing to help you to chose the best beer.
9,Caf√© Karpershoek, 5 stars ,2 years ago,A lovely old style pub. Good selection of beer
10,Caf√© Karpershoek, 5 stars ,a year ago,Place is ancient. I love the rustic atmosphere of the place. The beer menu is weak but with the barman's attitude is worth everything. He is totally medieval and that attitude make the place deserve a 6 star...
11,Caf√© Karpershoek, 5 stars ,a year ago,"This little pub in always our first call when we visit Amsterdam. Waiting in from the rain, it’s a decent bar, with friendly service and good beer! Ok prices as wellconsideting location. Thank goodness we did. This very old 'brown pub' was …"
12,Caf√© Karpershoek, 5 stars ,3 years ago,The oldest pub in Amsterdam. Prefect place for a drink. They were extremely helpful when we asked for directions. If i could give a 6 i would.
13,Caf√© Karpershoek, 5 stars ,a year ago,"Nice corner cafe with terrace, opposite Amsterdam Central Station. Cold beers, liquors, coffee, typical Dutch snacks, and a never boring view of a especially bustling part of the old city, with countless cyclists, pedestrians, trams, taxis an buses passing by. :)"
14,Caf√© Karpershoek, 4 stars ,3 years ago,"Good spot for a beer after a canal boat trip. Very friendly and ideal for ""people watching"""
15,Caf√© Karpershoek, 4 stars ,2 years ago,"A cafe. Like a cafe is meant to be.
Cozy, brown, populated.
No pretentious talk, just what you expect. …"
16,Caf√© Karpershoek, 1 star ,5 months ago,The coffee is disastrous and the waiter/owner is rude.
17,Caf√© Karpershoek, 1 star ,2 years ago,"After getting some beers I asked for two glasses of water: the bartender was shockingly fast to open two mini bottles of water (less than a glass) which were 2.75 each. Paid for that, but for sure I’ll avoid this greedy place in the future."
18,Caf√© Karpershoek, 5 stars ,5 years ago,We came here twice and it was warm and comfy. The staff were really pleasant on our first visit- so I was surprised to read some reviewers had a negative experience. Our second visit was a little busier so not the same level of interaction …
19,Caf√© Karpershoek, 5 stars ,5 years ago,"We hunted this place down as it didn't look how we thought it would...old. Upon entry we got a very friendly welcome, and served instant. I ordered a drink of ale served only half glass traditional I guess and the lady got a latte and biscuit. He give is a historic tour and told us the life of the pub. We felt comfortable ."
20,Caf√© Karpershoek, 5 stars ,2 years ago,Nice cozy place with beer and history right in the centre of Amsterdam
21,Caf√© Karpershoek, 3 stars ,2 years ago,"It's a typical old Dutch bar. Not cheap but the location is superb. If the staff have time they will share the history with you. If it's busy, you won't even get a smile! Tis wot it is."
22,Caf√© Karpershoek, 5 stars ,2 years ago,"Very pleasant place! The olddest bar in amsterdam with lot's of belgian beer and some locals from the IJ river! Need to taste the Zatter (jateer) ;) Good advice, good serve, good beers!! please ask for Stephan! He really cares about his …"
23,Caf√© Karpershoek, 1 star ,3 years ago,"If I could give less that one star I would. We sat down outside (4 of us) the outside was empty. Only two people wanted to drink, as soon as we ordered he said it's not possible for only two people to order and to leave straight away. As I …"
24,Caf√© Karpershoek, 5 stars ,4 years ago,I enjoyed sitting outside people watching. They have table service so sit down and you will be attended to. A decent menus and top quality food. I enjoyed breakfast and returned for lunch. A clean friendly place with great staff.
25,Caf√© Karpershoek, 4 stars ,6 months ago,Friendly personnel. No fresh coffee (instant coffee machine).
26,Caf√© Karpershoek, 4 stars ,2 years ago,Tasty food available late night with vegan options.
27,Caf√© Karpershoek, 4 stars ,4 years ago,Once you get out of the station it won't take you long to find this place. Make sure to stop inside and look around while you purchase your drink! Found ourselves stopping here a few times while exploring the city.
28,Caf√© Karpershoek, 5 stars ,2 years ago,Non-dutchies who have never tasted Rosé beer (or who have had it and loved it). If you are going to Amsterdam this is one of the only places near the train station that you will find it! …
29,Caf√© Karpershoek, 5 stars ,a year ago,Nice bar. great host. Interesting fact: this is the oldest bar in Amsterdam!! Opened in 1606
30,Caf√© Karpershoek, 4 stars ,5 years ago,Decent little pub. Staff are feisty and on the ball. Beer range is pretty decent and pints glasses are available. There is outdoor seating and it's in a decent spot!
31,Caf√© Karpershoek, 5 stars ,4 years ago,"Very cozy and nice atmosphere. Loved my stay here. Perfect for the more laid back people, who are not very much for clubbing during their stay in Amsterdam"
32,Caf√© Karpershoek, 1 star ,4 years ago,"Me and my partner had a very bad experience with this place, very rude welcome and a very rude service throughout by the man that was there at the time. I used the bathroom and while I was there my friend was  humiliated in front of …"
33,Caf√© Karpershoek, 4 stars ,3 years ago,Since 1600's this place has been a staple in Amsterdam. Chris is a great guy! The can see the old wood construction on the inside. Outside seating as well.
34,Caf√© Karpershoek, 3 stars ,3 years ago,Definitely old cheeky place. Not much on tap to report
35,Caf√© Karpershoek, 1 star ,3 months ago,Worst coffee in the Netherlands.
36,Caf√© Karpershoek, 1 star ,5 years ago,"Racist place. if you are not Dutch don't expect any respect from the staff. They won't speak English and are really unfriendly towards not local people, even making unpleasant jokes just to make fun of them. Awful experience."
37,Caf√© Karpershoek, 4 stars ,4 years ago,"The outside terras might be a bit busy and noisy, but i side is really nice and a real Amsterdam ""brown"" cafe. Service is good!"
38,Caf√© Karpershoek, 5 stars ,3 years ago,Great bar.real old stock.
39,Caf√© Karpershoek, 5 stars ,3 years ago,Had a bite to heat here under the eat lamps it was cozy and inviting. The food was piping hot just what we needed in temperatures of -6but no snow
40,Caf√© Karpershoek, 5 stars ,4 years ago,Staff pleasant and well dressed. . We sat outside with our drinks people watching and relaxed a little before exploring Amsterdam
41,Caf√© Karpershoek, 4 stars ,3 years ago,"The food was absolutely wonderful, from preparation to presentation, very pleasing.  he friendliness of the staff seems genuine. A very good experience!"
42,Caf√© Karpershoek, 1 star ,5 years ago,The staff is at least rude and racists. In an open-minded place like Amsterdam their behavior is totally unexpected. Don't go.
43,Caf√© Karpershoek, 4 stars ,2 years ago,Very nice place. Tea could be a bit cheaper and chairs outside more comfortable but all in all a nice place
44,Caf√© Karpershoek, 5 stars ,4 months ago,The waiter was really funny
45,Caf√© Karpershoek, 5 stars ,2 years ago,Great place to stop fir a cold drink and people watch.  Friendly atmosphere and staff
46,Caf√© Karpershoek, 4 stars ,2 years ago,Just stopped in for coffee but it was a really delicious coffee! Nice service also!
47,Caf√© Karpershoek, 5 stars ,2 years ago,It's the shop to go to for a look at Amsterdam life.
48,Caf√© Karpershoek, 4 stars ,4 years ago,"Cozy, bruin bar. Great for a beer before you get on the train. Very traditional Dutch bruin bar. Worth a stop."
49,Caf√© Karpershoek, 4 stars ,4 years ago,The oldest pub in Amsterdam very cheerful staff great wee bar to sit outside and people watch not fancy however make up in friendly atmosphere.
50,Caf√© Karpershoek, 5 stars ,2 years ago,Great apple pie and ambience: notice the ceiling’s 400-year-old wooden beams.
51,Caf√© Karpershoek, 4 stars ,4 years ago,The beer selection was very limited. But it is a good location - across from the train station - to wait on your train out of town.
52,Caf√© Karpershoek, 3 stars ,2 years ago,"Located in very strategic location. A right place for meeting pont at the centrum. The coffee is okay, nothing special..."
53,Caf√© Karpershoek, 4 stars ,4 years ago,"Busy, but when you get a seat in the warm, good.
No food like bitterballen, so drink only."
54,Caf√© Karpershoek, 5 stars ,2 years ago,"Great beer and even had a free toilet, how rare is that in Amstrrdam?"
55,Caf√© Karpershoek, 1 star ,3 years ago,Worst place ever in my life. Waiters were really disrespectful and unpolite with us. Never again. Highly unrecommended this place!!!!
56,Caf√© Karpershoek, 2 stars ,2 years ago,"Ignorant staff, want your custom but don't have a smile on their faces and not helpful. Toilets bad 😕"
57,Caf√© Karpershoek, 5 stars ,3 years ago,"Good range of beers very helpful staff, nice place to watch the world go hy."
58,Caf√© Karpershoek, 3 stars ,3 years ago,Nice little dutch bar across the road grom central station. Great meeting point
59,Caf√© Karpershoek, 5 stars ,4 months ago,Top...
60,Caf√© Karpershoek, 1 star ,2 years ago,Mediocre service and beer at 5 euros per glass is not good value for money.
61,Caf√© Karpershoek, 5 stars ,3 years ago,"Great pub, good beer and coffee. My new 'local' in Amsterdam 👍"
62,Caf√© Karpershoek, 2 stars ,4 years ago,Really nice bar however toilet facilities need a good clean
63,Caf√© Karpershoek, 5 stars ,3 years ago,Great place for people watching. With very helpful staff. Definitely recommend 😁😁😁
64,Caf√© Karpershoek, 5 stars ,3 years ago,This was a great place for drinks and eats very very friend staff a must to visit when in lake guarda.
65,Caf√© Karpershoek, 3 stars ,2 years ago,"The place looks nice, but the staff is quite rude"
66,Caf√© Karpershoek, 4 stars ,2 years ago,"As an Amsterdam cafe/pub should be. Locals, good atmosphere and drinks."
67,Caf√© Karpershoek, 5 stars ,3 years ago,"Wonderful historic pub/cafe, great beer selection."
68,Caf√© Karpershoek, 4 stars ,2 years ago,Nice place to stop off and have a beer whilst watching the world go by
69,Caf√© Karpershoek, 4 stars ,2 years ago,Oldest bar in town. Has beer. No complaints.
70,Caf√© Karpershoek, 1 star ,4 years ago,The most rude barman I met in my life!! Wouldn't suggest anyone to have anything to do with that kind of staff
71,Caf√© Karpershoek, 4 stars ,5 years ago,Closest spot for a good cup coffee after getting off the train station! Comes with a small cookie!
72,Caf√© Karpershoek, 4 stars ,3 years ago,Bust cafe bar by the station.Good place to watch the never ending stream of passers by.
73,Caf√© Karpershoek, 5 stars ,2 years ago,"Went for quick drink, brilliant staff"
74,Caf√© Karpershoek, 2 stars ,8 years ago,"Very unfriendly staff. Refuse to speak any language other than Dutch. When ordering a beer I was told to ""shush and wait""..."
75,Caf√© Karpershoek, 5 stars ,3 years ago,Great place to chill and have a cold beer
76,Caf√© Karpershoek, 5 stars ,4 years ago,Good choice for relaxing and drinking a beer and watching people walk by in front of Centraal Station
77,Caf√© Karpershoek, 5 stars ,3 months ago,Great cafe
78,Caf√© Karpershoek, 4 stars ,3 years ago,"Nice location, cosy atmosphere, good beer."
79,Caf√© Karpershoek, 5 stars ,4 years ago,Great beer and good location for watching the world go by
80,Caf√© Karpershoek, 4 stars ,2 years ago,"Cosy little pub, another convenient toilet stop"
81,Caf√© Karpershoek, 5 stars ,2 years ago,"Fantastic pub/cafe, a must visit"
82,Caf√© Karpershoek, 4 stars ,4 years ago,Very busy location but nice team and sunny terrace.
83,Caf√© Karpershoek, 5 stars ,3 years ago,Nice friendly staff clean and tidy lots to choose from
84,Caf√© Karpershoek, 1 star ,6 years ago,We walked in and they told us they were closed... At 9:30pm. If you're not local don't expect service. A little bit racist/nationalist.
85,Caf√© Karpershoek, 4 stars ,4 years ago,"A quiant place very close to the central station, nice atmosphere and very friendly and attentive staff"
86,Caf√© Karpershoek, 4 stars ,7 months ago,"Simple, fast, good"
87,Caf√© Karpershoek, 5 stars ,4 years ago,Kind People and I love the sand for tobacco spitters (years ago..)
88,Caf√© Karpershoek, 3 stars ,4 years ago,Interesting view of passers by. The old waiter didn't listen.
89,Caf√© Karpershoek, 5 stars ,3 years ago,Great spot for a drink in the dam and close to the station
90,Caf√© Karpershoek, 5 stars ,2 years ago,Nice location good drank
91,Caf√© Karpershoek, 4 stars ,10 years ago,"Simple, ask for a beer, get it, pay, no waiter timewasting. Fancy another!"
92,Caf√© Karpershoek, 5 stars ,5 years ago,"Nice Place, good Beer and right prices"
93,Caf√© Karpershoek, 5 stars ,2 years ago,Nice café in the proximity of the station.
94,Caf√© Karpershoek, 3 stars ,3 years ago,Was ok. Bit more expensive than other bars
95,Caf√© Karpershoek, 5 stars ,4 years ago,A lovely place to visit on a night out in Amsterdam.
96,Caf√© Karpershoek, 1 star ,2 years ago,Staff doesn't like foreigners. They literally told me that.
97,Caf√© Karpershoek, 4 stars ,3 years ago,Lovely little cafe with a friendly landlord.
98,Caf√© Karpershoek, 5 stars ,a year ago,Friendly and old style and comfortable
99,Caf√© Karpershoek, 5 stars ,2 years ago,Great service and very friendly staff
100,Caf√© Karpershoek, 4 stars ,2 years ago,"Nice little cafe, very good location"
101,Caf√© Karpershoek, 5 stars ,2 years ago,Cold beer and great people watching.
102,Caf√© Karpershoek, 3 stars ,3 years ago,"A little bit expensive, but probably what you can expect for a place so central."
103,Caf√© Karpershoek, 4 stars ,2 years ago,Cool place to watch the world go crazy
104,Caf√© Karpershoek, 3 stars ,4 years ago,"A historic place, the oldest bar in Amsterdam."
105,Caf√© Karpershoek, 1 star ,2 years ago,Rude staff don't visit would give a zero..
106,Caf√© Karpershoek, 5 stars ,2 years ago,The oldest pub in Amsterdam.  Amazing
107,Caf√© Karpershoek, 5 stars ,3 years ago,Very nice Café 💜 15.05.18 😊
108,Caf√© Karpershoek, 5 stars ,4 years ago,"Amazing staff, food was great"
109,Caf√© Karpershoek, 5 stars ,2 years ago,Oldest pub in Amsterdam according to the brother in law
110,Caf√© Karpershoek, 4 stars ,4 years ago,"Old style bar. Everything is wooden, the way an old bar should be."
111,Caf√© Karpershoek, 5 stars ,4 years ago,Great place and the brownies were great 😂
112,Caf√© Karpershoek, 1 star ,3 years ago,"Waiters are super rude, worst experience ever"
113,Caf√© Karpershoek, 5 stars ,3 years ago,Love the pub. Staff are lovely
114,Caf√© Karpershoek, 5 stars ,2 years ago,"Cozy place, the oldest pub in AMS"
115,Caf√© Karpershoek, 5 stars ,2 years ago,Strategic location with nice drinks.
116,Caf√© Karpershoek, 4 stars ,4 years ago,Always good for a quick beer.
117,Caf√© Karpershoek, 5 stars ,4 years ago,"Old as time itself, jenever is the best"
118,Caf√© Karpershoek, 2 stars ,2 years ago,Manager kicking patrons out before midnight.
119,Caf√© Karpershoek, 5 stars ,2 years ago,Lovely staff nice place
120,Caf√© Karpershoek, 5 stars ,3 years ago,Great Price!
121,Caf√© Karpershoek, 5 stars ,3 years ago,15th century cafe... amazing ambiance
122,Caf√© Karpershoek, 5 stars ,3 years ago,Friendly barman. Nice spot.
123,Caf√© Karpershoek, 2 stars ,2 years ago,Efficient but curt staff
124,Caf√© Karpershoek, 5 stars ,3 years ago,Great bar/pub
125,Caf√© Karpershoek, 5 stars ,3 years ago,Great selection of beers
126,Caf√© Karpershoek, 5 stars ,3 years ago,Very nice beer
127,Caf√© Karpershoek, 4 stars ,5 years ago,We found it friendly enough and we are from the UK.
128,Caf√© Karpershoek, 1 star ,a year ago,Over priced and underquality.
129,Caf√© Karpershoek, 5 stars ,3 years ago,traditional. interesting history..friendly.
130,Caf√© Karpershoek, 5 stars ,2 years ago,Very fun bar
131,Caf√© Karpershoek, 5 stars ,4 years ago,Amazing staff so friendly
132,Caf√© Karpershoek, 5 stars ,2 years ago,Traditional Dutch pub
133,Caf√© Karpershoek, 4 stars ,6 years ago,Amazing how the beer is served
134,Caf√© Karpershoek, 3 stars ,2 years ago,Very nice
135,Caf√© Karpershoek, 5 stars ,4 years ago,one of the oldest pubs in Amsterdam
136,Caf√© Karpershoek, 3 stars ,2 years ago,The coffee was good
137,Caf√© Karpershoek, 5 stars ,5 years ago,Friendliest cafe in Amsterdam!
138,Caf√© Karpershoek, 5 stars ,3 years ago,Nice old café.
139,Caf√© Karpershoek, 5 stars ,4 years ago,Classic old Amsterdam Cafe
140,Caf√© Karpershoek, 5 stars ,3 years ago,Nice little bar
141,Caf√© Karpershoek, 4 stars ,3 years ago,Nice place to stay
142,Caf√© Karpershoek, 1 star ,5 years ago,Very expensive for nothing in return
143,Caf√© Karpershoek, 3 stars ,2 years ago,Okayishh nothing special
144,Caf√© Karpershoek, 5 stars ,4 years ago,Great ambiance.
145,Caf√© Karpershoek, 5 stars ,3 years ago,Lovely staff.
146,Caf√© Karpershoek, 5 stars ,2 years ago,Nice and warm
147,Caf√© Karpershoek, 5 stars ,2 years ago,Normal😀
148,Caf√© Karpershoek, 4 stars ,2 years ago,Ok
149,Caf√© Karpershoek, 4 stars ,2 years ago,Authentic old pub
150,Caf√© Karpershoek, 1 star ,2 years ago,What a miserable experience.
151,Caf√© Karpershoek, 4 stars ,2 years ago,Good
152,Caf√© Karpershoek, 3 stars ,4 years ago,Ok
153,Caf√© Karpershoek, 4 stars ,3 years ago,Fun
154,Caf√© Karpershoek, 3 stars ,3 years ago,Expensive pub
155,Caf√© Karpershoek, 5 stars ,5 years ago,Good beers
156,Caf√© Karpershoek, 1 star ,4 years ago,Unpleasant welcoming
157,Caf√© Karpershoek, 5 stars ,2 years ago,Lovley pint
158,Caf√© Karpershoek, 5 stars ,3 years ago,Love this place
159,Caf√© Karpershoek, 5 stars ,3 years ago,Amazing place
160,Caf√© Karpershoek, 4 stars ,3 years ago,Worth a visit
161,Caf√© Karpershoek, 5 stars ,2 years ago,Good place
162,Caf√© Karpershoek, 4 stars ,5 years ago,OK
163,Caf√© Karpershoek, 4 stars ,4 years ago,Beautiful place
164,Caf√© Karpershoek, 5 stars ,3 years ago,Enjoy the life
165,Caf√© Karpershoek, 4 stars ,4 years ago,Interesting cafe
166,Caf√© Karpershoek, 5 stars ,2 months ago,"(Translated by Google) One of the famous brown bars: an old building, dim lights, dark wood trim, very atmospheric! Naturally, the prices are not the cheapest but affordable …"
167,Caf√© Karpershoek, 1 star ,a month ago,(Translated by Google) Always pay attention here with payment and it looks like a D66 tent regarding the QR code yuck. …
168,Caf√© Karpershoek, 4 stars ,a month ago,(Translated by Google) Always start with this pub when we visit Amsterdam. Very cozy and friendly staff …
169,Caf√© Karpershoek, 1 star ,3 weeks ago,"(Translated by Google) Expensive place and unpleasant treatment, the waiters began to speak Dutch among themselves and with other customers who looked at us and laughed, this, in addition to being extremely rude, leaves much to be desired …"
170,Caf√© Karpershoek, 5 stars ,2 years ago,"(Translated by Google) A shop with a long history of establishment in 1606.
A very conscientious shop in Amsterdam where prices are high.
First of all, the purpose is asked when entering alone because of the good …"
171,Caf√© Karpershoek, 4 stars ,3 months ago,"(Translated by Google) Cozy, but very busy if you sit outside. Friendly people and tasty bitterballen/mustard. …"
172,Caf√© Karpershoek, 5 stars ,2 years ago,"(Translated by Google) The oldest coffee in Amsterdam. Fully furnished with brown wood (also the floor). Very welcoming, to visit. Unfortunately very poor menu. …"
173,Caf√© Karpershoek, 5 stars ,3 weeks ago,"(Translated by Google) Nice sitting, with pleasant music and pleasant service

(Original) …"
174,Caf√© Karpershoek, 4 stars ,4 months ago,(Translated by Google) beer and bitterballen. the perfect combination to watch cursing cyclists on their terrace! …
175,Caf√© Karpershoek, 4 stars ,5 years ago,"(Translated by Google) Nice brown pub, recommended after a lovers boat trip, is on the corner.
For the first time we did the Amsterdam light Festival by boat, nice, and yet …"
176,Caf√© Karpershoek, 5 stars ,5 months ago,"(Translated by Google) Cool atmosphere and great service

(Original) …"
177,Caf√© Karpershoek, 5 stars ,2 years ago,"(Translated by Google) Great
Clean superior room
Pleasant and professional staff …"
178,Caf√© Karpershoek, 5 stars ,5 months ago,"(Translated by Google) Very nice very cozy I also recommend many local visitors

(Original) …"
179,Caf√© Karpershoek, 5 stars ,3 years ago,"(Translated by Google) Intimate and romantic atmosphere, excellent for warming up after a long day outdoors in winter and enjoy an aperitif.
Central area a few steps from the train station. …"
180,Caf√© Karpershoek, 4 stars ,4 years ago,(Translated by Google) Located very close to Amsterdam Central Station. Excellent atmosphere in a historical store. Beer was reasonable and the staff was kind and relaxing. …
181,Caf√© Karpershoek, 5 stars ,4 months ago,"(Translated by Google) Very friendly bartender who served us nicely tonight.

(Original) …"
182,Caf√© Karpershoek, 5 stars ,2 years ago,"(Translated by Google) A typical Dutch pub, very beautiful setting, I loved the atmosphere with all the local people, some of whom were playing cards at a table. …"
183,Caf√© Karpershoek, 4 stars ,3 years ago,"(Translated by Google) Nice atmosphere, I really like the decoration, although the beer is very little and a bit expensive …"
184,Caf√© Karpershoek, 4 stars ,4 months ago,"(Translated by Google) I've been coming here all my life. That says enough, doesn't it? …"
185,Caf√© Karpershoek, 5 stars ,4 months ago,"(Translated by Google) Nice and very friendly staff, highly recommended.

(Original) …"
186,Caf√© Karpershoek, 4 stars ,4 months ago,(Translated by Google) Beautiful place but welcoming manager like a prison door ... …
187,Caf√© Karpershoek, 5 stars ,2 years ago,"(Translated by Google) Beer fresh and well tapped, prices despite top location in the context. Cozy and authentic, highly recommended for a leisurely break from the city stroll :) …"
188,Caf√© Karpershoek, 5 stars ,7 months ago,"(Translated by Google) When visiting Amsterdam we always start and end at this oldest café in our capital, always cozy with very friendly staff!!! …"
189,Caf√© Karpershoek, 5 stars ,4 months ago,"(Translated by Google) Always the first cafe we ​​visit in mokum.

(Original) …"
