,Name,Review Rate,Review Time,Review Text
0,Caf√© P96, 4 stars ,5 months ago,"Nice place to have a drink or even a breakfast/lunch with a perfect view of the channels. The tables are on a boat at the opposite side of the street, thus, when it is crowded, you should wait a little bit more for the service, but it is worth it."
1,Caf√© P96, 5 stars ,4 months ago,"Cozy cafe with reasonably priced and good quality food. I was nervous it would be just another tourist trap along this road, but not so! The boat terrace is a new ce way to get close to the water as well."
2,Caf√© P96, 5 stars ,5 years ago,"Lots of space inside, only open 11-3 sun to thus and 11-4 Fri and Sat. Wr got there at 12 and found it very cosy inside. Not crowded with lots of space, nice music and friendly staff. We paid €5.80 for a large Cappuccino and a English …"
3,Caf√© P96, 5 stars ,a year ago,"Plain and simple 'gezelligheid' in a typical Dutch bar. Nice beers, nachos are good and the staff is attentive. Location is nice (as is the terrace boat in front)."
4,Caf√© P96, 5 stars ,2 years ago,Great Dutch beer bar with tasty food. The bar is cool but the best bit is the awesome spot in front where you can sit on an old barge and enjoy the canal and the sun.
5,Caf√© P96, 5 stars ,4 years ago,"This is a typically trendy Amsterdam bar serving good beer and good food, made all the better by having it's own barge, made into an outdoor seating area moored up on the canal. Excellent."
6,Caf√© P96, 5 stars ,2 years ago,"One block away from the Anne Frank house.  Wonderful people watching with outside patio.  Directly across from the canal- with part of the restaurant sitting on a boat in the canal.  Had a great chicken sandwich with cheese, sauce and guacamole.  Would highly recommend for a quick bite and a drink."
7,Caf√© P96, 5 stars ,4 years ago,Perfect place to drink a coffee beside the canal! Also very cozy atmosphere inside! Def recommend it!
8,Caf√© P96, 5 stars ,a year ago,Great view and cozy place.  Fair price.  Best oatmeal coffee I've ever had 😉
9,Caf√© P96, 3 stars ,4 months ago,"nice place but the staff aren’t very attentive, good prices though!"
10,Caf√© P96, 5 stars ,3 months ago,"Great vibes, great food, very friendly staff!!"
11,Caf√© P96, 3 stars ,6 months ago,"Good nacho’s and location. Service is super slow, it took 45min to get bitterballs(?!)."
