,Name,Review Rate,Review Time,Review Text
0,Caf√© Zwart, 1 star ,a month ago,"Just witnessed one of the worst services so far; the waiter was racist and told me to be quiet while I was speaking on the phone! And started shouting in Dutch, finishing by saying "" THIS IS AMSTERDAM"". I have lived in Amsterdam for four …"
1,Caf√© Zwart, 4 stars ,2 years ago,"This is a very Parisian - style cafe, where you come whether the sun is shining or it is raining and leisurely take a seat, read the Sunday paper or the new bought book with your cup of coffee. …"
2,Caf√© Zwart, 5 stars ,2 months ago,Great toasted cheese sandwich and latte. Never been in toilet that small before
3,Caf√© Zwart, 5 stars ,4 months ago,Good beers ! 🍻
4,Caf√© Zwart, 5 stars ,2 years ago,"We arrived with two crying kids, only to use the toilet. The owner was very polite and advised us to take the ladies restroom. We stayed for a few beers and coffee, while the children were running around and exploring this french style …"
5,Caf√© Zwart, 5 stars ,3 years ago,Nice place with good drinks and food!
6,Caf√© Zwart, 4 stars ,4 years ago,"Good views, good and ice cold beer and lots of choices! Recommend Grolsch Premium Weizen"
7,Caf√© Zwart, 5 stars ,2 years ago,Great people watching cafe! Very traditional Dutch atmosphere. You’ll find old school Dutch men behind the bar and real Amsterdam peeps coming to meet up for a drink.
8,Caf√© Zwart, 1 star ,3 years ago,"Extremely rude owner, immediately after paying the owner told us we could not use a laptop in their cafe and repeatedly interacted with us rudely. A friend sat down with us but did not want to order anything to the owner informed they they …"
9,Caf√© Zwart, 3 stars ,2 years ago,"Basic 'brown café'. Situated in the middle of Amsterdam, which makes the terrace a great addition. I'd recommend this café on sunny days especially. They offer a nice plate of cheese and sausage which goes great with their beers."
10,Caf√© Zwart, 4 stars ,4 years ago,"Nice Cafe, cheap beer and friendly staff. Not too crowded, which is nice as it is not the largest of places. I did not try the food here but it did look good. Really relaxing place!"
11,Caf√© Zwart, 5 stars ,6 years ago,"Our favorite resting place .... perfect for a great beer and people watching. The place is very small and cozy. Very Amsterdam. They do not serve much food...so if you need to eat, go some place else first... Then come here!"
12,Caf√© Zwart, 5 stars ,2 years ago,Very good prices for drinks. Super nice staff. Nice atmosphere. I will definitely come back next time we visit Amsterdam.
13,Caf√© Zwart, 4 stars ,4 months ago,"Good location, good coffee"
14,Caf√© Zwart, 4 stars ,4 years ago,"A good quiet place with a nice outdoor seating area for people watching on the square.  Right next door to Hoppe, which also has great beer, but this place is usually a little bit less crowded."
15,Caf√© Zwart, 1 star ,3 years ago,AVOID. AVOID. Overpriced at 9 .50 EUROS a pint and 7 euros small. A tourist RIPP OFF and mgr does not like it when you tell him so. Better and reasonable priced bars 5 mins further away.  Disappointing end to a good holiday being EXPLOITED by the owner of the bar who I am told by mgr is called Menno Martens.
16,Caf√© Zwart, 1 star ,2 years ago,"Unacceptable service and unhygienic, the personal at that Café is realy unfriendly and we saw an mice. At least the drinks were good. We don't recommend that Café at all."
