,Name,Review Rate,Review Time,Review Text
0,Caf√© 't Hooischip, 5 stars ,6 months ago,"An amazing pub!!! You need to try this one and most of all, check the interior !! An old pub of Amsterdam, a great historical value. Great service and good food!!! Just try it and see it for yourself!!"
1,Caf√© 't Hooischip, 4 stars ,4 years ago,Cosy little place split over a few levels. the beer is good and the views not to shabby either. We didn't eat there but we did smell others eating and it's smelt pretty good to me. Staff seem happy go lucky and eager to help too. …
2,Caf√© 't Hooischip, 5 stars ,4 months ago,Now this is an old bar next to the river with fantastic views and a great place to watch the world go by. Reasonably priced and friendly staff. Deffo worth a visit.
3,Caf√© 't Hooischip, 5 stars ,4 years ago,"Stumbled across this place and what a find. Old fashioned bar on two levels. Full of locals enjoying a beer and conversation. Good beer selection and nice assortment of simple food: sandwiches, tosti and soup. The food was excellent, particularly the pea soup. Fantastic warm service and a lovely relaxed atmosphere."
4,Caf√© 't Hooischip, 5 stars ,2 years ago,Lovely waitress was happy to serve us a few late drinks just before closing and was nice about it too. …
5,Caf√© 't Hooischip, 5 stars ,5 months ago,It's a really nice bar .. staff are great you feel at home there
6,Caf√© 't Hooischip, 5 stars ,9 months ago,I went there to have a glass of wine with a friend and I can say it was one of the best wines I ever tasted in the city. And also the waiter was funny and kind. I definitely recommend!
7,Caf√© 't Hooischip, 4 stars ,10 months ago,Nice corner cafe. Great location. Nice for people watching. Good food & really friendly staff. Good place to step away from the really crowded areas around town. Not far from more popular areas.
8,Caf√© 't Hooischip, 5 stars ,7 months ago,Delicious food served by friendly staff. Good selection of drinks.
9,Caf√© 't Hooischip, 4 stars ,3 years ago,Quaint cafe with tasty light fare.  We stopped for breakfast and had a tosti.
10,Caf√© 't Hooischip, 5 stars ,a year ago,"A little gem in Amsterdam, wonderful staff make you always welcome,  definitely a must if you're looking for a real Dutch bar, home made snacks and an authentic atmosphere. My personal favourite bar in Amsterdam."
11,Caf√© 't Hooischip, 5 stars ,2 years ago,"Lovely authentic Amsterdam bar. Small old fashioned interior were everyone feels at home. Nice home-brewed staff. And they have La Couffee on the tap, whats more to like."
12,Caf√© 't Hooischip, 5 stars ,5 years ago,"Nice place,  where I could find a Glühwein (not typical for Netherlands)  but a taste of my second home"
13,Caf√© 't Hooischip, 5 stars ,a year ago,Great spot and friendly staff
