,Name,Review Rate,Review Time,Review Text
0,Caf√© 't Loosje, 5 stars ,4 months ago,"Great location for spending the evening, we loved the beer and bitterballens here. Attentive staff and quick service"
1,Caf√© 't Loosje, 5 stars ,2 years ago,"Amazing location with seats in the sun, attentive staff and quick service.

We bought 2 latte for about 5 euro's. The foam was thick and could carry a spoon …"
2,Caf√© 't Loosje, 2 stars ,3 months ago,"Very rude staff! “You don’t have to be here!” The guy refused to serve us at the bar and as we were waiting for a car pickup, the waitress came to turn off the heating lamp outside (the terrace was empty) ha ha ha! Too bad it’s a beautiful place and I’ve had many lovely moments there in the past."
3,Caf√© 't Loosje, 1 star ,4 months ago,"The staff left us to stand in the doorway for ages while we waited to be QR scanned. The food is very limited (no fries ).. the burger bun was rock hard.
The waitress was wasn't friendly... serving us seemed a hassle for her."
4,Caf√© 't Loosje, 5 stars ,2 years ago,"Nice bar, finger food options was good. Portion size and taste of the burger was suprisingly large and tasty. …"
5,Caf√© 't Loosje, 5 stars ,2 years ago,"Each dish is like a art, colorful side dish or finger  food. The taste is awesome and nice ambience in Amsterdam!"
6,Caf√© 't Loosje, 4 stars ,3 weeks ago,Excellent table service- Parmezaaan ciabatta was really good!
7,Caf√© 't Loosje, 2 stars ,2 years ago,"Cool, relaxed setting positioned in front of a market place on a Saturday, good atmosphere. Then we eventually got served... 'Pint' was 3/4 full. Toastie (chorizo & cheese) took 45 minutes to come out, was bone dry and very average. Think I could've rustled one up better at home."
8,Caf√© 't Loosje, 5 stars ,2 years ago,"A well-rounded joint in the centre of Amsterdam. Great service, food well above average, good beer. What else can one ask for. I was glad to leave a tip (although not required in these lands). I would certainly recommend it and come back."
9,Caf√© 't Loosje, 5 stars ,5 years ago,Nice place to sit down with friends for some beers. I keep coming back for years. Even though it has a touristic location you will always find local at this place.
10,Caf√© 't Loosje, 5 stars ,4 years ago,"One of the better bars in the very touristy area. They have good beers and it's indeed great people watching. Never eaten here, service can be a little slow but it's a really lovely old brown cafe"
11,Caf√© 't Loosje, 3 stars ,4 years ago,Outdoor seats are great. In-house seats were basically empty when I visited. Food and drinks were okay. Nothing much too exciting though. Good place for a momentary stop and rest.
12,Caf√© 't Loosje, 1 star ,4 months ago,"installed, order taken next to us and telling us then : we do not serve you saturated cuisine.
Avoid that place !"
13,Caf√© 't Loosje, 5 stars ,a year ago,"Delicious breakfast with toast, scrambled eggs, ham, cheese and jam. Fresh pressed orange juice and a coffee of choice for a moderate price. Waitress was very mindful and friendly. We can recommend this place for a breakfast."
14,Caf√© 't Loosje, 5 stars ,a year ago,Nice laid back place. Great for watching life go by. A smart selection of drinks and value for money food. My personal fav. If I had to choose would be eggs from the oven. Their nacho platter feeds a table. Highly recommended.
15,Caf√© 't Loosje, 5 stars ,5 months ago,Superb food and service! Nice start of the holiday 🤩👏👏
16,Caf√© 't Loosje, 5 stars ,a year ago,"We come here since years - cool and relaxing location of Nieuw Markt, super friendly service, you really feel at home there ! And a pretty good kitchen as well, really good for a beer bar ! We love coming here ❤😍👍 the employees really …"
17,Caf√© 't Loosje, 4 stars ,2 years ago,Good old bar/cafe. Here you will find both locals and tourists. Nice staff. Good service. A very nice out door serving with infra heaters. From here you have a good view over Nye Markt and the Square. A good place to sit and relax in. Recommended.
18,Caf√© 't Loosje, 1 star ,2 years ago,"A very poor experience here, we sat down, the waitress took our order for drinks as we were looking at the menu for food, she delivered our drinks and went away. …"
19,Caf√© 't Loosje, 1 star ,3 years ago,Got handed the worst pint of my life in this bar....if you gave this to a person in ireland it would cause a riot. I poured it into the half pint glass beside it and it was actually less than half a pint
20,Caf√© 't Loosje, 5 stars ,2 years ago,"Excellent waiters and great choices of beer. This place has local beers brewed in Netherlands, craft beers. It has also other options of bottle beers from outside, such as belgium, Germany and UK. If you are nearby, come here, it's pleasant to stay here."
21,Caf√© 't Loosje, 5 stars ,a month ago,very family
22,Caf√© 't Loosje, 5 stars ,2 years ago,"A very nice bar just a cross the street of the metro station Nieuwmarkt . Drinks are fairly priced for the location, the staffs were all super friendly and nice. We spend the night drinking there, the interior on the inside seating is also looking really nice. What a great experience!!!"
23,Caf√© 't Loosje, 5 stars ,3 years ago,"The bar/ restaurant is definitely a must have for any young human who visits Amsterdam. The flair is pretty alternative, kindoff rocky and quaintly. My friends and me were searching for a not too expensive but not too classy place to eat, …"
24,Caf√© 't Loosje, 1 star ,2 years ago,I visited two countries while in Europe and this establishment was the only rude experience I had.  From the moment the waitress came out there was attitude from her.  I am a very friendly person and very respectful to others.  She was not …
25,Caf√© 't Loosje, 1 star ,2 years ago,"Worst place I have ever visited.
As part of a group of 9, we walked in quietly and respectfully. 4 of our group stood at the bar to order pints while the rest of us seated ourselves at the back …"
26,Caf√© 't Loosje, 5 stars ,4 years ago,"A fantastic recommendation from a local. It was very busy but worth the wait. I ordered for everyone, the chicken was so good we ordered more. The decor was relaxing and the staff were smart, polite and efficient.
Would definitely go back."
27,Caf√© 't Loosje, 5 stars ,5 years ago,Popped in for a cheeky drink before dinner and was met with friendly service and a great selection of drinks. Will definitely be coming back for some afternoon beers when its a bit warmer. 4.8 stars rounded up to 5 cause they serve Weihenstephan.
28,Caf√© 't Loosje, 4 stars ,3 years ago,'t Loosje is situated on the Nieuwmarkt in an old building. The rustic interior is authentic and has not changed much over the years. Good beer and spirits selection. The simple dishes are the menu are OK nar food. One of the cosier places on the Nieuwmarkt with an extremely popular terrace when the weather permits it.
29,Caf√© 't Loosje, 5 stars ,3 years ago,Delicious spot for Belgium beers!!!! Awesome staff. Great prices and the ambiance is just dope. Highly recommend if you’re passing thru or staying a while
30,Caf√© 't Loosje, 5 stars ,3 years ago,"The beauty of this bar is mostly that it hardly changed after the first time I visited 't Loosje, back in, well let's leave it at the end of last century. Fantastic beer choice with a lot from Amsterdam brewery het IJ, good food to go with …"
31,Caf√© 't Loosje, 4 stars ,4 years ago,Hereford Burger was good.  Good people watching in a good location.
32,Caf√© 't Loosje, 5 stars ,3 years ago,Staff here was friendly and the service was propmt even during a busy lunch time. Food came out quickly and was very tasty. I would highly recommend this place for lunch if you're in the area.
33,Caf√© 't Loosje, 1 star ,4 years ago,"I hate to give one star as I feel it's rarely fair to owners. However, I faced real shady practices in this bar tonight: the owner refused to split our bill (50€+ bill) because ""it's too busy tonight we can't split bills"" then refused to produce an invoice for my company which I needed to reimburse this meal."
34,Caf√© 't Loosje, 5 stars ,3 years ago,"Really nice and cool place. Had a really yummy grilled chicken wrap. Staff was ok, however the guys who served us gave us some tourist tips what to see around the city..."
35,Caf√© 't Loosje, 1 star ,2 years ago,"The staff here were incredibly rude to me and my friends as soon as we entered and continued to harass us until we left, telling us to go and drink on the street where it's illegal to carry open containers of alcohol. We're a query bunch so very odd and still not sure what we did!"
36,Caf√© 't Loosje, 5 stars ,2 years ago,"Great finger food and fine beers ! We often come here when we are in Amsterdam. Clean and polite, a good place for a quick lunch !"
37,Caf√© 't Loosje, 5 stars ,10 months ago,Lovely outside seating area with heaters. Great selection of sandwiches and drinks. I recommend the Lumumba (hot chocolate with rum and whipped cream).
38,Caf√© 't Loosje, 5 stars ,5 years ago,"Possible to enjoy typical Amsterdam pub outside at the New Markt because of the heating outside. Lovely people, lovely place. Of course a lot of tourists too."
39,Caf√© 't Loosje, 4 stars ,a year ago,Good place to meet up with some friends and try some different beers. Good location in the centre. Convenient next to the metro.
40,Caf√© 't Loosje, 4 stars ,4 years ago,Nice wrap! And scones! Very cosy!
41,Caf√© 't Loosje, 1 star ,6 months ago,"Awful waiters, really unpolite."
42,Caf√© 't Loosje, 5 stars ,2 years ago,Old fashioned cafe bar in a great location.  Friendly staff and good choice of food.
43,Caf√© 't Loosje, 4 stars ,4 years ago,"This is a great place to have a couple drinks outside, a nice snack, and watch the varied denizens of Amsterdam walk by. The staff here are super friendly too!"
44,Caf√© 't Loosje, 4 stars ,2 years ago,"Proper bar with a local and oldskool feel and service to add to it, the waitress made us feel right at home, shoutout to her."
45,Caf√© 't Loosje, 5 stars ,3 years ago,"Definitely one of the good bars in the area. Super friendly staff, nice bits and bites to choose from, and prices are really good!"
46,Caf√© 't Loosje, 5 stars ,3 years ago,Great service. Nice place to grab a quick bite to eat and a couple of La Chouffes. Would go back again.
47,Caf√© 't Loosje, 4 stars ,6 years ago,nice cafè in a very crowded part off the city.  the staff is very kind. there are sites outside for the nice weather...  warm atmosphere inside
48,Caf√© 't Loosje, 5 stars ,2 years ago,Great bar great food and friendly staff... became our local while in amsterdam
49,Caf√© 't Loosje, 4 stars ,3 years ago,Tasty beefburger and red Texels beer!
50,Caf√© 't Loosje, 5 stars ,3 years ago,"Been coming here on and off for year's. Top location on the Nieuwemarkt, exceedingly good service. Prices still in the realms of reality!"
51,Caf√© 't Loosje, 5 stars ,3 years ago,"Breakfast was very good, service quick and efficient, friendly staff, reasonable prices.  Will go again"
52,Caf√© 't Loosje, 5 stars ,5 years ago,Really nice little cafe. Got a brilliant sandwich and coffee. Great place to sit on the square.
53,Caf√© 't Loosje, 3 stars ,8 years ago,"Simple food, with normal quality. The waitress was very kind.
The place is good, when the sun is shining !"
54,Caf√© 't Loosje, 3 stars ,2 years ago,It’s ok but no great experience. The food was just ok and the staff was friendly.
55,Caf√© 't Loosje, 5 stars ,3 years ago,"Great cafe with good staff
Just like you can expect from a good bar"
56,Caf√© 't Loosje, 5 stars ,5 years ago,"A sweet and cosy Cafe right on the Nieuwmarkt, the waitresses were sweet, nice and informative and there's even a vegan sandwich :-)"
57,Caf√© 't Loosje, 5 stars ,2 years ago,Had a very nice breakfast here. Lovely to sit outside in the sunshine.
58,Caf√© 't Loosje, 5 stars ,3 years ago,Loved my lunch! Parmesan Ciabatta with a mustard mayo Dressing is super delicious
59,Caf√© 't Loosje, 5 stars ,2 years ago,Always one of my favorites when I'm in the centre. Great mix of people from all around.
60,Caf√© 't Loosje, 5 stars ,5 years ago,Superb place to have a beer and enjoy the company of your friends. Music is great too ! I will be back for sure !!!
61,Caf√© 't Loosje, 5 stars ,2 years ago,"Had breakfast, fairplay...it was the cheese and ham toastie I didn't know I needed. Thanks for the great service too 😘"
62,Caf√© 't Loosje, 5 stars ,2 years ago,Nice to seat in the winter outside there. Burger was also good :)
63,Caf√© 't Loosje, 1 star ,4 years ago,"The cafee is extremely terrible, the guy who was serving us was so rude and racist, he literally asked us to stop smoking while everyone else was .. plus the cafee tasted like sh****t"
64,Caf√© 't Loosje, 5 stars ,2 years ago,Very friendly service
65,Caf√© 't Loosje, 5 stars ,4 years ago,The service is super express! Prices reasonable and snacks are tasty!! All great!
66,Caf√© 't Loosje, 5 stars ,3 years ago,"Very polite staff, quick service and tasty, original food."
67,Caf√© 't Loosje, 5 stars ,2 years ago,My daily place for breakfast. Friendly staff and good food.
68,Caf√© 't Loosje, 4 stars ,5 years ago,"A cosy Dutch bar in the heart of the city center . A lot of locals goes there, decent prices and its 1 min walk from the nieuwmarkt metro station."
69,Caf√© 't Loosje, 4 stars ,2 years ago,Enjoyingble café. Good service and dishes. Recommended.
