,Name,Review Rate,Review Time,Review Text
0,Caf√© de Doelen, 5 stars ,6 months ago,"Amazing bar with my favorite beer ""Lellebel"". The atmosphere on the boat is great!"
1,Caf√© de Doelen, 3 stars ,2 years ago,"A nice cafe with some lunch options. I had a beer and a salad with salmon. Quality was ok, but nothing special. Quantity was sufficient for lunch. Staff was polite but when I asked for a receipt they gave me a piece of order paper, with a …"
2,Caf√© de Doelen, 2 stars ,3 weeks ago,"I don't know why all the staff talking like that to the customers.The place is so nice also and drinks.
2 stars and the reason is waiting staff :("
3,Caf√© de Doelen, 5 stars ,3 years ago,"This was one of our favorite places! We visited it multiple times during our short trip to Amsterdam. Outside seating is right on the canals, the staff are always kind and helpful, and the food and drink are delicious at fair prices. Great place to relax at the end of the day!"
4,Caf√© de Doelen, 5 stars ,3 years ago,"Cafe ""De Doelen"" is a cozy bar. It has great atmosphere, we really enjoyed the music.
They have nice and generous plates to share and good selection of alcoholic …"
5,Caf√© de Doelen, 1 star ,5 months ago,"The worst service ever from the waitress ( not from holland), her arrogant attitude..laugh at my friend ,.9.80€ for pint beer...no ticket and owner does not care about it. Is it legal when a bar does not give you a ticket or bill when you ask for it??"
6,Caf√© de Doelen, 5 stars ,2 months ago,Great drinks. Fair prices. Very friendly and helpful staff.
7,Caf√© de Doelen, 5 stars ,4 months ago,"Really lovely quiet, relaxed vibe in the morning despite being right in the heart of Amsterdam.
Very friendly staff, great escape from the chaos."
8,Caf√© de Doelen, 3 stars ,a year ago,"Mixed feelings here. The bar in itself is nice but the waitress very rude + they are going to try charging you extra fees for paying by card (debit or credit) , which is illegal in EU."
9,Caf√© de Doelen, 1 star ,5 months ago,Extremely rude middle-aged white lady working there. Her existence and attitude really ruined her colleagues’ efforts and the beautiful view. Would not recommend.
10,Caf√© de Doelen, 4 stars ,8 months ago,"The beer is nicely cold, the tables outside n the canal are cozy and amazing during a sunny day with bit of wind. The waitress is quite friendly and attentive.
The only downside was the hamburger, not that good."
11,Caf√© de Doelen, 5 stars ,2 years ago,Beautiful view and very friendly staff.  Our food was delish as well !
12,Caf√© de Doelen, 5 stars ,3 years ago,Great atmosphere + quite good selection of beers made my day. Worth to visit.
13,Caf√© de Doelen, 2 stars ,6 months ago,"It is no longer a place for cat lovers since the cat is gone, very disappointing. Okay if you want some coffee, nice place."
14,Caf√© de Doelen, 1 star ,5 months ago,Terrible experience. The waitress was rude and expecting all the people on the table to order something from the really expensive beverages menu.
15,Caf√© de Doelen, 5 stars ,3 years ago,A nice old vibe with great selection of beers. Great atmosphere and a cool place to hangout with locals. Prices are also reasonable.
16,Caf√© de Doelen, 4 stars ,3 years ago,Super cute pub with some outside seating on the canal and a resident cat who likes to sit on a bar stool at the bar for petting.
17,Caf√© de Doelen, 5 stars ,2 years ago,"Very nice laid back bar, good seating outside and excellent service, nice mix of local and tourists."
18,Caf√© de Doelen, 1 star ,7 months ago,"The Rudest Staff. Staff clearly don’t like tourists. Asked for a seat and the lady was so rude& Asked could a get a cappuccino for my girlfriend and the bar staff were so rude, gave out to me for not ordering my own drink. 0-10 don’t go here"
19,Caf√© de Doelen, 5 stars ,3 years ago,Quiet during the afternoon - perfect to place to chill out after cycling about the city. Staff were friendly and attentive
20,Caf√© de Doelen, 5 stars ,3 years ago,Cute café with friendly prices and staff. Ideal for a coffee or beer break. Really tasty carrot cake.
21,Caf√© de Doelen, 4 stars ,7 months ago,"Had some drinks in the evening, Service was a bit slow but the bar was quite full.
Pricing a bit too high but nice staff, would recommend."
22,Caf√© de Doelen, 5 stars ,3 years ago,"Cozy breakfast spot where you can get a nice Dutch breakfast including juice, pancake, hot chocolate, bread, cheese and jam for 9€."
23,Caf√© de Doelen, 4 stars ,2 years ago,"Nice coffee and waffles , good selection of other cakes etc available . Friendly staff."
24,Caf√© de Doelen, 5 stars ,2 years ago,"Had a lovely evening, friendly atmosphere, Dutch crowd vs tourists and yes, my friend and I got a hot chocolate at 22:30 and it was just fine... (something you won't be able to do in Italy where ""cafeteria service"" at 19:00 strangely …"
25,Caf√© de Doelen, 5 stars ,3 years ago,"Beautiful old Brown bar/café
We had coffee and cake around 11.00am. Polite and friendly service.
Pleasant classical /baroque music on low volume. So much nicer than the awful …"
26,Caf√© de Doelen, 5 stars ,8 months ago,"Half Pint Amstel for 3€, sitting outside on a boat, just beautiful. Definitely recommended for everyone."
27,Caf√© de Doelen, 5 stars ,3 years ago,Nice dutch cafe with reasonable prices and a funny red cat that loves attention
28,Caf√© de Doelen, 3 stars ,2 years ago,She seemed short with me for asking what they have on thier burgers. The burger taste is not the same as North American burger. Very Strong taste. The bun was hard. I read they are fresh but seemed processed. There is a cute kitty here. Good selection of beers. The music is variety and relaxing.
29,Caf√© de Doelen, 5 stars ,2 years ago,We always come here when visiting Amsterdam. Nice and cosy. Not overpriced and do a great toastie
30,Caf√© de Doelen, 5 stars ,2 years ago,"Small, old but unique. If you need a stop during your canals tour, this is the place!"
31,Caf√© de Doelen, 5 stars ,3 years ago,"Was my regular stop throughout many days when visiting Amsterdam, still in the city centre, but also a nice distance away to avoid a massive amount of tourists. Staff were all very friendly and willing to help out when my Dutch couldn't …"
32,Caf√© de Doelen, 5 stars ,3 years ago,"Fantastic sandwiches with bread baked fresh throughout the day. Good variety of drinks, beers, etc. Friendly English speaking staff. And a bar cat! Heated outdoor space and cafe along the river, cozy interior. My favorite place for lunch in Amsterdam so far."
33,Caf√© de Doelen, 5 stars ,2 years ago,"I returned to this place a lot during my stay in Amsterdam, very central, and despite its proximity to tourist traps it feels very authentic, lots of locals working and drinking here! Every single staff member here is nice and friendly, beers cheap and cold, they have an outside area right by the canal which is also a winner!"
34,Caf√© de Doelen, 5 stars ,2 years ago,This place was perfect for a quick beer. They have Amstel beer too!!! It's right on the corner so if you sit near the door you can see the iconic bridge outside. It's the perfect place for a quick drink when you are on the move in the city.
35,Caf√© de Doelen, 4 stars ,5 months ago,They had benny 👍👍👍
36,Caf√© de Doelen, 5 stars ,4 years ago,Best beer in Amsterdam (try the Lellebel) in a typical Dutch setting
37,Caf√© de Doelen, 1 star ,3 years ago,"Terrible experience with a hen doo. Not good for groups at all! The barman with curly hair is miserable and rude. There was no music on in the bar at 1am on a Saturday night, so we played our own music on our phones quietly. He was …"
38,Caf√© de Doelen, 4 stars ,3 years ago,"Fantastic find.
Reasonably priced, cozy pub-feel to it. One of us had mushroom soup which was delicious and came with a lovely bread roll (could have done with butter). The …"
39,Caf√© de Doelen, 4 stars ,a year ago,Nice draft beer with a view.
40,Caf√© de Doelen, 1 star ,6 months ago,If you pay by card they charge you an extra euro for the commission. No where in the Netherlands
41,Caf√© de Doelen, 1 star ,4 years ago,The waitress here was quite rude and dismissive. It feels like they don't like tourists and cannot be bothered to provide a decent service. …
42,Caf√© de Doelen, 5 stars ,4 years ago,Small cozy cafe/bar with nice local beer.
