,Name,Review Rate,Review Time,Review Text
0,Caf√© de Dokter, 5 stars ,2 years ago,"It is rare that a bar or restaurant lives up to so many good reviews but Café De Dokter really does. The owners are very welcoming and make you feel at home straight away. It is a small space but I see it as a positive, as like we did you …"
1,Caf√© de Dokter, 5 stars ,4 months ago,Absolutely stellar place to get a drink. The hospitality was amazing
2,Caf√© de Dokter, 1 star ,4 months ago,"Was surprised by the good Rating.
Staff was rude and unfriendly. Maybe she didn't like the way we look or something. We couldn't see any staff for two minutes, walked in and suddenly she yelled at us what we are doing here, so we left."
3,Caf√© de Dokter, 5 stars ,2 years ago,"6th generation bar owned by lovely couple, great drink selection with an intimate atmosphere that felt right out of the 1940s"
4,Caf√© de Dokter, 5 stars ,4 years ago,A small cozy bar with such a great vibe. You feel the history of this bar as soon as you walk in! Also one of the best gin I've ever tasted!
5,Caf√© de Dokter, 5 stars ,3 years ago,"Great place, really cozy with an authentic atmosphere! The bartender is very charming and the local regulars  is friendly and welcoming. A must-go-visit when in Amsterdam!"
6,Caf√© de Dokter, 5 stars ,4 years ago,Beautiful little Brown Cafe with a very friendly barman. Perfect for Jenever time.
7,Caf√© de Dokter, 5 stars ,a year ago,"This place couldn't possibly have more character. The dust has dust on it, but in the best way possible. When you're there, you think, ""I must soak every amazing second up, and remember how wonderful it is."" Classic jazz albums fill the …"
8,Caf√© de Dokter, 5 stars ,4 years ago,Had a blast playing cards and drinking amber ale in September 2016. The owner is so friendly and the atmosphere is charmingly magical.
9,Caf√© de Dokter, 5 stars ,4 years ago,"Very small, intimate whiskey room. Good selection, but very little seating. You're not there to sit though, so enjoy the vintage atmosphere. Great place to stop by. Will be adding it to places I come to regularly, when in Amsterdam."
10,Caf√© de Dokter, 5 stars ,4 years ago,Fabulous location overlooking the dock with boats tied up just across the road. Not too many dockers at present but a wide range of customers enjoy this historic and quaint pub. Friendly staff offering traditional bar snacks in addition to a good range of beers and other drinks.
11,Caf√© de Dokter, 5 stars ,6 months ago,"Nevermind the beer comments,  this is the best Scotch bar in Amsterdam."
12,Caf√© de Dokter, 5 stars ,4 months ago,One of my favourite bars in Amsterdam !
13,Caf√© de Dokter, 5 stars ,5 years ago,"The smallest bar in Amsterdam, and one of the oldest family owned bars. Has been in the family for centuries, please do ask the owner he loves to share his stories. Must visit for a great beer during your trip in the Netherlands."
14,Caf√© de Dokter, 5 stars ,6 months ago,Best Old-school Dutch brown Cafe.
15,Caf√© de Dokter, 5 stars ,3 years ago,"Always go here when I am in Amsterdam. Great athmosphere, great owner, great jazz music, great beer. The decorations is amazing you feel like walking into a 100 year old bar"
16,Caf√© de Dokter, 4 stars ,3 years ago,"Great little sidewalk cafe, with plenty of great drinks available.

Be forewarned, though: it’s cash-only."
