,Name,Review Rate,Review Time,Review Text
0,Caf√© de Poort, 5 stars ,2 years ago,"Kinda shabby but not in a bad way. We were looking for an escape from the rain; somewhere not too busy but not too quiet and Cafe De Poort turned out to be perfect. Great barman, really friendly, and a nice mix of local life and visitors. Totally relaxed atmosphere. Give this place a try."
1,Caf√© de Poort, 5 stars ,3 years ago,"If you ever want to watch an Ajax game in a local pub in town, this is the place to do so. Great atmosphere & good beer. And if you're lucky you might get some free smoked sausage at half time"
2,Caf√© de Poort, 5 stars ,2 years ago,A great little neighborhood bar. Very laid back and super friendly staff. Shows football and UK/European sports on the TV. Some nice dark beer on draught. If you are away from the centre in this part of town you could do far worse ...
3,Caf√© de Poort, 4 stars ,4 months ago,Nice bar friendly service
4,Caf√© de Poort, 1 star ,2 years ago,They service is very bad the people who work there are very discriminating and they send their customers away. That is not acceptable while the customers have not even done anything. People must stop discrimination and that fat man who works there must be fired.
5,Caf√© de Poort, 5 stars ,5 years ago,Brilliant service very accommodating. Drinks were reasonably priced and a good selection. A nice quiet place out the way of all the hassle of the centre
6,Caf√© de Poort, 5 stars ,5 years ago,Great locals spot for a quick beer. Watched the Euro finals and the place was comfortably full of football fans. Great vibe.
7,Caf√© de Poort, 5 stars ,4 years ago,We loved this bar.  Friendly locals and the lady behind the bar was delightful. We felt very welcomed
8,Caf√© de Poort, 5 stars ,3 years ago,"Went here during King's Day, was your typical Amsterdam style bar. Friendly people and lots of Andre Hazes!"
9,Caf√© de Poort, 5 stars ,2 years ago,"Nice atmosphere and very friendly staff, we had a great night!!"
10,Caf√© de Poort, 2 stars ,2 years ago,"Cool bar, unpleasantly rude guests that really make you feel not welcome."
11,Caf√© de Poort, 5 stars ,4 years ago,"Good and friendly service, some nice special beers available"
12,Caf√© de Poort, 4 stars ,3 years ago,Beautiful rustic bar. Friendly staff
13,Caf√© de Poort, 4 stars ,5 years ago,Relaxed old school dutch cafe...also show sport
14,Caf√© de Poort, 3 stars ,5 years ago,"Fast and cheap, good quick stop and decent service."
15,Caf√© de Poort, 4 stars ,3 years ago,food ok but sit outside and people watch
16,Caf√© de Poort, 5 stars ,8 months ago,Top!
17,Caf√© de Poort, 4 stars ,5 years ago,My local so can't be bad.
18,Caf√© de Poort, 5 stars ,2 years ago,Most amazing Pub in Amsterdam
19,Caf√© de Poort, 5 stars ,4 years ago,Best local neighbourhood Cafe on this street
20,Caf√© de Poort, 4 stars ,4 years ago,"Traditional, typical, Amsterdam ""bruin café """
21,Caf√© de Poort, 5 stars ,3 years ago,very nice athmosphere
22,Caf√© de Poort, 4 stars ,3 years ago,quaint little bar
23,Caf√© de Poort, 5 stars ,5 years ago,Best bar in Amsterdam
24,Caf√© de Poort, 1 star ,3 years ago,Smelly
25,Caf√© de Poort, 5 stars ,6 years ago,Amazing
26,Caf√© de Poort, 5 stars ,5 years ago,Neighbourhood pub
27,Caf√© de Poort, 5 stars ,5 months ago,"(Translated by Google) Brilliant tent. Every time you think you've seen it all, you end up somewhere like this. Only other customers are (very dear …"
28,Caf√© de Poort, 5 stars ,7 months ago,"(Translated by Google) Nice Cafe, quiet in the hustle and bustle, Friendly employees!! …"
29,Caf√© de Poort, 5 stars ,11 years ago,"(Translated by Google) Great Amsterdam atmosphere with a great couple that does everything to keep it cozy and fun.
Wide audience and all kinds of music. Enjoy a smile & a tear for lovers. …"
30,Caf√© de Poort, 5 stars ,6 months ago,"(Translated by Google) Warm Amsterdam cafe. Nice and normal

(Original) …"
31,Caf√© de Poort, 5 stars ,8 months ago,"(Translated by Google) Nice atmosphere, nice bartender!

(Original)
Leuke sfeer, leuke barman!"
32,Caf√© de Poort, 5 stars ,4 years ago,"(Translated by Google) A warm family atmosphere, which can be fanatically present during football / sports matches. 😜😃 …"
33,Caf√© de Poort, 4 stars ,5 years ago,"(Translated by Google) Decor could be more comfortable, but we liked it and the bartender was in a good mood! Good beer selection on tap. …"
