,Name,Review Rate,Review Time,Review Text
0,Casablanca, 2 stars ,2 years ago,Most of the staff are incredibly grumpy and unfriendly. The guy who controls the music for Karaoke was discarding the song that he doesn’t like and kept flirting with all the girls in a rude way. In the picture you can see all the discarded …
1,Casablanca, 1 star ,a month ago,"Just passed by this place today and had to remember a terrible experience about 7 years ago (yes, it was that bad that I still remember). Do yourself a favour and don't even set a foot here."
2,Casablanca, 2 stars ,3 years ago,"It is a beautiful bar and they offer karaoke but not really the athmosphere I expected, at least  when I was there. It could have been better, more attractive to the costumer. Probably much better any other day."
3,Casablanca, 3 stars ,a week ago,Karaoke at its best.  The main guy is fantastic
4,Casablanca, 5 stars ,2 years ago,I'm reading at a five-star although I don't think you should go there. I'm only because I want it to be available when I come through town and went to go myself. There are points in time when the bar is too full to invite any others inside. …
5,Casablanca, 4 stars ,3 years ago,Good karaoke bar! Nice atmosphere and a lot of choices for songs. The DJ was interactive at the right moments. Apart from the some of visitors the overall vibe was good. Would certainly recommend whenever you feel like singing.
6,Casablanca, 1 star ,2 years ago,"Really bad experience, me and my colleagues where kicked out because I touched their DJ gear... If you don’t want people touching your stuff, don’t leave it out in the open and unattended, even better, put something there to block them. I …"
7,Casablanca, 1 star ,2 years ago,This was the worst experience I have had in Amsterdam. I went there will a small group of friends and an extremely rude manager asked us to leave after we asked for an extra glass of tap water. He claimed that there is only one glass of …
8,Casablanca, 1 star ,2 years ago,"I never write reviews, but this experience was particularly bad. The bar tending was fine, but the person responsible for the karaoke was so rude that I had to leave my group of friends. When I tried to find a song, he dropped this massive …"
9,Casablanca, 1 star ,5 years ago,I honestly cannot stress how rude the door guy here was. This is the first review I have ever written because I just HAD to say something. …
10,Casablanca, 1 star ,2 years ago,"We went with friends and one little girl from our group was pushed to the ground by a bar worker(carrying beers) and didn't apologist reacting in a very arrogant way. She told him that it was not a shame for say sorry once in a while, and …"
11,Casablanca, 3 stars ,3 years ago,"Always way too crowded, and the way the speakers are set up means if you're stuck in the wrong spot they're right in your ears. If you're a club type person it's probably fine, but for a quieter person this place is a bit much."
12,Casablanca, 4 stars ,4 years ago,"Gives perception of closed place for locals. They have really limited set of songs, most of which are quite old. Surprisingly quality of sound is so much better than in any other karaoke I've been in Amsterdam."
13,Casablanca, 1 star ,5 years ago,The staff of this bar should really work on their basic skills of being friendly to customers. That was the worst experience I ever had since I live in this city. We were treated as if we were a bunch of totally drunk idiots. Mean and …
14,Casablanca, 1 star ,5 years ago,Me and my fiancée entered the restaurant to enquire about the karaoke. We where rudely approached by a blonde woman basically telling me to get out because I had a drink in my hand. …
15,Casablanca, 5 stars ,2 years ago,Amazing little bar hidden away. Well worth seeking out if you love karaoke. The beers are excellent and the staff are extremely friendly
16,Casablanca, 5 stars ,4 years ago,"Great karaoke place, many locals. It's one of those places where you still can really get some stage time and practice your singing skills, or sing along with the crowd and have fun. …"
17,Casablanca, 5 stars ,2 years ago,Stumbled upon this place and couldn't be happier. The music was incredible.
18,Casablanca, 1 star ,5 years ago,This bar really doesn't worth your time..Except the fact that there is no heating in the bar one of the microphones was broken. Furthermore we were the only customers during that night and the manager/ bartender was really reallyyyy rude! I …
19,Casablanca, 1 star ,2 years ago,"Bad experience, went with my group of friends and the owner was very rude to us as well as the bartender. We ended up going to the end karaoke around the corner, muuuch better experience."
20,Casablanca, 1 star ,2 years ago,"Incredibly bad experience, the bouncer took my bag and wanted to charge me 2 eur. He then threatened me that he would forcefully remove me while I was looking for my route home on maps. I will not return on principal."
21,Casablanca, 2 stars ,5 years ago,This place could be where I want to spend every weekend. However the workers are unbelievably rude. The person looking up the music was extremely rude. If the staff situation changed I might be moe inclined to go back and enjoy the music and karaoke.
22,Casablanca, 3 stars ,3 years ago,"Way too crowded and practically impossible to get a place in line to sing. Maybe on a weekday it'd be more accessible, but don't show up on a Saturday evening and expect to sing and be able to move around."
23,Casablanca, 1 star ,4 years ago,"The man behind the bar was extremely rude for no reason, we wanted to do some kareoke but instead he he only helped other people. Will never visit this place again, such a tacky bar!"
24,Casablanca, 4 stars ,5 years ago,"Lovely place if you want to have fun with some good old fashioned karaoke. It's usually pretty crowded during the weekend, you will surely find also a lot of locals in here."
25,Casablanca, 4 stars ,4 years ago,Smack in the middle of the red light district there's a small bar which gives you the possibility to sing horribly to the lyrics of the song you please. Juet don't think when you pick a song you'll be singing it to all the people within 15min. Everbody wants to sing and has a specific wish. Don't expect you tp be in front of them
26,Casablanca, 3 stars ,3 years ago,"Nearly as good as a film, the Guy behind the bar smiled at me, but people who were singing have such a horrible voice. Not sure if i Will be coming back again."
27,Casablanca, 5 stars ,a year ago,"Gresr karaoke,but if you don't buy drinks they will kick you out. Get around midnight for it to be good."
28,Casablanca, 5 stars ,4 months ago,Rod Stewart lives there 🕺
29,Casablanca, 5 stars ,3 years ago,Awesome karaoke bar! It is always a fun place to go. Everytime I am in Amsterdam I go there with my coworkers.
30,Casablanca, 4 stars ,5 years ago,Great place gor your late night. Always very full with all kind of people. Nice mixture. They play live music too.
31,Casablanca, 1 star ,2 years ago,The waiter was a very bad person. He cleaned the glasses of beer and alcohol with the same dirty water.
32,Casablanca, 1 star ,2 years ago,Racists!terrible service especially for non-dutch people! The guy started shouting because we asked for a glass of water!!!Unacceptable behavior!
33,Casablanca, 1 star ,3 years ago,"Really obnoxious service. Not friendly staff at all. Rude dj and bouncers, did not feel welcome.  ongezellig!"
34,Casablanca, 1 star ,3 years ago,"Unfriendly staff, shabby interior; you will get a much nicer karaoke experience at The End around the corner from this place."
35,Casablanca, 5 stars ,2 years ago,"Real authentic fun, leave luggage at home, share love and fun while singing love around the world! Kisses!"
36,Casablanca, 2 stars ,3 years ago,Maybe it was 2am on a Saturday night and I wasn't feeling it - But it wasn't worth the queue or the 5 minutes it took us to deciede to go home. Try it and see.
37,Casablanca, 1 star ,2 years ago,"Not a nice atmosphere, you have to wait a few ours to sing and the owner is a racist and hates German people."
38,Casablanca, 5 stars ,2 years ago,Something of a hell hole but they let us sing Spurs songs on Karaoke all night so that was a bonus. COYS!
39,Casablanca, 1 star ,4 months ago,Not nice at all
40,Casablanca, 5 stars ,7 years ago,"Love this place, week days its great Jazz a real friendly place to chill, full of local Jazz Talent, check it out i never leave the city without a visit."
41,Casablanca, 4 stars ,3 years ago,Not my normal scene but I enjoyed it. Good vibe and friendly staff
42,Casablanca, 1 star ,4 years ago,"Unbelievably rude personnel, specially the man in charge of playing the songs.
They all seem to hate their jobs and their customers. Go somewhere else!"
43,Casablanca, 1 star ,2 years ago,Lots of other betters bars. Bad experience for me and my group
44,Casablanca, 4 stars ,3 years ago,Hasn't changed in the past 30 years. Non pretentious late night bar.
45,Casablanca, 3 stars ,2 years ago,"Seedy, very old fashioned bar. Go there for the karaoke"
46,Casablanca, 4 stars ,2 years ago,Good fun with late drinks and friendly bartender.
47,Casablanca, 4 stars ,3 years ago,Karaoke club is awesome . Enjoyed. A lot.good music
48,Casablanca, 1 star ,4 years ago,Barkeeper was really unfriendly toward me and my german friends. Can't really suggest fellow people to go here.
49,Casablanca, 1 star ,5 years ago,The man in charge of the music was extremely rude. I would definitely not recommend anyone to go here.
50,Casablanca, 1 star ,2 years ago,"DO NOT GO TO THIS AWFUL PLACE, I CALLED THE POLICE  ON THEM TONIGHT,, IM SUING THEM!!! RUDE, RUDE RUDE!"
51,Casablanca, 2 stars ,4 years ago,"Great mood. Poor bar selection, awefull facilities and shabby interior."
52,Casablanca, 5 stars ,2 years ago,Best karaoke bar ever.
53,Casablanca, 1 star ,3 years ago,Misogynistic disk jockey sucks the fun out of your drunken karaoke adventure
54,Casablanca, 5 stars ,3 years ago,Wat n super Laden! Fijf Stars! Love you guys!
55,Casablanca, 4 stars ,3 years ago,"Nice atmosphere, love singing here :)"
56,Casablanca, 5 stars ,2 years ago,"Great fun, friendly atmosphere"
57,Casablanca, 3 stars ,5 years ago,Decent place for some karaoke and a drink
58,Casablanca, 5 stars ,2 years ago,Great place for bands and karaoke
59,Casablanca, 5 stars ,2 years ago,"Strange but lovely place, it was a good find"
60,Casablanca, 5 stars ,3 years ago,Good pub with nices jazz band on stage !!
61,Casablanca, 3 stars ,4 years ago,"The DJ is fantastic, but it was too crowded."
62,Casablanca, 5 stars ,5 years ago,Very good atmosphere with karaoke
63,Casablanca, 4 stars ,3 years ago,Nice place but very rush in evening
64,Casablanca, 5 stars ,2 years ago,That bar saved our evening. Lile it!
65,Casablanca, 4 stars ,5 years ago,If you like old repertoire and like karaoke...
66,Casablanca, 5 stars ,2 years ago,Karaoke all night long.. so funny
67,Casablanca, 4 stars ,5 years ago,"Karaoke bar, ussually busy and open till late"
68,Casablanca, 3 stars ,4 years ago,You need to be drunk to really appreciate this place 🙃
69,Casablanca, 3 stars ,5 years ago,Nice pub. Lots of jazzy music.
70,Casablanca, 4 stars ,2 years ago,Not a first choice.. Good place to stop by
71,Casablanca, 2 stars ,4 years ago,Dirty long and narrow pretty much sums up this place
72,Casablanca, 2 stars ,4 years ago,The staff behind the bar was incredible bad.
73,Casablanca, 5 stars ,5 years ago,"great karaoke, nice place"
74,Casablanca, 4 stars ,3 years ago,Great local spot to bust some rhymes
75,Casablanca, 4 stars ,3 years ago,Jazz music played here is awesome.
76,Casablanca, 5 stars ,5 years ago,"Great vibe, fun till 3am"
77,Casablanca, 5 stars ,2 years ago,Karaoke experience at its best!!!
78,Casablanca, 3 stars ,5 years ago,good!
79,Casablanca, 5 stars ,6 years ago,Great karaoke place.
80,Casablanca, 2 stars ,5 years ago,Small bar. Karaoke possible!
81,Casablanca, 5 stars ,4 years ago,Nice place for good fun
82,Casablanca, 4 stars ,4 years ago,Good fun!
83,Casablanca, 4 stars ,3 years ago,Nice food
84,Casablanca, 4 stars ,5 years ago,Love music was amazing!
85,Casablanca, 5 stars ,5 years ago,Nice time
86,Casablanca, 5 stars ,4 years ago,So much fun!
87,Casablanca, 4 stars ,2 years ago,Lots of fun!
88,Casablanca, 1 star ,3 years ago,Dive bar
89,Casablanca, 5 stars ,5 years ago,Best place ever
90,Casablanca, 5 stars ,6 years ago,Top !
91,Casablanca, 3 stars ,2 years ago,Fancy karaokebar.
92,Casablanca, 5 stars ,2 years ago,Very local
93,Casablanca, 5 stars ,4 years ago,Wow
94,Casablanca, 5 stars ,3 years ago,Karaokeeeeeeeeeeee!
95,Casablanca, 4 stars ,2 years ago,Girls girls girls
96,Casablanca, 5 stars ,6 days ago,"Unfortunately, I couldn't take pictures but I enjoyed my time there. Bartender was nice and spoke English. Bathrooms were a typical bar status. I would just suggest that they update the karaoke songs on their system to also include current songs (at least until 2020). Other than that, good experience!"
97,Casablanca, 5 stars ,2 years ago,(Translated by Google) Nice karaoke bar with a lot of choice of songs. We were there on a Tuesday night and it was very quiet so could sing enough. Earlier on a Friday when it was so busy that it took a long time before you could sing a …
98,Casablanca, 3 stars ,a week ago,"(Translated by Google) Nice atmosphere, nice reverberation

(Original) …"
