,Name,Review Rate,Review Time,Review Text
0,Castell, 4 stars ,5 months ago,"I liked the steak, maybe not the best I've ever had, but it was decent, the shrimps appetizers were even better! …"
1,Castell, 4 stars ,5 months ago,"Ribs were amazing, steak was a bit chewy. Dont love the eating on your lap concept"
2,Castell, 5 stars ,8 months ago,"5 years later, still the best spare ribs I ate. They probably have the same cook. Highly recommended"
3,Castell, 5 stars ,7 months ago,Very tasty T-bone. Not fires or regulars sides. I went with the baked potato and it was excellent
4,Castell, 4 stars ,4 months ago,"Awesome steak, fast Service.
For some reason, asking for tap water proved to be difficult to get.
Also, the style of eating in your lap is not ideal, even though more comfortable than expected"
5,Castell, 5 stars ,a month ago,Been coming here for 10 years and it has never disappointed. Love the 70’s vibe and the spareribs are killer.
6,Castell, 5 stars ,a month ago,"Loved this spot. Great food, super cool vibe. Excellent steak, wine etc."
7,Castell, 4 stars ,2 years ago,"Cosy, dark and large ground oriented underground restaurant. This place is always pack hence do remember to make a reservation. …"
8,Castell, 2 stars ,6 months ago,"Last time I went with my boyfriend for the anniversary, it was a big let down. The meat was chewy and it felt like reheated. I used to come here for spare ribs and those were good but definitely make me doubt the quality of meat in general here."
9,Castell, 2 stars ,7 months ago,Disappointing. Rib-eye so thin like a shoe sole. It was impossible to create a crosty skin with a juicy inside. It points out at a very poor choice making in the kitchen - either their chef wants to save time or money. Either way - not the …
10,Castell, 3 stars ,2 years ago,"The food is good but the service is not up to par.  You should know that you have only two hours for dinner at this restaurant.  If you decide to order more than one meal course, you will need to eat fairly quickly.  I do not recommend it.  There are also better dining options at the Castle Restaurant."
11,Castell, 5 stars ,3 years ago,After my 5th time eating I can truly say its fantastic. Very unique surroundings and a real good night of quality barbecue food. It's much cosier in winter because they have a real fireplace you sit around to eat.
12,Castell, 5 stars ,5 months ago,"Great food and service, ribs are amazing!"
13,Castell, 4 stars ,3 years ago,"A very good meat place.
Exists for decades.
Apart from the fact that they are not pets friendly, it is a good choice for …"
14,Castell, 4 stars ,4 years ago,Fantastic food. Unorthodox eating arrangements. Guests are seated around a fire and eat on their laps with trays. Lighting is low but the food is fantastic. Place opens at 5 but grilling starts at 5.30.
15,Castell, 5 stars ,2 years ago,"A lovely spot for a great meal with friends on a warm day, or you can stop by the bar for a nice drink and conversation. All around amazing experience, at Castell they really pay attention to detail and service!"
16,Castell, 5 stars ,7 months ago,"Huge steak, nice service and food. :)"
17,Castell, 5 stars ,10 months ago,"Came here a year ago, then on our return visit to Amsterdam, we had to come back here. Staff are welcoming, kind and very helpful, the atmosphere is warm and cosy, and the food? Words can't do it justice, the quality of their meat is simply …"
18,Castell, 5 stars ,2 years ago,Castell is my favourite grill restaurant at Amsterdam. Food is always delicious and service is great. I ate spare ribs (which was perfect) and tried frogs legs for the first time (absolutely delicious) at my last visit. Highly recommended. Don't forget to reserve a table...
19,Castell, 4 stars ,4 years ago,"Awesome place! Best of grill places. I give 4 star because they have ony two kind of beers :( Leader! Please put more variaty of beers also not just wines! :) Anyway its a lovely place, really loved it. Kind ppl."
20,Castell, 5 stars ,4 years ago,"a great place for your fix of spare ribs, and also other steaks and meats. Be ready for a quite unique eating experience - there's no regular tables and chairs, only high chairs or seating by the fireplace"
21,Castell, 5 stars ,7 months ago,Certainly hasn't got any cheaper over the years but still one of the very best places for steak in Amsterdam. Great service also. Recommended.
22,Castell, 5 stars ,3 months ago,We always love this place. Great food and delightful gezellig ambience
23,Castell, 5 stars ,4 months ago,The steak is really good. The atmosphere is cosy and the staff welcoming.
24,Castell, 4 stars ,3 years ago,"Easy to miss place tucked in one of the side  streets of Amsterdam. They offer good selection of meats. Portions are good sizes as advertised in the menu. Food is good, no complaints here. Service was as well professional and quick. Prices …"
25,Castell, 4 stars ,8 months ago,"Reading some mixed reviews here, so this place seems a little hit and miss. We tend to avoid Leidseplein due to tourists and this is close, but seemed a bit more exclusive. We managed to get a table outside without a reservation - great …"
26,Castell, 2 stars ,4 years ago,"If you are a beef dry aged lover, you will be upset. The quality is below your expectations. The music of the place is too loud and you are expected to eat with the plate on your knees. The ratio of quality/price is not interesting."
27,Castell, 3 stars ,4 months ago,"Very good food, didn't like the feeling of eating on our lap..."
28,Castell, 5 stars ,a year ago,"If you like meat, this is the place to visit in Amsterdam. This place is unsuited for vegetarians."
29,Castell, 5 stars ,4 months ago,Good food nice atmosphere
30,Castell, 5 stars ,3 years ago,Still my favourite place for meats and beers! Great food and atmosphere.
31,Castell, 5 stars ,4 years ago,"Probably my best spare ribs go to restaurant in the world! Been here a couple of times; ribs, steak, baked potatoes, escargot are a must order! Though I wish the place can be abit brighter and have more seats ;)"
32,Castell, 5 stars ,2 years ago,The best foodie place frequnted by locals. Pretty much everything on the menu is a hit. Sometimes service gets slow.
33,Castell, 1 star ,4 years ago,"Ordered a sirloin and a fillet. Both were very rubbery. The waiter asked if we wanted a salad or a potato and when we said salad she charged is extra for it. At some point the meat started dripping all over the table and dripped on the floor. Also, the waiter was really aggressive and hostile."
34,Castell, 5 stars ,a year ago,My wife and I had an enjoyable and awesome time there. Very Unique style of dining. Sitting on a cosy sofa with a wooden chop block on your lap to have your dining experience. Steak was cooked to almost perfection. Ribs was tasty and …
35,Castell, 5 stars ,2 years ago,"AMAZING!!! Food and service were incredible!

Place was cozy, people so friendly"
36,Castell, 4 stars ,4 months ago,Food and ambiance great. A bit on the easy side regarding pandemic related health checks.
37,Castell, 4 stars ,2 years ago,Nice food - good ambience.  Great place for a date.
38,Castell, 5 stars ,5 months ago,Fantastic place to have a nice dinner. Excellent food and wine.
39,Castell, 3 stars ,4 years ago,"Onolion soup was good. The steak, however, is not worthy. Sauce of the steak was quite good, ironically."
40,Castell, 5 stars ,2 years ago,"Amazing outstanding steak! If you are a meat lover, this is the place to come !"
41,Castell, 5 stars ,6 months ago,"Delicious food , really nice people and the place look amazing . Atmosphere there is so nice ! 👌😊"
