,Name,Review Rate,Review Time,Review Text
0,Cheesy Cakes, 5 stars ,a month ago,"I had such an amazing experience ordering a birthday cake for two of my friends from far away for them to pick up on their birthday weekend. Spiros was so nice & helpful throughout, super quick in answering and even sent me the attached …"
1,Cheesy Cakes, 5 stars ,a month ago,"Incredible taste! ✨ 🥧 🎂 🥧 ✨
They are certainly the best cheesecakes in town. I can't wait to go back for another slice and try other varieties.
💰 Very good prices."
2,Cheesy Cakes, 5 stars ,4 months ago,Incredible cheesecakes made freshly by the owner himself every day. Each cheescake type that is being offered here is fantastic. A cozy place and incredibly friendly owner. Best cheesecake in town.
3,Cheesy Cakes, 5 stars ,2 months ago,"A couple of months ago I tried Classic New York cheesecake and recently I decided to order a whole cake for my celebration. Everybody liked it and asked me for the address of the shop. Besides this one, I also tried Melomacarona and …"
4,Cheesy Cakes, 1 star ,2 months ago,"I was very disappointed with the New York cheesecake. It was supposed to be a classic NY cheesecake with a lemon flavor; however, there was no taste of lemon at all and the cheesecake itself was quite bad (tasted like cardboard). The worst …"
5,Cheesy Cakes, 5 stars ,a year ago,"Best cheesecake in town! Amongst my personal favorites are the Burnt basque, Crema catalana, Apple cheesecake, Caramel espresso....Besides the food, the owner/chef is very passionate about his work and an awesome one to stop for a chat."
6,Cheesy Cakes, 5 stars ,a year ago,"Amazing cheesecake shop! Spiros is so creative and passionate at what he does that you just can’t have, only one cheesecake per week. Follow his instagram account and you ll know what i mean! Can’t wait for the caramel espresso cheesecake or the walnut one or the Mister Grey! If it’s a weekend, go there, now!"
7,Cheesy Cakes, 5 stars ,5 months ago,"Amazing cheesecake quality , super fresh and very tasty ! Owner very friendly and explains you every type available ;) definitely recommend"
8,Cheesy Cakes, 5 stars ,4 months ago,The most deliciously balanced cheesecake I’ve had. Crispy on the edges and moist in the center. Beautifully presented with a classic fig and raspberry topping and the owner is so nice and welcoming. All round great experience. Thank you.
9,Cheesy Cakes, 5 stars ,2 years ago,"Best cheesecakes in the centre city of Amsterdam!! Also the coffee is really great and the owner is a very good host and great cook. Every week new varieties of cheese cakes blue berrie, pumpkin, goat cheese …"
10,Cheesy Cakes, 5 stars ,a year ago,"Cheesycakes makes such good cheesecakes! For me as a local it's really nice to have always the option to get cheesecakes from Cheesycakes (i'm a regular custumer), but for a tourist this is also the place to be. …"
11,Cheesy Cakes, 5 stars ,5 months ago,"More than you can imagine.
Chocolate, caramel, traditional, berry and more! Small or large there’s a cheesy cake for you. This is one of our go o Bour items in Amsterdam. The cakes are …"
12,Cheesy Cakes, 5 stars ,a year ago,"Love love love this place! Most places you go have the same products all the time. Each time you visit...you'll get cheesecake, but you'll be treated to new exciting and tasty cheesecakes you wouldn't even imagine. It's a great treat and …"
13,Cheesy Cakes, 5 stars ,2 weeks ago,"Amazing cheese cakes. The best in Amsterdam, very friendly staff. Recommend the vanilla strawberry cheese cake !!"
14,Cheesy Cakes, 5 stars ,5 months ago,Really delicious cheesecake! All freshly homemade with quality ingredients - you could taste it. Spiros the owner is super creative and very friendly explaining the types and origins to match your preference.
15,Cheesy Cakes, 5 stars ,3 years ago,We had the special Red Velvet cheesecake and the double chocolate cheesecake and they were both amazing! The bakery is very cozy to sit and the owner is super nice and friendly! We even had some sample of his new cheesecake! Definitely recommend this plce to cheesecake lovers and i'll come back!
16,Cheesy Cakes, 5 stars ,2 weeks ago,"Cheesecakes of many different kinds, sooo good, all homemade by the owner who is by the way super friendly!"
17,Cheesy Cakes, 5 stars ,4 months ago,"I bought this cake for a friend of mine, who just became a father and the next day i had a fresh baked cheesecake NY style. He is the best in whole Amsterdam, very good service. Thanks."
18,Cheesy Cakes, 1 star ,6 months ago,"I bought 5 pieces of different cheesecakes simply because the reviews were great!
And it cost more than 5 Euro per piece, but the quality unfortunately was much …"
19,Cheesy Cakes, 5 stars ,a month ago,Delicious cheesecakes made with love! This place is a 100% must to try (and try again) in Amsterdam.
20,Cheesy Cakes, 3 stars ,6 months ago,"Bought a whole cake for 29 euros, charged the plastic bag for 1 euro!  not the right way to do business this way.  would not come back."
21,Cheesy Cakes, 5 stars ,11 months ago,Cheesy Cakes is my favourite cafe in Amsterdam. I used to live an hour away from Amsterdam for a few years and have been a fan of cheesycakes since year 1. I can never not visit Amsterdam without stopping by for a piece of delicious cheese …
22,Cheesy Cakes, 5 stars ,a week ago,"Lovely spot , clean , delicious cheesecake options! Great coffee too 🥰"
23,Cheesy Cakes, 5 stars ,2 years ago,"Visiting Cheesy Cakes was a true experience. The owner knows his stuff!
First, he explained every cake to us and let us try the salted caramel. I was sold, bought it. …"
24,Cheesy Cakes, 5 stars ,3 years ago,"Amazing cheesecakes!
Many cheesecake recipes available, from classic to raw, to vegan and even special limited edition recipes. …"
25,Cheesy Cakes, 5 stars ,2 years ago,"Great cheese cakes! They have different themes of cheese cakes every quite often. Located in a lovely street with a really welcoming owner. Recommend!
Also be sure to check out their Instagram @cheesycakesofficial to see what new things he’s come up with 🙂"
26,Cheesy Cakes, 5 stars ,5 months ago,"Amazing cheesecakes, both usual and unusual flavors, made with love, by someone who really knows his stuff,likes to experiment,  and channels his passion in his work. Don't miss a chance to visit!"
27,Cheesy Cakes, 5 stars ,10 months ago,We recently visited Amsterdam for a short vacation. We came across this hidden gem as we were exploring city. Best cheesecake we have ever tried! The owner was so friendly and caring to explain which made the whole experience something to remember from our trip! Thank you Spyros! Keep up the beautiful work!
28,Cheesy Cakes, 5 stars ,3 years ago,"The short: Stop whatever you're doing and go here right now.

The long: Spiros' bespoke cheesecake shop is a gem. Everything is made in-house, …"
29,Cheesy Cakes, 5 stars ,2 years ago,"By far the best dessert place in Amsterdam! The cheesecakes are incredible and fresh every time. If you like coffee, the espresso-caramel one will blow your mind, and if you like to play it safe, the classic NY one will always deliver. Can not rate high enough. Thank you Spiros!"
30,Cheesy Cakes, 5 stars ,a year ago,"This shop simply have the best cheesecake in Amsterdam. You’ll find various flavors available. Spiros, the owner, is such an amazing host. Highly recommend."
31,Cheesy Cakes, 5 stars ,4 years ago,"Loved all the cheesecakes I tried - basically I tried them all lol. Spyros is very friendly, he makes his own coffee blend, which I appreciate, and he renews the menu every day, so you don't rly know what flavor to expect! Totally recommend it!"
32,Cheesy Cakes, 5 stars ,9 months ago,"If you are looking for the best cheesecakes in town this is the place to be! Spiros, the chef, is pouring his heart into making delicious and quality cheesecakes. Spiros is very friendly and always willing to go the extra mile and explain how the cheesecakes have been made. Definitely worth dropping by for an unforgettable tasty treat!"
33,Cheesy Cakes, 5 stars ,11 months ago,hands down the best cheesecakes I've ever tried! Insanely delicious flavours each and every time. Spiros' passion and enthusiasm for his work really shows on the quality of his cakes! Make sure to pass by anytime you're around :)
34,Cheesy Cakes, 5 stars ,a year ago,"No wonder this has 5/5. Everything about the cheescakes is superb, from
the guy who makes them to the fantastic taste. We tried 4 different ones and will be coming for more for sure. …"
35,Cheesy Cakes, 5 stars ,a year ago,"If you lije cheescakes guys this is THE PLACE!Cheesy Cakes has the best cheescakes in Amsterdam Spiros ,the owner , is one of the best human being that I've ever met!😋❤"
36,Cheesy Cakes, 5 stars ,a year ago,"The Best Cheesecake in town so far!
If you want a fresh, different at absolutely tasty Cheesecake, then you should visit Cheesy cake. We visit it a lot and it's always a delight. We love also the theme weekends are the best! Keep the good work Spiros! See you soon for a Cheesecake treat!"
37,Cheesy Cakes, 5 stars ,a year ago,"What a gem! The cheesecakes are always different, imaginative, interesting, and above all, taste sublime.
The owner is a wonderful person and it's very clear he puts a lot of love and …"
