,Name,Review Rate,Review Time,Review Text
0,Chocolate Bar, 2 stars ,3 years ago,"We ordered a pizza ""picante"" and waited 30 minutes. Nothing. Then we reminded the waitress and learned that they ""forgot"" and the pizza would come ""immediately"". After another 20 minutes (people at other tables have come and gone), the …"
1,Chocolate Bar, 1 star ,4 years ago,I had a terrible experience at this place the other night. I arrived there with my wife and friend to grab a nachos and a beer. After our order the show with the waiter began. First he mistaken my friend's order...instead of bottled raddler …
2,Chocolate Bar, 5 stars ,3 years ago,"Cozy place, nice food and friendly staff."
3,Chocolate Bar, 1 star ,4 years ago,Waited 10 minutes before being acknowledged and then after ordering waited over an hour for our meal only to find out after asking about it that the waiter had forgotten to ring it through. Asked for a credit on one of our cocktails as compensation.  He said no.  We told them to forget it and left. Worst service ever.
4,Chocolate Bar, 3 stars ,3 years ago,Very long service ! About 35minutes for a salade and a burger. Moreover the quantity of the fries on the burger was soooo little. The toilets are dirty. But the waiters and waitresses are very nice
5,Chocolate Bar, 4 stars ,4 years ago,One of the trendy places to go in this area. Location is great and if nice weather u can enjoy sitting outside. I'm not so crazy about their food to be honest. I do now a days drinks and meeting up with friends here.
6,Chocolate Bar, 5 stars ,4 years ago,Best burger I've ever had!  Can't stop thinking about it.  Think it was called Chocoburger.  The service was really good too and nice to sit outside on a hot day!
7,Chocolate Bar, 4 stars ,3 years ago,Good meal for lunch in a busy area. Prices were good for burgers/pita/toasties as a limited menu. Service was good and the food was good also. Would recommend the Angus beef burger 🍔
8,Chocolate Bar, 3 stars ,6 years ago,"Nice place to catch a beer in summer or winter! Their ribs are a bit dry, food needs some love. Also their kitchen is small and lacks of venting."
9,Chocolate Bar, 3 stars ,13 years ago,"I am going to this place a few times per year for let me say 4 years now. I love the atmosphere. The audience is easy, good looking and friendly. The service is good and personal the food and drinks are fine! …"
10,Chocolate Bar, 2 stars ,5 years ago,For desserts and not very crowded place I would expect a faster service. Cheesecake was average. Small portions compared to price
11,Chocolate Bar, 2 stars ,5 years ago,The staff was friendly but they messed up or order. The food was below average. I don't think I would go back.. The area was lively.
