,Name,Review Rate,Review Time,Review Text
0,Chocolate Company, 5 stars ,2 years ago,"Chocolate company a very cosy place to seat and wait the train or the next metro or bus, located in the Amsterdam central station.
A very tasty chocolate drinks cold or hot also for chocolate and desserts also …"
1,Chocolate Company, 5 stars ,3 years ago,"Try it!

Such nice service and a quality coffee & chocolate. …"
2,Chocolate Company, 4 stars ,2 months ago,Nice cafe
3,Chocolate Company, 5 stars ,4 years ago,"This is a feel good store.
50 flavors of hot chocolate to drink there or for take away. You can buy chocolate spoons for home as well. I enjoyed a mid size cup of white hit chocolate , because you rarely find white one in regular coffee shops."
4,Chocolate Company, 5 stars ,4 years ago,I wasn’t sure how the selection process worked with all of the flavors of hot chocolate but the staff was very friendly and explained it. The place isn’t big but was very nice. It didn’t take long to get the hot chocolate and I’ve never had it served so nicely before.
5,Chocolate Company, 5 stars ,3 years ago,"Wide variety of chocolate tastes, they also have coffee. You can have a sit and enjoy your drink there."
6,Chocolate Company, 5 stars ,2 years ago,Came here on 3 separate occasions during our 4 day stay when passing through centraal. Friendly staff and fast service. Great coffee served with either a biscuit or truffle (we both had the truffles each time and they were delicious!). Will come back here for coffee when passing through centraal over the Starbucks.
7,Chocolate Company, 5 stars ,5 years ago,Prices were reasonable (seeing as it is in the main train station) and the choice of hot chocolates is massive! We went for the Irish hot chocolate and the ginger and lemongrass Hot chocolate. Both were extremely tasty. You pick your …
8,Chocolate Company, 4 stars ,2 years ago,One of the best cappuccino in town. Served with a small chocolate. Really appreciate it!
9,Chocolate Company, 4 stars ,4 years ago,"It is a small place. They have high tables and chairs only. So it is not a good choice for people with wheelchairs. We were there quite early on Sunday morning about 9:30, there was no other guest. I had a cup 'latte macchiato' chocolate. It was very good. Cost €3.90 - in 250ml cup."
10,Chocolate Company, 1 star ,4 years ago,My girlfriend wanted to get a hot chocolate on a Friday. We arrived around 21:15 h. to find the shop closed. We checked the website beforehand and it clearly stated the shop should be open until 22:00 h. We pointed this out to an employee …
11,Chocolate Company, 3 stars ,2 years ago,Good coffee...super high chairs that are difficult for short legged people to get into
12,Chocolate Company, 5 stars ,2 years ago,"Had many got chocolate before but nothing beats the chocolate company
Best got chocolate drink ever!!!!!"
13,Chocolate Company, 1 star ,2 years ago,"Don't bother ordering and expect what you ordered to be delivered. Asked for a deliver with no nuts in for a very ill colleague, what arrived? A whole delivery with nuts in the chocolate. I'd ask for money back but if that arrives the way the delivery did......  why bother....."
14,Chocolate Company, 5 stars ,2 years ago,Delicious chocos and amazing coffee with a kind and nice staff. It's always worth to stop by for a relaxed moment and coffee.
15,Chocolate Company, 5 stars ,a month ago,i like the blue hair barista
16,Chocolate Company, 1 star ,4 years ago,Extremely rude and impatient and put the wrong tags for the dark chocolates. Will never buy chocolates here again! The crew at the haarlem shop are so much more friendly.
17,Chocolate Company, 5 stars ,5 years ago,We got know occasionally about their hot chocolate.  We ended going their everything to warm up our body with their delicious options to flavor your milk.
18,Chocolate Company, 3 stars ,3 years ago,"I got the ""hotchocspoon"" in a take-away cup. It was nice ... once it melted and blended. At first I was only drinking hot milk."
19,Chocolate Company, 5 stars ,2 years ago,Nice and cosy place with superb hot chocolate. Especially recommend plain chocolate Truffles and the lemon grass hot chocolate.
20,Chocolate Company, 1 star ,3 years ago,Got charged 8 euro for two drinks. I asked for two large and I got one small and one large. Didn’t get refund or anything.
21,Chocolate Company, 5 stars ,5 years ago,"Best coffee in Amsterdam! I always ask for a shot of chocolate in my cappuccino. Order a medium, the size and cost are worth it."
22,Chocolate Company, 5 stars ,3 years ago,"Great coffee and service as well !!!
I have been there several times but I couldn’t mention the excellent service that I had today from Emily,really sweet,friendly and very professional!!! Thanks you Emily !!!"
23,Chocolate Company, 5 stars ,2 years ago,"You like hot chocolate drinks?
Wanna meet the friendliest dutch person in the netherlands?
This place is for you!"
24,Chocolate Company, 5 stars ,2 years ago,Really great selection of tempting treats. You'll wish you could get a taste of everything.
25,Chocolate Company, 1 star ,5 years ago,"I stood there for a couple of minutes while the two young ladies working there were chitchatting. Even though they noticed me, did not pay any attention. Luckily there are other places in the station. Hasta nunca!"
26,Chocolate Company, 5 stars ,2 years ago,Good variety of chocolate milk flavours and tasted great.
27,Chocolate Company, 3 stars ,4 years ago,The cappuccino is really nice but the space is not big and finding place for seat is difficult
28,Chocolate Company, 5 stars ,2 years ago,Tasty chocolate and friendly people. I'm a big fan :)
29,Chocolate Company, 3 stars ,3 years ago,"Hot and cold chocolates, lots of options. On the pricier side."
30,Chocolate Company, 5 stars ,5 years ago,"Best chocolate ever !!!
Make sure you won't miss it once you are in Amsterdam 🤘🏻👍🏼🙌🏻"
31,Chocolate Company, 5 stars ,5 years ago,Nice coffee and cake. Friendly and helpful staff.
32,Chocolate Company, 5 stars ,2 years ago,Quick and incredibly friendly service. Will definitely come back!
33,Chocolate Company, 5 stars ,3 years ago,"Interesting place to visit , delicious chocolates to purchase"
34,Chocolate Company, 5 stars ,3 years ago,Delicious crossaint and hot chocolate!
35,Chocolate Company, 5 stars ,3 years ago,"Amazing place, irresistable chocolates"
36,Chocolate Company, 4 stars ,4 years ago,A quick stop for coffee and hot chocolate.
37,Chocolate Company, 5 stars ,4 years ago,"Nice food and drink, excellent service"
38,Chocolate Company, 3 stars ,a year ago,Prepare for the fun line :=)
39,Chocolate Company, 5 stars ,2 years ago,Very  delicious chocolates
40,Chocolate Company, 1 star ,4 years ago,So Bad
41,Chocolate Company, 5 stars ,a year ago,😎👍
42,Chocolate Company, 3 stars ,2 years ago,Nice
43,Chocolate Company, 5 stars ,3 years ago,The best place ever
44,Chocolate Company, 5 stars ,5 years ago,Excellent
45,Chocolate Company, 5 stars ,10 months ago,"(Translated by Google) I ordered milk from Hot Chocolate Spoon XS and white chocolate next to the cash register. The whipped cream came out with the cookies in a separate plate. This cookie is more delicious than I imagined, so I recommend …"
46,Chocolate Company, 5 stars ,6 months ago,(Translated by Google) Very nice employees and you will be well taken care of! Store looks attractive and cozy. They also wrapped my presents very nicely! …
47,Chocolate Company, 4 stars ,2 years ago,"(Translated by Google) With the offer from NS I had a delicious cup of chocolate here. You can also opt for oat milk instead of dairy, but I saw that too late. Very nice girl who made you feel right at home. She was also very nice to the …"
48,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) After a busy day of shopping on a sweltering day, we popped in here for something cold with chocolate before heading back home. The friendly employee advised us a kind of milkshake (name forgotten). A big dollop of …"
49,Chocolate Company, 4 stars ,2 years ago,"(Translated by Google) Super nice, small but certainly nice shop where the staff very hospitably serves their customers in a professional way! Coincidentally, at the time of the visit a plate from the cooling came down spontaneously, …"
50,Chocolate Company, 4 stars ,4 years ago,(Translated by Google) Large selection of hot spoon chocolates. Few places with a table and high chairs. …
51,Chocolate Company, 3 stars ,3 years ago,"(Translated by Google) The place is suitable for people who are traveling.
It is certainly not a place to meet with someone because it is pretty tight. Coffee is not really special. …"
52,Chocolate Company, 5 stars ,2 years ago,"(Translated by Google) Cafeteria with best combination chocolate, has many options and flavors, snacks, coffees, iced teas very well presented and tasty. It is a few meters from the central station Den Haag. Note 10 …"
53,Chocolate Company, 5 stars ,4 years ago,(Translated by Google) Had a delicious chocolate fondue. More than enough stuff to baptize and an infinite amount of tea. Highly recommended for anyone who wants to chat with a friend …
54,Chocolate Company, 4 stars ,6 years ago,"(Translated by Google) In this newly opened shop at the start of the IJpassage on Amsterdam Central you can find a wide variety of delicacies. Whether you come here to drink your cup of coffee in the morning, or look for a nice gift in the …"
55,Chocolate Company, 5 stars ,a year ago,"(Translated by Google) Very nice saleswoman. You order, pay and get the delicious chocolate brought to your place. …"
56,Chocolate Company, 5 stars ,a year ago,(Translated by Google) Tasty smoothie; attentive and very friendly help. What else do you want? …
57,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Wonderful coffee, chocolate milk and other drinks. And the chocolates are also delicious. In addition, the staff is super nice. Recommended. …"
58,Chocolate Company, 5 stars ,3 years ago,(Translated by Google) It's not hot chocolate but happiness and hope! Extremely recommended! …
59,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Great hot chocolate, different flavors. A nice place to wait. …"
60,Chocolate Company, 5 stars ,3 years ago,(Translated by Google) Had delicious chocolate milk here! And a huge choice of normal flavors to all flavors whatever! …
61,Chocolate Company, 5 stars ,4 years ago,"(Translated by Google) Insanely large selection of hot chocolates.
The chocolate brownie cake was also very tasty. …"
62,Chocolate Company, 4 stars ,3 years ago,(Translated by Google) Tasty espresso. Lots of chocolate for sale for the enthusiasts. …
63,Chocolate Company, 5 stars ,2 years ago,"(Translated by Google) Tasty, fast, in and out and the staff are always friendly despite sometimes the extreme crowds …"
64,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Had a nice hot chocospoon, the tiramisu is a must!

(Original) …"
65,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Interesting hot chocolate, the staff is very friendly.

(Original)
有趣的熱巧克力，工作人員非常友善。"
66,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Perfect coffee. Good service, friendly staff.

(Original) …"
67,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Just good and tasty with very friendly staff.

(Original) …"
68,Chocolate Company, 4 stars ,3 years ago,"(Translated by Google) Good range, a bit pricey. Friendly service.

(Original) …"
69,Chocolate Company, 4 stars ,3 years ago,
70,Chocolate Company, 3 stars ,2 years ago,"(Translated by Google) Amazing to stay and live there

(Original) …"
71,Chocolate Company, 5 stars ,2 years ago,"(Translated by Google) Nice coffee, good ambience

(Original) …"
72,Chocolate Company, 5 stars ,3 years ago,"(Translated by Google) Delicious hot chocolate

(Original)
Очень вкусный горячий шоколад"
73,Chocolate Company, 5 stars ,3 years ago,
74,Chocolate Company, 4 stars ,3 years ago,"(Translated by Google) Tasty and separate drinks /

(Original)
Lekkere en aparte drankjes/"
75,Chocolate Company, 5 stars ,a year ago,"(Translated by Google) Best Coffee !!

(Original)
Beste koffie!!"
76,Chocolate Company, 4 stars ,3 years ago,
77,Chocolate Company, 4 stars ,3 years ago,"(Translated by Google) Yummy

(Original)
Lekker"
78,Chocolate Company, 5 stars ,5 years ago,"(Translated by Google) Super tasty coffee.

(Original)
Superlekkere koffie."
79,Chocolate Company, 4 stars ,5 years ago,
80,Chocolate Company, 4 stars ,2 years ago,
81,Chocolate Company, 5 stars ,5 years ago,
82,Chocolate Company, 5 stars ,3 years ago,
83,Chocolate Company, 4 stars ,3 years ago,
84,Chocolate Company, 5 stars ,5 years ago,
85,Chocolate Company, 5 stars ,2 years ago,
86,Chocolate Company, 4 stars ,4 years ago,
87,Chocolate Company, 3 stars ,2 years ago,
88,Chocolate Company, 3 stars ,2 years ago,
89,Chocolate Company, 2 stars ,3 years ago,
90,Chocolate Company, 5 stars ,2 years ago,
91,Chocolate Company, 5 stars ,2 years ago,
92,Chocolate Company, 5 stars ,3 years ago,
93,Chocolate Company, 3 stars ,2 years ago,
94,Chocolate Company, 5 stars ,2 years ago,
95,Chocolate Company, 3 stars ,3 years ago,
96,Chocolate Company, 5 stars ,3 years ago,
97,Chocolate Company, 5 stars ,2 years ago,
98,Chocolate Company, 5 stars ,3 years ago,
99,Chocolate Company, 5 stars ,3 years ago,
100,Chocolate Company, 3 stars ,2 years ago,
101,Chocolate Company, 5 stars ,3 years ago,
102,Chocolate Company, 3 stars ,2 years ago,
103,Chocolate Company, 5 stars ,2 years ago,
104,Chocolate Company, 4 stars ,2 years ago,
105,Chocolate Company, 5 stars ,a year ago,
106,Chocolate Company, 5 stars ,2 years ago,
107,Chocolate Company, 5 stars ,a month ago,
108,Chocolate Company, 4 stars ,3 years ago,
109,Chocolate Company, 4 stars ,2 years ago,
