,Name,Review Rate,Review Time,Review Text
0,Ciel Bleu, 4 stars ,4 months ago,All in all it was a great evening. Got to see the sunset during the meal and nice concept with all the different spices around the world. There were several dishes though that were overly salted and I thought three courses of dessert was a …
1,Ciel Bleu, 5 stars ,2 years ago,We had such a fantastic experience here. The food was amazing and the staff was wonderful. Fine dining really is about the experience as much as the food and this place delivered on both. There are also beautiful views of the city as you eat. I would say this restaurant is worth making a trip for even.
2,Ciel Bleu, 4 stars ,3 years ago,"The visit to Ciel Bleu started very well.
We were quickly taken up to the restaurant where we got to sit in the lounge and enjoy excellent food and view for a few minutes. …"
3,Ciel Bleu, 5 stars ,2 years ago,Ciel Bleu is truly one of the most outstanding restaurants I've ever had the pleasure to dine at. My partner and I had the 'Guestronomy' taster menu for my 32nd birthday this week and it certainly went down a treat. …
4,Ciel Bleu, 5 stars ,3 years ago,"This place is deserving of 3 Michelin stars, not just two. Ciel Bleu is the best restaurant I have ever dined at. Everything fell into place: each dish of the tasting menu was out of this world, the service was friendly and flawless, the …"
5,Ciel Bleu, 5 stars ,3 years ago,"Exceptional **Michelin restaurant. Service and presentation deserving of a 3rd star.  It is located on the top floor of a hotel so it has a wonderful view. Degustation menu options, with full wine pairing option available. Fresh ingredients and delicious. Overall a wonderful experience."
6,Ciel Bleu, 5 stars ,2 years ago,"Amazing food, really in a special way prepared.  The waiters know so much about all the wines and dishes and they  just tell you in such a nice way...loved it! Worth every cent."
7,Ciel Bleu, 5 stars ,2 years ago,Very good restaurant with top notch service. Food is of the highest quality. Views from the 23th floor over Amsterdam are amazing. Definitely would recommend booking a room in the Okura hotel combined with a dinner at Ciel Bleu.
8,Ciel Bleu, 3 stars ,3 years ago,"I’ve never spent so much money to feel hungry.

The view is great, the service is great, and the presentation is fantastic. The …"
9,Ciel Bleu, 4 stars ,4 years ago,"Very nice restaurant of French cuisine with Japanese touch with a great view on Amsterdam. While reservation we mentioned that it was my boyfriend’s dad 70th Birthday night out, but unfortunately we didn’t even get table near the window …"
10,Ciel Bleu, 5 stars ,6 months ago,"Incredible delicious Menu (Guestronomy).
I asked them to surprise me with wine's.
Well, they managed. Very good choices. …"
11,Ciel Bleu, 2 stars ,2 years ago,"Just don't go, it's not worth the money. When we went the only options available were Waegu Beef (for an extra €250+) or pigeon. We chose the pigeon, not truly thinking we would see it's relatives for the rest of the trip. One of the …"
12,Ciel Bleu, 4 stars ,3 years ago,"Good restaurant, but the service died when we started with desserts (no more water, had to ask for the bill...) …"
13,Ciel Bleu, 5 stars ,2 years ago,This is an amazing experience! I would say the best I've add so far! The balance of all flavor's are impacable. I felt full at the end and didn't have the need to stop somewhere to grab a burger. The wine pairing experience is perfect and the staff are on top. Thanks again!!!
14,Ciel Bleu, 5 stars ,3 years ago,"At the top floor of the 5* Okura Hotel Amsterdam you'll enjoy an amazing experience at Ciel Bleu. Seated in a beautiful decor of gentle black, soft grey and the natural touch of the Dutch Birch, the skyline of the Dutch Capital is your …"
15,Ciel Bleu, 5 stars ,5 years ago,Wonderful restaurant with great service. They make everything very personal and you feel very welcomed. A must I'd you are visiting Amsterdam!
16,Ciel Bleu, 5 stars ,4 years ago,"An incredible experience.  Absolutely worth a visit.  Describing the dishes is pointless, you have to check it out yourself!"
17,Ciel Bleu, 4 stars ,4 years ago,"It's a good place to dine, good food, good service and good produce. It's a place to go once, but maybe that's about it. There's better offers in Amsterdan for the same price and quality."
18,Ciel Bleu, 5 stars ,a year ago,Greatest evening ever... special Thanks to the Sommelier  and the Maître... it was a pleasure to be there
19,Ciel Bleu, 5 stars ,2 years ago,"Fantastic! Came here with little knowledge of what the meal was going to entail and was pleasantly surprised the entire time! The portions were a very nice size, and I was not left hungry at the end, or overly full. The food was unique and …"
20,Ciel Bleu, 3 stars ,3 years ago,"Great food experience, but overpriced. We both had the “experience” menu, and the dishes are indeed a wonderful experience. Each dish was unique and interesting, with complex choices of ingredients. The wine was good and complimented the …"
21,Ciel Bleu, 1 star ,2 years ago,"Gorgeous view. Pleasant setting. Very pricey.  Food is beautifully presented but unfortunately the flavors are not compelling
I would expect more wow on the palate at a Michelin two star, especially at …"
22,Ciel Bleu, 5 stars ,a year ago,Fantastic views over Amsterdam. Food menu was amazing with the best wine selection I've ever had. Overall it may be expensive but totally worth it.
23,Ciel Bleu, 5 stars ,3 years ago,"INCREDIBLE MEAL! My partner and I went here for dinner and had the gastronomy menu and it was to die for! The timing of the food, the wine pairing, the ambiance, everything was phenomenal. We’ve eaten at many Michelin star restaurants and this was definitely a top experience."
